VariantID,NPCId,Name,CharacterDefinition,CharacterDefinitionEditor,ByeTimeline,GreetTimeline,IdleTimeline,InteractTimeline,PlaceholderMesh,AttachedMesh,AttachmentPositionX,AttachmentPositionY,AttachmentPositionZ,AttachmentRotationX,AttachmentRotationY,AttachmentRotationZ,InteractOverride_X,InteractOverride_Y,MarkerOffset_Z,WalkawayTimeline,AE.0_RequiredAchievementConditional,AE.9_RequiredAchievementConditional,AE.0_EventDelayDuration,AE.9_EventDelayDuration,AE.1_EventDelayDuration,AE.1_OE.0_OpacityTransitionDuration,AE.2_EventDelayDuration,WalkInTimeline,AE.3_RequiredAchievementConditional,SwapAchievementId,AE.10_RequiredAchievementConditional,AE.3_EventDelayDuration,AE.10_EventDelayDuration,AE.4_EventDelayDuration,AE.4_OE.0_OpacityTransitionDuration,AE.5_EventDelayDuration,AE.6_EventDelayDuration,AudioPreload_SFX_Idle,InteractOverride_Z
06_NessaHarrower_01,06_NessaHarrower01,@06_NessaHarrower,Objects\Characters\npc\Settlements\06_NessaHarrower.cdf,Objects\Characters\npc\Settlements\06_NessaHarrower.cdf,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_exit.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_greet.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_ambient.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_interact.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_25_left_walkaway.timeline,SwapActive_06_Nessa_A,0,0,0.05,11,1,12,Timelines\EmptyTimeline.timeline,!SwapActive_06_Nessa_A,!SwapActive_06_Nessa_A,,0,0.05,0.05,1,0,1.1,,
06_GraceWW_04,06_GraceWW_04,@01_Grace,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Objects\Characters\npc\natural\GraceOMalley\GraceOMalley.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_170_right_walkaway.timeline,!SwapActive_06_GraceWW_D,0,0,0.05,24,1,25,Timelines\EmptyTimeline.timeline,SwapActive_06_GraceWW_D,SwapActive_06_GraceWW_D,,0,0.05,0.05,1,0,1.1,,
06_NessaHarrower_05,06_NessaHarrower05,@06_NessaHarrower,Objects\Characters\npc\Settlements\06_NessaHarrower.cdf,Objects\Characters\npc\Settlements\06_NessaHarrower.cdf,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_exit.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_greet.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_ambient.timeline,Libs\Timeline\Npc\Interactions\Stand\Generic\settle_generic_stand_interact.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_170_left_walkaway.timeline,!SwapActive_06_Nessa_E,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_06_Nessa_E,SwapActive_06_Nessa_E,,0,0.05,0.05,1,0,1.1,,
1625_Ghazi_p3,1625_Ghazi_p3,@1625_Ghazi,Objects\Characters\npc\Settlements\1625_Ghazi.cdf,Objects\Characters\npc\Settlements\1625_Ghazi.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_25_right_walkaway.timeline,!SwapActive_1625_Ghazi_p3_On,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,SwapActive_1625_Ghazi_p3_On,SwapActive_1625_Ghazi_p3_On,,0,0.05,0.05,1,0,1.1,,
1624_Imhotep_v1p2,1624_Imhotep_v1p2,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\curve_90_right_walkaway.timeline,!SwapActive_1624_Imhotep_v1p2_On,0,0,0.05,5,1,6,Timelines\EmptyTimeline.timeline,SwapActive_1624_Imhotep_v1p2_On,SwapActive_1624_Imhotep_v1p2_On,,0,0,2.8,0.5,2.8,3.2,,
1624_Imhotep_v1p4,1624_Imhotep_v1p4,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Timelines\EmptyTimeline.timeline,!SwapActive_1624_Imhotep_v1p4_On,0,0,0.05,0,0.5,0.5,Timelines\EmptyTimeline.timeline,SwapActive_1624_Imhotep_v1p4_On,SwapActive_1624_Imhotep_v1p4_On,,0,0,0.05,0,0,0,,
1624_Imhotep_v2p1,1624_Imhotep_v2p1,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Objects\Characters\npc\Supernatural\imhotepnomad\imhotepnomad.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_exhausted_idle.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Timelines\EmptyTimeline.timeline,!SwapActive_1624_Imhotep_v2p1_On,0,0,0.05,0,0,0,Timelines\EmptyTimeline.timeline,SwapActive_1624_Imhotep_v2p1_On,SwapActive_1624_Imhotep_v2p1_On,,0,0,0.05,0.5,0,0.5,,
1624_Imhotep_v4p2,1624_Imhotep_v4p2,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhoteproyal\imhoteproyal.cdf,Objects\Characters\npc\Supernatural\imhoteproyal\imhoteproyal.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\curve_left_130_stairs_walkaway.timeline,!SwapActive_1624_Imhotep_v4p2_On,0,0,0.05,6,1,7,Timelines\EmptyTimeline.timeline,SwapActive_1624_Imhotep_v4p2_On,SwapActive_1624_Imhotep_v4p2_On,,0,0,0.05,0,0,0,,
1624_Imhotep_v4p4_A,1624_Imhotep_v4p4,@1624_Imhotep,Objects\Characters\npc\Supernatural\imhoteproyal\imhoteproyal.cdf,Objects\Characters\npc\Supernatural\imhoteproyal\imhoteproyal.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_55_left_nt_walkaway.timeline,!SwapActive_1624_Imhotep_v4p4_A_On,0,0,0.05,6,1,7,Timelines\EmptyTimeline.timeline,SwapActive_1624_Imhotep_v4p4_A_On,SwapActive_1624_Imhotep_v4p4_A_On,,0,0,0.05,0.5,0,0.5,,
1664_Aban,1664_Aban,@1664_Aban,Objects\Characters\npc\Settlements\1664_Aban.cdf,Objects\Characters\npc\Settlements\1664_Aban.cdf,Libs\Timeline\Npc\unarmed_deaths_door_onback_bye.timeline,Libs\Timeline\Npc\unarmed_deaths_door_onback_greet.timeline,Libs\Timeline\Npc\unarmed_deaths_door_onback_idle.timeline,Libs\Timeline\Npc\unarmed_deaths_door_onback_interact.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\onback_idle_death_vfx.timeline,!SwapActive_1664_Aban_On,0,0,0.05,4,2,6,Timelines\EmptyTimeline.timeline,SwapActive_1664_Aban_On,SwapActive_1664_Aban_On,,0,0.05,0.05,1,0,1.1,,
06_YelenaPajitnova_02,06_YelenaPajitnova02,@06_YelenaPajitnova,Objects\Characters\npc\Settlements\0611_stranger.cdf,Objects\Characters\npc\Settlements\0611_stranger.cdf,Libs\Timeline\Npc\settle_strgr_pajitnova_exit_01.timeline,Libs\Timeline\Npc\settle_strgr_pajitnova_intro_01.timeline,Libs\Timeline\Npc\settle_strgr_pajitnova_ambient_01.timeline,Libs\Timeline\Npc\settle_strgr_pajitnova_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_25_left_walkaway.timeline,06A_P_03 && !SwapActive_06_YelenaPajitnova_B,0,0,0.05,11,1,12,Timelines\EmptyTimeline.timeline,!(06A_P_03 && !SwapActive_06_YelenaPajitnova_B),!(06A_P_03 && !SwapActive_06_YelenaPajitnova_B),,0,0.05,0.05,1,0,1,,
06_RoyaHakimi_02,06_RoyaHakimi02,@06_RoyaHakimi,Objects\Characters\npc\Settlements\06_Roya.cdf,Objects\Characters\npc\Settlements\06_Roya.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_25_right_walkaway.timeline,(06A_IR_02 && SwapActive_06_Roya_B),0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,!(06A_IR_02 && SwapActive_06_Roya_B),!(06A_IR_02 && SwapActive_06_Roya_B),,0,0.05,0.05,1,0,1,,
06_MargotEmerson_01,06_MargotEmerson01,@06_MargotEmerson,Objects\Characters\npc\Settlements\06a_Margot.cdf,Objects\Characters\npc\Settlements\06a_Margot.cdf,Libs\Timeline\Npc\settle_alchemist_exit_01.timeline,Libs\Timeline\Npc\settle_alchemist_intro_01.timeline,Libs\Timeline\Npc\settle_alchemist_ambient_01.timeline,Libs\Timeline\Npc\settle_alchemist_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\turn_25_right_walkaway.timeline,06A_Z_02,0,0,0.05,9,1,10,Timelines\EmptyTimeline.timeline,!06A_Z_02,!06A_Z_02,,0,0.05,0.05,1,0,0,,
06_GideonStormsbane_01,06_GideonStormsbane01,@06_GideonStormsbane,Objects\Characters\npc\Settlements\06a_Gideon.cdf,Objects\Characters\npc\Settlements\06a_Gideon.cdf,Libs\Timeline\Npc\settle_magistrate_exit_01.timeline,Libs\Timeline\Npc\settle_magistrate_intro_01.timeline,Libs\Timeline\Npc\settle_magistrate_ambient_01.timeline,Libs\Timeline\Npc\settle_magistrate_interact_01.timeline,,,,,,,,,,,,Libs\Timeline\Npc\Walkaways\unique_jump_railing_walkaway.timeline,SwapActive_06_Gideon_A,0,0,0.05,3,1,4,Timelines\EmptyTimeline.timeline,!SwapActive_06_Gideon_A,!SwapActive_06_Gideon_A,,0,0.05,0.05,1,0,0,,
