VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,DepletedVFX_Quest,DepletedVFX_Quest_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,IsStateControlledBySlayerScript,RequireLoS,RequiredAchievement,AudioPreload_gathering,SFX_gathering,SFX_depleted_idle_play,SFX_depleted_idle_stop,AudioPreload_Depleted_idle,AudioPreload_idle,ScriptDiscoveryTag,ScriptSpawnerId
9801_PKTraceAbsorberA_04,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_04,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_04,true,,,,,,,,,,,,,
9801_PKTraceAbsorberA_05,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_05,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_05,true,,,,,,,,,,,,,
9801_PKTraceAbsorberA_06,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_00.dynamicslice,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberA_01.dynamicslice,,,9801_PKTraceAbsorberA_06,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberA_06,true,,,,,,,,,,,,,
9801_PKTraceAbsorberB,slices\WorldEvents\Missions\Interact\PKTraceAbsorber\WorldEvent_Object_9801_PKTraceAbsorberB_00.dynamicslice,,,,9801_PKTraceAbsorberB,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_9801_PKTraceAbsorberB,true,,,,,,,,,,,,,
9802_DryadTerminusPool,,,,slices\WorldEvents\Missions\Interact\DryadTerminusPool\WorldEvent_Object_9802_DryadTerminusPool_01.dynamicslice,9802_DryadTerminusPool,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,1,,,cFX_Loot.Loot_Quest_Medium_Depleted,1,,,,,IO_9802_DryadTerminusPool,true,,,,,,,,,,,,,
0301_BuriedChest,slices\WorldEvents\GreatCleave\Interact\BuriedChest\WorldEvent_Object_0301_BuriedChest_01.dynamicslice,slices\WorldEvents\GreatCleave\Interact\BuriedChest\WorldEvent_Object_0301_BuriedChest_02.dynamicslice,,,0301_BuriedChest,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0301_BuriedChest,true,,,,,,,,,,,,,
0301_BuriedChestA,slices\WorldEvents\GreatCleave\Interact\BuriedChest\WorldEvent_Object_0301_BuriedChest_01.dynamicslice,slices\WorldEvents\GreatCleave\Interact\BuriedChest\WorldEvent_Object_0301_BuriedChest_02.dynamicslice,,,0301_BuriedChestA,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0301_BuriedChestA,true,,,,,,,,,,,,,
0302_HidingBarrel,slices\WorldEvents\GreatCleave\Interact\HidingBarrel\WorldEvent_Object_0302_HidingBarrel_00.dynamicslice,slices\WorldEvents\GreatCleave\Interact\HidingBarrel\WorldEvent_Object_0302_HidingBarrel_01.dynamicslice,slices\WorldEvents\GreatCleave\Interact\HidingBarrel\WorldEvent_Object_0302_HidingBarrel_02.dynamicslice,,0302_HidingBarrel,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0302_HidingBarrel,true,,,,,,,,,,,,,
0302_HidingBarrelA,slices\WorldEvents\GreatCleave\Interact\HidingBarrel\WorldEvent_Object_0302_HidingBarrel_00.dynamicslice,slices\WorldEvents\GreatCleave\Interact\HidingBarrel\WorldEvent_Object_0302_HidingBarrel_01.dynamicslice,slices\WorldEvents\GreatCleave\Interact\HidingBarrel\WorldEvent_Object_0302_HidingBarrel_02.dynamicslice,,0302_HidingBarrelA,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0302_HidingBarrelA,true,,,,,,,,,,,,,
0303_StatueAzothOrbA,slices\WorldEvents\GreatCleave\Interact\StatueAzothOrbA\WorldEvent_Object_0303_StatueAzothOrbA_00.dynamicslice,,,slices\WorldEvents\GreatCleave\Interact\StatueAzothOrbA\WorldEvent_Object_0303_StatueAzothOrbA_01.dynamicslice,0303_StatueAzothOrbA,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0303_StatueAzothOrbA,true,,,,,,,,,,,,,
0304_StatueAzothOrbB,slices\WorldEvents\GreatCleave\Interact\StatueAzothOrbB\WorldEvent_Object_0304_StatueAzothOrbB_00.dynamicslice,,,slices\WorldEvents\GreatCleave\Interact\StatueAzothOrbB\WorldEvent_Object_0304_StatueAzothOrbB_01.dynamicslice,0304_StatueAzothOrbB,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0304_StatueAzothOrbB,true,,,,,,,,,,,,,
0305_StatueAzothOrbC,slices\WorldEvents\GreatCleave\Interact\StatueAzothOrbC\WorldEvent_Object_0305_StatueAzothOrbC_00.dynamicslice,,,slices\WorldEvents\GreatCleave\Interact\StatueAzothOrbC\WorldEvent_Object_0305_StatueAzothOrbC_01.dynamicslice,0305_StatueAzothOrbC,0.5,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0305_StatueAzothOrbC,true,,,,,,,,,,,,,
0306_CorrRitualPillar,slices\WorldEvents\GreatCleave\Interact\CorrRitualPillar\WorldEvent_Object_0306_CorrRitualPillar_00.dynamicslice,,,slices\WorldEvents\GreatCleave\Interact\CorrRitualPillar\WorldEvent_Object_0306_CorrRitualPillar_01.dynamicslice,0306_CorrRitualPillar,1,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Medium,2,,,env_darkness_grove.Minor.Main_DES_Expl,,,,,,IO_0306_CorrRitualPillar,true,,,,,,,,,,,,,
0330_0103_MardeaShield_IO,slices\WorldEvents\GreatCleave\Interact\Pieces\WorldEvent_Object_0330_0103_Shield.dynamicslice,,,,0330_0103_MardeaShield_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0330_0103_MardeaShield,true,,,,true,,,,,,,,,
0330_0103_HanuSpear_IO,slices\WorldEvents\GreatCleave\Interact\Pieces\WorldEvent_Object_0330_0103_Spear.dynamicslice,,,,0330_0103_HanuSpear_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0330_0103_HanuSpear,true,,,,,,,,,,,,,
0330_0103_TopalianHelm_IO,slices\WorldEvents\GreatCleave\Interact\Pieces\WorldEvent_Object_0330_0103_Helm.dynamicslice,,,,0330_0103_TopalianHelm_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0330_0103_TopalianHelm,true,,,,,,,,,,,,,
0330_0103_KaipoAxe_IO,slices\WorldEvents\GreatCleave\Interact\Pieces\WorldEvent_Object_0330_0103_Axe.dynamicslice,,,,0330_0103_KaipoAxe_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0330_0103_KaipoAxe,true,,,,,,,,,,,,,
0333_0104_WishingTree_IO,,slices\WorldEvents\GreatCleave\Interact\Poppet\WorldEvent_Object_0333_0104_WishingTree.dynamicslice,,,0333_0104_WishingTree_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0333_0104_WishingTree,true,,,,,,,,,,,,,
0330_0102_SketchingA_IO,slices\WorldEvents\GreatCleave\Interact\Mapping\WorldEvent_Object_0330_0102_SketchPoint.dynamicslice,,,,0330_0102_SketchingA_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0330_0102_SketchingA,true,,,,,,,,,,,,,
0330_0102_SketchingB_IO,slices\WorldEvents\GreatCleave\Interact\Mapping\WorldEvent_Object_0330_0102_SketchPoint.dynamicslice,,,,0330_0102_SketchingB_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0330_0102_SketchingB,true,,,,,,,,,,,,,
0330_0102_SketchingC_IO,slices\WorldEvents\GreatCleave\Interact\Mapping\WorldEvent_Object_0330_0102_SketchPoint.dynamicslice,,,,0330_0102_SketchingC_IO,0.3,3.25,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0330_0102_SketchingC,true,,,,,,,,,,,,,
SwapActive_0335_Beast_Original,slices\Characters\Mission\SliceSwaps\NPC_0335_Beast.dynamicslice,,,,SliceSwap_NonInstanced,1,3.25,2.5,5,,,,,,,,,,,,,,,false,SwapActive_0335_Beast_Original,,,,,,,,,,,,
SwapActive_0332_Furrier00,slices\Characters\Mission\SliceSwaps\NPC_0332_Furrier00.dynamicslice,,,,SliceSwap_NonInstanced,1,3.25,2.5,5,,,,,,,,,,,,,,,false,SwapActive_0332_Furrier00,,,,,,,,,,,,
SwapActive_0332_Furrier01,,slices\Characters\Mission\SliceSwaps\NPC_0332_Furrier01.dynamicslice,,,SliceSwap_NonInstanced,1,3.25,2.5,5,,,,,,,,,,,,,,,false,SwapActive_0332_Furrier01,Depleted,,,,,,,,,,,
SwapActive_0332_Furrier02,,slices\Characters\Mission\SliceSwaps\NPC_0332_Furrier02.dynamicslice,,,SliceSwap_NonInstanced,1,3.25,2.5,5,,,,,,,,,,,,,,,false,SwapActive_0332_Furrier02,Depleted,,,,,,,,,,,
0425_Truffle,slices\POIs\Assembly\QuestAssets\jav_prp_truffle_healthy.dynamicslice,slices\POIs\Assembly\QuestAssets\prp_truffle_picked.dynamicslice,,,0425_Truffle,0.3,1.85,2.5,5,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_0425_Truffle,true,,,,,,,,,,,,,
0404_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0404_CorruptedNoduleA,1.5,4,10,5,,,,,,,,,,,,,,IO_0404_CorruptedNoduleA,true,,,,,,,,,,,,,
0404_CorruptedNoduleB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0404_CorruptedNoduleB,1.5,4,10,5,,,,,,,,,,,,,,IO_0404_CorruptedNoduleB,true,,,,,,,,,,,,,
0404_CorruptedNoduleC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0404_CorruptedNoduleC,1.5,4,10,5,,,,,,,,,,,,,,IO_0404_CorruptedNoduleC,true,,,,,,,,,,,,,
0404_CorruptedNoduleD,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0404_CorruptedNoduleD,1.5,4,10,5,,,,,,,,,,,,,,IO_0404_CorruptedNoduleD,true,,,,,,,,,,,,,
0604_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleA,1.5,4,10,5,,,,,,,,,,,,,,IO_0604_CorruptedNoduleA,true,,,,,,,,,,,,,
0604_CorruptedNoduleB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleB,1.5,4,10,5,,,,,,,,,,,,,,IO_0604_CorruptedNoduleB,true,,,,,,,,,,,,,
0604_CorruptedNoduleC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleC,1.5,4,10,5,,,,,,,,,,,,,,IO_0604_CorruptedNoduleC,true,,,,,,,,,,,,,
0604_CorruptedNoduleD,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0604_CorruptedNoduleD,1.5,4,10,5,,,,,,,,,,,,,,IO_0604_CorruptedNoduleD,true,,,,,,,,,,,,,
0904_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleA,1.5,4,10,5,,,,,,,,,,,,,,IO_0904_CorruptedNoduleA,true,,,,,,,,,,,,,
0904_CorruptedNoduleB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleB,1.5,4,10,5,,,,,,,,,,,,,,IO_0904_CorruptedNoduleB,true,,,,,,,,,,,,,
0904_CorruptedNoduleC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleC,1.5,4,10,5,,,,,,,,,,,,,,IO_0904_CorruptedNoduleC,true,,,,,,,,,,,,,
0904_CorruptedNoduleD,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleD,1.5,4,10,5,,,,,,,,,,,,,,IO_0904_CorruptedNoduleD,true,,,,,,,,,,,,,
1204_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1204_CorruptedNoduleA,1.5,4,10,5,,,,,,,,,,,,,,IO_1204_CorruptedNoduleA,true,,,,,,,,,,,,,
