VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,InteractPromptRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,AudioPreload_idle,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,DepletedVFX_Quest,DepletedVFX_Quest_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,CollisionAssetOverride,ShouldHaveStaticCollision,Collision_Offset_Z,VisualHealthy_Offset_Z,IsStateControlledBySlayerScript,Collision_Scale_X,Collision_Scale_Y,Collision_Scale_Z,Force_Display_Health_Bar,Marker_Creature_Type_Override,Marker_Vertical_Offset
0904_CorruptedNoduleC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleC,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0904_CorruptedNoduleC,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
0904_CorruptedNoduleD,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,0904_CorruptedNoduleD,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_0904_CorruptedNoduleD,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
1204_CorruptedNoduleA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1204_CorruptedNoduleA,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_1204_CorruptedNoduleA,false,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
1204_CorruptedNoduleB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1204_CorruptedNoduleB,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_1204_CorruptedNoduleB,false,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
1204_CorruptedNoduleC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1204_CorruptedNoduleC,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_1204_CorruptedNoduleC,false,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
1204_CorruptedNoduleD,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1204_CorruptedNoduleD,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_1204_CorruptedNoduleD,false,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,1.5,,,,,,,,
1127_MalignNodeA,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1127_MalignNodeA,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_1127_MalignNodeA,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,,,,,,,,,
1127_MalignNodeB,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1127_MalignNodeB,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_1127_MalignNodeB,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,,,,,,,,,
1127_MalignNodeC,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Healthy.dynamicslice,slices\WorldEvents\Shared\WorldEvent_Object_Onboarding_CorruptedNodule_Visual_Depleted.dynamicslice,,,1127_MalignNodeC,3,5,10,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Corruption_Beam_A,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,1.5,env_darkness.Core.Core_death01,1.5,cFX_Loot.Loot_Quest_Small_Depleted,,env_darkness.Core.Core_minor_monolith_gather01,1.5,,,IO_1127_MalignNodeC,true,,,Objects\Crafting\BaseMaterials\BaseSphere.cgf,,,,,,,,,,
MSQ_0008_ClearingVines_A,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_A.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Depleted.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_A.dynamicslice,,MSQ_0008_ClearingVines_A,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_MSQ_0008_ClearingVines_A,true,,,Objects\nature\veg_bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_b.cgf,,-0.5,,,,,,,,
MSQ_0008_ClearingVines_B,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Fake.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Depleted.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Fake.dynamicslice,,MSQ_0008_ClearingVines_B,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0008_ClearingVines_B,true,,,Objects\Crafting\Architecture\Ancient_Crater_bridge_broken\jav_struc_ruins_Crater_mileMarker_b_btm_Brk_02.cgf,,,,,,,,,,
MSQ_0008_ClearingVines_C,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_C.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Depleted.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_C.dynamicslice,,MSQ_0008_ClearingVines_C,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_MSQ_0008_ClearingVines_C,true,,,Objects\nature\veg_bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_b.cgf,,-0.5,,,,,,,,
MSQ_0008_ClearingVines_D,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Fake.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Depleted.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Fake.dynamicslice,,MSQ_0008_ClearingVines_D,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0008_ClearingVines_D,true,,,Objects\Crafting\Architecture\Ancient_Crater_bridge_broken\jav_struc_ruins_Crater_mileMarker_b_btm_Brk_02.cgf,,,,,,,,,,
MSQ_0008_ClearingVines_E,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_E.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Depleted.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_E.dynamicslice,,MSQ_0008_ClearingVines_E,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_MSQ_0008_ClearingVines_E,true,,,Objects\nature\veg_bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_b.cgf,,-0.5,,,,,,,,
MSQ_0008_ClearingVines_F,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Fake.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Depleted.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Fake.dynamicslice,,MSQ_0008_ClearingVines_F,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_MSQ_0008_ClearingVines_F,true,,,Objects\Crafting\Architecture\Ancient_Crater_bridge_broken\jav_struc_ruins_Crater_mileMarker_b_btm_Brk_02.cgf,,,,,,,,,,
1625_0201_ImhotepCageNoduleB1,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_Driftwood_Nodule_Open.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_Driftwood_Nodule_Destroy.dynamicslice,,,1625_0201_ImhotepCageNoduleB1,10,10,15,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_1625_0201_ImhotepCageNoduleB1,true,,,Objects\Landmarks\Corruption_Core\jav_lm_corruption_core_a.cgf,,,,,,,,,,
1625_0201_ImhotepCageNoduleB2,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_Driftwood_Nodule_Open.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_Driftwood_Nodule_Destroy.dynamicslice,,,1625_0201_ImhotepCageNoduleB2,10,10,15,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_1625_0201_ImhotepCageNoduleB2,true,,,Objects\Landmarks\Corruption_Core\jav_lm_corruption_core_a.cgf,,,,,,,,,,
1625_0201_ImhotepCageNoduleB3,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_Driftwood_Nodule_Open.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_Driftwood_Nodule_Destroy.dynamicslice,,,1625_0201_ImhotepCageNoduleB3,10,10,15,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_1625_0201_ImhotepCageNoduleB3,true,,,Objects\Landmarks\Corruption_Core\jav_lm_corruption_core_a.cgf,,,,,,,,,,
1624_0301_AEAncientChargerA,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_00.dynamicslice,slices\InteractObjects\Brimstone\IO_Brim_SeedPod_PowerDevice_B_001.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_00.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_base00.dynamicslice,1624_0301_AEAncientChargerA,5,8,12,,,,,,,env_brimstonedungeon.Forge_Active,4.5,cfx_npc_ancient_heavy.Heavy_Jump_Wave,4.5,,,,,IO_1624_0301_AEAncientChargerA,true,,,Objects\default\primitive_cylinder.cgf,,,,,2.5,2.5,5,,,
1624_0301_AEAncientChargerB,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_00.dynamicslice,slices\InteractObjects\Brimstone\IO_Brim_SeedPod_PowerDevice_B_001.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_00.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_base00.dynamicslice,1624_0301_AEAncientChargerB,5,8,12,,,,,,,env_brimstonedungeon.Forge_Active,4.5,cfx_npc_ancient_heavy.Heavy_Jump_Wave,4.5,,,,,IO_1624_0301_AEAncientChargerB,true,,,Objects\default\primitive_cylinder.cgf,,,,,2.5,2.5,5,,,
1624_0301_AEAncientChargerC,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_00.dynamicslice,slices\InteractObjects\Brimstone\IO_Brim_SeedPod_PowerDevice_B_001.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_00.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\IO_Brim_SeedPod_PowerDevice_base00.dynamicslice,1624_0301_AEAncientChargerC,5,8,12,,,,,,,env_brimstonedungeon.Forge_Active,4.5,cfx_npc_ancient_heavy.Heavy_Jump_Wave,4.5,,,,,IO_1624_0301_AEAncientChargerC,true,,,Objects\default\primitive_cylinder.cgf,,,,,2.5,2.5,5,,,
1624_0302_SealedClayVessel,,,,,1624_0302_SealedClayVessel,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_1624_0302_SealedClayVessel,true,,,Objects\Landmarks\Corruption_Core\jav_lm_corruption_core_a.cgf,,,,,,,,,,
1624_0401_DiskAtumDamageA,slices\WorldEvents\BrimstoneSands\Interact\WorldEvent_Object_1624_DiskAtum_01.dynamicslice,slices\WorldEvents\BrimstoneSands\Interact\WorldEvent_Object_1624_DiskAtum_04.dynamicslice,,,1624_0401_DiskAtumDamageA,3,5,10,,,,,cFX_Loot.Loot_Quest_Small,-0.25,,,cFX_Loot.Loot_Quest_Small_Depleted,-0.25,,,,,IO_1624_0401_DiskAtumDamageA,true,,,Objects\nature\Rock_Crystal\CrystalM.cgf,,,,,,,,,,
1624_1001_VineWall,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_A.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Depleted.dynamicslice,slices/WorldEvents/MainStoryQuest/ObscuringVines/WorldEvent_Object_MSQ_0008_ObscuringVine_Actual_A.dynamicslice,,1624_1001_VineWall,3,5,10,,,,,,,,,,,,,,,IO_1624_1001_VineWall,true,,,Objects\nature\veg_bushes\Bushes_Forest\Cranberry\jav_fst_cranberrybush_b.cgf,,-0.5,,,,,,,,
