VariantID,StartMesh,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,AudioPreload_loop,AudioPreload_Burst_1,AudioPreload_Burst_2,AudioPreload_Burst_3,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,SFX_Burst_1,SFX_Burst_2,SFX_Burst_3,VFX_Burst_1,VFX_Burst_2,VFX_Burst_3,DepletedVFX,DepletedMesh,StartMeshLOD,EndMeshLOD,ShowOnMap,ShowOnCompass,MapIcon,CompassIcon,TradeskillIconUnlockType,MapTooltipTitleLocTag,MarkerRadius,EnableBurstParticle1,EnableBurstParticle2,EnableBurstParticle3,InteractionMarker_Offset_X,InteractionMarker_Offset_Y,InteractionMarker_Offset_Z
WaterStone,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_water.cgf,WaterStone,1,2.25,2.5,Gath_Alchemy_Water_Stone,Gath_Alchemy_Water_Stone,Gath_Alchemy_Water_Stone,Gath_Alchemy_Water_Stone,,Play_Gather_Stones,Play_Alchemy_Water_Stone_Lp,Gatherable_Alchemy_Stone.Ambience.Stone_Water_Idle01,,,,Gatherable_Alchemy_Stone.Ambience.Stone_Water_Burst01,Gatherable_Alchemy_Stone.Ambience.Stone_Water_Burst02,Gatherable_Alchemy_Stone.Ambience.Stone_Water_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Water_Deplete01,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_water_pedestal.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Water_Stone_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Water_Stone_Compass.png,Alchemy2,@WaterStone_DisplayName,3.75,false,false,false,,,
LifeStone,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_life.cgf,LifeStone,1,2.25,2.5,Gath_Alchemy_Life_Stone,Gath_Alchemy_Life_Stone,Gath_Alchemy_Life_Stone,Gath_Alchemy_Life_Stone,,Play_Gather_Stones,Play_Alchemy_Life_Stone_Lp,Gatherable_Alchemy_Stone.Ambience.Stone_Life_Idle01,,,,Gatherable_Alchemy_Stone.Ambience.Stone_Life_Burst01,Gatherable_Alchemy_Stone.Ambience.Stone_Life_Burst02,Gatherable_Alchemy_Stone.Ambience.Stone_Life_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Life_Deplete01,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_life_pedestal.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Life_Stone_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Life_Stone_Compass.png,Alchemy2,@LifeStone_DisplayName,3.75,false,false,false,,,
DeathStone,Objects\Alchemy\Stone\jav_prp_alchemy_magic_stone_a.cgf,DeathStone,1,2.25,2.5,Gath_Alchemy_Death_Stone,Gath_Alchemy_Death_Stone,Gath_Alchemy_Death_Stone,Gath_Alchemy_Death_Stone,,Play_Gather_Stones,Play_Alchemy_Death_Stone_Lp,Gatherable_Alchemy_Stone.Ambience.Stone_Death_Idle01,,,,Gatherable_Alchemy_Stone.Ambience.Stone_Death_Burst01,Gatherable_Alchemy_Stone.Ambience.Stone_Death_Burst02,Gatherable_Alchemy_Stone.Ambience.Stone_Death_Burst03,Gatherable_Alchemy_Stone.Ambience.Stone_Death_Deplete01,Objects\Alchemy\Stone\jav_prp_alchemy_stone_base.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Death_Stone_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Death_Stone_Compass.png,Alchemy2,@DeathStone_DisplayName,3.75,false,false,false,,,
SoulStone,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_soul.cgf,SoulStone,1,2.25,2.5,Gath_Alchemy_Soul_Stone,Gath_Alchemy_Soul_Stone,Gath_Alchemy_Soul_Stone,Gath_Alchemy_Soul_Stone,,Play_Gather_Stones,Play_Alchemy_Soul_Stone_Lp,Gatherable_Alchemy_Stone.Ambience.Stone_Soul_Idle01,,,,Gatherable_Alchemy_Stone.Ambience.Stone_Soul_Burst01,Gatherable_Alchemy_Stone.Ambience.Stone_Soul_Burst02,Gatherable_Alchemy_Stone.Ambience.Stone_Soul_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Soul_Deplete01,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_soul_pedestal.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Spirit_Stone_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Spirit_Stone_Compass.png,Alchemy2,@SoulStone_DisplayName,3.75,false,false,false,,,
EarthBoid,Objects\Alchemy\Creature\jav_prp_alchemy_creaturemagic_earth.cgf,EarthBoid,2.25,2.5,4,Gath_Alchemy_Earth_Boid,Gath_Alchemy_Earth_Boid,Gath_Alchemy_Earth_Boid,Gath_Alchemy_Earth_Boid,gathering,Play_Gather_EarthBoid,Play_Alchemy_Earth_Boid_Lp,Gatherable_Alchemy_Boid.Ambience.Boid_Earth_Idle01,,,,Gatherable_Alchemy_Boid.Ambience.Boid_Earth_Burst01,Gatherable_Alchemy_Boid.Ambience.Boid_Earth_Burst02,Gatherable_Alchemy_Boid.Ambience.Boid_Earth_Burst03,Gatherable_Alchemy_Boid.Ambience.Boid_Earth_Deplete01,Objects\Alchemy\Creature\jav_prp_alchemy_pedestal_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Earth_Boid_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Earth_Boid_Compass.png,Alchemy3,@EarthBoid_DisplayName,4,false,false,false,0.7236,0.0554,0.2
FireBoid,Objects\Alchemy\Creature\jav_prp_alchemy_creaturemagic_fire.cgf,FireBoid,2.25,2.5,4,Gath_Alchemy_Fire_Boid_Lp,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid_Lp,Gatherable_Alchemy_Boid.Ambience.Boid_Fire_Idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Gatherable_Alchemy_Boid.Ambience.Boid_Fire_Burst01,Gatherable_Alchemy_Boid.Ambience.Boid_Fire_Burst02,Gatherable_Alchemy_Boid.Ambience.Boid_Fire_Burst03,Gatherable_Alchemy_Boid.Ambience.Boid_Fire_Deplete01,Objects\Alchemy\Creature\jav_prp_alchemy_pedestal_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Fire_Boid_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Fire_Boid_Compass.png,Alchemy3,@FireBoid_DisplayName,4,false,false,false,0.5254,0.0612,0.2
AirBoid,Objects\Alchemy\Creature\jav_prp_alchemy_creaturemagic_air.cgf,AirBoid,2.25,2.5,4,Gath_Alchemy_Air_Boid_Lp,Gath_Alchemy_Air_Boid,Gath_Alchemy_Air_Boid,Gath_Alchemy_Air_Boid,Gath_Alchemy_Air_Boid,Play_Alchemy_Air_Boid,Play_Alchemy_Air_Boid_Lp,Gatherable_Alchemy_Boid.Ambience.Boid_Air_Idle01,Play_Alchemy_Air_Sparks_Boid_01,Play_Alchemy_Air_Sparks_Boid_02,Play_Alchemy_Air_Sparks_Boid_03,Gatherable_Alchemy_Boid.Ambience.Boid_Air_Burst01,Gatherable_Alchemy_Boid.Ambience.Boid_Air_Burst02,Gatherable_Alchemy_Boid.Ambience.Boid_Air_Burst03,Gatherable_Alchemy_Boid.Ambience.Boid_Air_Deplete01,Objects\Alchemy\Creature\jav_prp_alchemy_pedestal_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Wind_Boid_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Wind_Boid_Compass.png,Alchemy3,@AirBoid_DisplayName,4,false,false,false,0.8867,0.0762,0.1
WaterBoid,Objects\Alchemy\Creature\jav_prp_alchemy_creaturemagic_water.cgf,WaterBoid,2.25,2.5,4,Gath_Alchemy_Water_Boid,Gath_Alchemy_Water_Boid,Gath_Alchemy_Water_Boid,Gath_Alchemy_Water_Boid,gathering,Play_Gather_SpineFish,Play_Alchemy_Water_Boid_Lp,Gatherable_Alchemy_Boid.Ambience.Boid_Water_Idle01,,,,Gatherable_Alchemy_Boid.Ambience.Boid_Water_Burst01,Gatherable_Alchemy_Boid.Ambience.Boid_Water_Burst02,Gatherable_Alchemy_Boid.Ambience.Boid_Water_Burst03,Gatherable_Alchemy_Boid.Ambience.Boid_Water_Deplete01,Objects\Alchemy\Creature\jav_prp_alchemy_pedestal_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Water_Boid_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Water_Boid_Compass.png,Alchemy3,@WaterBoid_DisplayName,4,false,false,false,1.0654,-0.0549,0.35
LifeBoid,Objects\Alchemy\Creature\jav_prp_alchemy_creaturemagic_life.cgf,LifeBoid,2.25,2.5,4,Gath_Alchemy_Life_Boid_Lp,Gath_Alchemy_Life_Boid,Gath_Alchemy_Life_Boid,Gath_Alchemy_Life_Boid,gathering,Play_Gather_LifeMoth,Play_Alchemy_Life_Boid_Lp,Gatherable_Alchemy_Boid.Ambience.Boid_Life_Idle01,Play_Alchemy_Life_Boid,Play_Alchemy_Life_Boid,Play_Alchemy_Life_Boid,Gatherable_Alchemy_Boid.Ambience.Boid_Life_Burst01,Gatherable_Alchemy_Boid.Ambience.Boid_Life_Burst02,Gatherable_Alchemy_Boid.Ambience.Boid_Life_Burst03,Gatherable_Alchemy_Boid.Ambience.Boid_Life_Deplete01,Objects\Alchemy\Creature\jav_prp_alchemy_pedestal_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Life_Boid_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Life_Boid_Compass.png,Alchemy3,@LifeBoid_DisplayName,4,false,false,false,0.9551,0.0762,
DeathBoid,Objects\Alchemy\Creature\jav_prp_alchemy_creaturemagic_death.cgf,DeathBoid,2.25,2.5,4,Gath_Alchemy_Death_Boid,Gath_Alchemy_Death_Boid,Gath_Alchemy_Death_Boid,Gath_Alchemy_Death_Boid,gathering,Play_Gather_LifeMoth,Play_Alchemy_Death_Boid_Lp,Gatherable_Alchemy_Boid.Ambience.Boid_Death_Idle01,,,,Gatherable_Alchemy_Boid.Ambience.Boid_Death_Burst01,Gatherable_Alchemy_Boid.Ambience.Boid_Death_Burst02,Gatherable_Alchemy_Boid.Ambience.Boid_Death_Burst03,Gatherable_Alchemy_Boid.Ambience.Boid_Death_Deplete01,Objects\Alchemy\Creature\jav_prp_alchemy_pedestal_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Death_Boid_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Death_Boid_Compass.png,Alchemy3,@DeathBoid_DisplayName,4,false,false,false,0.6807,0.1241,0.1
SoulBoid,Objects\Alchemy\Creature\jav_prp_alchemy_creaturemagic_soul.cgf,SoulBoid,2.25,2.5,4,Gath_Alchemy_Soul_Boid_Lp,Gath_Alchemy_Soul_Boid,Gath_Alchemy_Soul_Boid,Gath_Alchemy_Soul_Boid,gathering,Play_Gather_LifeMoth,Play_Alchemy_Soul_Boid_Lp,Gatherable_Alchemy_Boid.Ambience.Boid_Soul_Idle01,Play_Alchemy_Soul_Boid,Play_Alchemy_Soul_Boid,Play_Alchemy_Soul_Boid,Gatherable_Alchemy_Boid.Ambience.Boid_Soul_Burst01,Gatherable_Alchemy_Boid.Ambience.Boid_Soul_Burst02,Gatherable_Alchemy_Boid.Ambience.Boid_Soul_Burst03,Gatherable_Alchemy_Boid.Ambience.Boid_Soul_Deplete01,Objects\Alchemy\Creature\jav_prp_alchemy_pedestal_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Spirit_Boid_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Spirit_Boid_Compass.png,Alchemy3,@SoulBoid_DisplayName,4,false,false,false,1.126,-0.1297,0.35
Hyssop_A,Objects\Nature\Veg_Bushes\Bushes_Resources\Hyssop\jav_rsrc_hyssop_a.cgf,HerbLarge,0,2,1,,,,,,Play_Gather_Bush_Sml,,Gatherable_Bush.Ambience.Hyssop_A,,,,,,,Gatherable_Bush.Demolish.Hyssop_A,Objects\Nature\Veg_Bushes\Bushes_Resources\Hyssop\jav_rsrc_hyssop_pick_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,Alchemy3,@HerbSmall_DisplayName,3.5,false,false,false,,,
Hyssop_B,Objects\Nature\Veg_Bushes\Bushes_Resources\Hyssop\jav_rsrc_hyssop_b.cgf,HerbMedium,0,2,1,,,,,,Play_Gather_Bush_Sml,,Gatherable_Bush.Ambience.Hyssop_B,,,,,,,Gatherable_Bush.Demolish.Hyssop_B,Objects\Nature\Veg_Bushes\Bushes_Resources\Hyssop\jav_rsrc_hyssop_pick_b.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,Alchemy3,@HerbSmall_DisplayName,5.7,false,false,false,,,
Hyssop_C,Objects\Nature\Veg_Bushes\Bushes_Resources\Hyssop\jav_rsrc_hyssop_c.cgf,HerbSmall,0,2,1,,,,,,Play_Gather_Bush_Sml,,Gatherable_Bush.Ambience.Hyssop_C,,,,,,,Gatherable_Bush.Demolish.Hyssop_C,Objects\Nature\Veg_Bushes\Bushes_Resources\Hyssop\jav_rsrc_hyssop_pick_c.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,Alchemy3,@HerbSmall_DisplayName,4.2,false,false,false,,,
Ocotillo_Herb_A,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_a.cgf,HerbLarge,0,2,1,,,,,,Play_Gather_Bush_Sml,,Gatherable_Bush.Ambience.Hyssop_A,,,,,,,Gatherable_Bush.Demolish.Hyssop_A,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_pick_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,Alchemy3,@HerbSmall_DisplayName,3.5,false,false,false,,,
Ocotillo_Herb_B,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_b.cgf,HerbMedium,0,2,1,,,,,,Play_Gather_Bush_Sml,,Gatherable_Bush.Ambience.Hyssop_B,,,,,,,Gatherable_Bush.Demolish.Hyssop_B,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_pick_b.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,Alchemy3,@HerbSmall_DisplayName,5.7,false,false,false,,,
Ocotillo_Herb_C,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_c.cgf,HerbSmall,0,2,1,,,,,,Play_Gather_Bush_Sml,,Gatherable_Bush.Ambience.Hyssop_C,,,,,,,Gatherable_Bush.Demolish.Hyssop_C,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_pick_c.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,Alchemy3,@HerbSmall_DisplayName,4.2,false,false,false,,,
Ocotillo_Herb_D,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_d.cgf,HerbSmall,0,2,1,,,,,,Play_Gather_Bush_Sml,,Gatherable_Bush.Ambience.Hyssop_C,,,,,,,Gatherable_Bush.Demolish.Hyssop_C,Objects/Nature/Veg_Bushes/Bushes_Desert/Ocotillo/jav_dst_occotillo_pick_d.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Herb_Compass.png,Alchemy3,@HerbSmall_DisplayName,4.2,false,false,false,,,
