VariantID,StartMesh,StartMat,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,DepletedVFX,DepletedVFX_Pos,DepletedMesh,DepletedMat,DepletedSpawnVariant,StartMeshLOD,AmbientType,ShowOnCompass,CompassIcon,TradeskillIconUnlockType,MarkerRadius,AllowGatheringInGameModes,InteractionMarker_Offset_X,InteractionMarker_Offset_Y,InteractionMarker_Offset_Z
DamnedTree_bb,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_bb.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.25,1.8,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_bb.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_bb_cuttrunk,55,DeadTree,,,,3.3,,,,
DamnedTree_c,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_c.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.16,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_c.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_c_cuttrunk,55,DeadTree,,,,3.3,,,,
DamnedTree_ca,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_ca.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.1,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_ca.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_ca_cuttrunk,50,DeadTree,,,,3.3,,,,
DamnedTree_cb,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_cb.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.1,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_cb.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_cb_cuttrunk,45,DeadTree,,,,3.3,,,,
DamnedTree_d,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_d.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.08,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_d.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_d_cuttrunk,50,DeadTree,,,,3.3,,,,
OakTree_a,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,TreeHardwoodHuge,2,4.2,2,Gatherable_Tree.Demolish.Break_Tree_A,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,OakTree_a_cuttrunk,190,OakTree,,,,5.7,,,,
OakTree_b,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,TreeHardwoodLarge,1,2.7,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,OakTree_b_cuttrunk,150,OakTree,,,,4.2,,,,
OakTree_c,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,TreeHardwoodLarge,0.6,2.2,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,OakTree_c_cuttrunk,150,OakTree,,,,3.7,,,,
OakTree_d,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,TreeHardwoodMedium,0.47,1.8,2,Gatherable_Tree.Demolish.Break_Tree_D,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,OakTree_d_cuttrunk,150,OakTree,,,,3.3,,,,
OakTree_e,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,TreeHardwoodSmall,0.3,1.8,2,Gatherable_Tree.Demolish.Break_Tree_D,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,OakTree_e_cuttrunk,100,OakTree,,,,3.3,,,,
OakTree_f,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_f.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,TreeHardwoodTiny,0.29,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_stump_f.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_mat.mtl,OakTree_f_cuttrunk,120,OakTree,,,,3.3,,,,
OakTree_Dead_b,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,TreeHardwoodSmall,1,2.5,2,Gatherable_Tree.Demolish.Break_Tree_A,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_stump_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,OakTree_Dead_b_cuttrunk,100,DeadTree,,,,4,,,,
OakTree_Dead_c,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.6,2.5,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_stump_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,OakTree_Dead_c_cuttrunk,100,DeadTree,,,,4,,,,
OakTree_Dead_ca,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_ca.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.6,2,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_stump_ca.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,OakTree_Dead_ca_cuttrunk,100,DeadTree,,,,3.5,,,,
OakTree_Dead_d,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.47,1.8,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_stump_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,OakTree_Dead_d_cuttrunk,100,DeadTree,,,,3.3,,,,
OakTree_Dead_e,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.3,1.8,2,Gatherable_Tree.Demolish.Break_Tree_D,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_stump_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,OakTree_Dead_e_cuttrunk,100,DeadTree,,,,3.3,,,,
OakTree_Dead_f,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_f.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.29,1.8,2,Gatherable_Tree.Demolish.Break_Tree_D,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oaktree_dead_stump_f.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Oak\JAV_Fst_OakTree_Dead_A_mat.mtl,OakTree_Dead_f_cuttrunk,100,DeadTree,,,,3.3,,,,
PineTree_a,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodLarge,0.82,2.4,2,Gatherable_Tree.Demolish.Break_Tree_A,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_a_cuttrunk,180,PineTree,,,,3.9,,,,
PineTree_b,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodLarge,0.59,2.1,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_b_cuttrunk,180,PineTree,,,,3.6,,,,
PineTree_c,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodMedium,0.42,1.8,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_c_cuttrunk,180,PineTree,,,,3.3,,,,
PineTree_d,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodSmall,0.24,1.8,2,Gatherable_Tree.Demolish.Break_Tree_D,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_d_cuttrunk,100,PineTree,,,,3.3,,,,
PineTree_e,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodSmall,0.16,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_e_cuttrunk,80,PineTree,,,,3.3,,,,
PineTree_f,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_f.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodTiny,0.06,1.8,2,Gatherable_Tree.Demolish.Break_Tree_F,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_f.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_f_cuttrunk,65,PineTree,,,,3.3,,,,
PineTree_Dead_a,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_dead_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,TreeHardwoodMedium,0.82,2.4,2,Gatherable_Tree.Demolish.Break_Tree_A,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_deadstump_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,PineTree_Dead_a_cuttrunk,90,DeadTree,,,,3.9,,,,
PineTree_Dead_b,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_dead_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,TreeHardwoodLarge,0.6,2.1,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_deadstump_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,PineTree_Dead_b_cuttrunk,85,DeadTree,,,,3.6,,,,
PineTree_Dead_ba,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_dead_ba.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,TreeHardwoodLarge,0.55,2.1,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_deadstump_ba.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,PineTree_Dead_ba_cuttrunk,100,DeadTree,,,,3.6,,,,
PineTree_Dead_c,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_dead_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.41,1.8,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_deadstump_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,PineTree_Dead_c_cuttrunk,75,DeadTree,,,,3.3,,,,
PineTree_Dead_ca,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_dead_ca.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.39,1.8,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_deadstump_ca.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,PineTree_Dead_ca_cuttrunk,60,DeadTree,,,,3.3,,,,
PineTree_Dead_d,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_dead_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,TreeHardwoodSmall,0.2,1.8,2,Gatherable_Tree.Demolish.Break_Tree_D,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_deadstump_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_Dead_A_mat.mtl,PineTree_Dead_d_cuttrunk,65,DeadTree,,,,3.3,,,,
PineTree_thin_a,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_thin_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodLarge,0.82,2.1,2,Gatherable_Tree.Demolish.Break_Tree_A,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_thin_a_cuttrunk,180,PineTree,,,,3.6,,,,
PineTree_thin_b,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_thin_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodLarge,0.6,1.8,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_thin_b_cuttrunk,180,PineTree,,,,3.3,,,,
PineTree_thin_c,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_thin_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,TreeHardwoodMedium,0.41,1.8,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pinetree_stump_c.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Pine\JAV_Fst_PineTree_A_mat.mtl,PineTree_thin_c_cuttrunk,180,PineTree,,,,3.3,,,,
