VariantID,Visual_Chest,Visual_Loot,GatherableEntryID,LootTableComponent,GatheringRadius,InteractionRadius,DetectableRadius,DepletedPreload,DepletedSFX,DepletedFX,Idle_VFX,MarkerRadius,Name,LoS_Override,MarkerOffset_Z,InteractTag,DepletedFXOffset_Y,DepletedFXOffset_Z,IdleFXOffset_Y,IdleFXOffset_Z,LootLockSlice,Idle_SFX_Preload,Depleted_SFX_Particle_Preload,Depleted_SFX_Offset_Y,Depleted_SFX_Offset_Z,Idle_SFX_Offset_Y,Idle_SFX_Offset_Z,Idle_SFX_Play,Idle_SFX_Stop,AudioPreload_gathering,SFX_Gathering,Required_Progression,LootLockVariant
Alchemy_T1_M,slices/POIs/LootContainers/Alchemy_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,,,
Alchemy_T2_L,slices/POIs/LootContainers/Alchemy_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootAlchemyLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AlchemyLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,,,
Alchemy_T2_M,slices/POIs/LootContainers/Alchemy_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,,,
Alchemy_T3_L,slices/POIs/LootContainers/Alchemy_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootAlchemyLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AlchemyLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,,,
Alchemy_T3_M,slices/POIs/LootContainers/Alchemy_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,,,
Ancient_T1_L,slices/POIs/LootContainers/Ancient_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_closed01,4,@LootContainer_AncientLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T1_M,slices/POIs/LootContainers/Ancient_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Medium_Celebration01,Loot.Chest_big_peek01,4,@LootContainer_AncientMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T1_S,slices/POIs/LootContainers/Ancient_T1_S_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T1_S_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientSmall_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T1_S_FTUE_V2,slices/POIs/LootContainers/Ancient_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T1_L_loot.dynamicslice,LootSmallT1_FTUE_V2,LootSmallT1_FTUE_V2,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T2_L,slices/POIs/LootContainers/Ancient_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_closed01,4,@LootContainer_AncientLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T2_M,slices/POIs/LootContainers/Ancient_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Medium_Celebration01,Loot.Chest_big_peek01,4,@LootContainer_AncientMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T2_S,slices/POIs/LootContainers/Ancient_T2_S_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T2_S_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientSmall_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T3_L,slices/POIs/LootContainers/Ancient_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_closed01,4,@LootContainer_AncientLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T3_L_Standing,slices/POIs/LootContainers/Ancient_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_L_loot.dynamicslice,LootLargeT1_Standing,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_closed01,4,@LootContainer_AncientLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T3_M,slices/POIs/LootContainers/Ancient_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Medium_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AncientMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T3_M_Standing,slices/POIs/LootContainers/Ancient_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_M_loot.dynamicslice,LootMediumT1_Standing,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Medium_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AncientMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T3_S,slices/POIs/LootContainers/Ancient_T3_S_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_S_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientSmall_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Ancient_T3_S_Standing,slices/POIs/LootContainers/Ancient_T3_S_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_S_loot.dynamicslice,LootMediumT1_Standing,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientSmall_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
Blacksmith_T1_L,slices/POIs/LootContainers/Blacksmith_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Big_Celebration02,Loot.Crate_tall01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootLarge,,
Blacksmith_T1_M,slices/POIs/LootContainers/Blacksmith_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootSmall,,
Blacksmith_T2_L,slices/POIs/LootContainers/Blacksmith_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootLarge,,
Blacksmith_T2_M,slices/POIs/LootContainers/Blacksmith_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootSmall,,
Blacksmith_T3_L,slices/POIs/LootContainers/Blacksmith_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootLarge,,
Blacksmith_T3_M,slices/POIs/LootContainers/Blacksmith_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootSmall,,
Carpentry_T1_L,slices/POIs/LootContainers/Carpentry_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Big_Celebration02,Loot.Crate_tall01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootLarge,,
Carpentry_T1_M,slices/POIs/LootContainers/Carpentry_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootSmall,,
Carpentry_T2_L,slices/POIs/LootContainers/Carpentry_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootLarge,,
Carpentry_T2_M,slices/POIs/LootContainers/Carpentry_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootSmall,,
Carpentry_T3_L,slices/POIs/LootContainers/Carpentry_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootLarge,,
Carpentry_T3_M,slices/POIs/LootContainers/Carpentry_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,,,,,,,,,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_loot,Play_Gather_Interact_LootSmall,,
ChestEliteAncientT2,slices/POIs/LootContainers/Ancient_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteAncientT3,slices/POIs/LootContainers/Ancient_ELITE_T3_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T3_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteAncientT4,slices/POIs/LootContainers/Ancient_ELITE_T4_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T4_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteAncientT5,slices/POIs/LootContainers/Ancient_ELITE_T5_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T5_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteT2,slices/POIs/LootContainers/Abandoned_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteT3,slices/POIs/LootContainers/Abandoned_ELITE_T3_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T3_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteT4,slices/POIs/LootContainers/Abandoned_ELITE_T4_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T4_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteT5,slices/POIs/LootContainers/Abandoned_ELITE_T5_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T5_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
ChestEliteT5Mryk,slices/POIs/LootContainers/Abandoned_ELITE_T5_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T5_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,1.5,1.5,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,2.5,@LootContainer_Elite_Supplies_DisplayName,,,,,,,,slices\POIs\LootContainers\MapIcon_Chest.dynamicslice,loot_container,loot_container,,,,,Play_Loot_Small_Idle,Stop_Loot_Small_Idle,gather_interact_quest,Play_Gather_Interact_AncientChest,,
