VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,DepletedVFX_Quest,DepletedVFX_Quest_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,DetectionVolumeSphereRadius,IsStateControlledBySlayerScript,AudioPreload_Idle
0331_0101_BeastClueC_IO,slices\WorldEvents\GreatCleave\Interact\Beast\WorldEvent_Object_0331_0101_BeastClue.dynamicslice,,,,0331_0101_BeastClueC_IO,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_0331_0101_BeastClueC,true,,,2,,
0331_0101_BeastClueD_IO,slices\WorldEvents\GreatCleave\Interact\Beast\WorldEvent_Object_0331_0101_BeastClue.dynamicslice,,,,0331_0101_BeastClueD_IO,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_0331_0101_BeastClueD,true,,,2,,
0331_0101_BeastClueE_IO,slices\WorldEvents\GreatCleave\Interact\Beast\WorldEvent_Object_0331_0101_BeastClue.dynamicslice,,,,0331_0101_BeastClueE_IO,4,3.25,2.5,5,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,IO_0331_0101_BeastClueE,true,,,2,,
CyclicExample_Black_Prisma,slices\Test\CyclicExample_Prisma_Black.dynamicslice,,,,CyclicExample_Black_Prisma,4,3.25,5,,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,,,,,,true,
ProximityExample_Black_Prisma,slices\Test\CyclicExample_Prisma_Black.dynamicslice,,,,CyclicExample_Black_Prisma,4,3.25,5,,,,cFX_Loot.Loot_Quest_Small,,,,,,,,,,,,,,,,
MSQ_01_Reese_Walkaway_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_01_Reese_Walkaway_Proximity,true,,,15,,
MSQ_02_Reese_Walkaway_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_02_Reese_Walkaway_Proximity,true,,,15,,
MSQ_03_Reese_Walkaway_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_03_Reese_Walkaway_Proximity,true,,,15,,
MSQ_Chapter_Banner_1_Proximity,,,,,GameEvent_Proximity,15,15,15,,,,,,,,,,,,,,IO_MSQ_Chapter_Banner_1_Proximity,true,,,15,,
99a_MSQ_05_PopClot,slices\WorldEvents\MSQ2_Everfall\Object_99a_PopClot_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_99a_PopClot_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_99a_PopClot_Visual_Base.dynamicslice,99a_MSQ_05_PopClot,0.01,0.5,0.5,Corruption_Popclots,Play_Corruption_Popclots,,cFX_Loot.Loot_Quest_Small,-1.25,env_darkness.Core.Core_Shell_burst01,-0.5,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_99a_MSQ_05_PopClot,true,,,0.75,,
04A_Side01_01_Proximity_Trail1,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail1,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail1,true,,,0.75,,
04A_Side01_01_Proximity_Trail2,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail2,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail2,true,,,0.75,,
04A_Side01_01_Proximity_Trail3,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail3,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail3,true,,,0.75,,
04A_Side01_01_Proximity_Trail4,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail4,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail4,true,,,0.75,,
04A_Side01_01_Proximity_Trail5,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail5,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail5,true,,,0.75,,
04A_Side01_01_Proximity_Trail6,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail6,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail6,true,,,0.75,,
04A_Side01_01_Proximity_Trail7,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail7,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail7,true,,,0.75,,
04A_Side01_01_Proximity_Trail8,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail8,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail8,true,,,0.75,,
04A_Side01_01_Proximity_Trail9,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail9,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail9,true,,,0.75,,
04A_Side01_01_Proximity_Trail10,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail10,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail10,true,,,0.75,,
04A_Side01_01_Proximity_Trail11,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail11,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail11,true,,,0.75,,
04A_Side01_01_Proximity_Trail12,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail12,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail12,true,,,0.75,,
04A_Side01_01_Proximity_Trail13,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Healthy.dynamicslice,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Depleted.dynamicslice,,slices\WorldEvents\MSQ2_Everfall\Object_04A_BloodTrail_Visual_Base.dynamicslice,04A_Side01_01_Proximity_Trail13,0.01,0.5,0.5,,,,cFX_Loot.Loot_Quest_Small_No_Rotation,-1.25,buildables_misc.Placement.Dust_C,1.2,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side01_01_Proximity_Trail13,true,,,0.75,,
04A_Side02_03_Proximity_Investigate_01,,,,,04A_Side02_03_Proximity_Investigate_01,5,10,10,,,,cFX_Loot.Loot_Quest_Small,0,,,cFX_Loot.Loot_Quest_Small_Depleted,0,,,,,IO_04A_Side02_03_Proximity_Investigate_01,true,,,5,,
04A_Side02_03_Proximity_Investigate_02,,,,,04A_Side02_03_Proximity_Investigate_02,5,10,10,,,,cFX_Loot.Loot_Quest_Small,0,,,cFX_Loot.Loot_Quest_Small_Depleted,0,,,,,IO_04A_Side02_03_Proximity_Investigate_02,true,,,5,,
04A_Side04_02_Proximity_InvestigationSpot_01,,,,,04A_Side04_02_Proximity_InvestigationSpot_01,5,10,10,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_01,true,,,5,,
04A_Side04_02_Proximity_InvestigationSpot_02,,,,,04A_Side04_02_Proximity_InvestigationSpot_02,5,10,10,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_02,true,,,5,,
04A_Side04_02_Proximity_InvestigationSpot_03,,,,,04A_Side04_02_Proximity_InvestigationSpot_03,5,10,10,,,,cFX_Loot.Loot_Quest_Small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_03,true,,,5,,
01_Whisper_FTUE_01,,,,,01_Whisper_FTUE_01,30,30,0,,,,,,,,,,,,,,IO_01_Whisper_FTUE_01,false,,,15,,
01_Whisper_FTUE_02,,,,,01_Whisper_FTUE_02,30,30,0,,,,,,,,,,,,,,IO_01_Whisper_FTUE_02,false,,,15,,
01_Whisper_FTUE_03,,,,,01_Whisper_FTUE_03,30,30,0,,,,,,,,,,,,,,IO_01_Whisper_FTUE_03,false,,,15,,
