VariantID,StartMesh,StartMat,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,DepletedSFX,IdleSFX,AudioPreloadName,IdleVFX,DepletedVFX,DepletedMesh,DepletedMaterial,VegAreaClearRadius,StartMeshLOD,EndMeshLOD,ShowOnCompass,CompassIcon,TradeskillIconUnlockType,AcceptSnow,MarkerRadius,AllowGatheringInGameModes,AddonMesh,AddonMaterial
Boulder_Desert_lg_b,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Lg_B_mat.mtl,BoulderLarge,3,4.5,4,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_lg_B,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Lg_B_mat.mtl,3.6,100,100,,,,false,7.5,,,
Boulder_Desert_lg_c,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Lg_C_mat.mtl,BoulderLarge,3,4.5,4,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_lg_C,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_frag_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Lg_C_mat.mtl,3.2,100,100,,,,false,7.5,,,
Boulder_Desert_md_a,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Md_A_mat.mtl,BoulderMedium,1.75,4.5,3,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_md_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_frag_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Md_A_mat.mtl,3.1,100,100,,,,false,7.5,,,
Boulder_Desert_md_b,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Md_B_mat.mtl,BoulderMedium,1.35,3,2.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_md_B,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Md_B_mat.mtl,2.4,100,100,,,,false,6,,,
Boulder_Desert_md_c,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Md_C_mat.mtl,BoulderMedium,1.35,3,2.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_md_C,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_frag_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Md_C_mat.mtl,2.1,100,100,,,,false,6,,,
Boulder_Desert_sm_a,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Sm_A_mat.mtl,BoulderSmall,0.95,2.5,1.5,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Sm_A_mat.mtl,1.2,100,100,,,,false,5.5,,,
Boulder_Desert_sm_b,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Sm_B_mat.mtl,BoulderSmall,0.65,2,1,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_B,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Sm_B_mat.mtl,0.9,100,100,,,,false,5,,,
Boulder_Desert_sm_c,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Sm_C_mat.mtl,BoulderSmall,0.85,2,1.5,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_C,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Sm_C_mat.mtl,1.5,100,100,,,,false,5,,,
Boulder_Jagged_lg_a,Objects\Nature\Rock_Boulders\Boulders_Super\wld_boulder_Jagged_lg_a.cgf,,BoulderLarge,4,6.5,6,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_lg_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_frag_a.cgf,,4.5,100,100,,,,false,9.5,,,
Boulder_Jagged_md_a,Objects\Nature\Rock_Boulders\Boulders_Super\wld_boulder_Jagged_md_a.cgf,,BoulderMedium,1.75,4.5,3,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_md_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_frag_a.cgf,,3.1,100,100,,,,false,7.5,,,
Boulder_Jagged_sm_a,Objects\Nature\Rock_Boulders\Boulders_Super\wld_boulder_Jagged_sm_a.cgf,,BoulderSmall,0.95,2.5,1.5,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_a.cgf,,1.2,100,100,,,,false,5.5,,,
Lodestone_a,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_a.cgf,Objects\Nature\Rock_Veins\Veins_Starmetal\jav_boulder_lodestone_a_mat.mtl,BoulderLodestoneSmall,0.85,2,1.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Lodestone_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_a.cgf,Objects\Nature\Rock_Veins\Veins_Starmetal\jav_boulder_lodestone_a_mat.mtl,1.2,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Lodestone_Compass.png,Lodestone,false,5,,,
Lodestone_b,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_b.cgf,Objects\Nature\Rock_Veins\Veins_Starmetal\jav_boulder_lodestone_b_mat.mtl,BoulderLodestoneMedium,0.85,2,1,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Lodestone_B,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_b.cgf,Objects\Nature\Rock_Veins\Veins_Starmetal\jav_boulder_lodestone_b_mat.mtl,0.9,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Lodestone_Compass.png,Lodestone,false,5,,,
Lodestone_c,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_c.cgf,Objects\Nature\Rock_Veins\Veins_Starmetal\jav_boulder_lodestone_c_mat.mtl,BoulderLodestoneLarge,0.85,2,1.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Lodestone_C,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_c.cgf,Objects\Nature\Rock_Veins\Veins_Starmetal\jav_boulder_lodestone_c_mat.mtl,1.5,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Lodestone_Compass.png,Lodestone,false,5,,,
Flint_md_a,Objects\Nature\Rock_Boulders\Boulders_Flint\jav_boulder_flint_md_a.cgf,,FlintLarge,1.85,3.5,2,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Flint_md_A,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Flint\JAV_Boulder_Flint_Md_A_mat.mtl,2,100,100,,,,false,6.5,,,
Flint_md_b,Objects\Nature\Rock_Boulders\Boulders_Flint\jav_boulder_flint_md_b.cgf,,FlintMedium,1.7,3,1.7,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Flint_md_B,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Flint\JAV_Boulder_Flint_Md_A_mat.mtl,1.8,100,100,,,,false,6,,,
Flint_md_c,Objects\Nature\Rock_Boulders\Boulders_Flint\jav_boulder_flint_md_c.cgf,,FlintMedium,1.5,2.75,1.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Flint_md_C,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Flint\JAV_Boulder_Flint_Md_A_mat.mtl,1.7,100,100,,,,false,5.75,,,
Flint_sm_a,Objects\Nature\Rock_Boulders\Boulders_Flint\jav_boulder_flint_sm_a.cgf,,FlintSmall,0.85,2,1.2,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Flint_sm_A,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Flint\JAV_Boulder_Flint_Md_A_mat.mtl,1.1,100,100,,,,false,5,,,
Flint_sm_b,Objects\Nature\Rock_Boulders\Boulders_Flint\jav_boulder_flint_sm_b.cgf,,FlintSmall,0.8,1.85,0.8,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Flint_sm_B,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Flint\JAV_Boulder_Flint_Md_A_mat.mtl,1,100,100,,,,false,4.85,,,
Flint_sm_c,Objects\Nature\Rock_Boulders\Boulders_Flint\jav_boulder_flint_sm_c.cgf,,FlintSmall,0.85,2,0.8,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Flint_sm_C,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Flint\JAV_Boulder_Flint_Md_A_mat.mtl,0.6,100,100,,,,true,5,,,
OilSeep_a,Objects\Nature\Seeps\Seeps_Marsh\OilSeep\jav_msh_oilseep_a.cgf,,SeepingStoneLarge,0.8,4.5,4,Play_Gather_Stones,Play_AMB_3D_OilSeep,gath_oilseep,Gatherable_Mineral.Oil.Seep_Idle_A,Gatherable_Mineral.Demolish.OilSeep_A,Objects\Nature\Seeps\Seeps_Marsh\OilSeep\jav_msh_oilseep_pick_a.cgf,,3.4,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Oil_Compass.png,Oil,true,7.5,,,
OilSeep_b,Objects\Nature\Seeps\Seeps_Marsh\OilSeep\jav_msh_oilseep_b.cgf,,SeepingStoneMedium,0.6,3.75,3.5,Play_Gather_Stones,Play_AMB_3D_OilSeep,gath_oilseep,Gatherable_Mineral.Oil.Seep_Idle_B,Gatherable_Mineral.Demolish.OilSeep_B,Objects\Nature\Seeps\Seeps_Marsh\OilSeep\jav_msh_oilseep_pick_b.cgf,,2.4,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Oil_Compass.png,Oil,true,6.75,,,
OilSeep_c,Objects\Nature\Seeps\Seeps_Marsh\OilSeep\jav_msh_oilseep_c.cgf,,SeepingStoneSmall,0.3,2.75,3,Play_Gather_Stones,Play_AMB_3D_OilSeep,gath_oilseep,Gatherable_Mineral.Oil.Seep_Idle_C,Gatherable_Mineral.Demolish.OilSeep_C,Objects\Nature\Seeps\Seeps_Marsh\OilSeep\jav_msh_oilseep_pick_c.cgf,,1.5,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Oil_Compass.png,Oil,true,5.75,,,
GypsumOre_a,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_a.cgf,Objects\nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_opal_matgroup.mtl,GypsumOreLarge,0.85,2,1,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_sm_C,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_pick_a.cgf,Objects\nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_opal_matgroup.mtl,0.9,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Silver_Compass.png,,false,5,,,
GypsumOre_b,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_b.cgf,Objects\nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_opal_matgroup.mtl,GypsumOreMedium,0.65,1.8,1,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_sm_C,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_pick_b.cgf,Objects\nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_opal_matgroup.mtl,0.8,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Silver_Compass.png,,false,4.8,,,
GypsumOre_c,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_c.cgf,Objects\nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_opal_matgroup.mtl,GypsumOreSmall,0.45,1.6,1,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_C,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_pick_c.cgf,Objects\nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_opal_matgroup.mtl,0.6,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Silver_Compass.png,,false,4.6,,,
Sandstone_a,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_a_matGroup.mtl,SandstoneLarge,0.85,2,1,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.SandStone_A,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_pick_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_a_matGroup.mtl,0.9,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Sandstone_Compass.png,,false,5,,,
Sandstone_b,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_a_matGroup.mtl,SandstoneMedium,0.65,1.8,1,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.SandStone_B,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_pick_b.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_a_matGroup.mtl,0.8,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Sandstone_Compass.png,,false,4.8,,,
Sandstone_c,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_a_matGroup.mtl,SandstoneSmall,0.45,1.6,1,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.SandStone_C,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sandstone_pick_c.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\jav_boulder_sand_a_matGroup.mtl,0.6,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Sandstone_Compass.png,,false,4.6,,,
Brimstone_a,Objects\Alchemy\Stone\JAV_PRP_Brimstone_A.cgf,,BrimstoneLarge,1,3,1,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Brimstone_A,Objects\Alchemy\Stone\JAV_PRP_Brimstone_Pedestal_A.cgf,,4.5,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Brimstone_Compass.png,,false,6,,,
Brimstone_b,Objects\Alchemy\Stone\JAV_PRP_Brimstone_B.cgf,,BrimstoneMedium,0.8,2.8,1,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Brimstone_B,Objects\Alchemy\Stone\JAV_PRP_Brimstone_Pedestal_B.cgf,,3.6,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Brimstone_Compass.png,,false,5.8,,,
Brimstone_c,Objects\Alchemy\Stone\JAV_PRP_Brimstone_C.cgf,,BrimstoneSmall,0.7,2.6,1,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Brimstone_C,Objects\Alchemy\Stone\JAV_PRP_Brimstone_Pedestal_C.cgf,,3.2,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Brimstone_Compass.png,,false,5.6,,,
SingleStone_a,Objects\Nature\Rock_Dressing\Dressing_Forest\jav_fst_smallrock_flint_a.cgf,,SingleStone,0.07,1.8,0.5,Play_Gather_Stones,,,,Gatherable_Mineral.Demolish.SingleStone_A,,,0.6,50,50,,,,true,4.8,,,
SingleStone_b,Objects\Nature\Rock_Dressing\Dressing_Forest\jav_fst_smallrock_flint_b.cgf,,SingleStone,0.07,1.8,0.5,Play_Gather_Stones,,,,Gatherable_Mineral.Demolish.SingleStone_A,,,0.62,50,50,,,,true,4.8,,,
SingleStone_c,Objects\Nature\Rock_Dressing\Dressing_Forest\jav_fst_smallrock_flint_c.cgf,,SingleStone,0.07,1.8,0.5,Play_Gather_Stones,,,,Gatherable_Mineral.Demolish.SingleStone_A,,,0.5,50,50,,,,true,4.8,,,
SingleStone_a_col,Objects\Nature\Rock_Dressing\Dressing_Forest\jav_fst_smallrock_flint_a_col.cgf,,SingleStone,0.07,1.8,0.5,Play_Gather_Stones,,,,Gatherable_Mineral.Demolish.SingleStone_A,,,0.6,50,50,,,,true,4.8,,,
Vein_Crystal_a,Objects\Nature\Rock_Veins\Veins_Crystal\jav_fst_vein_crystal_a.cgf,,SoulCrystal,0,2.5,2.2,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Crystal_A,Objects\Nature\Rock_Veins\Veins_Crystal\jav_fst_vein_crystal_pick_a.cgf,,1.1,100,100,,,,true,5.5,,,
Vein_Crystal_b,Objects\Nature\Rock_Veins\Veins_Crystal\jav_fst_vein_crystal_b.cgf,,SoulCrystal,0,2,1.5,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Crystal_B,Objects\Nature\Rock_Veins\Veins_Crystal\jav_fst_vein_crystal_pick_b.cgf,,1,100,100,,,,true,5,,,
Vein_Crystal_c,Objects\Nature\Rock_Veins\Veins_Crystal\jav_fst_vein_crystal_c.cgf,,SoulCrystal,0,1.8,1.25,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Crystal_C,Objects\Nature\Rock_Veins\Veins_Crystal\jav_fst_vein_crystal_pick_c.cgf,,0.6,100,100,,,,true,4.8,,,
Vein_Gold_a,Objects\Nature\Rock_Veins\Veins_Gold\jav_fst_vein_gold_a.cgf,,GoldLarge,1.1,5,2.2,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Gold_A,Objects\Nature\Rock_Veins\Veins_Gold\jav_fst_vein_gold_pick_a.cgf,,2,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Gold_Compass.png,Gold,false,8,,,
Vein_Gold_b,Objects\Nature\Rock_Veins\Veins_Gold\jav_fst_vein_gold_b.cgf,,GoldMedium,0.8,4,1.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Gold_B,Objects\Nature\Rock_Veins\Veins_Gold\jav_fst_vein_gold_pick_b.cgf,,1.6,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Gold_Compass.png,Gold,false,7,,,
Vein_Gold_c,Objects\Nature\Rock_Veins\Veins_Gold\jav_fst_vein_gold_c.cgf,,GoldSmall,0.6,3,1.25,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Gold_C,Objects\Nature\Rock_Veins\Veins_Gold\jav_fst_vein_gold_pick_c.cgf,,0.8,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Gold_Compass.png,Gold,false,6,,,
Vein_Iron_a,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_a.cgf,,OreVeinLarge,1.1,5,2.2,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Iron_A,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_a.cgf,,2,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Iron_Compass.png,Iron,false,8,,,
Vein_Iron_b,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_b.cgf,,OreVeinMedium,0.8,4,1.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Iron_B,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_b.cgf,,1.6,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Iron_Compass.png,Iron,false,7,,,
Vein_Iron_c,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_c.cgf,,OreVeinSmall,0.6,3,1.25,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Iron_C,Objects\Nature\Rock_Boulders\Boulders_Ore\jav_boulder_ironore_frag_c.cgf,,0.8,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Iron_Compass.png,Iron,false,6,,,
Vein_Silver_a,Objects\Nature\Rock_Veins\Veins_Silver\jav_fst_vein_silver_a.cgf,,SilverLarge,1.1,5,2.2,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Silver_A,Objects\Nature\Rock_Veins\Veins_Silver\jav_fst_vein_silver_pick_a.cgf,,2,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Silver_Compass.png,Silver,false,8,,,
Vein_Silver_b,Objects\Nature\Rock_Veins\Veins_Silver\jav_fst_vein_silver_b.cgf,,SilverMedium,0.8,4,1.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Silver_B,Objects\Nature\Rock_Veins\Veins_Silver\jav_fst_vein_silver_pick_b.cgf,,1.6,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Silver_Compass.png,Silver,false,7,,,
Vein_Silver_c,Objects\Nature\Rock_Veins\Veins_Silver\jav_fst_vein_silver_c.cgf,,SilverSmall,0.6,3,1.25,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Silver_C,Objects\Nature\Rock_Veins\Veins_Silver\jav_fst_vein_silver_pick_c.cgf,,0.8,100,100,1,LyShineUI\Images\Map\Icon\Gatherables\Silver_Compass.png,Silver,false,6,,,
