VariantID,LootTableID,Name,BottomMesh,BottomMat,TopMesh,TopMat,TopMesh_TransformX,TopMesh_TransformY,TopMesh_TransformZ
Abandoned_A_M,POI_AbandonedMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Abandoned_A_L,POI_AbandonedLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_mat.mtl,,,0.001
Sunken_A_S,POI_SunkenSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Sunken_A_M,POI_SunkenMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Sunken_A_L,POI_SunkenLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,,,0.001
Military_A_S,POI_MilitarySmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\Scrap_Iron\jav_prp_scrap_iron_pile.cgf,objects\crafting\props\shopwares\scrap_iron\jav_prp_scrap_iron_mat.mtl,,,0.001
Military_A_M,POI_MilitaryMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Military_A_L,POI_MilitaryLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,0.001
Civilian_A_S,POI_CivilianSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Storage\PaperParcels\JAV_PRP_PaperParcels_E.cgf,objects\crafting\props\storage\paperparcels\jav_prp_paperparcels_mat.mtl,,,0.001
Civilian_A_M,POI_CivilianMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Civilian_A_L,POI_CivilianLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_mat.mtl,,,0.001
Blacksmith_A_S,POI_BlacksmithSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Blacksmith_A_M,POI_BlacksmithMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Blacksmith_A_L,POI_BlacksmithLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,0.001
Outfitter_A_S,POI_OutfitterSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Outfitter_A_M,POI_OutfitterMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Outfitter_A_L,POI_OutfitterLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,0.001
Provisioner_A_S,POI_ProvisionerSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Provisioner_A_M,POI_ProvisionerMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Provisioner_A_L,POI_ProvisionerLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,0.001
Alchemist_A_S,POI_AlchemistSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\AlchemyProps\JAV_PRP_Clay_Vials.cgf,objects\crafting\props\shopwares\alchemyprops\jav_prp_alchemyprops.mtl,,,0.001
Alchemist_A_M,POI_AlchemistMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Alchemist_A_L,POI_AlchemistLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,0.001
Engineer_A_S,POI_EngineerSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Engineer_A_M,POI_EngineerMedium,,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Open_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Lid_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,1
Engineer_A_L,POI_EngineerLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,0.001
Weaver_A_S,POI_WeaverSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Weaver_A_L,POI_WeaverLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,,,0.001
Smelter_A_S,POI_SmelterSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Smelter_A_L,POI_SmelterLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,0.001
Carpenter_A_S,POI_CarpenterSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Carpenter_A_L,POI_CarpenterLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,,,0.001
Tanner_A_S,POI_TannerSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
Tanner_A_L,POI_TannerLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,,,0.001
Civilian_B_M,POI_CivilianMedium,,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_A.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_C_cover.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,,,0.52
Civilian_B_S,POI_CivilianSmall,,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_B.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_B_cover.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,,,0.35
Farmland_B_M,POI_FarmlandMedium,,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_A.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_C_cover.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,,,0.52
Farmland_B_S,POI_FarmlandSmall,,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_B.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_B_cover.cgf,objects\crafting\props\storage\baskets\jav_prp_baskets_mat.mtl,,,0.35
Civilian_C_S,POI_CivilianSmall,,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_B.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,0
Farmland_C_S,POI_FarmlandSmall,,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_B.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,0
Abandoned_B_S,POI_AbandonedSmall,,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_B.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,0
Sunken_B_S,POI_SunkenSmall,,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_B.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,0
Ancient_A_S,POI_AncientSmall,,Objects\Crafting\Props\Shopwares\Cookery\jav_prp_fruit_box_empty.cgf,objects\crafting\props\shopwares\cookery\jav_prp_sw_tool_mat,Objects\Crafting\Props\Shopwares\Cookery\jav_prp_fruit_box_lid.cgf,objects\crafting\props\shopwares\cookery\jav_prp_sw_tool_mat,,,0.42
Ancient_A_M,POI_AncientMedium,,Objects\Crafting\Props\Storage\Baskets\jav_prp_basket_c.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_mat.mtl,Objects\Crafting\Props\Storage\Baskets\jav_prp_basket_c_cover.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_mat.mtl,,,0.81
Ancient_A_L,POI_AncientLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel.cgf,objects\crafting\props\storage\lockboxes\chesttruesteel\jav_prp_chesttruesteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel_Lid.cgf,objects\crafting\props\storage\lockboxes\chesttruesteel\jav_prp_chesttruesteel_mat.mtl,,,0.001
Ancient_Y_A_L,POI_AncientLargeYellow,,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel.cgf,objects\crafting\props\storage\lockboxes\chesttruesteel\jav_prp_chesttruesteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel_Lid.cgf,objects\crafting\props\storage\lockboxes\chesttruesteel\jav_prp_chesttruesteel_mat.mtl,,,
