VariantID,ResetTime,ForgetInstancedStateTime,NumCyclicStates,InteractTag,Visual_BaseMesh,Visual_RotatedBaseMesh,Visual_WaitingForReset,Visual_NotOnRequiredQuest,Gatherable_0,Gatherable_0_Variant,Delay_0,RotationPercent_0,Gatherable_1,Gatherable_1_Variant,Delay_1,RotationPercent_1,Gatherable_2,Gatherable_2_Variant,Delay_2,RotationPercent_2,Gatherable_3,Gatherable_3_Variant,Delay_3,RotationPercent_3,Gatherable_4,Gatherable_4_Variant,Delay_4,RotationPercent_4,AE.0_RequiredAchievementConditional,AE.1_RE.0_TargetRotationPercent
CyclicExample_Quadruple_Damageable,0,,4,IO_0601_DirtHoleB,,,,slices\Test\CyclicExample_Prisma_Black.dynamicslice,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Purple_Prisma,,,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Blue_Prisma,,,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Turquoise_Prisma,,,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Yellow_Prisma,,,,,,,,
Cyclic_9926_VKCannon,60,,2,IO_Cyclic_9926_VKCannon,,,,slices\WorldEvents\Varangian\WorldEvent_Object_9926_VKCannonB_00.dynamicslice,slices\WorldEvents\Varangian\CustomMQI_9926_VKCannon_A_00.dynamicslice,9926_0103_VKCannonA,,,slices\WorldEvents\Varangian\CustomMQI_9926_VKCannon_B_00.dynamicslice,9926_0103_VKCannonB,,,,,,,,,,,,,,,,
Cyclic_13_Summer_Carpenter,120,,2,IO_Cyclic_13_Summer_Carpenter,,,slices\WorldEvents\Holiday\MedleyFaire\WorldEvent_Object_13_Summer_Carpenter3.dynamicslice,slices\WorldEvents\Holiday\MedleyFaire\WorldEvent_Object_13_Summer_Carpenter1.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,13_Summer_Carpenter1,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,13_Summer_Carpenter2,,,,,,,,,,,,,,,,
Cyclic_13_Summer_Oven,120,,3,IO_Cyclic_13_Summer_Oven,slices\WorldEvents\Holiday\MedleyFaire\WorldEvent_Object_13_Summer_Oven.dynamicslice,,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,13_Summer_OvenDirty_01,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,13_Summer_OvenDirty_02,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,13_Summer_OvenDirty_03,,,,,,,,,,,,
Cyclic_06A_MSQ_puzzle1_stone1,0,,4,IO_06A_MSQ_puzzle1_stone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side4,1,1,,,,,MiradorPuzzleActivated,0.25
Cyclic_06A_MSQ_puzzle1_stone2,0,,4,IO_06A_MSQ_puzzle1_stone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side4,1,1,,,,,MiradorPuzzleActivated,0.75
Cyclic_06A_MSQ_puzzle1_stone3,0,,4,IO_06A_MSQ_puzzle1_stone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side4,1,1,,,,,MiradorPuzzleActivated,0.5
Cyclic_06A_MSQ_puzzle2_stone1,0,,4,IO_06A_MSQ_puzzle2_stone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\WorldEvents\Windsward\Interact\MSQ2\WorldEvent_Object_06A_MSQ_puzzlestone00.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone1_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone1_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone1_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone1_side4,1,1,,,,,SiriusPuzzleActivated,0.5
Cyclic_06A_MSQ_puzzle2_stone2,0,,4,IO_06A_MSQ_puzzle2_stone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\WorldEvents\Windsward\Interact\MSQ2\WorldEvent_Object_06A_MSQ_puzzlestone00.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone2_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone2_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone2_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p2_stone2_side4,1,1,,,,,SiriusPuzzleActivated,0.25
Cyclic_1624_AncientSelectorA,0,,5,IO_Cyclic_1624_AncientSelectorA,slices\WorldEvents\BrimstoneSands\Interact\WorldEvent_Object_1624_SelectorScreen.dynamicslice,slices\WorldEvents\BrimstoneSands\IO_Cyclic_1624_Solution_A.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorA_01,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorA_02,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorA_03,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorA_04,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorA_05,0.5,,1624_0303_d_03_02_PuzzlesComplete,
Cyclic_1624_AncientSelectorB,0,,5,IO_Cyclic_1624_AncientSelectorA,slices\WorldEvents\BrimstoneSands\Interact\WorldEvent_Object_1624_SelectorScreen.dynamicslice,slices\WorldEvents\BrimstoneSands\IO_Cyclic_1624_Solution_B.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorB_01,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorB_02,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorB_03,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorB_04,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,1624_0303_AncientSelectorB_05,0.5,,1624_0303_d_03_02_PuzzlesComplete,
Cyclic_98_Covenant_03_RitualStone1,0,,4,IO_98_Covenant_03_RitualStone1,,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone1_side4,1,1,,,,,FactionIntro_Covenant_03_Ritual01,0.5
Cyclic_98_Covenant_03_RitualStone2,0,,4,IO_98_Covenant_03_RitualStone2,,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone2_side4,1,1,,,,,FactionIntro_Covenant_03_Ritual02,0.25
Cyclic_98_Covenant_03_RitualStone3,0,,4,IO_98_Covenant_03_RitualStone3,,slices\POIs\Ancient\Shrines\Ancient_Shrine_Puzzle_Stone_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_06A_MSQ_p1_stone3_side4,1,1,,,,,FactionIntro_Covenant_03_Ritual03,0.75
Cyclic_99B_MementoA,0,,4,IO_Cyclic_99B_MementoA,,,slices\WorldEvents\Brightwood\Interact\Mementos\WorldEvent_Object_99B_MSQ_MementoA.dynamicslice,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoEmpty,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceC,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceA,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceB,0.5,,,,,,,
Cyclic_99B_MementoB,0,,4,IO_Cyclic_99B_MementoB,,,slices\WorldEvents\Brightwood\Interact\Mementos\WorldEvent_Object_99B_MSQ_MementoB.dynamicslice,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoEmpty,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceA,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceC,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceB,0.5,,,,,,,
Cyclic_99B_MementoC,0,,4,IO_Cyclic_99B_MementoC,,,slices\WorldEvents\Brightwood\Interact\Mementos\WorldEvent_Object_99B_MSQ_MementoC .dynamicslice,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoEmpty,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceB,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceA,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_06_MementoPlaceC,0.5,,,,,,,
Cyclic_99B_Heartgem,0,,2,IO_Cyclic_99B_Heartgem,,,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_10_PlaceHeartgem,0.5,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99B_MSQ_10_SmashHeartgem,0.5,,,,,,,,,,,,,,,
Cyclic_99C_MSQ_puzzle1_stone1,0,,4,IO_99C_MSQ_puzzle1_stone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\POIs\Ancient\Shrines\ancient_shrine_puzzle_cube_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone1_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone1_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone1_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone1_side4,1,1,,,,,SwapActive_99C_Galahad_A,0.25
Cyclic_99C_MSQ_puzzle1_stone2,0,,4,IO_99C_MSQ_puzzle1_stone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\POIs\Ancient\Shrines\ancient_shrine_puzzle_cube_01.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone2_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone2_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone2_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99C_MSQ_p1_stone2_side4,1,1,,,,,SwapActive_99C_Galahad_A,0.75
Cyclic_99D_MSQ_01_Cart,120,,1,IO_99D_MSQ_01_Cart,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ_01_Cart_Collision.dynamicslice,,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_FixedCart.dynamicslice,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_FixedCart.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_01_Cart1,,,,,,,,,,,,,,,,,,,,
Cyclic_99D_MSQ_corrupt_puzzleStone1,0,,4,IO_99D_MSQ_corrupt_puzzleStone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_CorruptedPuzzleStone.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone1_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone1_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone1_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone1_side4,1,1,,,,,CorruptPuzzleActivated,0.5
Cyclic_99D_MSQ_corrupt_puzzleStone2,0,,4,IO_99D_MSQ_corrupt_puzzleStone1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_CorruptedPuzzleStone.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone2_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone2_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone2_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_cp1_stone2_side4,1,1,,,,,CorruptPuzzleActivated,0.75
Cyclic_99D_MSQ_BallistaRotate,0,,4,IO_99D_MSQ_BallistaRotate,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_Cannon_Rotate_Collision.dynamicslice,slices\WorldEvents\MSQ2_GreatCleave\99D_MSQ2_Cannon_Rotate.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_BallistaRotate_1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_BallistaRotate_2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_BallistaRotate_3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_99D_MSQ_BallistaRotate_4,1,1,,,,,BallistaInPosition,0.75
Cyclic_99E_MSQ_AncientTumblerA,0,,4,IO_99E_MSQ_AncientTumblerA,slices\WorldEvents\Edengrove\Interact\WorldEvent_Object_99E_MSQ_TumblerBase.dynamicslice,slices\WorldEvents\Edengrove\Interact\WorldEvent_Object_99E_MSQ_TumblerA.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerA_01,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerA_02,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerA_03,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerA_04,1,1,,,,,SwapActive_MSQ_Sun_EG_p4,0.25
Cyclic_99E_MSQ_AncientTumblerB,0,,4,IO_99E_MSQ_AncientTumblerB,slices\WorldEvents\Edengrove\Interact\WorldEvent_Object_99E_MSQ_TumblerBase.dynamicslice,slices\WorldEvents\Edengrove\Interact\WorldEvent_Object_99E_MSQ_TumblerB.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerB_01,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerB_02,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerB_03,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,99E_MSQ_01_Cyclic_AncientTumblerB_04,1,1,,,,,SwapActive_MSQ_Sun_EG_p4,0.75
Cyclic_09A_S7_CL1,0,,4,IO_Cyclic_09A_S7_CL1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\WorldEvents\FirstLight\Interact\PUT\Sarcophagus_Puzzle_Stone_Lit.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL1_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL1_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL1_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL1_side4,1,1,,,,,SaircorChamberPuzzleActivated,0.5
Cyclic_09A_S7_CL2,0,,4,IO_Cyclic_09A_S7_CL1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\WorldEvents\FirstLight\Interact\PUT\Sarcophagus_Puzzle_Stone_Lit.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL2_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL2_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL2_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL2_side4,1,1,,,,,SaircorChamberPuzzleActivated,0.25
Cyclic_09A_S7_CL3,0,,4,IO_Cyclic_09A_S7_CL1,slices\WorldEvents\Windsward\Interact\MSQ2\06A_MSQ_puzzlestone_collision.dynamicslice,slices\WorldEvents\FirstLight\Interact\PUT\Sarcophagus_Puzzle_Stone_Lit.dynamicslice,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL3_side1,1,0.25,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL3_side2,1,0.5,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL3_side3,1,0.75,slices\Gatherables\Master_Quest_Instanced.dynamicslice,Cyclic_09A_S7_CL3_side4,1,1,,,,,SaircorChamberPuzzleActivated,0.75
Cyclic_09A_M13_ArcaneRitual,5,,3,IO_Cyclic_09A_M13_ArcaneRitual,slices\WorldEvents\FirstLight\Interact\RitualArcane\Object_09A_M13_Ritual_Base.dynamicslice,,slices\WorldEvents\FirstLight\Interact\RitualArcane\Object_09A_M13_Ritual_Healthy_2.dynamicslice,slices\WorldEvents\FirstLight\Interact\RitualArcane\Object_09A_M13_Ritual_Healthy_2.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,09A_M13_ArcaneRitual_Healthy_0,0.5,0,slices\Gatherables\Master_Quest_Instanced.dynamicslice,09A_M13_ArcaneRitual_Healthy_1,0.5,0,slices\Gatherables\Master_Quest_Instanced.dynamicslice,09A_M13_ArcaneRitual_Healthy_2,0.5,0,,,,,,,,,,
