ActivitiesTaskId,Task,Type,Description
ActivitiesS1Task41,DefeatTheSirenQueen,Expedition,@SeasonsActivities_DefeatSirenQueen
ActivitiesS1Task42,DefeatAvarice,Expedition,@SeasonsActivities_DefeateAvarice
ActivitiesS1Task43,Craft1GypsumOrb,Crafting,@SeasonsActivities_Craft1GypsumOrb
ActivitiesS1Task56,Earn5000AmountOfAzothSalt,Pvp,@SeasonsActivities_Earn5000AzothSalt
ActivitiesS1Task59,Complete2PvPFactionMissions,Pvp,@SeasonsActivities_Complete2PvpFactionMissions
ActivitiesS1Task60,EarnVictoryInPvPArena,Pvp,@SeasonsActivities_FlawlessVictoryInPvpArena
ActivitiesS1Task61,Kill10EnemiesMyrkgard,Expedition,@SeasonsActivities_KillPOIMyrkgard
ActivitiesS1Task62,Kill10EnemiesImperialPalace,Expedition,@SeasonsActivities_KillPOIImperialPalace
ActivitiesS1Task63,Kill10EnemiesMalevolence,Expedition,@SeasonsActivities_KillPOIMalevolence
ActivitiesS1Task64,Kill10EnemiesEternalPool,Expedition,@SeasonsActivities_KillPOIEternalPool
ActivitiesS1Task65,Kill10EnemiesBedsOfTaBitJet,Expedition,@SeasonsActivities_KillPOIBedsOfTaBitJet
ActivitiesS1Task66,Kill2Named,Expedition,@SeasonsActivities_KillNamed
ActivitiesS1Task67,Kill20Elite,Expedition,@SeasonsActivities_KillElite
ActivitiesS1Task68,Gather1MaudlinDust,Season,@SeasonsActivities_Gather1MaudlinDust
ActivitiesS1Task69,CompleteSongMaudlinWaltz,Season,@SeasonsActivities_PlayMaudlinbugSong
ActivitiesS1Task70,Gather3AeternumSturgeon,Season,@SeasonsActivities_Gather3AeternumSturgeon
ActivitiesS1Task71,CompleteSongYAAAHHHH,Season,@SeasonsActivities_CompleteYahhhh
ActivitiesS1Task72,Complete2Songs,Crafting,@SeasonsActivities_Complete2Songs
ActivitiesS1Task73,Kill5Scorpions,Season,@SeasonsActivities_Kill5Scorpions
ActivitiesS1Task74,DefeatBrimstoneSandsBoss,Season,@SeasonsActivities_DefeatBrimstoneSandsBoss
ActivitiesS1Task75,Gather500Resources,Gathering,@SeasonsActivities_Gather500Resources
ActivitiesS1Task76,Kill10Dunewalkers,Season,@SeasonsActivities_Kill10Dunewalkers
ActivitiesS1Task77,KillNamedDunewalker,Season,@SeasonsActivities_KillNamedDunewalker
ActivitiesS1Task78,LootSulfurChest,Season,@SeasonsActivities_LootSulfurChest
ActivitiesS1Task79,Kill1Player,Pvp,@SeasonsActivities_Kill1Player
ActivitiesS1Task80,Gain100PvPXP,Pvp,@SeasonsActivities_Gain1000PvPXP
ActivitiesS1Task81,LootEliteChest,Expedition,@SeasonsActivities_LootEliteChest
