ActivitiesTaskId,Task,Type,Description,Active
ActivitiesS1Task35,Complete1Expedition_TheEmpyreanForge,Season,@SeasonsActivities_Complete1Expedition_TheEmpyreanForge,
ActivitiesS1Task36,Kill1NamedVarangianKnight,Season,@SeasonsActivities_Kill1NamedVarangianKnight,
ActivitiesS1Task37,Complete1MutatedExpedition,Expedition,@SeasonsActivities_Complete1MutatedExpedition,
ActivitiesS1Task39,Earn1000PvPXPFromPlayers,Pvp,@SeasonsActivities_Earn1000PvpXp,
ActivitiesS1Task40,DefeatZygormat,Expedition,@SeasonsActivities_DefeatZygormat,
ActivitiesS1Task41,DefeatTheSirenQueen,Expedition,@SeasonsActivities_DefeatSirenQueen,
ActivitiesS1Task42,DefeatAvarice,Expedition,@SeasonsActivities_DefeateAvarice,
ActivitiesS1Task43,Craft1GypsumOrb,Crafting,@SeasonsActivities_Craft1GypsumOrb,
ActivitiesS1Task48,Consume25T5Items,Gathering,@SeasonsActivities_ConsumeXofYT5Items,DISABLED
ActivitiesS1Task51,Slay20CorruptedRabbits_RabbitsRevenge,Season,@SeasonsActivities_Slay20CorruptedRabbits_RabbitsRevenge,RABBITSREVENGE_EVENT
ActivitiesS1Task52,Kill5WispyWasps,Season,@SeasonsActivities_Defeat5WispyWasps_SpringtideBloom,SPRINGTIDEBLOOM_EVENT
ActivitiesS1Task53,GatherWispybloomFlower,Season,@SeasonsActivities_Gather1WispybloomFlower_SpringtideBloom,SPRINGTIDEBLOOM_EVENT
ActivitiesS1Task54,Craft5WispySpritzes,Season,@SeasonsActivities_Craft5WispySpritzes_SpringtideBloom,SPRINGTIDEBLOOM_EVENT
ActivitiesS1Task55,Plant10WispySpritzes,Season,@SeasonsActivities_Plant10WispySpritzes_Springtide_Bloom,SPRINGTIDEBLOOM_EVENT
ActivitiesS1Task56,Earn5000AmountOfAzothSalt,Pvp,@SeasonsActivities_Earn5000AzothSalt,
ActivitiesS1Task57,Spend250AmountOfAzoth,Pve,@SeasonsActivities_Spend250AzothSalt,
ActivitiesS1Task59,Complete2PvPFactionMissions,Pvp,@SeasonsActivities_Complete2PvpFactionMissions,
ActivitiesS1Task60,EarnFlawlessVictoryInPvPArena,Pvp,@SeasonsActivities_FlawlessVictoryInPvpArena,
ActivitiesS1Task61,UseFlameCoreForgex1,Season,@SeasonsActivities_UseFlameCoreForgex1,
ActivitiesS1Task62,Activity_CraftUsingTimelessShard,Crafting,@SeasonsActivities_CraftUsingTimelessShard,
ActivitiesS1Task63,Activity_CraftUsingPoultryThigh,Crafting,@SeasonsActivities_CraftUsingPoultryThigh,
ActivitiesS1Task64,Activity_CraftUsingSumptuousRabbit,Crafting,@SeasonsActivities_CraftUsingSumptuousRabbit,
ActivitiesS1Task65,Activity_CraftUsingPrimeArmadillo,Crafting,@SeasonsActivities_CraftUsingPrimeArmadillo,
ActivitiesS1Task66,Activity_SalvageT5Named,Crafting,@SeasonsActivities_SalvageT5Named,
ActivitiesS1Task67,Activity_ConsumeT5Coating,Gathering,@SeasonsActivities_ConsumeT5Coating,
ActivitiesS1Task68,Activity_ConsumeT5TradeskillConsumable,Gathering,@SeasonsActivities_ConsumeT5TradeskillConsumable,
ActivitiesS1Task69,Activity_ConsumeT5ResistanceConsumable,Gathering,@SeasonsActivities_ConsumeT5ResistanceConsumable,
