SeasonsTaskID,SeasonsTrackedStatID,TaskMaxValue,Name,Description
Win3Arena,WinArena3x3,3,@ui_seasons_task_Win3PvPMatches_name,@ui_seasons_task_WinPvPMatches_desc
Complete2SongsAnyDifficultyGrouped,CompleteSongInGroup,2,@ui_seasons_task_CompleteSongsAnyDifficultyGrouped_name,@ui_seasons_task_CompleteSongsAnyDifficultyGrouped_desc
Complete1War,ParticipateInWar,1,@ui_seasons_task_Complete1War_name,@ui_seasons_task_Complete1War_desc
Complete2Invasions,ParticipateInInvasion,1,@ui_seasons_task_Complete2Invasions_name,@ui_seasons_task_CompleteInvasions_desc
Play10OutpostRush,PlayOutpostRush,10,@ui_seasons_task_Win10OutpostRush_name,@ui_seasons_task_WinOutpostRush_desc
Win1OutpostRushBy750Points,WinOutpostRushBy750,1,@ui_seasons_task_Win1OutpostRushBy750Points_name,@ui_seasons_task_Win1OutpostRushByPoints_desc
Kill500PlayersInOpenWorld,KillPlayerInOpenWorld,100,@ui_seasons_task_Kill500PlayersInOpenWorld_name,@ui_seasons_task_KillPlayersInOpenWorld_desc
Kill50PlayerInOpenWorld,KillPlayerInOpenWorld,15,@ui_seasons_task_KillAssist50PlayersInOpenWorld_name,@ui_seasons_task_KillAssistPlayersInOpenWorld_desc
CompleteQuest_TheEmpyreanForge,CompleteQuest_TheEmpyreanForge,1,@ui_seasons_task_CompleteQuest_TheEmpyreanForge_name,@ui_seasons_task_CompleteQuest_TheEmpyreanForge_desc
Complete1Expedition_TheEmpyreanForge,CompleteExpedition_TheEmpyreanForge,1,@ui_seasons_task_Complete1Expedition_TheEmpyreanForge_name,@ui_seasons_task_CompleteExpedition_TheEmpyreanForge_desc
Complete5Expedition_TheEmpyreanForge,CompleteExpedition_TheEmpyreanForge,5,@ui_seasons_task_Complete5Expedition_TheEmpyreanForge_name,@ui_seasons_task_CompleteExpedition_TheEmpyreanForge_desc
Complete10Expedition_TheEmpyreanForge,CompleteExpedition_TheEmpyreanForge,10,@ui_seasons_task_Complete10Expedition_TheEmpyreanForge_name,@ui_seasons_task_CompleteExpedition_TheEmpyreanForge_desc
CompleteQuest_FirstCustomer,CompleteQuest_FirstCustomer,1,@ui_seasons_task_CompleteQuest_FirstCustomer_name,@ui_seasons_task_CompleteQuest_FirstCustomer_desc
CompleteQuest_VineYards,CompleteQuest_VineYards,1,@ui_seasons_task_CompleteQuest_VineYards_name,@ui_seasons_task_CompleteQuest_VineYards_desc
CompleteQuest_DearlyBeloved,CompleteQuest_DearlyBeloved,1,@ui_seasons_task_CompleteQuest_DearlyBeloved_name,@ui_seasons_task_CompleteQuest_DearlyBeloved_desc
CompleteQuest_Showdown,CompleteQuest_Showdown,1,@ui_seasons_task_CompleteQuest_Showdown_name,@ui_seasons_task_CompleteQuest_Showdown_desc
CompleteQuest_CurseOfTheBones,CompleteQuest_CurseOfTheBones,1,@ui_seasons_task_CompleteQuest_CurseOfTheBones_name,@ui_seasons_task_CompleteQuest_CurseOfTheBones_desc
Kill100FlamePoweredVarangians,KillFlamePoweredVarangians,100,@ui_seasons_task_Kill100ForgedVaragians_name,@ui_seasons_task_KillFlamePoweredVaragians_desc
CompleteM10Expedition75000Score_TheEmpyreanForge,CompleteM10Expedition75000Score_TheEmpyreanForge,1,@ui_seasons_task_CompleteM10Expedition75000Score_TheEmpyreanForge_name,@ui_seasons_task_CompleteM10Expedition_TheEmpyreanForge_desc
CompleteEveryM10ExpeditionWithGoldRatingOrHigher,CompleteEveryM10ExpeditionWithGoldRatingOrHigher,1,@ui_seasons_task_CompleteEveryM10ExpeditionWithGoldRatingOrHigher_name,@ui_seasons_task_CompleteEveryM10ExpeditionWithGoldRatingOrHigher_desc
Craft250T5Items,CraftAnyT5Item,125,@ui_seasons_task_Craft125LegendaryItems_name,@ui_seasons_task_CraftLegendaryItems_desc
Complete1M1Expedition_TheEmpyreanForge,CompleteM1Expedition_TheEmpyreanForge,1,@ui_seasons_task_CompleteMutation1EmpyreanForge_name,@ui_seasons_task_CompleteMutation1EmpyreanForge_desc
Complete1M5Expedition_TheEmpyreanForge,CompleteM5Expedition_TheEmpyreanForge,1,@ui_seasons_task_CompleteMutation5EmpyreanForge_name,@ui_seasons_task_CompleteMutation5EmpyreanForge_desc
Complete1M10Expedition_TheEmpyreanForge,CompleteM10Expedition_TheEmpyreanForge,1,@ui_seasons_task_CompleteMutation10EmpyreanForge_name,@ui_seasons_task_CompleteMutation10EmpyreanForge_desc
UseFlameCoreForgex1,CraftUsingFlameCores,1,@ui_seasons_task_FlameCoreFunI_name,@ui_seasons_task_CraftUsingFlameCores_desc
UseFlameCoreForgex3,CraftUsingFlameCores,3,@ui_seasons_task_FlameCoreFunII_name,@ui_seasons_task_CraftUsingFlameCores_desc
UseFlameCoreForgex5,CraftUsingFlameCores,5,@ui_seasons_task_FlameCoreFunIII_name,@ui_seasons_task_CraftUsingFlameCores_desc
UseFlameCoreForgex10,CraftUsingFlameCores,10,@ui_seasons_task_FlameCoreFunIV_name,@ui_seasons_task_CraftUsingFlameCores_desc
Craft1HeartgemRuneT3,CraftHeartgemRuneT3,1,@ui_seasons_task_Craft1HeartgemRuneT3_name,@ui_seasons_task_Craft1HeartgemRuneT3_desc
Close15Breaches,GameEvent_Breach,15,@ui_seasons_task_Close15Breaches_name,@ui_seasons_task_CloseBreaches_desc
Close15MinorBreaches,GameEvent_MinorBreach,15,@ui_seasons_task_Close15MinorBreaches_name,@ui_seasons_task_CloseMinorBreaches_desc
Close25MajorBreaches,GameEvent_MajorBreach,25,@ui_seasons_task_Close25MajorBreaches_name,@ui_seasons_task_CloseMajorBreaches_desc
Complete3Trials,CompleteAnyTrial,3,@ui_seasons_task_Complete3Trials_name,@ui_seasons_task_CompleteTrials_desc
Commit5000ResourcesInOutpostRush,CommitResourcesInOutpostRush,5000,@ui_seasons_task_CommitResourcesInOutpostRush_name,@ui_seasons_task_CommitResourcesInOutpostRush_desc
LocateLostEasel,LocateLostEasel,1,@ui_seasons_task_LocateLostEasel_name,@ui_seasons_task_LocateLostEasel_desc
Close1MajorBreach,GameEvent_MajorBreach,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Close1MinorBreaches,GameEvent_MinorBreach,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill1Players,KillPlayer,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10Lost,KillLost,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10AngryEarth,KillAngryEarth,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10Ancients,KillAncient,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10Corrupted,KillCorrupted,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10Beasts,KillBeast,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
ParticipateIn1Duels,ParticipateInDuel,3,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10FlamePoweredVarangians,KillFlamePoweredVarangians,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete2TownProjects,CompleteTownProject,2,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete2FactionMissions,CompleteFactionMission,2,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Play1OutpostRush,PlayOutpostRush,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete1Expedition,CompleteExpedition,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill1NamedVarangianKnight,KillNamedVarangianKnight,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Salvage5T5Items,SalvageT5Item,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Win1FlawlessVictoryArena3x3,FlawlessVictoryArena3x3,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill5WispyWasps,KillWispyWasps,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Win3PvPMatches,WinPvPMatch,3,@ui_seasons_task_Win3PvPMatches_name,@ui_seasons_task_WinPvPMatches_desc
Complete1ActivityCard,CompleteActivityCard,1,@ui_seasons_task_Complete1ActivityCard_name,@ui_seasons_task_CompleteActivityCards_desc
Complete2ActivityCards,CompleteActivityCard,2,@ui_seasons_task_Complete2ActivityCards_name,@ui_seasons_task_CompleteActivityCards_desc
Complete6ActivityCards,CompleteActivityCard,6,@ui_seasons_task_Complete6ActivityCards_name,@ui_seasons_task_CompleteActivityCards_desc
Complete10ActivityCards,CompleteActivityCard,10,@ui_seasons_task_Complete10ActivityCards_name,@ui_seasons_task_CompleteActivityCards_desc
Complete3PvPRewardTracks,CategoricalProgressionPvPRewardTrack,3,@ui_seasons_task_Complete3PvPRewardTracks_name,@ui_seasons_task_Complete3PvPRewardTracks_desc
CompleteMutation10EmpryeanForge,CompleteMutationEmpyreanForge,10,@ui_seasons_task_CompleteMutation10EmpryeanForge_name,@ui_seasons_task_CompleteMutation10EmpryeanForge_desc
Gather100000Resources,GatherResource,100000,@ui_seasons_task_Gather10000Resources_name,@ui_seasons_task_Gather10000Resources_desc
Craft25GypsumOrbs,CraftGypsumOrb,25,@ui_seasons_task_Craft25GypsumOrbs_name,@ui_seasons_task_Craft25GypsumOrbs_desc
Craft100GypsumOrbs,CraftGypsumOrb,100,@ui_seasons_task_Craft100GypsumOrbs_name,@ui_seasons_task_Craft100GypsumOrbs_desc
Craft125LegendaryItems,CraftLegendaryItem,100,@ui_seasons_task_Craft125LegendaryItems_name,@ui_seasons_task_CraftLegendaryItems_desc
Gather5T5ResourceNodes,GatherT5ResourceNode,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Catch150lbsOfFish,CatchPoundageOfFish,15000,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Refine50T5Resources,RefineT5Resource,50,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
CatchTreasureChest,CatchTreasureChest,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Catch5RareFish,CatchRareFish,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
DefeatZygormat,KillZygormat,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
DefeatTheSirenQueen,KillTheSirenQueen,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
DefeatAvarice,KillAvarice,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
DefeatSirOlga,KillSirOlga,1,@ui_seasons_task_defeatsirolga_name,@ui_seasons_task_defeatsirolga_desc
Craft1GypsumOrb,CraftGypsumOrb,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
GatherWispybloomFlower,GatherWispybloomFlower,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete2PvPFactionMissions,CompletePvPFactionMission,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
EarnFlawlessVictoryInPvPArena,FlawlessVictoryArena3x3,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
CompleteFellowshipAndFireStory,CompleteQuest_ToBeContinued,1,@ui_seasons_task_CompleteFellowshipAndFireSeasonalStory_name,@ui_seasons_task_CompleteFellowshipAndFireSeasonalStory_desc
CompleteSpringtideBoomStory,UnlockSpringtideBoomStorylineAchievement,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Craft25GS600UsingFlameCore,CraftGS600UsingFlameCores,25,@ui_seasons_task_Craft25GS600UsingFlameCore_name,@ui_seasons_task_Craft25GS600UsingFlameCore_desc
Complete25M10ExpeditionWithGoldRank,CompleteM10ExpeditionWithGoldRank,25,@ui_seasons_task_Complete25M10ExpeditionWithGoldRank_name,@ui_seasons_task_Complete25M10ExpeditionWithGoldRank_desc
Craft5WispySpritzes,CraftWispySpritz,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Slay20CorruptedRabbits_RabbitsRevenge,KillCorruptedRabbit,20,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
CraftOrCook50Items,CraftOrCookItem,25,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Skin10T5Animals,SkinT5Animal,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Craft10T5Consumables,CraftT5Consumable,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Craft5T5WeaponOrApparel,CraftT5WeaponOrApparel,3,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
DealOrHeal100000InArena3v3,DamageOrHealInArena3v3,50000,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesOneHanded,KillWithOneHanded,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesTwoHanded,KillWithTwoHanded,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesRanged,KillWithRanged,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
ParticipateIn3Arena3x3,PlayArena3x3,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesMagic,KillWithMagic,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
GetKillingBlowOnEnemyInOutpostRush,KillingBlowInOutpostRush,1,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Consume25T5Items,ConsumeT5Item,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Plant10WispySpritzes,PlantWispySpritzes,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Earn5000AmountOfAzothSalt,EarnAzoth,1000,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Spend250AmountOfAzoth,SpendAzoth,250,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Complete10MutatedExpeditionsFlawlessly,CompleteMutatedExpeditionFlawlessly,10,@ui_seasons_task_Complete10MutatedExpeditionsFlawlessly_name,@ui_seasons_task_Complete10MutatedExpeditionsFlawlessly_desc
Earn1000PvPXPFromPlayers,CategoricalProgressionPvPXP,100,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
UseFlameCoreForgex30,CraftUsingFlameCores,30,@ui_seasons_task_Collect2500VarangianFlameCores_name,@ui_seasons_task_CraftUsingFlameCores_desc
Activity_CraftUsingTimelessShard,CraftUsingTimelessShard,5,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Activity_CraftUsingPoultryThigh,CraftUsingPoultryThigh,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Activity_CraftUsingSumptuousRabbit,CraftUsingSumptuousRabbit,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Activity_CraftUsingPrimeArmadillo,CraftUsingPrimeArmadillo,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Activity_SalvageT5Named,SalvageT5Named,3,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Activity_ConsumeT5Coating,ConsumeT5Coating,2,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Activity_ConsumeT5TradeskillConsumable,ConsumeT5TradeskillConsumable,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Activity_ConsumeT5ResistanceConsumable,ConsumeT5ResistanceConsumable,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesMyrkgard,KillPOIMyrkgard,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesImperialPalace,KillPOIImperialPalace,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesMalevolence,KillPOIMalevolence,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesEternalPool,KillPOIEternalPool,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill10EnemiesBedsOfTaBitJet,KillPOIBedsOfTaBitJet,10,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill2Named,KillNamed,2,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
Kill20Elite,KillElite,20,@ui_seasons_task_placeholder_name,@ui_seasons_task_placeholder_desc
