ProjectId,Cost,Level,Icon,Title,ChatNotificationTitle,ButtonLabel,Image,CurrentTier,CraftingAzothDiscount,Description,TerritoryProgressionNeeded,CompletionTimeMinutes,PrevLevelProjectId,NextLevelProjectId,ProjectType,DisplayColumn,ProgressionCategory,ProgressionCategoryName,ProgressionLevel,LifestyleBuffEffectId,LifestyleBuffEffectDuration
WeavingProjectId2,500000,2,LyShineUI\Images\Icons\Stations\loom.png,@ui_upgrade_title_WeavingProjectId2,@ui_upgrade_titleNoMarkup_WeavingProjectId3,@ui_upgrade_button_WeavingProjectId2,LyShineUI\Images\icons\items\blueprint\WeavingT3.png,4,0,@ui_upgrade_desc_WeavingProjectId2,1500,1440,WeavingProjectId,,Settlement,Settlement,Weaving,@weaving_station,2,,
TanningProjectId,10000,1,LyShineUI\Images\Icons\Stations\tanning.png,@ui_upgrade_title_TanningProjectId,@ui_upgrade_titleNoMarkup_TanningProjectId2,@ui_upgrade_button_TanningProjectId,LyShineUI\Images\icons\items\blueprint\TanningT3.png,3,0,@ui_upgrade_desc_TanningProjectId,900,1440,,TanningProjectId2,Settlement,Settlement,Tanning,@tanning_station,1,,
TanningProjectId2,500000,2,LyShineUI\Images\Icons\Stations\tanning.png,@ui_upgrade_title_TanningProjectId2,@ui_upgrade_titleNoMarkup_TanningProjectId3,@ui_upgrade_button_TanningProjectId2,LyShineUI\Images\icons\items\blueprint\TanningT3.png,4,0,@ui_upgrade_desc_TanningProjectId2,1500,1440,TanningProjectId,,Settlement,Settlement,Tanning,@tanning_station,2,,
EngineeringProjectId,10000,1,LyShineUI\Images\Icons\Stations\workshop.png,@ui_upgrade_title_EngineeringProjectId,@ui_upgrade_titleNoMarkup_EngineeringProjectId,@ui_upgrade_button_EngineeringProjectId,LyShineUI\Images\icons\items\blueprint\EngineeringT3.png,2,0.2,@ui_upgrade_desc_EngineeringProjectId,900,1440,,EngineeringProjectId2,Settlement,Settlement,Engineering,@engineering_station,1,,
EngineeringProjectId2,500000,2,LyShineUI\Images\Icons\Stations\workshop.png,@ui_upgrade_title_EngineeringProjectId2,@ui_upgrade_titleNoMarkup_EngineeringProjectId2,@ui_upgrade_button_EngineeringProjectId2,LyShineUI\Images\icons\items\blueprint\EngineeringT3.png,3,0.3,@ui_upgrade_desc_EngineeringProjectId2,1500,1440,EngineeringProjectId,EngineeringProjectId3,Settlement,Settlement,Engineering,@engineering_station,2,,
EngineeringProjectId3,1000000,3,LyShineUI\Images\Icons\Stations\workshop.png,@ui_upgrade_title_EngineeringProjectId3,@ui_upgrade_titleNoMarkup_EngineeringProjectId3,@ui_upgrade_button_EngineeringProjectId3,LyShineUI\Images\icons\items\blueprint\EngineeringT3.png,4,0.45,@ui_upgrade_desc_EngineeringProjectId3,3000,1440,EngineeringProjectId2,,Settlement,Settlement,Engineering,@engineering_station,3,,
OutfittingProjectId,10000,1,LyShineUI\Images\Icons\Stations\tailor.png,@ui_upgrade_title_OutfittingProjectId,@ui_upgrade_titleNoMarkup_OutfittingProjectId,@ui_upgrade_button_OutfittingProjectId,LyShineUI\Images\icons\items\blueprint\OutfittingT3.png,2,0.2,@ui_upgrade_desc_OutfittingProjectId,900,1440,,OutfittingProjectId2,Settlement,Settlement,Outfitting,@outfitting_station,1,,
OutfittingProjectId2,500000,2,LyShineUI\Images\Icons\Stations\tailor.png,@ui_upgrade_title_OutfittingProjectId2,@ui_upgrade_titleNoMarkup_OutfittingProjectId2,@ui_upgrade_button_OutfittingProjectId2,LyShineUI\Images\icons\items\blueprint\OutfittingT3.png,3,0.3,@ui_upgrade_desc_OutfittingProjectId2,1500,1440,OutfittingProjectId,OutfittingProjectId3,Settlement,Settlement,Outfitting,@outfitting_station,2,,
OutfittingProjectId3,1000000,3,LyShineUI\Images\Icons\Stations\tailor.png,@ui_upgrade_title_OutfittingProjectId3,@ui_upgrade_titleNoMarkup_OutfittingProjectId3,@ui_upgrade_button_OutfittingProjectId3,LyShineUI\Images\icons\items\blueprint\OutfittingT3.png,4,0.45,@ui_upgrade_desc_OutfittingProjectId3,3000,1440,OutfittingProjectId2,,Settlement,Settlement,Outfitting,@outfitting_station,3,,
AlchemistProjectId,10000,1,LyShineUI\Images\Icons\Stations\arcanist.png,@ui_upgrade_title_AlchemistProjectId,@ui_upgrade_titleNoMarkup_AlchemistProjectId,@ui_upgrade_button_AlchemistProjectId,LyShineUI\Images\icons\items\blueprint\AlchemyT3.png,2,0.2,@ui_upgrade_desc_AlchemistProjectId,900,1440,,AlchemistProjectId2,Settlement,Settlement,Alchemy,@alchemy_station,1,,
AlchemistProjectId2,500000,2,LyShineUI\Images\Icons\Stations\arcanist.png,@ui_upgrade_title_AlchemistProjectId2,@ui_upgrade_titleNoMarkup_AlchemistProjectId2,@ui_upgrade_button_AlchemistProjectId2,LyShineUI\Images\icons\items\blueprint\AlchemyT3.png,3,0.3,@ui_upgrade_desc_AlchemistProjectId2,1500,1440,AlchemistProjectId,AlchemistProjectId3,Settlement,Settlement,Alchemy,@alchemy_station,2,,
AlchemistProjectId3,1000000,3,LyShineUI\Images\Icons\Stations\arcanist.png,@ui_upgrade_title_AlchemistProjectId3,@ui_upgrade_titleNoMarkup_AlchemistProjectId3,@ui_upgrade_button_AlchemistProjectId3,LyShineUI\Images\icons\items\blueprint\AlchemyT3.png,4,0.45,@ui_upgrade_desc_AlchemistProjectId3,3000,1440,AlchemistProjectId2,,Settlement,Settlement,Alchemy,@alchemy_station,3,,
CookingProjectId,10000,1,LyShineUI\Images\Icons\Stations\kitchen.png,@ui_upgrade_title_CookingProjectId,@ui_upgrade_titleNoMarkup_CookingProjectId,@ui_upgrade_button_CookingProjectId,LyShineUI\Images\icons\items\blueprint\CookingT3.png,2,0,@ui_upgrade_desc_CookingProjectId,900,1440,,CookingProjectId2,Settlement,Settlement,Cooking,@cooking_station,1,,
CookingProjectId2,500000,2,LyShineUI\Images\Icons\Stations\kitchen.png,@ui_upgrade_title_CookingProjectId2,@ui_upgrade_titleNoMarkup_CookingProjectId2,@ui_upgrade_button_CookingProjectId2,LyShineUI\Images\icons\items\blueprint\CookingT3.png,3,0,@ui_upgrade_desc_CookingProjectId2,1500,1440,CookingProjectId,CookingProjectId3,Settlement,Settlement,Cooking,@cooking_station,2,,
CookingProjectId3,1000000,3,LyShineUI\Images\Icons\Stations\kitchen.png,@ui_upgrade_title_CookingProjectId3,@ui_upgrade_titleNoMarkup_CookingProjectId3,@ui_upgrade_button_CookingProjectId3,LyShineUI\Images\icons\items\blueprint\CookingT3.png,4,0,@ui_upgrade_desc_CookingProjectId3,3000,1440,CookingProjectId2,,Settlement,Settlement,Cooking,@cooking_station,3,,
FortGatesProjectId,50000,1,LyShineUI\Images\Icons\Territory\icon_fort_gate.png,@ui_upgrade_title_FortGatesProjectId,@ui_upgrade_titleNoMarkup_FortGatesProjectId,@ui_upgrade_button_FortGatesProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_gate.png,1,,@ui_upgrade_desc_FortGatesProjectId,900,1440,,FortGatesProjectId2,Fortress,Fortress,FortGates,@ui_gates,1,,
FortGatesProjectId2,1000000,2,LyShineUI\Images\Icons\Territory\icon_fort_gate.png,@ui_upgrade_title_FortGatesProjectId2,@ui_upgrade_titleNoMarkup_FortGatesProjectId2,@ui_upgrade_button_FortGatesProjectId2,LyShineUI\Images\Territory\townProjectImages\townProject_gate.png,2,,@ui_upgrade_desc_FortGatesProjectId2,1500,1440,FortGatesProjectId,,Fortress,Fortress,FortGates,@ui_gates,2,,
FortHardPointsProjectId,50000,1,LyShineUI\Images\Icons\Territory\icon_fort_hardpoint.png,@ui_upgrade_title_FortHardPointsProjectId,@ui_upgrade_titleNoMarkup_FortHardPointsProjectId,@ui_upgrade_button_FortHardPointsProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_hardpoints.png,1,,@ui_upgrade_desc_FortHardPointsProjectId,900,1440,,FortHardPointsProjectId2,Fortress,Fortress,FortHardPoints,@ui_hard_points,1,,
FortHardPointsProjectId2,1000000,2,LyShineUI\Images\Icons\Territory\icon_fort_hardpoint.png,@ui_upgrade_title_FortHardPointsProjectId2,@ui_upgrade_titleNoMarkup_FortHardPointsProjectId2,@ui_upgrade_button_FortHardPointsProjectId2,LyShineUI\Images\Territory\townProjectImages\townProject_hardpoints.png,2,,@ui_upgrade_desc_FortHardPointsProjectId2,1500,1440,FortHardPointsProjectId,,Fortress,Fortress,FortHardPoints,@ui_hard_points,2,,
BallistaUpgradeProjectId,50000,1,LyShineUI\Images\Icons\Territory\icon_fort_ballista.png,@ui_upgrade_title_BallistaProjectId,@ui_upgrade_titleNoMarkup_BallistaProjectId,@ui_upgrade_button_BallistaProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_ballistaT2.png,1,,@ui_upgrade_desc_BallistaProjectId,900,1440,,BallistaUpgradeProjectId2,Fortress,Fortress,BallistaUpgrade,@siege_turret_ballista,1,,
BallistaUpgradeProjectId2,1000000,2,LyShineUI\Images\Icons\Territory\icon_fort_ballista.png,@ui_upgrade_title_BallistaProjectId2,@ui_upgrade_titleNoMarkup_BallistaProjectId2,@ui_upgrade_button_BallistaProjectId2,LyShineUI\Images\Territory\townProjectImages\townProject_ballistaT3.png,2,,@ui_upgrade_desc_BallistaProjectId2,1500,1440,BallistaUpgradeProjectId,,Fortress,Fortress,BallistaUpgrade,@siege_turret_ballista,2,,
FireBarrelUpgradeProjectId,50000,1,LyShineUI\Images\Icons\Territory\icon_fort_firebarrel.png,@ui_upgrade_title_FireBarrelProjectId,@ui_upgrade_titleNoMarkup_FireBarrelProjectId,@ui_upgrade_button_FireBarrelProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_firebarrelT2.png,1,,@ui_upgrade_desc_FireBarrelProjectId,900,1440,,FireBarrelUpgradeProjectId2,Fortress,Fortress,FireBarrelUpgrade,@siege_turret_firebarrel,1,,
FireBarrelUpgradeProjectId2,1000000,2,LyShineUI\Images\Icons\Territory\icon_fort_firebarrel.png,@ui_upgrade_title_FireBarrelProjectId2,@ui_upgrade_titleNoMarkup_FireBarrelProjectId2,@ui_upgrade_button_FireBarrelProjectId2,LyShineUI\Images\Territory\townProjectImages\townProject_firebarrelT3.png,2,,@ui_upgrade_desc_FireBarrelProjectId2,1500,1440,FireBarrelUpgradeProjectId,,Fortress,Fortress,FireBarrelUpgrade,@siege_turret_firebarrel,2,,
RepeaterUpgradeProjectId,50000,1,LyShineUI\Images\Icons\Territory\icon_fort_repeater.png,@ui_upgrade_title_RepeaterProjectId,@ui_upgrade_titleNoMarkup_RepeaterProjectId,@ui_upgrade_button_RepeaterProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_repeaterT2.png,1,,@ui_upgrade_desc_RepeaterProjectId,900,1440,,RepeaterUpgradeProjectId2,Fortress,Fortress,RepeaterUpgrade,@siege_turret_repeater,1,,
RepeaterUpgradeProjectId2,1000000,2,LyShineUI\Images\Icons\Territory\icon_fort_repeater.png,@ui_upgrade_title_RepeaterProjectId2,@ui_upgrade_titleNoMarkup_RepeaterProjectId2,@ui_upgrade_button_RepeaterProjectId2,LyShineUI\Images\Territory\townProjectImages\townProject_repeaterT3.png,2,,@ui_upgrade_desc_RepeaterProjectId2,1500,1440,RepeaterUpgradeProjectId,,Fortress,Fortress,RepeaterUpgrade,@siege_turret_repeater,2,,
HornUpgradeProjectId,50000,1,LyShineUI\Images\Icons\Territory\icon_fort_horn.png,@ui_upgrade_title_HornProjectId,@ui_upgrade_titleNoMarkup_HornProjectId,@ui_upgrade_button_HornProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_warhornT2.png,1,,@ui_upgrade_desc_HornProjectId,900,1440,,HornUpgradeProjectId2,Fortress,Fortress,HornUpgrade,@ui_warhorns,1,,
HornUpgradeProjectId2,1000000,2,LyShineUI\Images\Icons\Territory\icon_fort_horn.png,@ui_upgrade_title_HornProjectId2,@ui_upgrade_titleNoMarkup_HornProjectId2,@ui_upgrade_button_HornProjectId2,LyShineUI\Images\Territory\townProjectImages\townProject_warhornT3.png,2,,@ui_upgrade_desc_HornProjectId2,1500,1440,HornUpgradeProjectId,,Fortress,Fortress,HornUpgrade,@ui_warhorns,2,,
ExplosiveUpgradeProjectId,50000,1,LyShineUI\Images\Icons\Territory\icon_fort_explosive.png,@ui_upgrade_title_ExplosiveProjectId,@ui_upgrade_titleNoMarkup_ExplosiveProjectId,@ui_upgrade_button_ExplosiveProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_explosiveLauncherT2.png,1,,@ui_upgrade_desc_ExplosiveProjectId,900,1440,,ExplosiveUpgradeProjectId2,Fortress,Fortress,ExplosiveUpgrade,@siege_turret_explosive,1,,
ExplosiveUpgradeProjectId2,1000000,2,LyShineUI\Images\Icons\Territory\icon_fort_explosive.png,@ui_upgrade_title_ExplosiveProjectId2,@ui_upgrade_titleNoMarkup_ExplosiveProjectId2,@ui_upgrade_button_ExplosiveProjectId2,LyShineUI\Images\Territory\townProjectImages\townProject_explosiveLauncherT3.png,2,,@ui_upgrade_desc_ExplosiveProjectId2,1000,1440,ExplosiveUpgradeProjectId,,Fortress,Fortress,ExplosiveUpgrade,@siege_turret_explosive,2,,
LumberJackSpiritProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_logging.png,@lifestyle_title_LumberJackSpiritProjectId,@lifestyle_title_LumberJackSpiritProjectId,@lifestyle_button_LumberJackSpiritProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_loggingBuff.png,2,,@lifestyle_desc_LumberJackSpiritProjectId,1000,1440,,,Lifestyle,Lifestyle,LumberJackSpirit,@lifestyle_gathering_buff,1,LumberJackSpiritLSB,4320
MinersResolveProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_mining.png,@lifestyle_title_MinersResolveProjectId,@lifestyle_title_MinersResolveProjectId,@lifestyle_button_MinersResolveProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_miningBuff.png,2,,@lifestyle_desc_MinersResolveProjectId,1000,1440,,,Lifestyle,Lifestyle,MinersResolve,@lifestyle_gathering_buff,1,MinersResolveLSB,4320
HuntersBountyProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_skinning.png,@lifestyle_title_HuntersBountyProjectId,@lifestyle_title_HuntersBountyProjectId,@lifestyle_button_HuntersBountyProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_skinningBuff.png,2,,@lifestyle_desc_HuntersBountyProjectId,1000,1440,,,Lifestyle,Lifestyle,HuntersBounty,@lifestyle_gathering_buff,1,HuntersBountyLSB,4320
FarmersHarvestProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_farming.png,@lifestyle_title_FarmersHarvestProjectId,@lifestyle_title_FarmersHarvestProjectId,@lifestyle_button_FarmersHarvestProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_farmingBuff.png,2,,@lifestyle_desc_FarmersHarvestProjectId,1000,1440,,,Lifestyle,Lifestyle,FarmersHarvest,@lifestyle_gathering_buff,1,FarmersHarvestLSB,4320
ArcaneBlessingProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_damage.png,@lifestyle_title_ArcaneBlessingProjectId,@lifestyle_title_ArcaneBlessingProjectId,@lifestyle_button_ArcaneBlessingProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_damageBuff.png,2,,@lifestyle_desc_ArcaneBlessingProjectId,1000,1440,,,Lifestyle,Lifestyle,ArcaneBlessing,@lifestyle_combat_buff,1,ArcaneBlessingLSB,4320
HaleAndHeartyProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_HP.png,@lifestyle_title_HaleAndHeartyProjectId,@lifestyle_title_HaleAndHeartyProjectId,@lifestyle_button_HaleAndHeartyProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_hpBuff.png,2,,@lifestyle_desc_HaleAndHeartyProjectId,1000,1440,,,Lifestyle,Lifestyle,HaleAndHearty,@lifestyle_combat_buff,1,HaleandHeartyLSB,4320
StalwartProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_defense.png,@lifestyle_title_StalwartProjectId,@lifestyle_title_StalwartProjectId,@lifestyle_button_StalwartProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_defenseBuff.png,2,,@lifestyle_desc_StalwartProjectId,1000,1440,,,Lifestyle,Lifestyle,Stalwart,@lifestyle_combat_buff,1,StalwartLSB,4320
OutfittersInspirationProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_outfitting.png,@lifestyle_title_OutfittersInspirationProjectId,@lifestyle_title_OutfittersInspirationProjectId,@lifestyle_button_OutfittersInspirationProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_outfittingBuff.png,2,,@lifestyle_desc_OutfittersInspirationProjectId,1000,1440,,,Lifestyle,Lifestyle,OutfittersInspiration,@lifestyle_crafting_buff,1,OutfittersInspirationLSB,4320
BlacksmithTemperamentProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_blacksmith.png,@lifestyle_title_BlacksmithTemperamentProjectId,@lifestyle_title_BlacksmithTemperamentProjectId,@lifestyle_button_BlacksmithTemperamentProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_blacksmithBuff.png,2,,@lifestyle_desc_BlacksmithTemperamentProjectId,1000,1440,,,Lifestyle,Lifestyle,BlacksmithTemperament,@lifestyle_crafting_buff,1,BlacksmithTemperamentLSB,4320
ArcaneWisdomProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_arcane.png,@lifestyle_title_ArcaneWisdomProjectId,@lifestyle_title_ArcaneWisdomProjectId,@lifestyle_button_ArcaneWisdomProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_alchemyBuff.png,2,,@lifestyle_desc_ArcaneWisdomProjectId,1000,1440,,,Lifestyle,Lifestyle,ArcaneWisdom,@lifestyle_crafting_buff,1,ArcaneWisdomLSB,4320
ChefsPassionProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_cooking.png,@lifestyle_title_ChefsPassionProjectId,@lifestyle_title_ChefsPassionProjectId,@lifestyle_button_ChefsPassionProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_cookingBuff.png,2,,@lifestyle_desc_ChefsPassionProjectId,1000,1440,,,Lifestyle,Lifestyle,ChefsPassion,@lifestyle_crafting_buff,1,ChefsPassionLSB,4320
EngineersPatienceProjectId,250000,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_engineering.png,@lifestyle_title_EngineersPatienceProjectId,@lifestyle_title_EngineersPatienceProjectId,@lifestyle_button_EngineersPatienceProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_engineeringBuff.png,2,,@lifestyle_desc_EngineersPatienceProjectId,1000,1440,,,Lifestyle,Lifestyle,EngineersPatience,@lifestyle_crafting_buff,1,EngineersPatienceLSB,4320
CommunityProjectId,0,1,LyShineUI\Images\Icons\Territory\icon_lifestyle_HP.png,@ui_AlwaysAvailableProjectId,@ui_AlwaysAvailableProjectId,@ui_upgrade_button_CookingProjectId,LyShineUI\Images\Territory\townProjectImages\townProject_hpBuff.png,1,,@ui_always_available_projectId,0,1,,,AlwaysAvailable,AlwaysAvailable,AlwaysAvailable,@ui_always_available_category,1,,
