Modifiers,Experience,Currency,CurrencyRewardChance,TerritoryStanding,Azoth,LootDropModifier,FactionReputationModifier,FactionTokenModifier,ProgressionCurrencyAmount,AzothSaltModifier,PvpXpModifier,SeasonsXpModifier,Found in,DisplayName
DungeonMiniBoss,30,0,1,0,1,1,,,,,,15,Flags on vitals,
DungeonBoss,30,1.5,1,0,1,1,,,,,,15,Flags on vitals,
OutpostRushSolo,0,0,,0,0,1,,,,,,0,,
OutpostRushSolo+,0,0,,0,0,1,,,,,,0,,
OutpostRushElite,0,0,,0,0,1,,,,,,0,,
OutpostRushGroup+,0,0,,0,0,1,,,,,,0,,
FactionMissionBonus,2,9,,0,0,1,,4,,,,0,,@owg_activebonus_type_dailybonus
AffinityMissionBonus,2,100,,0,0,1,,4,,,,0,,@affinity_activebonus_type_dailybonus
ObjectivePOI,15,10,,350,0,1,,,,,,0,New POI repeatable objectives,
ObjectivePOI-,12.5,7.5,,275,0,1,,,,,,0,New POI repeatable objectives,
ObjectivePOI+,20,12.5,,425,0,1,,,,,,0,New POI repeatable objectives,
PvpKill_Low,0,0,,0,0,0,0,0,,0.25,0.25,5,Flags on Player Kills in PvP,
PvpKill_High,4,20,,0,0,0.5,300,350,,4,4,25,Flags on Player Kills in PvP,
PvpKill_ExtraHigh,4,20,,0,0,0.75,400,450,,8,8,50,Flags on Player Kills in PvP,
Player,5,1,,0,0,1,,,,,,1,Vitals Gameevent Override,
Ally,5,1,,0,0,1,,,,,,1,Vitals Gameevent Override,
AllyObjective,5,1,,0,0,1,,,,,,1,Vitals Gameevent Override,
Invasion_T1,1,7,,1.25,1,1,1,1.25,,0,0,50,Invasion Reward,
Invasion_T2,1.125,9,,1.5,1.125,1,1.125,1.5,,0,0,50,Invasion Reward,
Invasion_T3,1.4,11,,1.75,1.4,1,1.4,1.75,,0,0,50,Invasion Reward,
Invasion_T4,1.6,12,,2,1.6,1,1.6,2,,0,0,50,Invasion Reward,
War_T1,1,5,,0,1,1,1,1,,2500,2500,50,War Reward,
War_T2,2,6,,0,1.125,1,1.125,1.125,,3250,3250,50,War Reward,
War_T3,4,7,,0,1.4,1,1.4,1.4,,4000,3600,50,War Reward,
War_T4,8,8,,0,1.6,1,1.6,1.6,,5500,4000,50,War Reward,
War_T1_With_Defender_Bonus,1,5,,0,1,1,1,1,,2500,2500,50,War Reward,
War_T2_With_Defender_Bonus,2,6,,0,1.125,1,1.125,1.125,,3250,3250,50,War Reward,
War_T3_With_Defender_Bonus,4,7,,0,1.4,1,1.4,1.4,,4000,3600,50,War Reward,
War_T4_With_Defender_Bonus,8,8,,0,1.6,1,1.6,1.6,,5500,4000,50,War Reward,
OutpostRush_T1,0,2,,0,0.5,1,1,1,,500,2000,0,OR Reward,
OutpostRush_LOSS_T1,0,3,,0,0.7,1,1.125,1.125,,3250,2800,0,OR Reward,
OutpostRush_T2,0,3,,0,0.7,1,1.125,1.125,,3250,2800,25,OR Reward,
OutpostRush_T3,0,3.5,,0,0.8,1,1.4,1.4,,4000,3000,25,OR Reward,
OutpostRush_T4,0,4,,0,1,1,1.6,1.6,,5500,3500,25,OR Reward,
CaptureTheFlag_T1,0,1,,0,0.25,1,1,1,,150,650,0,CTF Reward,
CaptureTheFlag_LOSS_T1,0,2,,0,0.35,1,1,1,,1075,925,0,CTF Reward,
CaptureTheFlag_T2,0,2.7778,,0,0.3,1,0.6875,1,,550,800,15,CTF Reward,
CaptureTheFlag_T3,1.1459,2.7778,,0,0.4,1,1,1.375,,800,1100,15,CTF Reward,
CaptureTheFlag_T4,0,2.7778,,0,0.5,1,1.375,1.6875,,1100,1350,15,CTF Reward,
Arena3v3_Loss,0,,,,,1,,,,,,0,,
Arena3v3_Win_3_Round,1,,,,,1,,,,,,0,,
Arena3v3_Win_2_Round,1,,,,,1,,,,,,0,,
Arena3v3_Win_1_Round,1,,,,,1,,,,,,0,,
Solo_StarterBeach,1,1,,0,0,1,,,,,,0,Flags on vitals,
Solo-_StarterBeach,0.5,0.5,,0,0,1,,,,,,0,Flags on vitals,
Solo+_StarterBeach,2,1.15,,0,0,1,,,,,,0,Flags on vitals,
Raid20Boss,1,1.35,,0,1,1,,,,,,0,,
Raid20MiniBoss,1,1.35,,0,1,1,,,,,,0,,
Raid20+,1,1.35,,0,1,1,,,,,,0,,
Raid20,1,1.35,,0,1,1,,,,,,0,,
Raid20-,1,1.35,,0,1,1,,,,,,0,,
Raid10Boss,1,1.35,,0,1,1,,,,,,0,,
Raid10MiniBoss,1,1.35,,0,1,1,,,,,,0,,
Raid10+,1,1.35,,0,1,1,,,,,,0,,
Raid10,1,1.35,,0,1,1,,,,,,0,,
Raid10-,1,1.35,,0,1,1,,,,,,0,,
Catacombs,0,0,,0,1,1,,,,,,0,Flags on vitals,
Catacombs-,0,0,,0,1,1,,,,,,0,Flags on vitals,
Catacombs+,0,0,,0,1,1,,,,,,0,Flags on vitals,
CatacombsMiniBoss,0,0,0,0,1,1,,,,,,0,Flags on vitals,
CatacombsBoss,0,0,0,0,1,1,,,,,,0,Flags on vitals,
