StatusEffectCategoryID,DurationDiminishingMod,DurationModMin,DurationModMax,PotencyDiminishingMod,PotencyModMin,PotencyModMax,ValueLimits
UnclampedFortify,,,,,,,"ABSStandard:5.0,ABSSiege:5.0,ABSStrike:5.0,ABSSlash:5.0,ABSThrust:5.0,ABSArcane:5.0,ABSFire:5.0,ABSIce:5.0,ABSNature:5.0,ABSLightning:5.0,ABSCorruption:5.0,ABSAcid:5.0"
UnclampedWeaken,,,,,,,"DMGStandard:0,DMGSiege:0,DMGStrike:0,DMGSlash:0,DMGThrust:0,DMGArcane:0,DMGFire:0,DMGIce:0,DMGNature:0,DMGLightning:0,DMGCorruption:0,DMGAcid:0"
UnclampedEmpower,,,,,,,"DMGStandard:5.0,DMGSiege:5.0,DMGStrike:5.0,DMGSlash:5.0,DMGThrust:5.0,DMGArcane:5.0,DMGFire:5.0,DMGIce:5.0,DMGNature:5.0,DMGLightning:5.0,DMGCorruption:5.0,DMGAcid:5.0"
UnclampedDisease,,,,,,,"HealMod:-1.0,NonConsumableHealMod:-1.0,ConsumableHealMod:-1.0,DmgPctToHealthHealMod:-1.0"
UnclampedHaste,,,,0,0,0,"MoveSpeedMod:1,SprintSpeedMod:1"
UnclampedFactionResourceMod,,,,,,,"FactionReputationMod:3.0,FactionTokensMod:3.0 "
UnclampedAzothMod,,,,,,,AzothMod:3.0
FishingBuff,,,,,,,"FishingLineStrength:3.0,FishSizeRollModifier:3.0,FishRarityRollModifier:3.0,SummerFishRarityRollModifier:3.0"
SturgeonFishingBuff,,,,,,,SummerFishRarityRollModifier:0.5
Hearty,,,0,0,0,0,MaxHealth:5.0
NonDispellableWeaken,,,,,,,"DMGStandard:0.5,DMGSiege:0.5,DMGStrike:0.5,DMGSlash:0.5,DMGThrust:0.5,DMGArcane:0.5,DMGFire:0.5,DMGIce:0.5,DMGNature:0.5,DMGLightning:0.5,DMGCorruption:0.5,DMGAcid:0.5"
NonDispellableEmpower,,,,,,,"DMGStandard:1.5,DMGSiege:1.5,DMGStrike:1.5,DMGSlash:1.5,DMGThrust:1.5,DMGArcane:1.5,DMGFire:1.5,DMGIce:1.5,DMGNature:1.5,DMGLightning:1.5,DMGCorruption:1.5,DMGAcid:1.5"
CCDurReduction,,,,0,0,0,EffectDurationMods:-0.9
Energized,,,,0,0,0,StaminaRate:0.5
Exhaust,,,,0,0,0,StaminaRate:-0.5
UnclampedEnergized,,,,0,0,0,StaminaRate:2
UnclampedExhaust,,,,0,0,0,StaminaRate:-1
SporeOffense,,,,0,0,0,
SporeDefense,,,,0,0,0,
SporeSecondary,,,,0,0,0,
Shrivelled,,,,,,,HealScalingValueMultiplier:-0.5
MammothEmpowered,,,0,0,0,0,
NonDispellableSlow,-0.2,-0.8,0,0,0,0,"MoveSpeedMod:-0.5,SprintSpeedMod:-0.5"
TraversalHaste,,,0,0,0,0,"MoveSpeedMod:0.5,SprintSpeedMod:0.5"
Taunt,,,0,0,0,0,
