TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TargetDescriptionTaskId,TP_DescriptionTag,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
08a04_08a04_d_04_TaskKillContribution_threewaves,TaskKillContribution,,1,5,,,,,true,,graveyard_40338,,,,,,,,,,,,,Ghost_Starved_08QP07,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KembaFriends_Obj_FightFriends_desc,,,,,,,,,,,,,,,,,,
08a03_08a11_d_00_container_TigerTiger,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a03_08a11_d_01_TaskGoToPOITag_tigercave,08a03_08a11_d_01a_Container,,,
08a03_08a11_d_01_TaskGoToPOITag_tigercave,TaskGoToPOITag,,1,,,,,,true,,Tiger_Cave_30236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KillTigers_Obj_GoToCave_desc,,,,,,,,,,,,,,,,,,
08a03_08a11_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,08a03_08a11_d_02a_TaskKillContribution_RegularTigers,08a03_08a11_d_03_TaskKillContribution_NamedTiger,,,
08a03_08a11_d_02_TaskHaveAndReturnItems_10TrophyTeeth,TaskHaveAndReturnItems,,1,4,0811_0101_TrophyTeeth,Tiger_08QP02,75,,true,,Tiger_Cave_30236,,,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KillTigers_Obj_GetTeeth_desc,,,,,,,,,,,,,,,,,,
08a03_08a11_d_02a_TaskKillContribution_RegularTigers,TaskKillContribution,,1,4,,,,,true,,Tiger_Cave_30236,,,,,,,,,,,,,Tiger_08QP02,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KillTigers_Obj_KillNamedTiger_desc,7037.198242 5334.890625 158.515640,,,,,,,,,,,,,,,,,
08a03_08a11_d_03_TaskKillContribution_NamedTiger,TaskKillContribution,,1,1,,,,,true,,Tiger_Cave_30236,,,,,,,,,,,,,tiger_named_08QP02,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KillTigers_Obj_KillNamedTiger_desc,7082.157715 5331.450684 174.688828,,,,,,,,,,,,,,,,,
0828_0801_d_00_container_Deadeye,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0828_0801_d_01_TaskGoToPOITag_camp,0828_0801_d_02_TaskKillContribution_corrupted,0828_0801_d_03_TaskGameEvent_Shoot,0828_0801_d_04_TaskGameEvent_GiveGem,
0828_0801_d_01_TaskGoToPOITag_camp,TaskGoToPOITag,,1,,,,,,,,dynasty_camp_30237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KnockDownIdol_Obj_GoToCamp_desc,,,,,,,,,,,,,,,,,,
0828_0801_d_02_TaskKillContribution_corrupted,TaskKillContribution,,1,3,,,,,true,,dynasty_camp_30237,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_DisruptMeeting_Obj_FightCorrupted_desc,,,,,,,,,,,,,,,,,,
0828_0801_d_03_TaskGameEvent_Shoot,TaskGameEvent,,1,1,,,,,,,dynasty_camp_30237,,,,,,,,,,IO_0804_CorruptedNodule,,,0804_CorruptedNodule_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_KnockDownIdol_Obj_ShootIdol_desc,7327 5935 117,,,,,,,,,,,,,,,,,
0828_0801_d_04_TaskGameEvent_GiveGem,TaskGiveItem,,1,1,0828_0801_CorruptedGem,,,100,,,dynasty_camp_30237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0828_0802_d_00_container_Trinkets,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0828_0802_d_01a_container,0828_0801_d_02_Swap_YueLai_Off,0828_0801_d_02_Swap_YueLai01_On,,
0828_0802_d_01a_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0828_0802_d_02_GoToPOITag_North,0828_0802_d_03_TaskGameEvent_Heirlooms1,,,
0828_0802_d_02_GoToPOITag_North,TaskGoToPOITag,,1,,,,,,true,,Dynasty_Wall_30243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_StealBackArtifacts_Obj_GotoNorth_desc,,,,,,,,,,,,,,,,,,
0828_0802_d_03_TaskGameEvent_Heirlooms1,TaskGameEvent,,1,5,,,,,true,,Dynasty_Wall_30243,,,,,,,,,,IO_0828_Heirloom,,,0828_Heirlooms_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_StealBackArtifacts_Obj_GetNorthHeirlooms_desc,,,,,,,,,,,,,,,,,,
0828_0801_d_02_Swap_YueLai_Off,TaskUnlockAchievement,,,1,SwapActive_0828_YueLai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0828_0801_d_02_Swap_YueLai01_On,TaskUnlockAchievement,,,1,SwapActive_0828_YueLai_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0827_0801_d_00_container_Brothers,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0827_0801_d_01_TaskGoToPOITag_Thunder,0827_0801_d_01a_Container,,,
0827_0801_d_01_TaskGoToPOITag_Thunder,TaskGoToPOITag,,1,,,,,,true,,Pirate_Harbor_30239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_TeachIdiots_Obj_GoToIdiots_desc,,,,,,,,,,,,,,,,,,
0827_0801_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0827_0801_d_02_TaskKillContribution_Bartolome,0827_0801_d_03_TaskKillContribution_Bartholomew,,,
0827_0801_d_02_TaskKillContribution_Bartolome,TaskKillContribution,,1,1,,,,,true,,Pirate_Harbor_30239,,,,,,,,,,,,,Undead_Officer_Named_08QP02,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_TeachIdiots_Obj_BeatIdiot1_desc,6541.91 5733.17 75,,,,,,,,,,,,,,,,,
0827_0801_d_03_TaskKillContribution_Bartholomew,TaskKillContribution,,1,1,,,,,true,,Pirate_Harbor_30239,,,,,,,,,,,,,Undead_Berserker_Named_08QP02,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_TeachIdiots_Obj_BeatIdiot2_desc,6357.38 5689.00 44,,,,,,,,,,,,,,,,,
08a02_08a01_d_00_container_TheShowMustGoOn,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a02_08a01_d_01_TaskHaveAndReturnItems_8_Pigment,,,,
08a02_08a01_d_01_TaskHaveAndReturnItems_8_Pigment,TaskGatherAndReturnItems,,1,5,0801_0101_BlackPigment,PigmentPlantBlack,100,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectFungus_Obj_GetFungus_desc,,,,,,,,,,,,,,,,,,
08a05_08a09_d_00_container_StudyInGreen,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a05_08a09_d_01_TaskGoToPOITag_ruins,08a05_08a09_d_02_TaskHaveAndReturnItems_dryadwood,,,
08a05_08a09_d_01_TaskGoToPOITag_ruins,TaskGoToPOITag,,1,,,,,,true,,Dryad_Ruins_30233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectDryadWood_Obj_GoToRuins_desc,,,,,,,,,,,,,,,,,,
08a05_08a09_d_02_TaskHaveAndReturnItems_dryadwood,TaskHaveAndReturnItems,,1,5,0809_0101_DryadWood,MossMire_Dryads,75,,true,,Dryad_Ruins_30233,,,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectDryadWood_Obj_GetWoodFromDryads_desc,,,,,,,,,,,,,,,,,,
08a11_08a02_d_00_container_StatuetteStash,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a11_08a02_d_01_TaskHaveAndReturnItems_1_Air,08a11_08a02_d_02_TaskHaveAndReturnItems_1_Water,08a11_08a02_d_03_TaskHaveAndReturnItems_1_Earth,08a11_08a02_d_04_TaskHaveAndReturnItems_1_Fire,
08a11_08a02_d_01_TaskHaveAndReturnItems_1_Air,TaskGatherAndReturnItems,,1,1,0802_0101_AirDragonStatuette,0802_Airshrine,100,,true,,dynasty_shrine_30302,,,true,true,,,,,,IO_0802_Airshrine,,,0802_AirShrine_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectStatues_Obj_CollectStatue1_desc,,,,,,,,,,,,,,,,,,
08a11_08a02_d_02_TaskHaveAndReturnItems_1_Water,TaskGatherAndReturnItems,,1,1,0802_0102_WaterDragonStatuette,0802_Watershrine,100,,true,,Dynasty_WaterShrine_30234,,,true,true,,,,,,IO_0802_Watershrine,,,0802_WaterShrine_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectStatues_Obj_CollectStatue2_desc,,,,,,,,,,,,,,,,,,
08a11_08a02_d_03_TaskHaveAndReturnItems_1_Earth,TaskGatherAndReturnItems,,1,1,0802_0103_EarthDragonStatuette,0802_Earthshrine,100,,true,,Dynasty_EarthShrine_30231,,,true,true,,,,,,IO_0802_Earthshrine,,,0802_EarthShrine_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectStatues_Obj_CollectStatue3_desc,,,,,,,,,,,,,,,,,,
08a11_08a02_d_04_TaskHaveAndReturnItems_1_Fire,TaskGatherAndReturnItems,,1,1,0802_0104_FireDragonStatuette,0802_Fireshrine,100,,true,,Dynasty_FireShrine_30228,,,true,true,,,,,,IO_0802_Fireshrine,,,0802_FireShrine_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectStatues_Obj_CollectStatue4_desc,,,,,,,,,,,,,,,,,,
08a04_08a12_d_00_container_CaptainsOrders,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a04_08a12_d_01_TaskGoToPOITag_shipwreck,08a04_08a12_d_01a_Container,,,
08a04_08a12_d_01_TaskGoToPOITag_shipwreck,TaskGoToPOITag,,1,,,,,,true,,Pirate_Shipwreck_30226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_RetrievePuzzleBox_Obj_GoToShipwreck_desc,,,,,,,,,,,,,,,,,,
08a04_08a12_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,08a04_08a12_d_02_TaskKillContribution_12Pirates,08a04_08a12_d_03_TaskHaveAndReturnItems_Puzzlebox,,,
08a04_08a12_d_02_TaskKillContribution_12Pirates,TaskKillContribution,,1,10,,,,,true,,Pirate_Shipwreck_30226,,,,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_RetrievePuzzleBox_Obj_KillPirates_desc,,,,,,,,,,,,,,,,,,
08a04_08a12_d_03_TaskHaveAndReturnItems_Puzzlebox,TaskHaveAndReturnItems,,1,1,0812_0101_CaptainsPuzzlebox,Undead_Pistoleer_08QP05b,100,,true,,Pirate_Shipwreck_30226,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_RetrievePuzzleBox_Obj_GetBox_desc,7148.795410 4229.687988 42.259132,,,,,,,,,,,,,,,,,
08a05_08a06_d_00_container_ShrineCleansing,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a05_08a06_d_01_TaskGoToPOITag_shrine,08a05_08a06_d_01a_Container,,,
08a05_08a06_d_00_TalkToYue,TaskConversationTopic,,,1,0828_YueLai,,,,,,,,,,,,,,,,,08_SQ_ER_CleanseShrine_Yue_TalkTo,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CleanseShrine_TalkToYue_Desc,11395 7221 240.1304,,,,,,,,,,,,,,,,,
08a05_08a06_d_01_TaskGoToPOITag_shrine,TaskGoToPOITag,,1,,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_01_TaskGoToPOITag_shrine,,,,,,,,,,,,,,,,,,
08a05_08a06_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,IO_0801_CorrDynastyAltar,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,08a05_08a06_d_02_TaskKillContribution_15_corrupted,08a05_08a06_d_03_PartialTaskContainer,08a05_08a06_d_03_03_TaskKillTiger,08a05_08a06_d_04_TaskHaveAndReturnItems_corruptedplanschest,
08a05_08a06_d_02_TaskKillContribution_15_corrupted,TaskKillContribution,,1,10,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CleanseShrine_Obj_FightCorrupted_desc,,,,,,,,,,,,,,,,,,
08a05_08a06_d_03_PartialTaskContainer,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,IO_0801_CorrDynastyAltar,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,08a05_08a06_d_03_01_TaskGameEvent_interactshrine,08a05_08a06_d_03_02_TaskKillTiger,,,
08a05_08a06_d_03_01_TaskGameEvent_interactshrine,TaskGameEvent,,1,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,IO_0801_CorrDynastyAltar,,,0801_CorrDynastyAltar_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CleanseShrine_Obj_CleanseShrine_desc,8232.95 6594.03 176.80,,,,,,,,,,,,,,,,,
08a05_08a06_d_03_02_TaskKillTiger,TaskKillContribution,,,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Tiger_Named_01_08QP07,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_03_01_TaskKillTiger,,1,,,,,,,,,,,,,,,,
08a05_08a06_d_03_03_TaskKillTiger,TaskKillContribution,,,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Tiger_Named_01_08QP07,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_03_01_TaskKillTiger,,,,,,,,,,,,,,,,,,
08a05_08a06_d_04_TaskHaveAndReturnItems_corruptedplanschest,TaskHaveAndReturnItems,,1,4,0806_0101_CorruptedPlans,,,100,true,,dynasty_temple_40339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CleanseShrine_Obj_GetPlans_desc,,,,,,,,,,,,,,,,,,
0828_0803_d_00_container_Legacy,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0828_0803_d_01_TaskGoToPOITag_DynastyShipwreck,0828_0803_d_02_TaskHaveAndReturnItems_Scrolls,,,
0828_0803_d_01_TaskGoToPOITag_DynastyShipwreck,TaskGoToPOITag,,1,,,,,,,,Dynasty_Shipwreck_30227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectScrolls_Obj_GoToShipwreck_desc,,,,,,,,,,,,,,,,,,
0828_0803_d_02_TaskHaveAndReturnItems_Scrolls,TaskHaveAndReturnItems,,1,5,0828_0803_ScrollsOfLineage,Corrupted,90,,true,,Dynasty_Shipwreck_30227,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_CollectScrolls_Obj_GetScrolls_desc,,,,,,,,,,,,,,,,,,
0829_0801_d_00_container_LuckyRed,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0829_0801_d_01_TaskGoToPOITag_Ruins,0829_0801_d_02_TaskKillContribution_Blight,0829_0801_d_03_TaskHaveAndReturnItems_Redclaw,,
0829_0801_d_01_TaskGoToPOITag_Ruins,TaskGoToPOITag,,1,,,,,,true,,Dryad_Ruins_30229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_GetPawFromClaw_Obj_GoToRuins_desc,,,,,,,,,,,,,,,,,,
0829_0801_d_02_TaskKillContribution_Blight,TaskKillContribution,,1,7,,,,,true,,Dryad_Ruins_30229,,,,,,,,,,,,,Blight_Fiend_08QP03,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_DisruptMeeting_Obj_FightCorrupted_desc,,,,,,,,,,,,,,,,,,
0829_0801_d_03_TaskHaveAndReturnItems_Redclaw,TaskHaveAndReturnItems,,1,1,0829_0801_CrimsonClaw,BearElemental_Named_08QP03,100,,true,,Dryad_Ruins_30229,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_GetPawFromClaw_Obj_FightForPaw_desc,,,,,,,,,,,,,,,,,,
08a05_08a13_d_00_container_SkysongsEnd,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a05_08a13_d_01_TaskGoToPOITag_temple,08a05_08a13_d_01a_Container,,,
08a05_08a13_d_01_TaskGoToPOITag_temple,TaskGoToPOITag,,1,,,,,,true,,dynasty_monastery_30240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_DisruptMeeting_Obj_GoToTemple_desc,,,,,,,,,,,,,,,,,,
08a05_08a13_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,08a05_08a13_d_02_TaskKillContribution_20corrupted,08a05_08a13_d_03_TaskKillContribution_maiden,08a05_08a13_d_04_TaskKillContribution_isabellarep,,
08a05_08a13_d_02_TaskKillContribution_20corrupted,TaskKillContribution,,1,7,,,,,true,,dynasty_monastery_30240,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_DisruptMeeting_Obj_FightCorrupted_desc,,,,,,,,,,,,,,,,,,
08a05_08a13_d_03_TaskKillContribution_maiden,TaskKillContribution,,1,1,,,,,true,,dynasty_monastery_30240,,,,,,,,,,,,,Dynasty_Maiden_Named_08QP06_01,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_DisruptMeeting_Obj_FightMaiden_desc,6449.071777 4707.963867 408.779083,,,,,,,,,,,,,,,,,
08a05_08a13_d_04_TaskKillContribution_isabellarep,TaskKillContribution,,1,1,,,,,true,,dynasty_monastery_30240,,,,,,,,,,,,,Damned_Acolyte_Named_08QP07,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_DisruptMeeting_Obj_FightNamedCorrupted_desc,6449.071777 4707.963867 408.779083,,,,,,,,,,,,,,,,,
0829_0802_d_00_container_StringsOfFate,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0829_0802_d_01_TaskGoToPOITag_Serenity,0829_0802_d_02_TaskHaveAndReturnItems_Strings,,,
0829_0802_d_01_TaskGoToPOITag_Serenity,TaskGoToPOITag,,1,,,,,,true,,Dynasty_Cavern_30241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_GetStringFromCorrupted_Obj_GoToCorrupted_desc,,,,,,,,,,,,,,,,,,
0829_0802_d_02_TaskHaveAndReturnItems_Strings,TaskHaveAndReturnItems,,1,7,0829_0802_RedStrings,Corrupted,100,,true,,Dynasty_Cavern_30241,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_GetStringFromCorrupted_Obj_FightCorrupted_desc,,,,,,,,,,,,,,,,,,
08a02_08a08a_d_00_container_CorruptedCritics,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08a02_08a08a_d_01_TaskGoToPOITag_monastery,08a02_08a08a_d_01a_Container,,,
08a02_08a08a_d_01_TaskGoToPOITag_monastery,TaskGoToPOITag,,1,,,,,,true,,Dynasty_Monastery_30240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_AvengePlay_Obj_GoToMonastery_desc,,,,,,,,,,,,,,,,,,
08a02_08a08a_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,08a02_08a08a_d_02_TaskHaveAndReturnItems_chestintelligence,08a02_08a08a_d_03_TaskHaveAndReturnItems_dustyspyglasses,08a02_08a08a_d_04_TaskGameEvent_burnscrolls,,
08a02_08a08a_d_02_TaskHaveAndReturnItems_chestintelligence,TaskHaveAndReturnItems,,1,5,0808_0101_CorruptedIntelligence,,,100,true,,Dynasty_Monastery_30240,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_AvengePlay_Obj_GetPlans_desc,,,,,,,,,,,,,,,,,,
08a02_08a08a_d_03_TaskHaveAndReturnItems_dustyspyglasses,TaskHaveAndReturnItems,,1,5,0808_0102_DustySpyglasses,Corrupted,75,,true,,Dynasty_Monastery_30240,,,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_AvengePlay_Obj_GetSpyglasses_desc,,,,,,,,,,,,,,,,,,
08a02_08a08a_d_04_TaskGameEvent_burnscrolls,TaskGameEvent,,,3,,,,,,,Dynasty_Monastery_30240,,,,,,,,,,IO_0808_CorruptedScroll,,,0808_ScrollBurn_interact,,,,,,,,,,,,,,,,,,,,,@08_SQ_ER_AvengePlay_Obj_BurnScrolls_desc,,,,,,,,,,,,,,,,,,
