TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
95_s01_01_02_02_02_02_GatherSupplies44,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies4,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
95_s01_01_02_02_03_GatherSupplies54_Partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12052.845703 8635.889648 311.109589,1,,,,,,,,,,,,95_s01_01_02_02_03_01_GatherSupplies54,95_s01_01_02_02_03_02_GatherSupplies54,,,
95_s01_01_02_02_03_01_GatherSupplies54,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies5,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
95_s01_01_02_02_03_02_GatherSupplies54,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies6,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
95_s01_01_03_01_BuildCamp,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_01_CrowsNestCampBuild,,,95_s01_01_CrowsNestCampBuild_interact,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_BuildCamp,,"7576.337402 6587.295410 285.156464,8336.2891 9457.7715 608.5875,11865.450195 8528.964844 316.105621",0,false,0,,,,,,,,,,,,,,
95_s01_01_03a_UnlockFTPs_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_03a_01_UnlockCamp1,95_s01_01_03a_02_UnlockCamp2,95_s01_01_03a_03_UnlockCamp3,,
95_s01_01_03a_01_UnlockCamp1,TaskUnlockAchievement,,,,1,CrowsNest_50426_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_03a_02_UnlockCamp2,TaskUnlockAchievement,,,,1,CrowsNest_40431_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_03a_03_UnlockCamp3,TaskUnlockAchievement,,,,1,CrowsNest_30334_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_CelebrateCamp_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_04_01_SliceSwap_9501_Grace_s01_01_Off,95_s01_01_04_02_SliceSwap_9501_Grace_s01_02_On,95_s01_01_04_03_BuiltCampAchivement_On,95_s01_01_04_04_SE_Fallthrough_container,95_s01_01_04_05_Watched_CampFanFare_SE
95_s01_01_04_01_SliceSwap_9501_Grace_s01_01_Off,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_02_SliceSwap_9501_Grace_s01_02_On,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_03_BuiltCampAchivement_On,TaskUnlockAchievement,,,,1,95_s01_01_BuiltCrowsNest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_04_SE_Fallthrough_container,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_04_04_01_SwapTimer,95_s01_01_04_04_02_EscSkipHUDCheck,,,
95_s01_01_04_04_01_SwapTimer,TaskTimer,,,,1,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_04_02_EscSkipHUDCheck,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,,HUD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_05_Watched_CampFanFare_SE,TaskUnlockAchievement,,,,1,95_s01_01_Watched_BuiltCrowsNest_SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02_TEMP_FirstCustomer_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_01_ReadSkyeLetter_container,95_s01_02_03_TalkToSkye_Help_Aidyn_container,,,
95_s01_02_01_ReadSkyeLetter_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_01_02_SkyeLetterCinematic_Unlock,95_s01_02_01_03_01_Interact_SkyeLetter,95_s01_02_01_04_SliceSwap_9505_Skye_s01_01_On,,
95_s01_02_01_02_SkyeLetterCinematic_Unlock,TaskUnlockAchievement,,,,1,95_s01_Skye_Cinematic_Letter_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02_01_03_01_Interact_SkyeLetter,TaskInteract,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_01_SkyeLetter,,,95_s01_01_SkyeLetter_interact,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Interact_SkyeLetter,,"11883.061523 8542.951172 319.425049,7557.670898 6608.110352 288.797272,8317.714844 9438.775391 611.062256",0,true,1,,,,,,,,,,,,,,
95_s01_02_01_04_SliceSwap_9505_Skye_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_Skye_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02_02_FindSkye_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_02_01_GoToWoods,,,,
95_s01_02_02_01_GoToWoods,TaskGoToPOITag,,1,,,,,,,,,,greatcleave5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_GoToWoods,,8955.12 8089.39 539.36,,,,,,,,,,,,,,,,,
95_s01_02_03_TalkToSkye_Help_Aidyn_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_03_01_TalkTo_Skye_HelpAidyn,95_s01_02_03_02_FindAidyn_container,,,
95_s01_02_03_01_TalkTo_Skye_HelpAidyn,TaskConversationTopic,,,,,9505_Skye_s01_01,,,,,,,,,,,,,,,,,,Topic_95_s01_02_TalkTo_Skye_HelpAidyn,,,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_MeetSkye,,9139 8292.4 512.4,,,,,,,,,,,,,,,,,
95_s01_02_03_02_FindAidyn_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_03_02_01_FollowTrails_container,95_s01_02_03_02_02_TriggerArea_FlameVarangianEncounterStart,95_s01_02_03_02_03_KillVarangiansContribution_container,95_s01_02_03_02_04_GetAidynBroochAndMessage_container,
95_s01_02_03_02_01_FollowTrails_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_03_02_01_01_FollowSkyeTrail_container,95_s01_02_03_02_01_02_FollowAidynTrail_container,,,
95_s01_02_03_02_01_01_FollowSkyeTrail_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_03_02_01_01_01_Interact_SkyeTrail1,95_s01_02_03_02_01_01_02_Interact_SkyeTrail2,95_s01_02_03_02_01_01_03_Interact_BattleSite,,
95_s01_02_03_02_01_01_01_Interact_SkyeTrail1,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02_SkyeTrail1,,,95_s01_02_SkyeTrail1_interact,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Ambush_FollowSkyeTrail,,9143.85 8240.8 507.904,0,,,,,,,,,,,,,,,,
95_s01_02_03_02_01_01_02_Interact_SkyeTrail2,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02_SkyeTrail2,,,95_s01_02_SkyeTrail2_interact,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Ambush_FollowSkyeTrail,,9136.93 8198.3 514.956,0,,,,,,,,,,,,,,,,
95_s01_02_03_02_01_01_03_Interact_BattleSite,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02_BattleSite,,,95_s01_02_BattleSite_interact,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Ambush_FollowSkyeTrail,,9115.53 8143.65 531.73,,,,,,,,,,,,,,,,,
95_s01_02_03_02_01_02_FollowAidynTrail_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_03_02_01_02_01_Interact_AidynTrail1,95_s01_02_03_02_01_02_02_Interact_CliffEdge,95_s01_02_03_02_01_02_03_ActivateBroochVisual,,
95_s01_02_03_02_01_02_01_Interact_AidynTrail1,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02_AidynTrail1,,,95_s01_02_AidynTrail1_interact,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Ambush_FollowAidynTrail,,9144.65 8117.47 522.955,0,,,,,,,,,,,,,,,,
95_s01_02_03_02_01_02_02_Interact_CliffEdge,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02_CliffEdge,,,95_s01_02_CliffEdge_interact,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Ambush_FollowAidynTrail,,9192.958008 8087.674805 511.522705,,,,,,,,,,,,,,,,,
95_s01_02_03_02_01_02_03_ActivateBroochVisual,TaskUnlockAchievement,,,,1,95_s01_AidynBrooch_Visual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02_03_02_02_TriggerArea_FlameVarangianEncounterStart,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02_TEMP_FirstCustomer,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_95_s01_02_FlameVarangianAmbush,@95_s01_02_TEMP_FirstCustomer_Ambush_gotoTriggerVol,,9214.026367 8095.603516 479.657928,0,,1,,,,,,,,,,,,,,
95_s01_02_03_02_03_KillVarangiansContribution_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_03_02_03_01_TEMP_FirstCustomer_GameEvent_Enc,95_s01_02_03_02_03_02_AidynBrooch_Enable_Interact,,,
95_s01_02_03_02_03_01_TEMP_FirstCustomer_GameEvent_Enc,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02_TEMP_FirstCustomer,,,95_s01_02_TEMP_FirstCustomer_WaveComplete,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Ambush_DestroyVarangians,,9218.355469 8096.373047 477.435211,0,,0,,,,,,,,,,,,,,
95_s01_02_03_02_03_02_AidynBrooch_Enable_Interact,TaskUnlockAchievement,,,,1,95_s01_02_AidynBrooch_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02_03_02_04_GetAidynBroochAndMessage_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02_03_02_04_01_getbrooch,95_s01_02_03_02_04_03_SliceSwap_9505_Skye_s01_01_Off,95_s01_02_03_02_04_04_SliceSwap_9505_Skye_s01_02_On,,
95_s01_02_03_02_04_01_getbrooch,TaskHaveAndReturnItems,,,,1,95_s01_02_AidynBroochItem,95_s01_02_AidynBrooch,100,,,,,,,,1,,,,,,,IO_95_s01_02_AidynBrooch,,,,,,,,,,,,,,,,,,,,,,,@95_s01_02_TEMP_FirstCustomer_Ambush_GetAidynBrooch,,9214.026367 8095.603516 479.657928,,true,1,480.5,,,,,,,,,,,,,
95_s01_02_03_02_04_03_SliceSwap_9505_Skye_s01_01_Off,TaskLockAchievement,,,,1,SwapActive_95_Skye_s01_01,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02_03_02_04_04_SliceSwap_9505_Skye_s01_02_On,TaskUnlockAchievement,,,,1,SwapActive_95_Skye_s01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02a_TEMP_TheCurse_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02a_01_TalkShailyn_container,95_s01_02a_02_DestroyBones_container,,,
95_s01_02a_01_TalkShailyn_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02a_01_01_SliceSwap_9505_Skye_s01_02_Off,95_s01_02a_01_03_TalkTo_Shailyn_HelpCurse,,,
95_s01_02a_01_01_SliceSwap_9505_Skye_s01_02_Off,TaskLockAchievement,,,,1,SwapActive_95_Skye_s01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02a_01_03_TalkTo_Shailyn_HelpCurse,TaskConversationTopic,,,,,9504_Shailyn_s01_01,,,,,,,,,,,,,,,,,,Topic_95_s01_02a_TalkTo_Shailyn_HelpCurse,,,,,,,,,,,,,,,,,,,,,,@95_s01_02a_TEMP_TheCurse_TalkToShailyn_Description,,9354.274 8153.370 465.206,,,,,,,,,,,,,,,,,
95_s01_02a_02_DestroyBones_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_02a_02_01_KillAndGatherCharms,95_s01_02a_02_02_SwapContainerCampOn_container,95_s01_02a_02_03_TalkTo_Skye_AnswerCurse,95_s01_02a_02_04_01_DestroyBoneTalismans,
95_s01_02a_02_01_KillAndGatherCharms,TaskHaveAndReturnItems,,,,10,95_s01_02a_BoneCharm,Varangian,100,,,,,dungeon_forge_40351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@95_s01_02a_TEMP_TheCurse_KillAndGatherCharms,,,,,,,,,,,,,,,,,,,
95_s01_02a_02_02_SwapContainerCampOn_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95_s01_02a_02_02_01_SliceSwap_Skye_s01_03_On,95_s01_02a_02_02_03_SliceSwap_SkyeBoneCharmTable_s01_01_On,,,
95_s01_02a_02_02_01_SliceSwap_Skye_s01_03_On,TaskUnlockAchievement,,,,1,SwapActive_95_Skye_s01_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02a_02_02_03_SliceSwap_SkyeBoneCharmTable_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_SkyeBoneCharmTable_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_02a_02_03_TalkTo_Skye_AnswerCurse,TaskConversationTopic,,,,,9505_Skye_s01_03,,,,,,,"CrowsNest_50426,CrowsNest_30334,CrowsNest_40431",,,,,,,,,,,Topic_95_s01_02a_TalkTo_Skye_AnswerCurse,,,,,,,,,,,,,,,,,,,,,,@95_s01_02a_TEMP_TheCurse_TalkToSkye_Description,,,,,,,,,,,,,,,,,,,
95_s01_02a_02_04_01_DestroyBoneTalismans,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_02a_BoneCharmTable,,,95_s01_02a_BoneCharmTable_interact,,,,,,,,,,,,,,,,,,,,@95_s01_02a_TEMP_TheCurse_CompletionAvailable,,"7560.900879 6590.866699 286.459381,8334.600586 9442.281250 608.725891,11865.5293 8543.9043 316.3709",0,,,,,,,,,,,,,,,,
95_s01_03_CROW_BestOfAeternum_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_01_PostFlyers_container,95_s01_03_01a_TalkGrace_BeforeInterviews_container,95_s01_03_02_GoUpstairsTavern_container,95_s01_03_03_Interviews_SE_container,95_s01_03_04_SwapsOn_container
95_s01_03_01_PostFlyers_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_01_01_GoToFlyerPOI,95_s01_03_01_02_SliceSwap_9501_Grace_s01_02_Off,95_s01_03_01_03_GiveFlyers,95_s01_03_01_04_PostFlyers_simpleContainer,
95_s01_03_01_01_GoToFlyerPOI,TaskGoToPOITag,,1,,,,,,,,,,morrowtide2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_GoToPOIFlyers,,13190.950195 6964.514160 149.040298,,,,,,,,,,,,,,,,,
95_s01_03_01_02_SliceSwap_9501_Grace_s01_02_Off,TaskLockAchievement,,,,1,SwapActive_95_Grace_s01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_01_03_GiveFlyers,TaskGiveItem,,,,3,95_s01_03_HeroesPosterItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s01_03_01_04_PostFlyers_simpleContainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyers,,,,,,,,,,,,,,,95_s01_03_01_04_PostFlyer1,95_s01_03_01_04_PostFlyer2,95_s01_03_01_04_PostFlyer3,,
95_s01_03_01_04_PostFlyer1,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_03_HeroesPoster1,,,95_s01_03_HeroesPoster1_interact,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyer1,,13210.798828 6946.383301 149.012360,,,,,,,,,,,,,,,,,
95_s01_03_01_04_PostFlyer2,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_03_HeroesPoster2,,,95_s01_03_HeroesPoster2_interact,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyer2,,13207.901367 6980.510742 150.979874,,,,,,,,,,,,,,,,,
95_s01_03_01_04_PostFlyer3,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_03_HeroesPoster3,,,95_s01_03_HeroesPoster3_interact,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyer3,,13152.529297 6996.893066 154.096024,,,,,,,,,,,,,,,,,
95_s01_03_01a_TalkGrace_BeforeInterviews_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_01a_01_SliceSwap_Grace_s01_03a_On,95_s01_03_01a_02_TalkTo_Grace_ReadyInterviews,95_s01_03_01a_03_SliceSwap_9501_Grace_s01_03a_Off,,
95_s01_03_01a_01_SliceSwap_Grace_s01_03a_On,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_03a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_01a_02_TalkTo_Grace_ReadyInterviews,TaskConversationTopic,,,,,9501_Grace_s01_03a,,,,,,,,,,,,,,,,,,Topic_95_s01_03a_TalkTo_Grace_ReadyInterviews,,,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_GoTavernInterviews,,13178.172852 6911.150879 149.680222,,,,,,,,,,,,,,,,,
