TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,OverrideLocation,POITag,UIScreenTag,InteractTag,TP_TargetTag
Quest_03189_Task_19,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,10,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,0.000000,0,StoneT1,@Quest_03189_Task_19_Description,,,,,
Quest_03189_Task_21,,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,10,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,0.000000,0,RawhideT1,@Quest_03189_Task_21_Description,,,,,
Quest_03189_Task_23,Quest_03189_Task_24,Quest_03189_Task_25,Quest_03189_Task_26,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03189_Task_23_Description,,,,,
Quest_03189_Task_24,,,,,,,TASKOPENUISCREEN,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_03189_Task_24_Description,9316.625000 2706.854004 83.286003,,Contracts,,
Quest_03189_Task_25,,,,,,,TASKINTERACT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_03189_Task_25_Description,9287.845703 2685.091309 82.663200,,,SettlementStorage,
Quest_03189_Task_26,,,,,,,TASKOPENUISCREEN,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_03189_Task_26_Description,9319.522461 2667.009033 85.393097,,InnInteractMenu,,
Quest_03189_Task_29,Quest_03189_Task_16_0,Quest_03189_Task_15,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_03189_Task_29_Description,,,,,
Quest_03189_Task_16_0,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,0.000000,0,,@Quest_03189_Task_16_0_Description,,Windsward_Settlement_01,,,TriggerVol_6_Settlement
Quest_03189_Task_7,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SS2_SwapActive_Aelstrom_01,,,,,,
Quest_03189_Task_8,Quest_03189_Task_9,Quest_03189_Task_10,Quest_03189_Task_12,Quest_03189_Task_23,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_03189_Task_9,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SS2_SwapActive_Aelstrom_01,,,,,,
Quest_03189_Task_10,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,SS2_SwapActive_Aelstrom_02,,,,,,
Quest_03189_Task_11,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_03976,@Quest_03189_Task_11_Description,,,NPC_03976_State_1_Topic_0,,
Quest_03189_Task_11_0,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_03976,@Quest_03189_Task_11_0_Description,,,NPC_03976_State_2_Topic_0,,
Quest_03189_Task_12,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_04627,@Quest_03189_Task_12_Description_0,,,NPC_04627_State_4_Topic_0,,
