TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,ItemName,UIScreenTag,KillEnemyType,InteractTag
Quest_18020_Task_8,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_8_Description,,,NPC_18011,NPC_18011_State_1_Topic_0,,
Quest_18020_Task_9,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_9_Description,,,Lore_unlock_Topic_17_Nighthaven_Title_01_03,,,
Quest_18020_Task_10,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_10_Description,TV_17_MSQ_Reliquary,3352.069092 5809.995117 239.300995,,,,
Quest_18020_Task_11,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_11_Description,TV_17_MSQ_DraculaEastCinematic,3644.372070 5797.831055 197.205002,,,,
Quest_18020_Task_12,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_12_Description,TV_17_MSQ_DungeonEntrance,3507.214111 5797.831055 201.177002,,,,
Quest_18020_Task_13,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_13_Description,TV_17_MSQ_ExitReliquary,3403.069092 5809.995117 240.658005,,,,
Quest_18020_Task_14,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_14_Description,,3434.345947 5840.845215 229.350006,,,17_MSQ_GothicTorch4_Interact,IO_17_MSQ_GothicTorch4
Quest_18020_Task_15,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_15_Description,,3470.435059 5837.730957 219.250000,,,17_MSQ_GothicTorch3_Interact,IO_17_MSQ_GothicTorch3
Quest_18020_Task_16,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_16_Description,,3474.624023 5802.225098 212.000000,,,17_MSQ_GothicTorch2_Interact,IO_17_MSQ_GothicTorch2
Quest_18020_Task_17,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_17_Description,TV_17_MSQ_DungeonEntrance,3507.214111 5797.831055 201.177002,,,,
Quest_18020_Task_4_0,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_4_0_Description,TV_17_MSQ_DraculaDungeon1,3453.462891 5778.248047 212.005997,,,,
Quest_18020_Task_4_1,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_4_1_Description,TV_17_MSQ_DraculaDungeon2,3411.129883 5746.119141 219.272995,,,,
Quest_18020_Task_18,Quest_18020_Task_4_0,Quest_18020_Task_4_1,Quest_18020_Task_4,Quest_18020_Task_4_2,Quest_18020_Task_4_2_0,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_18020_Task_19,Quest_18020_Task_13,Quest_18020_Task_14,Quest_18020_Task_15,Quest_18020_Task_16,Quest_18020_Task_17,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_18020_Task_4_2,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_4_2_Description,TV_17_MSQ_DraculaDungeon4,3356.341064 5719.918945 230.639999,,,,
Quest_18020_Task_4_2_0,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_4_2_0_Description,TV_17_MSQ_DraculaDungeon5,3307.781006 5764.165039 210.190994,,,,
Quest_18020_Task_20,Quest_18020_Task_21,Quest_18020_Task_21_0,Quest_18020_Task_21_0_0,Quest_18020_Task_10,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_18020_Task_21,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_21_Description,TV_17_MSQ_ToReliquary1,3342.739990 5722.306152 215.500000,,,,
Quest_18020_Task_21_0,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_21_0_Description,TV_17_MSQ_ToReliquary2,3264.864014 5722.624023 249.238998,,,,
Quest_18020_Task_21_0_0,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18020_Task_21_0_0_Description,TV_17_MSQ_ToReliquary3,3266.522949 5772.039062 244.738998,,,,
Quest_18020_Task_22,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,1,17.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_22_Description,,3358.069092 5812.995117 241.175003,,,,
Quest_18020_Task_22_0,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,1,12.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_22_0_Description,,3358.069092 5812.995117 241.175003,,,,
Quest_18020_Task_22_0_0,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,1,20.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18020_Task_22_0_0_Description,,3383.537109 5808.791992 242.460007,,,,
Quest_18020_Task_23,Quest_18020_Task_6,Quest_18020_Task_22,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_18020_Task_24,Quest_18020_Task_6_0,Quest_18020_Task_22_0,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_18020_Task_25,Quest_18020_Task_6_0_0,Quest_18020_Task_22_0_0,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
