TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
C91_FQ_03_snail_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_03_01_TaskFishSnail,C91_FQ_03_02_TaskSalvageSnail,,,
C91_FQ_03_01_TaskFishSnail,TaskFishingCatchFish,,0,,1,FishingSnailSmallT2,,25,,,,,,Fresh,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_03_01_TaskFishSnail,,9496.721680 4388.983398 105.336288,,,,,,,,,,,,,,,,,
C91_FQ_03_02_TaskSalvageSnail,TaskSalvageItem,,1,,1,FishingSnailSmallT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_03_02_TaskSalvageSnail,,,,,,,,,,,,,,,,,,,
C91_FQ_03_clam_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_03_03_TaskFishClam,C91_FQ_03_04_TaskSalvageClam,,,
C91_FQ_03_03_TaskFishClam,TaskFishingCatchFish,,0,,1,FishingClamsSmallT2,,25,,,,,,Salt,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_03_03_TaskFishClam,,7073.056641 3677.055176 40.197075,,,,,,,,,,,,,,,,,
C91_FQ_03_04_TaskSalvageClam,TaskSalvageItem,,1,,1,FishingClamsSmallT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_03_04_TaskSalvageClam,,,,,,,,,,,,,,,,,,,
C91_FQ_03_05_Unlock_Ishikawa,TaskUnlockAchievement,,,,1,C91_FishQ_05_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91_FQ_03_Vector_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_03_Vector_TakeNote,C91_FQ_03_Vector_GiveNote,,,
C91_FQ_03_Vector_TakeNote,TaskGiveAndTakeItem,,,,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_03_Vector_TakeNote,,,,,,,,,,,,,,,,,,,
C91_FQ_03_Vector_GiveNote,TaskHaveAndReturnItems,,,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_container_00_FQ_04,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_04_01_Lock_Khadijah,C91_FQ_04_02_TaskFishingHotspotAny,,,
C91_FQ_04_01_Lock_Khadijah,TaskLockAchievement,,,,1,C91_FishQ_04_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_04_02_TaskFishingHotspotAny,TaskFishingHotspotAny,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_04_TaskFishingHotspotAny,,9928.918945 2740.991455 39.166153,,,,,,,,,,,,,,,,,
C91_container_00_FQ_05,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_05_01_TaskFishingCatchAnyFish,C91_FQ_05_02_Unlock_Khadijah,,,
C91_FQ_05_01_TaskFishingCatchAnyFish,TaskFishingCatchAnyFish,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_05_TaskFishingCatchAnyFish,,,,,,,,,,,,,,,,,,,
C91_FQ_05_02_TaskTalkToIshii,TaskConversationTopic,,1,,,fish_ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91_FQ_05_02_Unlock_Khadijah,TaskUnlockAchievement,,,,1,C91_FishQ_04_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_05_Vector_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_05_Vector_TakeNote,C91_FQ_05_Vector_GiveNote,,,
C91_FQ_05_Vector_TakeNote,TaskGiveAndTakeItem,,,,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_05_Vector_TakeNote,,,,,,,,,,,,,,,,,,,
C91_FQ_05_Vector_GiveNote,TaskHaveAndReturnItems,,,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_container_00_FQ_06,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_06_01_Lock_Ishikawa,C91_FQ_06_02_TaskFishingCatchLength,C91_FQ_06_03_Unlock_Perronelle_B,,
C91_FQ_06_01_Lock_Ishikawa,TaskLockAchievement,,,,1,C91_FishQ_05_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_06_02_TaskFishingCatchLength,TaskFishingCatchLength,,1,,8,,,,,,,,,,true,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_06_TaskFishingCatchLength,,,,,,,,,,,,,,,,,,,
C91_FQ_06_02_TaskTalkToPerronelle,TaskConversationTopic,,1,,,fish_perronelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91_FQ_06_03_Unlock_Perronelle_B,TaskUnlockAchievement,,,,1,C91_FishQ_02_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_06_Vector_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_06_Vector_Task_Container1,C91_FQ_08_00_SwapContainer,,,
C91_FQ_06_Vector_Task_Container1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_08_11_PickUp_Perronelle,,,,
C91_FQ_08_11_PickUp_Perronelle,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_C91_FQ_08_PickUp_Perronelle,,,C91_FQ_08_11_PickUp_Perronelle_Interact,,,,,,,,,,,,,,,,,,,C91_FQ_08_11_PickUp_Perronelle,@C91_FQ_08_11_PickUp_Perronelle,,6892.358398 2541.392578 39.882019 ,,,,,,,,,,,,,,,,,
C91_FQ_08_00_SwapContainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_08_00_01_Lock_Perronelle_B,C91_FQ_08_00_02_Unlock_Perronelle_C,,,
C91_FQ_08_00_01_Lock_Perronelle_B,TaskLockAchievement,,,,1,C91_FishQ_02_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_08_00_02_Unlock_Perronelle_C,TaskUnlockAchievement,,,,1,C91_FishQ_03_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_container_00_FQ_07,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_07_Lock_Khadijah,C91_FQ_07_PeLorePage,C91_FQ_07_FishingContainer,C91_FQ_07_03_BigFishIGC_container,C91_FQ_07_03_SwapContainer
C91_FQ_07_Lock_Khadijah,TaskLockAchievement,,,,1,C91_FishQ_04_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_07_PeLorePage,TaskAchievement,,,,1,Lore_unlock_Fisher_Regent_Title_01_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_07_PeLorePage,,6893.601074 2541.649902 39.915009,,,,,,,,,,,,,,,,,
C91_FQ_07_FishingContainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_07_squid_container_FQ07,C91_FQ_07_barbedCatfish_container_FQ07,C91_FQ_07_03_BigFishIGC_IGC_Preload,,
C91_FQ_07_squid_container_FQ07,ConsecutiveTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_07_01_TaskFishingCatchFish,,,,
C91_FQ_07_01_TaskFishingCatchFish,TaskFishingCatchFish,,,,1,0223_0101_HookedSquid,,100,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_07_01_TaskFishingCatchFish,,6892.358398 2541.392578 39.882019 ,,,,,,,,,,,,,,,,,
C91_FQ_07_01_TaskHaveItems,TaskHaveItems,,,,1,SquidInkT1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_07_01_TaskHaveItems,,,,,,,,,,,,,,,,,,,
C91_FQ_07_barbedCatfish_container_FQ07,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_07_02_TaskFishingCatchFish,,,,
C91_FQ_07_02_TaskFishingCatchFish,TaskFishingCatchFish,,,,1,0223_0101_BarbedCatfish,,100,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_07_02_TaskFishingCatchFish,,6892.358398 2541.392578 39.882019 ,,,,,,,,,,,,,,,,,
C91_FQ_07_02_TaskHaveItems,TaskHaveItems,,,,1,CatfishWhiskersT1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_07_02_TaskHaveItems,,,,,,,,,,,,,,,,,,,
C91_FQ_07_03_BigFishIGC_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_07_03_BigFishIGC_TriggerVol,C91_FQ_07_03_BigFishIGC_Start,C91_FQ_07_03_BigFishIGC_SwapTimer,C91_FQ_07_03_BigFishIGC_Watched,
C91_FQ_07_03_BigFishIGC_IGC_Preload,TaskUnlockAchievement,,,,1,C91_FQ_08_FisherKing_IGC_Preload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_07_03_BigFishIGC_TriggerVol,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,C91_FQ_07_BigFishCatch_IGC_Trigger,@C91_FQ_07_03_BigFishIGC_TriggerVol,,6594.499512 2731.346680 41.724064,,,true,,,,,,,,,,,,,,
C91_FQ_07_03_BigFishIGC_Start,TaskUnlockAchievement,,,,1,C91_FQ_08_FisherKing_IGC_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91_FQ_07_03_BigFishIGC_Fallthrough_Container,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_07_03_BigFishIGC_SwapTimer,C91_FQ_07_03_BigFishIGC_EscSkipHUDCheck,,,
C91_FQ_07_03_BigFishIGC_SwapTimer,TaskCutsceneComplete,,,,1,C91_FQ_07_BigFishCatch_IGC,,,,,,,,,,,,,,,,,,,,,43.5833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91_FQ_07_03_BigFishIGC_EscSkipHUDCheck,TaskOpenUIScreen,,,,1,,,,,,,,,,,,,,,,,,HUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91_FQ_07_03_BigFishIGC_Watched,TaskUnlockAchievement,,,,1,C91_FQ_08_FisherKing_IGC_Watched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C91_FQ_07_03_SwapContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_07_03_01_Unlock_Pelles_A,,,,
C91_FQ_07_03_01_Unlock_Pelles_A,TaskUnlockAchievement,,,,1,C91_FishQ_06_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_container_00_FQ_08,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C91_FQ_08_00_SwapContainer,C91_FQ_08_01_Task_Container1,C91_FQ_08_06_Task_Container2,,
C91_FQ_08_01_Task_Container1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_08_02_TaskCatchT1,C91_FQ_08_07_TaskTalkToPelles,,,
C91_FQ_08_02_TaskCatchT1,TaskFishingCatchWeight,,1,,5,,,,,,,,,,true,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_08_01_TaskCatchT1,,6617.377441 2734.766846 39.136826,,,,,,,,,,,,,,,,,
C91_FQ_08_06_Task_Container2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C91_FQ_08_08_Lock_Pelles_A,C91_FQ_08_09_Unock_Pelles_B,,,
C91_FQ_08_07_TaskTalkToPelles,TaskConversationTopic,,1,,1,fish_pelles_A,,,,,,,,,,,,,,,,,C91_FQ_08_FisherKing_T1,,,,,,,,,,,,,,,,,,,,,,@C91_FQ_08_05_TaskTalkToPelles,,,,,,,,,,,,,,,,,,,
C91_FQ_08_08_Lock_Pelles_A,TaskLockAchievement,,,,1,C91_FishQ_06_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C91_FQ_08_09_Unock_Pelles_B,TaskUnlockAchievement,,,,1,C91_FishQ_07_Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
