TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,POITag,ItemName,UIScreenTag,KillEnemyType,InteractTag,GameModeID,ItemDropVC
Quest_18018_Task_8_0,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_18018_Task_8_0_Description,,,,spiritshrine_20342_charted,,,,,
Quest_18018_Task_3_0,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_3_0_Description,,4732.122070 6434.666016 111.612999,,,,17_MSQ_BerlaurCage1_Interact,IO_17_MSQ_BerlaurCage1,,
Quest_18018_Task_3_0_0,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_3_0_0_Description,,4680.230957 6388.545898 110.924004,,,,17_MSQ_BerlaurCage2_Interact,IO_17_MSQ_BerlaurCage2,,
Quest_18018_Task_9,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_9_Description,TV_17_MSQ_FollowingTrail2,4697.794922 6413.386230 111.594002,,,,,,,
Quest_18018_Task_10,Quest_18018_Task_7,Quest_18018_Task_3_0,Quest_18018_Task_2_0,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_18018_Task_11,Quest_18018_Task_9,Quest_18018_Task_3_0_0,Quest_18018_Task_2_0_0,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_18018_Task_12,Quest_18018_Task_13,Quest_18018_Task_14,Quest_18018_Task_15,Quest_18018_Task_16,Quest_18018_Task_6,Quest_18018_Task_27,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_18018_Task_13,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_13_Description,TV_17_MSQ_FollowingTrail3,4693.392090 6208.979980 108.584000,,,,,,,
Quest_18018_Task_14,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_14_Description,TV_17_MSQ_FollowingTrail4,4706.392090 6111.979980 117.823997,,,,,,,
Quest_18018_Task_15,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_15_Description,TV_17_MSQ_FollowingTrail5,4585.392090 6095.979980 95.067001,,,,,,,
Quest_18018_Task_16,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_16_Description,TV_17_MSQ_FollowingTrail6,4410.299805 6048.220215 70.955002,,,,,,,
Quest_18018_Task_17,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_17_Description,TV_17_MSQ_FollowingTrail7,4274.338867 6020.431152 79.875000,,,,,,,
Quest_18018_Task_18,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_18_Description,,4274.432129 6042.382812 62.557999,,,,17_MSQ_AsenaFight2_GlobalSuccess,,QuestWolf,
Quest_18018_Task_19,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_19_Description,TV_17_MSQ_CastleDPathing6,3399.420898 5927.667969 244.800003,,,,,,,
Quest_18018_Task_20,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_20_Description,TV_17_MSQ_AsenaSoulTrial2,4232.060059 6034.549805 73.254997,,,,,,,
Quest_18018_Task_21,Quest_18018_Task_22,Quest_18018_Task_17,Quest_18018_Task_20,Quest_18018_Task_30,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_18018_Task_22,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_22_Description,TV_17_MSQ_ClimbSorrowthorn5,4273.996094 5998.935059 79.875000,,,,,,,
Quest_18018_Task_23,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_23_Description,TV_17_MSQ_ClimbSorrowthorn1,4270.225098 5984.731934 87.750999,,,,,,,
Quest_18018_Task_24,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_18018_Task_24_Description,,,,NPC_18040,NPC_18040_State_1_Topic_0,,,,
Quest_18018_Task_25,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_25_Description,TV_17_MSQ_ClimbSorrowthorn2,4269.337891 6002.680176 98.919998,,,,,,,
Quest_18018_Task_26,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,100,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_26_Description,,4247.959961 6033.029785 104.019997,,17_MSQ_BerlaurCageKey,,,MSQ_18018_WerebearChest_interact,,MSQ_18018_WerebearChest
Quest_18018_Task_27,Quest_18018_Task_23,Quest_18018_Task_24,Quest_18018_Task_26,Quest_18018_Task_25,Quest_18018_Task_28,Quest_18018_Task_29,Quest_18018_Task_3,Quest_18018_Task_4,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_18018_Task_28,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_28_Description,TV_17_MSQ_ClimbSorrowthorn3,4275.291016 6003.376953 110.825996,,,,,,,
Quest_18018_Task_29,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_18018_Task_29_Description,TV_17_MSQ_ClimbSorrowthorn4,4256.069824 5996.414062 120.408997,,,,,,,
Quest_18018_Task_30,Quest_18018_Task_5,Quest_18018_Task_18,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,0.000000,0,,,4274.432129 6042.382812 62.557999,,,,,,,
