TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,ItemName,ItemDropVC,InteractTag,KillEnemyType,UIScreenTag,SS_VariantName,SS_StatePreset
Quest_16024_Task_12,Quest_16024_Task_13,Quest_16024_Task_13_0,Quest_16024_Task_13_0_0,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_12_Description,,,,,,,,,,
Quest_16024_Task_13,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_13_Description,,,,,,IO_17_ZQUS5_GetRedGem,17_ZQUS5_GetRedGem_interact,,,
Quest_16024_Task_13_0,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_13_0_Description,,,,,,IO_17_ZQUS5_GetBlueGem,17_ZQUS5_GetBlueGem_interact,,,
Quest_16024_Task_13_0_0,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_13_0_0_Description,,,,,,IO_17_ZQUS5_GetGreenGem,17_ZQUS5_GetGreenGem_interact,,,
Quest_16024_Task_12_0,Quest_16024_Task_13_1,Quest_16024_Task_13_0_1,Quest_16024_Task_13_0_0_0,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_12_0_Description,,,,,,,,,,
Quest_16024_Task_13_1,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_13_1_Description,,,,,,IO_17_ZQUS5_PlaceRedGem,17_ZQUS5_PlaceRedGem_interact,,,
Quest_16024_Task_13_0_1,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_13_0_1_Description,,,,,,IO_17_ZQUS5_PlaceBlueGem,17_ZQUS5_PlaceBlueGem_interact,,,
Quest_16024_Task_13_0_0_0,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_13_0_0_0_Description,,,,,,IO_17_ZQUS5_PlaceGreenGem,17_ZQUS5_PlaceGreenGem_interact,,,
Quest_16024_Task_17,,,,,,,,,,,,,TASKCONVERSATIONSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_17_Description,,,,NPC_16154,,,,NPC_16154_State_0,,
Quest_16024_Task_21,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_21_Description,,,,NPC_16154,,,,NPC_16154_State_1_Topic_0,,
Quest_16024_Task_1,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_1_Description_0,Dunwood_Settlement_01,,,,,,,,,
Quest_16024_Task_3_1,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16024_Task_3_1_Description,,TV_17ZQUS5_SearchChaliceTomb1,3403.143066 6959.720215 69.278000,,,,,,,
Quest_16024_Task_3_2,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16024_Task_3_2_Description,,TV_17ZQUS5_SearchChaliceTomb2,3450.583008 6959.650879 69.232002,,,,,,,
Quest_16024_Task_3_1_0,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16024_Task_3_1_0_Description,,TV_17ZQUS5_EnterChaliceTomb,3392.274902 7004.717773 66.916000,,,,,,,
Quest_16024_Task_3_2_0,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16024_Task_3_2_0_Description,,TV_17ZQUS5_SearchChaliceTomb3,3455.943115 7000.659180 69.278000,,,,,,,
Quest_16024_Task_4,Quest_16024_Task_21,Quest_16024_Task_1,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,
Quest_16024_Task_9,Quest_16024_Task_2,Quest_16024_Task_3,Quest_16024_Task_3_1,Quest_16024_Task_3_2,Quest_16024_Task_3_2_0,Quest_16024_Task_14,Quest_16024_Task_3_1_0,Quest_16024_Task_3_2_0_0,Quest_16024_Task_7,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16024_Task_9_Description,,,,,,,,,,
Quest_16024_Task_14,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_14_Description,,,3411.718018 7005.203125 70.221001,Lore_unlock_17_ZQU_Title_07_01,,,,,,
Quest_16024_Task_3_2_0_0,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16024_Task_3_2_0_0_Description,,TV_17ZQUS5_SearchChaliceFinal,3390.766113 6986.187988 68.998001,,,,,,,
Quest_16024_Task_15,Quest_16024_Task_16,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16024_Task_15_Description,,,,,,,,,,
Quest_16024_Task_16,Quest_16024_Task_18,Quest_16024_Task_20,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16024_Task_16_Description,,,,,,,,,,
Quest_16024_Task_18,Quest_16024_Task_22,Quest_16024_Task_22_0,Quest_16024_Task_22_0_0,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16024_Task_18_Description_0,,,,,,,,,,
Quest_16024_Task_20,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16024_Task_20_Description_0,,nevertrue,3589.465088 4764.237305 54.415401,,,IO_17ZQ_OuterRing,,,"17ZQ_OuterRing,17ZQ_MiddleRing,17ZQ_InnerRing","3,3,3"
Quest_16024_Task_22,Quest_16024_Task_23,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16024_Task_22_Description,,,,,,,,,,
Quest_16024_Task_22_0,Quest_16024_Task_23_0,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16024_Task_22_0_Description,,,,,,,,,,
Quest_16024_Task_22_0_0,Quest_16024_Task_23_0_0,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16024_Task_22_0_0_Description,,,,,,,,,,
Quest_16024_Task_23,,,,,,,,,,,,,TASKGATHERCYCLICSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,3,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,false,0.000000,0,,,,,17ZQ_OuterRing,,,,,,
Quest_16024_Task_23_0,,,,,,,,,,,,,TASKGATHERCYCLICSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,3,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,false,0.000000,0,@Quest_16024_Task_23_0_Description,,,,17ZQ_MiddleRing,,,,,,
Quest_16024_Task_23_0_0,,,,,,,,,,,,,TASKGATHERCYCLICSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,3,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,false,0.000000,0,@Quest_16024_Task_23_0_0_Description,,,,17ZQ_InnerRing,,,,,,
