TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,ItemDropVC,KillEnemyType,InteractTag,OverrideLocation,TP_TargetTag,SubTask8,SubTask9,SubTask10
Quest_18011_Task_19,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_19_Description,,,,,2350.840088 4274.250000 35.555000,TV_17_MSQ_CatacombSwim3,,,
Quest_18011_Task_20,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_20_Description,,,,,2318.383057 4290.619141 40.679001,TV_17_MSQ_CatacombSwim4,,,
Quest_18011_Task_21,Quest_18011_Task_3,Quest_18011_Task_22,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,
Quest_18011_Task_22,Quest_18011_Task_17,Quest_18011_Task_18,Quest_18011_Task_19,Quest_18011_Task_20,Quest_18011_Task_20_0,Quest_18011_Task_20_0_0,Quest_18011_Task_20_0_0_0,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,Quest_18011_Task_20_0_0_0_0,Quest_18011_Task_4,Quest_18011_Task_5
Quest_18011_Task_20_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_20_0_Description,,,,,2333.739014 4283.658203 44.955002,TV_17_MSQ_CatacombClimb1,,,
Quest_18011_Task_20_0_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_20_0_0_Description,,,,,2330.393066 4271.074219 47.006001,TV_17_MSQ_CatacombClimb2,,,
Quest_18011_Task_20_0_0_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_20_0_0_0_Description,,,,,2330.354004 4289.325195 52.264000,TV_17_MSQ_CatacombClimb3,,,
Quest_18011_Task_20_0_0_0_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_20_0_0_0_0_Description,,,,,2316.485107 4269.106934 51.974998,TV_17_MSQ_CatacombClimb4,,,
Quest_18011_Task_13,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_13_Description,,,,,2441.708984 4585.602051 104.073997,TV_17_MSQ_MeetAlecksiVarlaam,,,
Quest_18011_Task_14,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_18011_Task_14_Description,,,,,2427.386963 4313.100098 60.393002,TV_17_MSQ_EnterCatacombs1,,,
Quest_18011_Task_14_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18011_Task_14_0_Description_0,catacomb_10203,,,,2395.996094 4269.454102 40.323002,TV_17_MSQ_EnterCatacombs2,,,
