TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
09A_M1_EG_GoToPOI,TaskGoToPOITag,,,,,,,,true,,phantomtree_30310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09A_M1_EG_Task_GoToPOI,,,,,,,,,,,,,,,,,,,
09A_M1_EG_Container_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09a_M1_Container_01,,,,,,,,,,,,,,,09A_M1_EG_VerdantSeed,09A_M1_EG_AzureBlossom,,,
09A_M1_EG_VerdantSeed,TaskHaveAndReturnItems,,,6,09A_M1_SeedA,AngryEarth,100,,true,,phantomtree_30310,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09A_M1_GetSeedA,,,,,,,,,,,,,,,,,,,
09A_M1_EG_AzureBlossom,TaskHaveAndReturnItems,,,4,09A_M1_Blossom,09A_M1_AzureBlossom,100,,true,,phantomtree_30310,,true,,,,,,,IO_09A_M1_AzureBlossom,,,,,,,,,,,,,,,,,,,,,,,@09A_M1_GetBlossom,,,,,,,,,,,,,,,,,,,
09A_M1_EG_Container_04,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09a_M1_Container_04,,,1,,,,,,,,,,,,09A_M1_EG_TalkTo_Morgaine,09A_M1_EG_Container_RemoveSeeds,09A_M1_EG_MorgaineDesert_SwapOut,09A_M1_EG_SwapActive_Morgaine_WC_On,09A_M1_EG_Container_ZoneUnlocks
09A_M1_EG_MorgaineLibrary_SwapOut,TaskLockAchievement,,,,SwapActive_09a_MorgaineVector_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_MorgaineDesert_SwapIn,TaskUnlockAchievement,,,,SwapActive_09a_MorgaineVector_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_TalkTo_Morgaine,TaskConversationTopic,,,,09a_MorgaineVector_02,,,,,,,,,,,,,,,,09A_M1_Topic_Morgaine,,,,,,,,,,,,,,,,,,,,,,@09A_M1_Task_Morgaine_TalkTo1,,6511.193848 7604.575195 110.431435,,,,,,,,,,,,,,,,,
09A_M1_EG_Container_RemoveSeeds,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,09A_M1_EG_RemoveVerdantSeed,09A_M1_EG_RemoveAzureBlossom,,,
09A_M1_EG_RemoveVerdantSeed,TaskRemoveItem,,,6,09A_M1_SeedA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_RemoveAzureBlossom,TaskRemoveItem,,,4,09A_M1_Blossom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_MorgaineDesert_SwapOut,TaskLockAchievement,,,,SwapActive_09a_MorgaineVector_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_SwapActive_Morgaine_EG_Off,TaskUnlockAchievement,,,,SwapActive_09A_Morgaine_EG_Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_SwapActive_Morgaine_WC_On,TaskUnlockAchievement,,,,SwapActive_09A_Morgaine_WC_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_Container_ZoneUnlocks,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,09A_M1_EG_UnlockFirstLight,09A_M1_EG_UnlockShrine,09A_M1_EG_S17_SwapActive_Wagon_Broken_On,,
09A_M1_EG_UnlockFirstLight,TaskUnlockAchievement,,,,09_FirstLightUnlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_UnlockShrine,TaskUnlockAchievement,,,1,spiritshrine_02_30160_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_S17_SwapActive_Wagon_Broken_On,TaskUnlockAchievement,,,,SwapActive_09A_S17_Wagon_Broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_Container_05,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09a_M1_Container_05,,,1,,,,,,,,,,,,09A_M1_EG_Container_Enter_FL,09A_M1_EG_TriggerArea_Warcamp,09A_M1_EG_TalkTo_Morgaine2,,
09A_M1_EG_Container_Enter_FL,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,09A_M1_EG_TriggerArea_Enter_FirstLight,09A_M1_EG_Container_UseShrine,,,
09A_M1_EG_TriggerArea_Enter_FirstLight,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_09A_M1_Enter_FL,@09A_M1_TriggerArea_Enter_FirstLightA,,8273.760 1988.394,,,,,,,,,,,,,,,,,
09A_M1_EG_Container_UseShrine,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,09A_M1_EG_UseShrine,09A_M1_EG_TriggerArea_Enter_FirstLight2,,,
09A_M1_EG_UseShrine,TaskGoToPOITag,,,,,,,,true,,spiritshrine_02_30160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09A_M1_UseShrine,,,,,,,,,,,,,,,,,,,
09A_M1_EG_TriggerArea_Enter_FirstLight2,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_09A_M1_Enter_FL,@09A_M1_TriggerArea_Enter_FirstLightA,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_TriggerArea_Warcamp,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_09A_M1_Warcamp,@09A_M1_Task_GoToCamp,,8704.635 1971.012,,,,,,,,,,,,,,,,,
09A_M1_EG_TalkTo_Morgaine2,TaskConversationTopic,,,,09a_Morgaine_WC,,,,,,,,,,,,,,,,09A_M1_Topic_Morgaine2,,,,,,,,,,,,,,,,,,,,,,@09A_M1_Task_Morgaine_TalkTo2,,,,,,,,,,,,,,,,,,,
09A_M1_EG_Container_06,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09a_M1_Container_06,,,1,,,,,,,,,,,,09A_M1_EG_TalkTo_Trahern,09A_M1_EG_Container_07,09A_M1_EG_Container_08,,
09A_M1_EG_Container_07,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09a_M1_Container_07,,,,,,,,,,,,,,,09A_M1_EG_SwapActive_SickDruids_Off,09A_M1_EG_Container_HealDruids,,,
09A_M1_EG_TalkTo_Trahern,TaskConversationTopic,,,,09a_Trahern_WC,,,,,,,,,,,,,,,,09a_M1_Topic_Trahern,,,,,,,,,,,,,,,,,,,,,,@09A_M1_Task_Trahern_TalkTo,,,,,,,,,,,,,,,,,,,
09A_M1_EG_SwapActive_SickDruids_Off,TaskLockAchievement,,,,SwapActive_09A_M1_SickDruids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
09A_M1_EG_Container_HealDruids,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,09A_M1_EG_HealDruid_A,09A_M1_EG_HealDruid_B,09A_M1_EG_HealDruid_C,,
09A_M1_EG_HealDruid_A,TaskGameEvent,,,1,09A_M1_Sick_DruidA,,,,,,,,,,,,,,,IO_09A_M1_Sick_DruidA,,,09A_M1_Sick_DruidA_Interact,,,,,,,,,,,,,,,,,,,,@09A_M1_HealDruid_A,,8689.6777 1965.1342 127.5581,,,true,,,,,,,,,,,,,,
