TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TargetDescriptionTaskId,TP_DescriptionTag,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0811_0803_d_02_TaskKillContribution_ZhouTaiying,TaskKillContribution,,1,1,,,,,,,,DungeonEbonscale00,,,,,,,,,,,,Dynasty_Empress,,,,,,,,,,,,,,,,,,,,,@0811_0803_d_02_TaskKillContribution_ZhouTaiying,,,,,,,,,,,,
0804_0804_d_00_container_FlowerForTheDeparted,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0804_0804_d_01_TaskGoToPOITag_crypt,0804_0804_d_02_GiveFlower,0804_0804_d_03_TaskGameEvent_shrine,0804_0804_d_04_TaskKillContribution_threewaves,
0804_0804_d_01_TaskGoToPOITag_crypt,TaskGoToPOITag,,1,,,,,,true,,graveyard_40338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0804_0804_d_01_TaskGoToPOITag_crypt,,,,,,,,,,,,
0804_0804_d_02_GiveFlower,TaskGiveItem,,1,1,0804_0101_BlossomingFlower,,,100,,,graveyard_40338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0804_0804_d_02_GiveFlower,,1,,,,,,,,,,
0804_0804_d_03_TaskGameEvent_shrine,TaskGameEvent,,,1,,,,,true,,graveyard_40338,,,,,,,,,,IO_0804_AltarOfTheDeparted,,,0804_AltarOfTheDeparted_interact,,,,,,,,,,,,,,,,,,,,,@0804_0804_d_02_TaskGameEvent_shrine,8290 7077 197,,,,,,,,,,,
0804_0804_d_04_TaskKillContribution_threewaves,TaskKillContribution,,1,1,,,,,true,,graveyard_40338,,,,,,,,,,,,,Withered_Grunt_Named_08QP07,,,,,,,,,,,,,,,,,,,,,@0804_0804_d_03_TaskKillContribution_threewaves,8305 7080 196,,,,,,,,,,,
0803_0805_d_00_container_EbonscaleAlligators,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0803_0805_d_01_TaskGoToPOITag_alligator,0803_0805_d_01a_Container,,,
0803_0805_d_01_TaskGoToPOITag_alligator,TaskGoToPOITag,,1,,,,,,true,,alligator_habitat_40275,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0803_0805_d_01_TaskGoToPOITag_alligator,,,,,,,,,,,,
0803_0805_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0803_0805_d_03_TaskHaveAndReturnItems_15_ebonyscales,,,,
0803_0805_d_02_TaskKillContriubtion_15_alligators,TaskKillContribution,,1,15,,,,,,,alligator_habitat_40275,,,,,,,,,,,,,Alligator_Black_60_08QP01,,,,,,,,,,,,,,,,,,,,,@0803_0805_d_02_TaskKillContriubtion_15_alligators,,,,,,,,,,,,
0803_0805_d_03_TaskHaveAndReturnItems_15_ebonyscales,TaskHaveAndReturnItems,,1,8,0805_0101_EbonyScale,Ebonscale_Alligator,100,,,,alligator_habitat_40275,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0803_0805_d_03_TaskHaveAndReturnItems_15_ebonyscales,,,,,,,,,,,,
0805_0806_d_00_container_ShrineCleansing,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0805_0806_d_01_TaskGoToPOITag_shrine,0805_0806_d_01a_Container,,,
0805_0806_d_01_TaskGoToPOITag_shrine,TaskGoToPOITag,,1,,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_01_TaskGoToPOITag_shrine,,,,,,,,,,,,
0805_0806_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,IO_0801_CorrDynastyAltar,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0805_0806_d_02_TaskKillContribution_15_corrupted,0805_0806_d_03_PartialTaskContainer,0805_0806_d_03_03_TaskKillTiger,0805_0806_d_04_TaskHaveAndReturnItems_corruptedplanschest,
0805_0806_d_02_TaskKillContribution_15_corrupted,TaskKillContribution,,1,15,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_02_TaskKillContribution_15_corrupted,,,,,,,,,,,,
0805_0806_d_03_PartialTaskContainer,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,IO_0801_CorrDynastyAltar,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0805_0806_d_03_01_TaskGameEvent_interactshrine,0805_0806_d_03_02_TaskKillTiger,,,
0805_0806_d_03_01_TaskGameEvent_interactshrine,TaskGameEvent,,1,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,IO_0801_CorrDynastyAltar,,,0801_CorrDynastyAltar_interact,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_03_TaskGameEvent_interactshrine,8232.95 6594.03 176.80,,,,,,,,,,,
0805_0806_d_03_02_TaskKillTiger,TaskKillContribution,,,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Tiger_Named_01_08QP07,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_03_01_TaskKillTiger,,1,,,,,,,,,,
0805_0806_d_03_03_TaskKillTiger,TaskKillContribution,,,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Tiger_Named_01_08QP07,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_03_01_TaskKillTiger,,,,,,,,,,,,
0805_0806_d_04_TaskHaveAndReturnItems_corruptedplanschest,TaskHaveAndReturnItems,,1,4,0806_0101_CorruptedPlans,,,100,true,,dynasty_temple_40339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0805_0806_d_04_TaskHaveAndReturnItems_corruptedplanschest,,,,,,,,,,,,
0810_0807_d_00_container_WhatMakesTheShallowsCrimson,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0810_0807_d_01_TaskHaveAndReturnItems_3BoarStomachs,0810_0807_d_02_TaskHaveAndReturnItems_3TurkeyStomachs,0810_0807_d_04_TaskHaveAndReturnItems_5BushSamples,,
0810_0807_d_01_TaskHaveAndReturnItems_3BoarStomachs,TaskGatherAndReturnItems,,1,5,0807_0101_BoarSamples,Boar_Stripped_08QP03,100,,true,ebonscalereach3,ebonscalereach3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0810_0807_d_01_TaskHaveAndReturnItems_3BoarStomachs,7369.0 5025.0 48.0,,,,,,,,,,,
0810_0807_d_02_TaskHaveAndReturnItems_3TurkeyStomachs,TaskGatherAndReturnItems,,1,5,0807_0102_TurkeySamples,Peacock_08QP03,100,,true,ebonscalereach3,ebonscalereach3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0810_0807_d_02_TaskHaveAndReturnItems_3TurkeyStomachs,7369.0 5025.0 48.0,,,,,,,,,,,
0810_0807_d_04_TaskHaveAndReturnItems_5BushSamples,TaskGatherAndReturnItems,,1,5,0807_0104_BushSamples,BushMedium,100,,true,ebonscalereach3,ebonscalereach3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0810_0807_d_04_TaskHaveAndReturnItems_5BushSamples,7369.0 5025.0 48.0,,,,,,,,,,,
0802_0808_d_00_container_CorruptedCritics,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0802_0808_d_01_TaskGoToPOITag_monastery,0802_0808_d_01a_Container,,,
0802_0808_d_01_TaskGoToPOITag_monastery,TaskGoToPOITag,,1,,,,,,true,,Dynasty_Monastery_30240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0802_0808_d_01_TaskGoToPOITag_monastery,,,,,,,,,,,,
0802_0808_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0802_0808_d_02_TaskHaveAndReturnItems_chestintelligence,0802_0808_d_03_TaskHaveAndReturnItems_dustyspyglasses,0802_0808_d_04_TaskGameEvent_burnscrolls,,
0802_0808_d_02_TaskHaveAndReturnItems_chestintelligence,TaskHaveAndReturnItems,,1,5,0808_0101_CorruptedIntelligence,,,100,true,,Dynasty_Monastery_30240,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0802_0808_d_02_TaskHaveAndReturnItems_chestintelligence,,,,,,,,,,,,
0802_0808_d_03_TaskHaveAndReturnItems_dustyspyglasses,TaskHaveAndReturnItems,,1,5,0808_0102_DustySpyglasses,Corrupted,50,,true,,Dynasty_Monastery_30240,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0802_0808_d_03_TaskHaveAndReturnItems_dustyspyglasses,,,,,,,,,,,,
0802_0808_d_04_TaskGameEvent_burnscrolls,TaskGameEvent,,,8,,,,,,,Dynasty_Monastery_30240,,,,,,,,,,IO_0808_CorruptedScroll,,,0808_ScrollBurn_interact,,,,,,,,,,,,,,,,,,,,,@0802_0808_d_04_TaskGameEvent_firescrolls,,,,,,,,,,,,
0805_0809_d_00_container_StudyInGreen,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0805_0809_d_01_TaskGoToPOITag_ruins,0805_0809_d_02_TaskHaveAndReturnItems_dryadwood,,,
0805_0809_d_01_TaskGoToPOITag_ruins,TaskGoToPOITag,,1,,,,,,true,,Dryad_Ruins_30233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0805_0809_d_01_TaskGoToPOITag_ruins,,,,,,,,,,,,
0805_0809_d_02_TaskHaveAndReturnItems_dryadwood,TaskHaveAndReturnItems,,1,10,0809_0101_DryadWood,MossMire_Dryads,50,,true,,Dryad_Ruins_30233,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0805_0809_d_02_TaskHaveAndReturnItems_dryadwood,,,,,,,,,,,,
0803_0811_d_00_container_TigerTiger,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0803_0811_d_01_TaskGoToPOITag_tigercave,0803_0811_d_01a_Container,,,
0803_0811_d_01_TaskGoToPOITag_tigercave,TaskGoToPOITag,,1,,,,,,true,,Tiger_Cave_30236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0803_0811_d_01_TaskGoToPOITag_tigercave,,,,,,,,,,,,
0803_0811_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0803_0811_d_02_TaskHaveAndReturnItems_10TrophyTeeth,0803_0811_d_03_TaskKillContribution_NamedTiger,,,
0803_0811_d_02_TaskHaveAndReturnItems_10TrophyTeeth,TaskHaveAndReturnItems,,1,10,0811_0101_TrophyTeeth,Tiger_08QP02,75,,true,,Tiger_Cave_30236,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0803_0811_d_02_TaskHaveAndReturnItems_10TrophyTeeth,,,,,,,,,,,,
0803_0811_d_03_TaskKillContribution_NamedTiger,TaskKillContribution,,1,1,,,,,true,,Tiger_Cave_30236,,,,,,,,,,,,,tiger_named_08QP02,,,,,,,,,,,,,,,,,,,,,@0803_0811_d_03_TaskKillContribution_NamedTiger,,,,,,,,,,,,
0804_0812_d_00_container_CaptainsOrders,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0804_0812_d_01_TaskGoToPOITag_shipwreck,0804_0812_d_01a_Container,,,
0804_0812_d_01_TaskGoToPOITag_shipwreck,TaskGoToPOITag,,1,,,,,,true,,Pirate_Shipwreck_30226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0804_0812_d_01_TaskGoToPOITag_shipwreck,,,,,,,,,,,,
0804_0812_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0804_0812_d_02_TaskKillContribution_12Pirates,0804_0812_d_03_TaskHaveAndReturnItems_Puzzlebox,,,
0804_0812_d_02_TaskKillContribution_12Pirates,TaskKillContribution,,1,12,,,,,true,,Pirate_Shipwreck_30226,,,,,,,,,,,,,Lost,,,,,,,,,,,,,,,,,,,,,@0804_0812_d_02_TaskKillContribution_12Pirates,,,,,,,,,,,,
0804_0812_d_03_TaskHaveAndReturnItems_Puzzlebox,TaskHaveAndReturnItems,,1,1,0812_0101_CaptainsPuzzlebox,Undead_Pistoleer_08QP05b,100,,true,,Pirate_Shipwreck_30226,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0804_0812_d_03_TaskGameEvent_Puzzlebox,,,,,,,,,,,,
0805_0813_d_00_container_SkysongsEnd,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0805_0813_d_01_TaskGoToPOITag_temple,0805_0813_d_01a_Container,,,
0805_0813_d_01_TaskGoToPOITag_temple,TaskGoToPOITag,,1,,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0805_0813_d_01_TaskGoToPOITag_temple,,,,,,,,,,,,
0805_0813_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0805_0813_d_02_TaskKillContribution_20corrupted,0805_0813_d_03_TaskKillContribution_maiden,0805_0813_d_04_TaskKillContribution_isabellarep,,
0805_0813_d_02_TaskKillContribution_20corrupted,TaskKillContribution,,1,20,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@0805_0813_d_02_TaskKillContribution_20corrupted,,,,,,,,,,,,
0805_0813_d_03_TaskKillContribution_maiden,TaskKillContribution,,1,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Dynasty_Maiden_Named_08QP07,,,,,,,,,,,,,,,,,,,,,@0805_0813_d_03_TaskKillContribution_maiden,,,,,,,,,,,,
0805_0813_d_04_TaskKillContribution_isabellarep,TaskKillContribution,,1,1,,,,,true,,dynasty_temple_40339,,,,,,,,,,,,,Damned_Acolyte_Named_08QP07,,,,,,,,,,,,,,,,,,,,,@0805_0813_d_04_TaskKillContribution_isabellarep,,,,,,,,,,,,
0810_0814_d_00_container_Temple,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0810_0814_d_01_TaskGoToPOITag_temple,0810_0814_d_01a_Container,,,
0810_0814_d_01_TaskGoToPOITag_temple,TaskGoToPOITag,,1,,,,,,true,,Dynasty_MountainTemple_30235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0810_0814_d_01_TaskGoToPOITag_temple,,,,,,,,,,,,
0810_0814_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0810_0814_d_02_TaskKillContribution_corrupted,0810_0814_d_03_TaskKillContribution_Legarath,,,
0810_0814_d_02_TaskKillContribution_corrupted,TaskKillContribution,,1,20,,,,,true,,Dynasty_MountainTemple_30235,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,,@0810_0814_d_02_TaskKillContribution_corrupted,,,,,,,,,,,,
0810_0814_d_03_TaskKillContribution_Legarath,TaskKillContribution,,1,1,,,,,,,Dynasty_MountainTemple_30235,,,,,,,,,,,,,Dynasty_Warrior_Named_08QP02,,,,,,,,,,,,,,,,,,,,,@0810_0814_d_03_TaskKillContribution_Legarath,,,,,,,,,,,,
0899_0801_d_00_container_Liberation,ConsecutiveTaskContainer,,,,,,,,,,dungeon_entrance_20204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0899_0801_d_01_TaskGoToPOITag_Liberator,,,,,,,,,0899_0801_d_01_TaskGoToPOITag_Liberator,0899_0801_d_01a_container_tasks,,,
0899_0801_d_01_TaskGoToPOITag_Liberator,TaskGameMode,,1,,,,,,,,dungeon_entrance_20204,DungeonEbonscale00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0899_0801_d_01_TaskGoToPOITag_Liberator,,,,,,,,,,,,
0899_0801_d_01a_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0899_0801_d_02_TaskHaveAndReturnItems_Shackles,0899_0801_d_03_TaskHaveAndReturnItems_Shackles,0899_0801_d_04_TaskHaveAndReturnItems_Shackles,,
0899_0801_d_02_TaskHaveAndReturnItems_Shackles,TaskHaveAndReturnItems,,1,1,0899_0101_DynastyShackles,Dynasty_Summoner_Named_DG_Ebonscale_00,100,,,,,DungeonEbonscale00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0899_0801_d_02_TaskHaveAndReturnItems_Shackles,4886.672 4446.456 42.657,,,,,,,,,,,
0899_0801_d_03_TaskHaveAndReturnItems_Shackles,TaskHaveAndReturnItems,,1,1,0899_0101_DynastyShackles1,Dynasty_Spearman_Named_DG_Ebonscale_00,100,,,,,DungeonEbonscale00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0899_0801_d_02_TaskHaveAndReturnItems_Shackles,4808.877 4505.424 43.444,,,,,,,,,,,
0899_0801_d_04_TaskHaveAndReturnItems_Shackles,TaskHaveAndReturnItems,,1,1,0899_0101_DynastyShackles2,Dynasty_Warrior_Named_DG_Ebonscale_01,100,,,,,DungeonEbonscale00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0899_0801_d_02_TaskHaveAndReturnItems_Shackles,4627.855 4407.089 41.304,,,,,,,,,,,
0899_0801_d_05_TaskFinish,TaskKillContribution,,1,1,,,,,,,,DungeonEbonscale00,,,,,,,,,,,,Dynasty_Empress,,,,,,,,,,,,,,,,,,,,,@0811_0803_d_02_TaskKillContribution_ZhouTaiying,,,,,,,,,,,,
0827_0801_d_00_container_Brothers,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0827_0801_d_01_TaskGoToPOITag_Thunder,0827_0801_d_01a_Container,,,
0827_0801_d_01_TaskGoToPOITag_Thunder,TaskGoToPOITag,,1,,,,,,true,,Pirate_Harbor_30239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0827_0801_d_01_TaskGoToPOITag_Thunder,,,,,,,,,,,,
0827_0801_d_01a_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0827_0801_d_02_TaskKillContribution_Bartolome,0827_0801_d_03_TaskKillContribution_Bartholomew,,,
0827_0801_d_02_TaskKillContribution_Bartolome,TaskKillContribution,,1,1,,,,,true,,Pirate_Harbor_30239,,,,,,,,,,,,,Undead_Officer_Named_08QP02,,,,,,,,,,,,,,,,,,,,,@0827_0801_d_02_TaskKillContribution_Bartolome,6541.91 5733.17 75,,,,,,,,,,,
0827_0801_d_03_TaskKillContribution_Bartholomew,TaskKillContribution,,1,1,,,,,true,,Pirate_Harbor_30239,,,,,,,,,,,,,Undead_Berserker_Named_08QP02,,,,,,,,,,,,,,,,,,,,,@0827_0801_d_03_TaskKillContribution_Bartholomew,6357.38 5689.00 44,,,,,,,,,,,
0829_0801_d_00_container_LuckyRed,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0829_0801_d_01_TaskGoToPOITag_Ruins,0829_0801_d_02_TaskHaveAndReturnItems_Redclaw,,,
0829_0801_d_01_TaskGoToPOITag_Ruins,TaskGoToPOITag,,1,,,,,,true,,Dryad_Ruins_30229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0829_0801_d_01_TaskGoToPOITag_Ruins,,,,,,,,,,,,
0829_0801_d_02_TaskHaveAndReturnItems_Redclaw,TaskHaveAndReturnItems,,1,1,0829_0801_CrimsonClaw,BearElemental_Named_08QP03,100,,true,,Dryad_Ruins_30229,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0829_0801_d_02_TaskHaveAndReturnItems_Redclaw,,,,,,,,,,,,
0829_0802_d_00_container_StringsOfFate,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0829_0802_d_01_TaskGoToPOITag_Serenity,0829_0802_d_02_TaskHaveAndReturnItems_Strings,,,
0829_0802_d_01_TaskGoToPOITag_Serenity,TaskGoToPOITag,,1,,,,,,true,,Dynasty_Cavern_30241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0829_0802_d_01_TaskGoToPOITag_Serenity,,,,,,,,,,,,
0829_0802_d_02_TaskHaveAndReturnItems_Strings,TaskHaveAndReturnItems,,1,8,0829_0802_RedStrings,Corrupted,100,,true,,Dynasty_Cavern_30241,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0829_0802_d_02_TaskHaveAndReturnItems_Strings,,,,,,,,,,,,
0826_0801_d_00_container_ToBeFree,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0826_0801_d_01_TaskGoToPOITag_SkysongShrine,0826_0801_d_02_TaskHaveAndReturnItems_Keys,0826_0801_d_03_TaskGameEvent_Tigers,,
0826_0801_d_01_TaskGoToPOITag_SkysongShrine,TaskGoToPOITag,,,,,,,,true,,dynasty_shrine_30312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0826_0801_d_01_TaskGoToPOITag_SkysongShrine,,,,,,,,,,,,
0826_0801_d_02_TaskHaveAndReturnItems_Keys,TaskHaveAndReturnItems,,1,4,0826_0801_DynastyKeys,,,100,true,,dynasty_shrine_30312,,,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0826_0801_d_02_TaskHaveAndReturnItems_Keys,,,,,,,,,,,,
