TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17,SubTask18,SubTask19,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,KillEnemyType,InteractTag,ItemDropVC
Quest_16015_Task_12,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16053,NPC_16053_State_1_Topic_0,@Quest_16015_Task_12_Description,,,,,,
Quest_16015_Task_13,,,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16015_Task_13_Description,werebeast_den_20328,,,,,
Quest_16015_Task_14,,,,,,,,,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_LeftEyes,,@Quest_16015_Task_14_Description,werebeast_den_20328,,,,,Werewolf
Quest_16015_Task_15,,,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16015_Task_15_Description,werebeast_den_20329,,,,,
Quest_16015_Task_16,Quest_16015_Task_30,Quest_16015_Task_27,,,,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,5.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQ_BRU4_TrueSeeing_IGC,,@Quest_16015_Task_16_Description,,,,,,
Quest_16015_Task_17,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16204,NPC_16204_State_1_Topic_0,@Quest_16015_Task_17_Description,,,,17_ZQBRU4_ExamineKnifePlate_interact,,
Quest_16015_Task_6_0,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16015_Task_6_0_Description_0,,TV_17ZQBRU4_SearchForDivinationStaff2,3479.547119 6661.466797 70.462402,,,
Quest_16015_Task_6_0_0,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16015_Task_6_0_0_Description,,TV_17ZQBRU4_ApproachStatue,3480.079102 6644.642090 70.489998,,,
Quest_16015_Task_2,,,,,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_StatuePuzzle_Started,,,,,,,,
Quest_16015_Task_10,,,,,,,,,,,,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_StatuePuzzle_Solved,,,,,,,,
Quest_16015_Task_3_0,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16097,NPC_16097_State_2_Topic_0,@Quest_16015_Task_3_0_Description,,,,,,
Quest_16015_Task_18,Quest_16015_Task_25,Quest_16015_Task_19,Quest_16015_Task_19_0,,,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16015_Task_18_Description,,,,,,
Quest_16015_Task_19,Quest_16015_Task_20,Quest_16015_Task_21,Quest_16015_Task_20_1,,,,,,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16015_Task_19_0,Quest_16015_Task_20_0,Quest_16015_Task_21_0,Quest_16015_Task_22,,,,,,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_16015_Task_19_0_Description,,,,,,
Quest_16015_Task_20,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_08_02,,@Quest_16015_Task_20_Description,,,3812.881104 6910.270996 156.157898,,,
Quest_16015_Task_20_0,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_08_03,,@Quest_16015_Task_20_0_Description,,,3847.897949 6967.042969 156.102997,,,
Quest_16015_Task_20_0_0,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_08_04,,@Quest_16015_Task_20_0_0_Description,,,3805.920898 6967.324219 158.968002,,,
Quest_16015_Task_21,,,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,0.000000,0,,,@Quest_16015_Task_21_Description,,,3811.770020 6912.104980 156.026993,17_ZQBRU4_CarnivalForehead_interact,IO_17_ZQBRU4_CarnivalForehead,
Quest_16015_Task_20_1,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_08_05,,@Quest_16015_Task_20_1_Description,,,3789.041016 6897.327148 162.341995,,,
Quest_16015_Task_21_0,,,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,0.000000,0,,,@Quest_16015_Task_21_0_Description,,,,17_ZQBRU4_CrownVines_interact,IO_17_ZQBRU4_CrownVines,
Quest_16015_Task_22,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16185,NPC_16185_State_1_Topic_0,@Quest_16015_Task_22_Description,,,,,,
Quest_16015_Task_20_1_0_0,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_08_06,,@Quest_16015_Task_20_1_0_0_Description,,,3827.925537 6974.243652 183.925903,,,
Quest_16015_Task_25,Quest_16015_Task_23,Quest_16015_Task_26,,,,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16015_Task_26,Quest_16015_Task_20_0_0,Quest_16015_Task_20_1_0_0,,,,,,,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16015_Task_23,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_08_06,,@Quest_16015_Task_23_Description,,,,,,
Quest_16015_Task_27,Quest_16015_Task_28,Quest_16015_Task_29,,,,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16015_Task_28,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_16015_Task_28_Description,,nevertrue,,,,
Quest_16015_Task_29,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,0.000000,0,,NPC_16195_State_3,@Quest_16015_Task_29_Description,,,,,,
Quest_16015_Task_30,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16195,NPC_16195_State_3_Topic_0,@Quest_16015_Task_30_Description,,,,,,
Quest_16015_Task_24,Quest_16015_Task_15,Quest_16015_Task_16,Quest_16015_Task_17,,,,,,,,,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
