TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0401_0102_d_02_TaskHaveItems_1_1hSkinningKnifeT1,TaskHaveItems,,,,1,1hSkinningKnifeT1,,,,,4,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0102_d_04_task,,8099.437 4526.664 43.7461,,,,,,,,,,,
0401_0103_d_00_container_boarproblem,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0401_0103_d_01_kill_1_Boar,0401_0103_d_02_equip_skinning,0401_0103_d_03_TaskHaveItems_1_RedMeatT1,0401_0103_d_04_TaskGameEvent_1_Craft_CookingT1,0401_0103_d_05_TaskHaveItems_1_LightRation
0401_0103_d_01_kill_1_Boar,TaskKillContribution,,,,1,,,,,,,,,,,,,,,,,,,,Boar,,,,,,,,,,,,,,,,,,,,@0401_0103_d_01_task,,8204.438 4484.678 59.176,,,,,,,,,,,
0401_0103_d_02_equip_skinning,TaskEquipItem,,,,1,1hSkinningKnifeT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0103_d_02_task,,8204.438 4484.678 59.176,,,,,,,,,,,
0401_0103_d_03_TaskHaveItems_1_RedMeatT1,TaskGatherItems,,,,1,PorkT1,Boar,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0103_d_03_task,,8204.438 4484.678 59.176,,,,,,,,,,,
0401_0103_d_04_TaskGameEvent_1_Craft_CookingT1,TaskCraftRecipe,,,,1,,,,,,4,watchtower,,,,,,,,Procedural_HealthRecoveryT1,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0103_d_04_task,,8099.437 4526.664 43.7461,,,,,,,,,,,
0401_0103_d_05_TaskHaveItems_1_LightRation,TaskHaveItems,,1,,1,FoodHealthRecoveryT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0401_0104_d_00_container_xmarksthespot_p1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0401_0104_d_01_TaskGoToPOITag_drowned_shipwreck_4,0401_0104_d_02_container_xmarksthespot_lorepages,0401_0104_d_03_container_xmarksthespot_locker,0401_0104_d_04_TaskGoToPOITag_drowned_shipwreck_1,0401_0104_d_05_container_xmarksthespot_flags
0401_0104_d_01_TaskGoToPOITag_drowned_shipwreck_4,TaskGoToPOITag,,,,,,,,,,,drowned_shipwreck_4_30218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_GoTo_POI_search,,,,,,,,,,,,,
0401_0104_d_02_container_xmarksthespot_lorepages,SimpleTaskContainer,,,,,,,,,,,drowned_shipwreck_4_30218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_POIRef_drowned_shipwreck_4,,,,,,,,,0401_0104_d_02_01_TaskAchievement_ShipsRoster_drowned_shipwreck_1,0401_0104_d_02_02_TaskAchievement_ShipsManifest_drowned_shipwreck_1,0401_0104_d_02_03_TaskAchievement_ShipsLog_drowned_shipwreck_1,,
0401_0104_d_02_01_TaskAchievement_ShipsRoster_drowned_shipwreck_1,TaskAchievement,,,,1,Lore_unlock_04_Everfall_Title_17_02,,,,1,,drowned_shipwreck_4_30218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_collect_shipsroster,,7890.859 4411.201 46.532,,,,,,,,,,,
0401_0104_d_02_02_TaskAchievement_ShipsManifest_drowned_shipwreck_1,TaskAchievement,,,,1,Lore_unlock_04_Everfall_Title_17_03,,,,1,,drowned_shipwreck_4_30218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_collect_shipsmanifest,,7875.950 4483.816 42.295,,,,,,,,,,,
0401_0104_d_02_03_TaskAchievement_ShipsLog_drowned_shipwreck_1,TaskAchievement,,,,1,Lore_unlock_04_Everfall_Title_17_04,,,,1,,drowned_shipwreck_4_30218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_collect_shipslog,,7933.188 4449.780 43.824,,,,,,,,,,,
0401_0104_d_03_container_xmarksthespot_locker,ConsecutiveTaskContainer,,,,,,,,,,,drowned_shipwreck_3_30217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0401_0104_d_03_01_TaskGoToPOITag_drowned_shipwreck_3,0401_0104_d_03_01_TaskGatherAndReturnItems_1_MI_ArcaneBottles_drowned_shipwreck_3,,,
0401_0104_d_03_01_TaskGoToPOITag_drowned_shipwreck_3,TaskGoToPOITag,,,,,,,,,,,drowned_shipwreck_3_30217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_GoTo_POI_search,,,,,,,,,,,,,
0401_0104_d_03_01_TaskGatherAndReturnItems_1_MI_ArcaneBottles_drowned_shipwreck_3,TaskGatherAndReturnItems,,1,,1,MI_ArcaneBottles,MSQ_ShipsLocker,100,,1,,drowned_shipwreck_3_30217,,,true,,,,,,,IO_MSQ_ShipsLocker,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_search_IO_at_POI,,7821.38 4592.81 42.31,,,,,,,,,,,
0401_0104_d_04_TaskGoToPOITag_drowned_shipwreck_1,TaskGoToPOITag,,,,,,,,,,,drowned_shipwreck_1_30215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_GoTo_POI_search,,,,,,,,,,,,,
0401_0104_d_05_container_xmarksthespot_flags,SimpleTaskContainer,,,,,,,,,,,drowned_shipwreck_1_30215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_POIRef_drowned_shipwreck_1,,,,,,,,,0401_0104_d_05_01_TaskGatherAndReturnItems_shipflagStern_drowned_shipwreck_1,0401_0104_d_05_02_TaskGatherAndReturnItems_shipflagBow_drowned_shipwreck_1,,,
0401_0104_d_05_01_TaskGatherAndReturnItems_shipflagStern_drowned_shipwreck_1,TaskGatherAndReturnItems,,1,,1,0401_0104_ShipsFlagA,MSQ_0001_ShipFlagStern,100,,1,,drowned_shipwreck_1_30215,,,true,,,,,,,IO_MSQ_0001_ShipFlagStern,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_collect_sternflag,,7956.228 4705.389 50.609,,,,,,,,,,,
0401_0104_d_05_02_TaskGatherAndReturnItems_shipflagBow_drowned_shipwreck_1,TaskGatherAndReturnItems,,1,,1,0401_0104_ShipsFlagB,MSQ_0002_ShipFlagBow,100,,1,,drowned_shipwreck_1_30215,,,true,,,,,,,IO_MSQ_0002_ShipFlagBow,,,,,,,,,,,,,,,,,,,,,,,@0401_0104_xmarksthespot_p1_collect_bowflag,,7918.243 4687.412 49.341,,,,,,,,,,,
0401_0107_d_00_container_preciouscargo,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0401_0107_d_01_TaskGoToPOITag_drowned_cavern,0401_0107_d_02_TaskTriggerArea_drowned_cavern,0401_0107_d_03_kill_Damned_Cultist_Named_03_drowned_cavern,,
0401_0107_d_01_TaskGoToPOITag_drowned_cavern,TaskGoToPOITag,,1,,,,,,,,,drowned_cavern_30219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0401_0107_d_01_task,,,,,,,,,,,,,
0401_0107_d_02_TaskTriggerArea_drowned_cavern,TaskTriggerArea,,1,,1,,,,,,,drowned_cavern_30219,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_04_BeachCave,@0401_0107_d_02_task,,8122.7168 4802.4204 64.074,,,,,,,,,,,
0401_0107_d_03_kill_Damned_Cultist_Named_03_drowned_cavern,TaskKillContribution,,1,,1,,,,,1,,drowned_cavern_30219,,,,,,,,,,,,,Damned_Cultist_Named_03,,,,,,,,,,,,,,,,,,,,@0401_0107_d_03_task,,8096.0 4813.0 60.07,,,,,,,,,,,
0401_0108_d_00_container_introtosettlement,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0401_0108_d_01_GrantAchievement_Everfall,0401_0108_d_02_transport_npc_note,0401_0108_d_03_have_npc_note,0401_0108_d_04_task_openmap,
0401_0108_d_01_GrantAchievement_Everfall,TaskUnlockAchievement,,1,,1,BeachStart_Everfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0401_0108_d_02_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_transport_generic,,,1,,,,,,,,,,
0401_0108_d_03_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@04_task_transport_generic,,,1,,,,,,,,,,
0401_0108_d_04_task_openmap,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,Map,,,,,,,,,,,,,,,,,,,,,,@task_getoffbeach_openmap,,,,,,,,,,,,,
0402_0101_d_00_container_introtosurvivalist,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0402_0101_d_01_transport_npc_note,0402_0101_d_02_have_npc_note,,,
0402_0101_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_transport_generic,,,1,,,,,,,,,,
0402_0101_d_02_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@04_task_transport_generic,,,1,,,,,,,,,,
0425_0101_d_00_container_truffles,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0425_0101_d_01_GiveItem_GatheringSickleT1,0425_0101_d_01A_EquipItem_Sickle,0425_0101_d_02_container_truffles_tasks,0425_0101_d_03_SliceSwap_0425_HerbalistPath_Off,0425_0101_d_04_SliceSwap_0425_HerbalistEFTown_On
0425_0101_d_01_GiveItem_GatheringSickleT1,TaskGiveItem,,1,,1,1hSickleT1,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0425_0101_d_01A_EquipItem_Sickle,TaskEquipItem,,1,,1,1hSickleT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0425_0101_truffles_equip_sickle,,,,,,,,,,,,,
0425_0101_d_02_container_truffles_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0425_0101_d_02_01_GatherAndReturn_5_DeliciousTruffles,0425_0101_d_02_02_container_truffles_tasks,,,
0425_0101_d_02_01_GatherAndReturn_5_DeliciousTruffles,TaskGatherAndReturnItems,,1,,5,0425_0101_Truffle,0425_Truffle,100,,,,,,,true,,,,,,,IO_0425_Truffle,,,,,,,,,,,,,,,,,,,,,,,@0425_0101_truffles_gather_truffle,,8264.973 4350.833 87.713,,,,,,,,,,,
0425_0101_d_02_02_container_truffles_tasks,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0425_0101_d_02_02_01_Have_5_DeliciousTruffles,0425_0101_d_02_02_02_container_truffles_gather,,,
0425_0101_d_02_02_01_Have_5_DeliciousTruffles,TaskHaveItems,,,,5,0425_0101_Truffle,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0425_0101_d_02_02_02_container_truffles_gather,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0425_0101_truffles_optional_gather_hyssop,,,,,,,,,0425_0101_d_02_02_02_01_GatherAndReturn_Herbs,0425_0101_d_02_02_02_02_GatherAndReturn_Berries,,,
0425_0101_d_02_02_02_01_GatherAndReturn_Herbs,TaskRequireGatherItems,,1,,1,HerbT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0425_0101_d_02_02_02_02_GatherAndReturn_Berries,TaskRequireGatherItems,,1,,1,BerryT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0425_0101_d_03_SliceSwap_0425_HerbalistPath_Off,TaskUnlockAchievement,,1,,1,SwapActive_0425_HerbalistPath_Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0425_0101_d_04_SliceSwap_0425_HerbalistEFTown_On,TaskUnlockAchievement,,1,,1,SwapActive_0425_HerbalistEFTown_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0403_0201_d_00_container_survivalistquest,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0403_0201_d_01_survivalistquest_makeCamp,0403_0201_d_02_00_container_survivalistquest_wolfDens,,,
0403_0201_d_01_survivalistquest_makeCamp,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,MakeCamp,,,,,,,,,,,,,,,,,,,,@0403_0201_open_camp,,,,,,,,,,,,,
0403_0201_d_02_00_container_survivalistquest_wolfDens,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0403_0201_d_02_01_TaskGoToPOITag_alphawolf_den_40230,0403_0201_d_02_02_survivalistquest_kill_5_wolf_alphawolf_den_40230,0403_0201_d_02_03_TaskGoToPOITag_alphawolf_den_wolf_den_40226,0403_0201_d_02_04_TaskHaveAndReturnItems_4_MI_CoarseWolfHairs_Wolf,
0403_0201_d_02_01_TaskGoToPOITag_alphawolf_den_40230,TaskGoToPOITag,,1,,,,,,,,,wolf_den_40230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_travelto_POITag_generic,,,,,,,,,,,,,
0403_0201_d_02_02_survivalistquest_kill_5_wolf_alphawolf_den_40230,TaskKillContribution,,1,,5,,,,,1,,wolf_den_40230,,,,,,,,,,,,,wolf_grey_04nw02,,,,,,,,,,,,,,,,,,,,@04_task_cull_enemies_generic,,,,,,,,,,,,,
0403_0201_d_02_03_TaskGoToPOITag_alphawolf_den_wolf_den_40226,TaskGoToPOITag,,1,,,,,,,,,wolf_den_40226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_travelto_POITag_generic,,,,,,,,,,,,,
0403_0201_d_02_04_TaskHaveAndReturnItems_4_MI_CoarseWolfHairs_Wolf,TaskHaveAndReturnItems,,1,,3,0403_0201_CoarseWolfHairs,Wolf_Timber_04NW07,100,,1,,wolf_den_40226,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0403_0201_CoarseWolf,,,,,,,,,,,,,
0403_0201_d_00_container_survivalistquest_V2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0403_0201_V2_d_01_survivalistquest_makeCamp,0403_0201_V2_d_01_01_container_survivalistquest_wolfDens,,,
0403_0201_V2_d_01_survivalistquest_makeCamp,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,MakeCamp,,,,,,,,,,,,,,,,,,,,@0403_0201_V2_makeCamp,,,,,,,,,,,,,
0403_0201_V2_d_01_01_container_survivalistquest_wolfDens,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0403_0201_V2_d_02_00_container_survivalistquest_wolfDen_01,0403_0201_V2_d_02_00_container_survivalistquest_wolfDen_02,,,
0403_0201_V2_d_02_00_container_survivalistquest_wolfDen_01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0403_0201_V2_d_02_01_TaskGoToPOITag_alphawolf_den_wolf_den_40226,0403_0201_V2_d_02_02_TaskHaveAndReturnItems_4_MI_CoarseWolfHairs_Wolf,,,
0403_0201_V2_d_02_01_TaskGoToPOITag_alphawolf_den_wolf_den_40226,TaskGoToPOITag,,1,,,,,,,,,wolf_den_40230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0403_0201_V2_TaskGoToPOITag_den_40226,,,,,,,,,,,,,
0403_0201_V2_d_02_02_TaskHaveAndReturnItems_4_MI_CoarseWolfHairs_Wolf,TaskHaveAndReturnItems,,1,,5,MI_WolfMusk,wolf_grey_04nw02,100,,1,,wolf_den_40230,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0403_0201_V2_TaskHaveAndReturnItems,,,,,,,,,,,,,
0403_0201_V2_d_02_00_container_survivalistquest_wolfDen_02,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0403_0201_V2_d_02_01_TaskGoToPOITag_alphawolf_den_40230,0403_0201_V2_d_03_00_container_survivalistquest_killAlpha,,,
0403_0201_V2_d_02_01_TaskGoToPOITag_alphawolf_den_40230,TaskGoToPOITag,,1,,,,,,,,,wolf_den_40226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0403_0201_V2_TaskGoToPOITag_den_40230,,,,,,,,,,,,,
0403_0201_V2_d_03_00_container_survivalistquest_killAlpha,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,IO_0403_0201_AlphaLure,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0403_0201_V2_d_03_01_container_survivalistquest_wolfDen_02_PartialContainer,0403_0201_V2_d_03_03_TaskHaveAndReturnItems_FineAlphaFur,,,
0403_0201_V2_d_03_01_container_survivalistquest_wolfDen_02_PartialContainer,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0403_0201_V2_d_03_02a_TaskInteract_LureAlpha_Optional,0403_0201_V2_d_02_02b_TaskInteract_KillContribution_Alpha_Hidden,,,
0403_0201_V2_d_03_02a_TaskInteract_LureAlpha_Optional,TaskInteract,,,,1,,,,,,,,,,,,,,,,,IO_0403_0201_AlphaLure,,,IO_0403_0201_AlphaLure_interact,,,,,,,,,,,,,,,,,,,,@0403_0201_V2_TaskInteract_LureAlpha_Optional,,9286.544 4503.321 141.379,,,,,,,,,,,
0403_0201_V2_d_02_02b_TaskInteract_KillContribution_Alpha_Hidden,TaskKillContribution,,1,,1,,,,,,,,,,,,,,,,,,,,Wolf_Alpha_Named_0403_0201_WaveEventBoss,,,,,,,,,,,,,,,,,,,,@0403_0201_V2_TaskInteract_KillContribution_Alpha_Hidden,,,1,,,,,,,,,,
0403_0201_V2_d_03_03_TaskHaveAndReturnItems_FineAlphaFur,TaskHaveAndReturnItems,,1,,1,MI_FineFur,Wolf_Alpha_Named_0403_0201_WaveEventBoss,100,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0403_0201_V2_TaskHaveAndReturnItems_FineAlphaFur,,9286.544 4503.321 141.379,,,,,,,,,,,
0403_0102_d_00_container_introtooverseer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0403_0102_d_01_transport_npc_note,0403_0102_d_02_have_npc_note,,,
0403_0102_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_transport_generic,,,1,,,,,,,,,,
0403_0102_d_02_have_npc_note,TaskHaveAndReturnItems,,1,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@04_task_transport_generic,,,1,,,,,,,,,,
0404_0104_d_00_container_overseersettlement,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0404_0101_d_00_container_gatherforoverseer,0404_0102_d_00_container_refineforoverseer,,,
0404_0101_d_00_container_gatherforoverseer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0404_0101_d_01_TaskHaveItems_200_StoneT1,0404_0101_d_02_TaskHaveItems_40_RawhideT1,0404_0101_d_03_TaskHaveItems_200_WoodT1,,
0404_0101_d_01_TaskHaveItems_200_StoneT1,TaskHaveItems,,,,40,StoneT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0101_d_01_task,,,,,,,,,,,,,
0404_0101_d_02_TaskHaveItems_40_RawhideT1,TaskHaveItems,,,,16,RawhideT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0101_d_02_task,,,,,,,,,,,,,
0404_0101_d_03_TaskHaveItems_200_WoodT1,TaskHaveItems,,,,40,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0101_d_03_task,,,,,,,,,,,,,
0404_0102_d_00_container_refineforoverseer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0404_0102_d_01_TaskHaveAndReturnItems_20_TimberT2,0404_0102_d_02_TaskHaveAndReturnItems_20_BlockT2,0404_0102_d_03_TaskHaveAndReturnItems_4_LeatherT2,,
0404_0102_d_01_TaskHaveAndReturnItems_20_TimberT2,TaskHaveItems,,,,10,TimberT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0102_d_01_task,,8837 4253 3.00,,,,,,,,,,,
0404_0102_d_02_TaskHaveAndReturnItems_20_BlockT2,TaskHaveItems,,,,10,BlockT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0102_d_02_task,,8821 4244 1.33,,,,,,,,,,,
0404_0102_d_03_TaskHaveAndReturnItems_4_LeatherT2,TaskHaveItems,,,,4,LeatherT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0404_0102_d_03_task,,8903 4191 3.58,,,,,,,,,,,
0404_0103_d_00_container_introtoartificer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0404_0103_d_01_transport_npc_note,0404_0103_d_02_have_npc_note,,,
0404_0103_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,,1,MI_SummonsNote,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04_task_transport_generic,,,1,,,,,,,,,,
