TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0331_0101_d_01_01_find_ClueA,TaskGameEvent,,,1,0331_0101_BeastClueA_IO,,,,,greatcleave4,greatcleave4,,,,,,,,,IO_0331_0101_BeastClueA,,,0331_0101_BeastClueA_interact,,,,,,,,,,,,,,,,,,,,@0331_0101_d_01_find_Clues,,8902.0 8093.0 541.88 ,,,,,,,,,,,,,,,,,
0331_0101_d_01_02_find_ClueB,TaskGameEvent,,,1,0331_0101_BeastClueB_IO,,,,,greatcleave4,greatcleave4,,,,,,,,,IO_0331_0101_BeastClueB,,,0331_0101_BeastClueB_interact,,,,,,,,,,,,,,,,,,,,@0331_0101_d_01_find_Clues,,8876.0 8072.0 536.03,,,,,,,,,,,,,,,,,
0331_0101_d_01_03_find_ClueC,TaskGameEvent,,,1,0331_0101_BeastClueC_IO,,,,,greatcleave4,greatcleave4,,,,,,,,,IO_0331_0101_BeastClueC,,,0331_0101_BeastClueC_interact,,,,,,,,,,,,,,,,,,,,@0331_0101_d_01_find_Clues,,8854.0 8040.0 536.13,,,,,,,,,,,,,,,,,
0331_0101_d_01_container_FollowMoreClues,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0331_0101_d_01_04_find_ClueD,0331_0101_d_01_05_find_ClueE,0331_0101_d_03_Task_TalkToBeast,,
0331_0101_d_01_04_find_ClueD,TaskGameEvent,,,1,0331_0101_BeastClueD_IO,,,,,greatcleave4,greatcleave4,,,,,,,,,IO_0331_0101_BeastClueD,,,0331_0101_BeastClueD_interact,,,,,,,,,,,,,,,,,,,,@0331_0101_d_01_find_Clues,,8822.0 8039.0 532.69,,,,,,,,,,,,,,,,,
0331_0101_d_01_05_find_ClueE,TaskGameEvent,,,1,0331_0101_BeastClueE_IO,,,,,greatcleave4,greatcleave4,,,,,,,,,IO_0331_0101_BeastClueE,,,0331_0101_BeastClueE_interact,,,,,,,,,,,,,,,,,,,,@0331_0101_d_01_find_Clues,,8785.0 8016.0 536.78,,,,,,,,,,,,,,,,,
0331_0101_d_03_Task_TalkToBeast,TaskConversationTopic,,,1,0335_Beast,,,,,,,,,,,,,,,,0335_BecomingTheBeast,,,,,,,,,,,,,,,,,,,,,,@0331_0101_d_03_ConfrontBeast,,8784.0 8069.0 526.66,,,,,,,,,,,,,,,,,
0331_0102_d_00_container_wolvesofwinter,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0331_0102_d_01_TaskGoToPOITag,0331_0102_d_02_Task_Kill,,,
0331_0102_d_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,cave_40432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0331_0102_d_01_GoTo,,,,,,,,,,,,,,,,,,,
0331_0102_d_02_Task_Kill,TaskKillContribution,,,1,,,,,true,,cave_40432,,,,,,,,,,,,Wolf_Alpha_Named_03GC04_02,,,,,,,,,,,,,,,,,,,,@0331_0102_d_02_Kill,,,,,,,,,,,,,,,,,,,
0331_0103_d_00_container_thebeastreturns,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0331_0103_d_01_container_swap,0331_0103_d_02_TaskGoToPOITag,0331_0103_d_03_Task_TalkToBeast,0331_0103_d_04_container_travel,0331_0103_d_05_container_kill
0331_0103_d_01_container_swap,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0331_0101_d_01_01_Task_SwapOff,0331_0101_d_01_02_Task_SwapOn,,,
0331_0101_d_01_01_Task_SwapOff,TaskUnlockAchievement,,,1,SwapActive_0335_Beast_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0331_0101_d_01_02_Task_SwapOn,TaskUnlockAchievement,,,1,SwapActive_0335_Beast_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0331_0103_d_02_TaskGoToPOITag,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Balemaw_Trigger,@0331_0103_d_02_TaskGoTo,,8784.0 8069.0 526.66,,,,,,,,,,,,,,,,,
0331_0103_d_03_Task_TalkToBeast,TaskConversationTopic,,,1,0335_Beast01,,,,,,,,,,,,,,,,0335_Attacked,,,,,,,,,,,,,,,,,,,,,,@0331_0101_d_03_ConfrontBeast,,8784.0 8069.0 526.66,,,,,,,,,,,,,,,,,
0331_0103_d_04_container_travel,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0331_0103_d_04_01_TaskGoToPOITag,0331_0103_d_04_02_Task_KillCollect,,,
0331_0103_d_04_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,corrupted_ritual_40343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0331_0103_d_03_01_TaskGoToPOI,,,,,,,,,,,,,,,,,,,
0331_0103_d_04_02_Task_KillCollect,TaskHaveAndReturnItems,,,9,0331_0103_BeastClues,Corrupted,100,,true,,corrupted_ritual_40343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0331_0103_d_03_02_Task_KillCollect,,,,,,,,,,,,,,,,,,,
0331_0103_d_05_container_kill,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0331_0103_d_05_01_TaskGoToPOITag,0331_0103_d_05_02_Task_Kill,,,
0331_0103_d_05_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,beastencounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0331_0103_d_04_01_TaskGoToPOI,,,,,,,,,,,,,,,,,,,
0331_0103_d_05_02_Task_Kill,TaskKillContribution,,,1,,,,,true,,beastencounter,,,,,,,,,,,,corrupted_ogre_named_03GC03_ELITE,,,,,,,,,,,,,,,,,,,,@0331_0103_d_04_02_Task_Kill,,,,,,,,,,,,,,,,,,,
0332_0101_d_00_container_aspotofluxury,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0332_0101_d_01_TaskGoToPOITag,0332_0101_d_02_Task_Swap,0332_0101_d_02_01_Task_Swap,0332_0101_d_03_Task_KillCollect,
0332_0101_d_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,greatcleave10,greatcleave10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0101_d_01_GoTo,,10015.0 7080.0 0.0,,,,,,,,,,,,,,,,,
0332_0101_d_02_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0332_Furrier_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0332_0101_d_02_01_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0332_Furrier_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0332_0101_d_03_Task_KillCollect,TaskHaveAndReturnItems,,,7,0332_0101_SpottedPelts,lynx_03GC10,100,,true,greatcleave10,greatcleave10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0101_d_03_KillCollect,,10015.0 7080.0 0.0,,,,,,,,,,,,,,,,,
0332_0102_d_00_container_fabulousfurs,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0332_0102_d_01_TaskGoToPOITag,0332_0102_d_02_Task_KillCollect,0332_0102_d_03_TaskGoToPOITag,0332_0102_d_04_00_container_swap,0332_0102_d_05_Task_KillCollect
0332_0102_d_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,greatcleave5,greatcleave5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0102_d_01_GoTo,,9166.0 7603.0 0.0,,,,,,,,,,,,,,,,,
0332_0102_d_02_Task_KillCollect,TaskHaveAndReturnItems,,,5,0332_0102_RedStripedPelts,mountain_lion,100,,,greatcleave5,greatcleave5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0102_d_02_KillCollect,,9166.0 7603.0 0.0,,,,,,,,,,,,,,,,,
0332_0102_d_03_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,greatcleave4,greatcleave4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0102_d_03_GoTo,,,,,,,,,,,,,,,,,,,
0332_0102_d_04_00_container_swap,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0332_0102_d_04_Task_Swap,0332_0102_d_04_01_Task_Swap,,,
0332_0102_d_04_Task_Swap,TaskLockAchievement,,,1,SwapActive_0332_Furrier_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0332_0102_d_04_01_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0332_Furrier_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0332_0102_d_05_Task_KillCollect,TaskHaveAndReturnItems,,,2,0332_0103_BlueStripedPelts,Elk_Stag_Strange_03GC04,100,,,greatcleave4,greatcleave4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0102_d_05_KillCollect,,9094.0 8352.0 0.0,,,,,,,,,,,,,,,,,
0332_0103_d_00_container_puredelight,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0332_0103_d_01_TaskGoToPOITag,0332_0103_d_02_Task_KillCollect,,,
0332_0103_d_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,greatcleave4,greatcleave4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0103_d_01_GoTo,,8798.58 8242.50 558.09,,,,,,,,,,,,,,,,,
0332_0103_d_02_Task_KillCollect,TaskHaveAndReturnItems,,,8,0332_0104_PurePelts,Wolf_White_03GC04,100,,,greatcleave4,greatcleave4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0332_0103_d_02_KillCollect,,8798.58 8242.50 558.09,,,,,,,,,,,,,,,,,
0333_0101_d_00_container_whiteasbone,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0333_0101_d_01_TaskGoToPOITag,0333_0101_d_02_Task_KillCollect,,,
0333_0101_d_01_TaskGoToPOITag,TaskGoToPOITag,,,1,,,,,true,,ancient_ruins_40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0333_0101_d_01_GoTo,,,,,,,,,,,,,,,,,,,
0333_0101_d_02_Task_KillCollect,TaskHaveAndReturnItems,,,3,0333_0101_AncientIvory,Ancient,100,,true,,ancient_ruins_40330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0333_0101_d_02_KillCollect,,,,,,,,,,,,,,,,,,,
0333_0102_d_00_container_redasblood,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0333_0102_d_01_TaskGoToPOITag,0333_0102_d_02_Task_SearchChest,0333_0102_d_03_00_container_swap,,
0333_0102_d_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,mine_40305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0333_0102_d_01_GoTo,,,,,,,,,,,,,,,,,,,
0333_0102_d_02_Task_SearchChest,TaskHaveAndReturnItems,,,6,0333_0102_FirebrightRuby,,,100,true,,mine_40305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0333_0102_d_02_SearchCollect,,,,,,,,,,,,,,,,,,,
0333_0102_d_03_00_container_swap,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0333_0102_d_03_Task_Swap,0333_0102_d_03_01_Task_Swap,,,
0333_0102_d_03_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0333_Arcanist_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0333_0102_d_03_01_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0333_Arcanist_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0333_0103_d_00_container_blackasebony,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0333_0103_d_01_TaskGoToPOITag,0333_0103_d_02_Task_KillCollect,,,
0333_0103_d_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,greatcleave5,greatcleave5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0333_0103_d_01_GoTo,,,,,,,,,,,,,,,,,,,
0333_0103_d_02_Task_KillCollect,TaskHaveAndReturnItems,,,3,0333_0103_CharredEbony,,,100,true,greatcleave5,greatcleave5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0333_0103_d_02_KillCollect,,,,,,,,,,,,,,,,,,,
0333_0104_d_00_container_anofferingforoffspring,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0333_0104_d_01_Task_GivePoppet,0333_0104_d_02_TaskGoToPOI,0333_0104_d_03_Task_InteractTree,,
0333_0104_d_01_Task_GivePoppet,TaskGiveItem,,,1,0333_0104_CreepyPoppet,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0333_0104_d_02_TaskGoToPOI,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,WishingTree_Trigger,@0333_0104_d_02_GoTo,,10081.0 7921.5 474.11,,,,,,,,,,,,,,,,,
0333_0104_d_03_Task_InteractTree,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_0333_0104_WishingTree,,,0333_0104_WishingTree_interact,,,,,,,,,,,,,,,,,,,,@0333_0104_d_03_InteractTree,,10081.0 7921.5 474.11,,,,,,,,,,,,,,,,,
0334_0101_d_00_container_perfectpiroshkis,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0334_0101_d_00_container_simple_gathering,0334_0101_d_04_00_container_swap,,,
0334_0101_d_00_container_simple_gathering,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0334_0101_d_01_container_dill,0334_0101_d_02_container_cheese,0334_0101_d_03_container_bison,,
0334_0101_d_01_container_dill,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0334_0101_d_01_01_TaskGoToPOITag,0334_0101_d_01_02_SearchChest,,,
0334_0101_d_01_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,corrupted_fort_40317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0334_0101_d_01_GoTo,,,,,,,,,,,,,,,,,,,
0334_0101_d_01_02_SearchChest,TaskHaveAndReturnItems,,,2,0334_0101_DriedDill,,,100,true,,corrupted_fort_40317,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0334_0101_d_02_SearchCollect,,,,,,,,,,,,,,,,,,,
0334_0101_d_02_container_cheese,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0334_0101_d_02_01_TaskGoToPOITag,0334_0101_d_02_02_SearchChest,,,
0334_0101_d_02_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,,corrupted_fort_40315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0334_0101_d_02_GoTo,,,,,,,,,,,,,,,,,,,
0334_0101_d_02_02_SearchChest,TaskHaveAndReturnItems,,,3,0334_0101_CrumblyCheese,,,100,true,,corrupted_fort_40315,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0334_0101_d_02_SearchCollect,,,,,,,,,,,,,,,,,,,
0334_0101_d_03_container_bison,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0334_0101_d_03_01_TaskGoToPOITag,0334_0101_d_03_02_KillCollect,,,
0334_0101_d_03_01_TaskGoToPOITag,TaskGoToPOITag,,,,,,,,true,greatcleave4,greatcleave4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0334_0101_d_03_GoTo,,,,,,,,,,,,,,,,,,,
0334_0101_d_03_02_KillCollect,TaskHaveAndReturnItems,,,3,0334_0101_TenderizedBison,Elk_Stag_Strange_03GC04,100,,,greatcleave4,greatcleave4,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0334_0101_d_03_KillCollect,,,,,,,,,,,,,,,,,,,
0334_0101_d_04_00_container_swap,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0334_0101_d_04_Task_Swap,0334_0101_d_04_01_Task_Swap,,,
0334_0101_d_04_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0334_Baker_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0334_0101_d_04_01_Task_Swap,TaskUnlockAchievement,,,1,SwapActive_0334_Baker_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0334_0102_d_00_container_towarmthesoulwardens,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0334_0102_d_01_Task_GiveBasket,0334_0102_d_02_GC_Food_Race_1,,,
0334_0102_d_01_Task_GiveBasket,TaskGiveItem,,,1,0334_0102_HotPiroshkis,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0334_0102_d_02_GC_Food_Race_1,TaskQuickCourse,,,1,GC_Food_Race_1,,,,,,outpost_43_2_40325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0334_0102_d_02_GoTo,,,,true,true,,,,,,,,,,,,,,
03_SQ_01_PassingGood_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03_SQ_01_Task_Swap,03_SQ_01_Swap_Hotspur_B,03_SQ_01_Task_GoTo1,03_SQ_01_Task_Container1,
