TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,OverrideLocation,POITag,KillEnemyType,InteractTag,ItemName,ItemDropVC,GameModeID,UIScreenTag,TP_TargetTag
Quest_28002_Task_12,Quest_28002_Task_2,Quest_28002_Task_22,Quest_28002_Task_9,Quest_28002_Task_24,Quest_28002_Task_25,Quest_28002_Task_27,Quest_28002_Task_11,Quest_28002_Task_8,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_28002_Task_13,,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,4,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28002_Task_13_Description,,,,,17_IQ_02_CorruptedSilk,UNKNOWN_VALUE,,,
Quest_28002_Task_14,Quest_28002_Task_7,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_28002_Task_15,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_15_Description,4879.815430 5221.498047 93.508797,,17_IQ_02_FirstSeraphBrazier,IO_17_IQ_02_FirstSeraphBrazier,,,,,
Quest_28002_Task_16,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_16_Description,4895.379883 5167.720215 94.910004,,Trial_Quest_Seraphim_Boss,,,,,,
Quest_28002_Task_17,,,,,,,,,TASKGAMEMODE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_17_Description,4870.758301 5220.583984 93.798798,inquisition_hq_20219,,,,,QuestSeraphim,,
Quest_28002_Task_20,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_20_Description,4866.449219 5228.970703 93.506203,,,,NPC_28002,,,NPC_28002_State_1_Topic_0,
Quest_28002_Task_19,,,,,,,,,TASKLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,SwapActive_17_IQ_SerCrusader01,,,,
Quest_28002_Task_21,,,,,,,,,TASKUNLOCKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,SwapActive_17_IQ_SerCrusader02,,,,
Quest_28002_Task_22,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28002_Task_22_Description,,,17_IQ_Corruption_Whisper_02,,,,,,
Quest_28002_Task_8,,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28002_Task_8_Description_0,,,,,17_IQ_02_SeraphicEye,,,,
Quest_28002_Task_18,Quest_28002_Task_16,Quest_28002_Task_23,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_28002_Task_23,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,Inquisitor_Warden_17DW01_20219,,,,,,
Quest_28002_Task_24,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28002_Task_24_Description_0,4473.724121 7099.199707 164.811996,,,,,,,,TV_17_IQ_02_Climb01
Quest_28002_Task_25,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28002_Task_25_Description_0,4446.469727 7068.687500 179.692795,,,,,,,,TV_17_IQ_02_Climb02
Quest_28002_Task_27,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28002_Task_27_Description_0,4469.209473 7105.984375 186.660706,,,,,,,,TV_17_IQ_02_Climb03
