TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
01_SoleSurvivor_Whisper,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_01_Whisper_FTUE_01,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,true,,,,,,,,,,,,,,
01_SoleSurvivor_Whisper_Trigger,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01_SoleSurvivor_ThorpeTrailContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,01_SoleSurvivor_ThorpeTrail,01_SoleSurvivor_ThorpeTrail_Trigger,,,
01_SoleSurvivor_ThorpeTrail,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,FTUE_ThorpeTrail,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01_SoleSurvivor_ThorpeTrail_Trigger,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01_SoleSurvivor_TaskTimer,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01_SoleSurvivor_GotoPoint1,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,ftueQuestTrigger1,@01_SoleSurvivor_GotoPoint1,,,,,,,,,,,,,1,,,,,
01_SoleSurvivor_GotoPoint2,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,ftueQuestTrigger2,@01_SoleSurvivor_GotoPoint2,,,,,,,,,,,,,1,,,,,
01_SoleSurvivor_GotoPoint2a,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,ftueQuestTrigger2a,@01_SoleSurvivor_GotoPoint3,,,,,,,,,,,,,1,,,,,
01_SoleSurvivor_Container_StartFight,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@01_SoleSurvivor_GotoPoint1,,,,,,,,,,,,,,01_SoleSurvivor_GotoPoint3,01_SoleSurvivor_TaskTimer_StartFight,,,
01_SoleSurvivor_TaskTimer_StartFight,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,12.33,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01_SoleSurvivor_GotoPoint3,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,ftueQuestTrigger3,@01_SoleSurvivor_GotoPoint3,,,,,,,,,,,,,1,,,,,
01_SoleSurvivor2_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_SoleSurvivor2_KillCaptain,,,,
01_SoleSurvivor2_KillCaptain,TaskKillContribution,,1,,1,,,,,,,,,,,,,,,,,,,,Damned_Commander,,,,,,,,,,,,,,,,,,,,@01_SoleSurvivor2_KillCaptain,,,,,,,,,,,,,,,,,,
06_getoffbeach_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_getoffbeach_container_reeseintro,06_getoffbeach_UnlockAchievement_GraceCombat_On,06_getoffbeach_UnlockAchievement_GraceCombat_VO_On,06_getoffbeach_SliceSwap_01_ReeseWW_A_On,06_getoffbeach_beachintro_cutscene_On
06_getoffbeach_container_reeseintro,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_getoffbeach_SliceSwap_01_HoweWW_A_On,06_getoffbeach_SliceSwap_01_CaveCorruption_Off,,,
06_getoffbeach_reese_intro,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_Reese_Intro,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_reese_intro_Trigger,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_TaskTriggerArea_Spawn_A,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_06_Spawn_A,@01_GetOffBeach_task,,,1,,,,,,,,,,,,,,,
06_getoffbeach_SliceSwap_01_HoweWW_A_On,TaskUnlockAchievement,,1,,1,SwapActive_0425_HerbalistPath_ww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_SliceSwap_01_ReeseWW_A_On,TaskUnlockAchievement,,1,,1,SwapActive_01_ReeseWW_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_SliceSwap_01_Intro,TaskUnlockAchievement,,1,,1,SwapActive_01_Intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_UnlockAchievement_GraceCombat_On,TaskUnlockAchievement,,1,,1,SwapActive_01_GraceCombatLoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_UnlockAchievement_GraceCombat_VO_On,TaskUnlockAchievement,,1,,1,SwapActive_01_GraceCombatLoop_VO_WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_beachintro_cutscene_On_Old,TaskUnlockAchievement,,1,,1,S_beachintro_cutscene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_SliceSwap_01_CaveCorruption_Off,TaskLockAchievement,,1,,1,SwapActive_01_CaveCorruption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_TaskTimer,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_beachintro_cutscene_On,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,01_Watcher_FTUE_01_event,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_beachintro_task_banner,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_MSQ_Chapter_Banner_1_Proximity,,,MSQ_Chapter_Banner_1_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_getoffbeach_task_goto_watchtower,TaskGoToPOITag,,1,,,,,,,,6,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@01_GetOffBeach_task,,9613.6416 2329.4722 42.424,,,true,45,,,,,,,,,,,,
06_getoffbeach_TaskTriggerArea_Reese,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_06_Reese,@01_GetOffBeach_task,,9613.6416 2329.4722 42.424,,,true,45,,,,,,,,,,,,
12_getoffbeach_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_getoffbeach_container_reeseintro,12_getoffbeach_UnlockAchievement_GraceCombat_On,12_getoffbeach_UnlockAchievement_GraceCombat_VO_On,12_getoffbeach_SliceSwap_01_ReeseWW_A_On,12_getoffbeach_beachintro_cutscene_On
12_getoffbeach_container_reeseintro,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_getoffbeach_SliceSwap_01_HoweWW_A_On,12_getoffbeach_SliceSwap_01_CaveCorruption_Off,,,
12_getoffbeach_reese_intro,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_Reese_Intro,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_reese_intro_Trigger,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_TaskTriggerArea_Spawn_A,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_12_Spawn_A,@01_GetOffBeach_task,,,1,,,,,,,,,,,,,,,
12_getoffbeach_SliceSwap_01_HoweWW_A_On,TaskUnlockAchievement,,1,,1,SwapActive_0425_HerbalistPath_mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_SliceSwap_01_ReeseWW_A_On,TaskUnlockAchievement,,1,,1,SwapActive_01_ReeseMB_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_SliceSwap_01_Intro,TaskUnlockAchievement,,1,,1,SwapActive_01_Intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_UnlockAchievement_GraceCombat_On,TaskUnlockAchievement,,1,,1,SwapActive_01_GraceCombatLoop_mb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_UnlockAchievement_GraceCombat_VO_On,TaskUnlockAchievement,,1,,1,SwapActive_01_GraceCombatLoop_VO_MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_beachintro_cutscene_On_Old,TaskUnlockAchievement,,1,,1,S_beachintro_cutscene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_SliceSwap_01_CaveCorruption_Off,TaskLockAchievement,,1,,1,SwapActive_01_Intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_TaskTimer,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_beachintro_cutscene_On,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,01_Watcher_FTUE_01_event,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_beachintro_task_banner,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_MSQ_Chapter_Banner_1_Proximity,,,MSQ_Chapter_Banner_1_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_getoffbeach_task_goto_watchtower,TaskGoToPOITag,,1,,,,,,,,12,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@01_GetOffBeach_task,,7288.5249 3126.2463 42.7031,,,true,45,,,,,,,,,,,,
12_getoffbeach_TaskTriggerArea_Reese,TaskTriggerArea,,1,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_12_Reese,@01_GetOffBeach_task,,7288.5249 3126.2463 42.7031,,,true,45,,,,,,,,,,,,
06_skinningknife_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_skinningknife_SliceSwap_01_Reese_A_On,06_skinningknife_containerTimer2,06_skinningknife_partcontainer1,06_skinningknife_partcontainer2,06_skinningknife_partcontainer3
06_skinningknife_partcontainer1,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_containerTimer,06_skinningknife_container2,,,
06_skinningknife_partcontainer2,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_containerTimer,06_skinningknife_containerA_gather,,,
06_skinningknife_partcontainer3,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_containerTimer,06_skinningknife_containerB_gather,,,
06_skinningknife_containerTimer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_TaskTimer,06_skinningknife_SliceSwap_01_Reese_B_On,,,
06_skinningknife_TaskTimer,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,24.95,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_containerTimer2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_SliceSwap_01_Reese_B_Off,06_skinningknife_TaskTimer_DelayWalk,06_skinningknife_SliceSwap_01_Reese_A_Off,,
06_skinningknife_TaskTimer_DelayWalk,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_SliceSwap_01_Reese_A_On,TaskUnlockAchievement,,1,,1,SwapActive_01_ReeseWW_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_SliceSwap_01_Reese_B_On,TaskUnlockAchievement,,1,,1,SwapActive_01_ReeseWW_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_SliceSwap_01_Reese_A_Off,TaskLockAchievement,,1,,1,SwapActive_01_ReeseWW_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_SliceSwap_01_Reese_B_Off,TaskLockAchievement,,1,,1,SwapActive_01_ReeseWW_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_container2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_01_Reese_WalkOff,06_skinningknife_01_Reese_WalkOff_Trigger,,,
06_skinningknife_01_Reese_WalkOff,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_MSQ_01b_Reese_Walkaway_Proximity,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_01_Reese_WalkOff_Trigger,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
06_skinningknife_containerA_gather,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_TaskHaveItems_1_FlintT1,06_skinningknife_TaskHaveItems_1_WoodT1,,,
06_skinningknife_TaskHaveItems_1_FlintT1,TaskHaveItems,,,,1,FlintT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@01_skinningknife_task_01,,,,,,,,,,,,,,,,,,
06_skinningknife_TaskHaveItems_1_WoodT1,TaskHaveItems,,,,1,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@01_skinningknife_task_02,,,,,,,,,,,,,,,,,,
06_skinningknife_containerB_gather,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,06_skinningknife_TaskHaveItems_1_1hSkinningKnifeT1,,,,
06_skinningknife_TaskHaveItems_1_1hSkinningKnifeT1,TaskHaveItems,,,,1,1hSkinningKnifeT1,,,,,12,watchtower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@01_skinningknife_task_03,,9606.47 2367.78 44.71,,,true,,,,,,,,,,,,,
06_skinningknife_Watchtower_Beam,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_MSQ_Watchtower_Proximity,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,@01_GetOffBeach_task,,,,true,,,,,,,,,,,,,,
12_skinningknife_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_skinningknife_SliceSwap_01_Reese_A_On,12_skinningknife_containerTimer2,12_skinningknife_partcontainer1,12_skinningknife_partcontainer2,12_skinningknife_partcontainer3
12_skinningknife_partcontainer1,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_containerTimer,12_skinningknife_container2,,,
12_skinningknife_partcontainer2,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_containerTimer,12_skinningknife_containerA_gather,,,
12_skinningknife_partcontainer3,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_containerTimer,12_skinningknife_containerB_gather,,,
12_skinningknife_containerTimer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_TaskTimer,12_skinningknife_SliceSwap_01_Reese_B_On,,,
12_skinningknife_TaskTimer,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,21.93,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_containerTimer2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_SliceSwap_01_Reese_B_Off,12_skinningknife_TaskTimer_DelayWalk,12_skinningknife_SliceSwap_01_Reese_A_Off,,
12_skinningknife_TaskTimer_DelayWalk,TaskTimer,false,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_SliceSwap_01_Reese_A_On,TaskUnlockAchievement,,1,,1,SwapActive_01_ReeseMB_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_SliceSwap_01_Reese_B_On,TaskUnlockAchievement,,1,,1,SwapActive_01_ReeseMB_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_SliceSwap_01_Reese_A_Off,TaskLockAchievement,,1,,1,SwapActive_01_ReeseMB_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_SliceSwap_01_Reese_B_Off,TaskLockAchievement,,1,,1,SwapActive_01_ReeseMB_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_container2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_01_Reese_WalkOff,12_skinningknife_01_Reese_WalkOff_Trigger,,,
12_skinningknife_01_Reese_WalkOff,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,IO_MSQ_01b_Reese_Walkaway_Proximity,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_01_Reese_WalkOff_Trigger,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,GameEvent_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12_skinningknife_containerA_gather,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_TaskHaveItems_1_FlintT1,12_skinningknife_TaskHaveItems_1_WoodT1,,,
12_skinningknife_TaskHaveItems_1_FlintT1,TaskHaveItems,,,,1,FlintT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@01_skinningknife_task_01,,,,,,,,,,,,,,,,,,
12_skinningknife_TaskHaveItems_1_WoodT1,TaskHaveItems,,,,1,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@01_skinningknife_task_02,,,,,,,,,,,,,,,,,,
12_skinningknife_containerB_gather,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,12_skinningknife_TaskHaveItems_1_1hSkinningKnifeT1,,,,
