TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,OverrideLocation,TP_TargetTag,UIScreenTag,InteractTag,POITag,KillEnemyType,ItemDropVC,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17
Quest_16028_Task_10_0_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_10_0_0_Description,3982.898926 5774.100098 123.814003,TV_17ZQURU3_Challenge1Complete,,,,,,,,,,,,,,,
Quest_16028_Task_11,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16028_Task_11_Description,3966.649902 5791.444824 153.931000,,,,,Lost,,,,,,,,,,,
Quest_16028_Task_12,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16028_Task_12_Description,3965.364014 5841.120117 71.500999,,,IO_17_ZQURU3_SSG_P1_01,,17_ZQURU3_SSG_P1_01_interact,,,,,,,,,,,
Quest_16028_Task_13,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_EverardAmulet,@Quest_16028_Task_13_Description,3862.299072 5617.036133 147.093994,,,IO_17_ZQURU3_EncStartEverard,,,Upyr_Thrall_Soul_Hunter_Named_17ZQURU3,,,,,,,,,,
Quest_16028_Task_14,,,,,,,,TASKREMOVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_EverardAmulet,,,,,,,,,,,,,,,,,,
Quest_16028_Task_8_1,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_1_Description,3998.531006 5909.729004 160.699005,TV_17ZQ_EnterHouseBathory,,,,,,,,,,,,,,,
Quest_16028_Task_15,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,2hMusketT2,@Quest_16028_Task_15_Description,3969.437988 5874.683105 61.792999,,,IO_17_ZQURU3_GetBow,,,17_ZQURU3_GetBow,,,,,,,,,,
Quest_16028_Task_8_2,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_2_Description,3980.177002 5841.192871 166.412994,TV_17ZQURU3_GoBathoryChallenge1,,,,,,,,,,,,,,,
Quest_16028_Task_17,Quest_16028_Task_6,Quest_16028_Task_8_1,Quest_16028_Task_8_2,Quest_16028_Task_8,Quest_16028_Task_24,Quest_16028_Task_8_3,Quest_16028_Task_9,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,Quest_16028_Task_10_0,Quest_16028_Task_10_0_0,Quest_16028_Task_9_0,Quest_16028_Task_8_0,Quest_16028_Task_8_0_1,Quest_16028_Task_21,Quest_16028_Task_8_0_0,Quest_16028_Task_9_0_0,Quest_16028_Task_8_0_0_0,Quest_16028_Task_11
Quest_16028_Task_18,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16157,@Quest_16028_Task_18_Description,,,NPC_16157_State_2_Topic_0,,,,,,,,,,,,,,
Quest_16028_Task_19,Quest_16028_Task_7,Quest_16028_Task_1,Quest_16028_Task_20,Quest_16028_Task_1_0,Quest_16028_Task_14,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16028_Task_19_Description,,,,,,,,,,,,,,,,,
Quest_16028_Task_20,Quest_16028_Task_7_0,Quest_16028_Task_13,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16028_Task_20_Description,,,,IO_17_ZQURU3_EncStartEverard,,,,,,,,,,,,,
Quest_16028_Task_8_3,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_3_Description,3977.770020 5845.350098 123.002998,TV_17ZQC_ContinueBathoryUndercroft,,,,,,,,,,,,,,,
Quest_16028_Task_8_0_1,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_0_1_Description,3971.071045 5866.443848 61.133999,TV_17ZQURU3_StartChallenge2,,,,,,,,,,,,,,,
Quest_16028_Task_21,Quest_16028_Task_22,Quest_16028_Task_12,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16028_Task_21_Description,,,,,,,,,,,,,,,,,
Quest_16028_Task_22,Quest_16028_Task_15,Quest_16028_Task_23,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,,,,,,,,
Quest_16028_Task_23,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16028_Task_23_Description,,nevertrue,,,,,,,,,,,,,,,
Quest_16028_Task_8_0_0_0,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_8_0_0_0_Description,3965.372070 5792.258789 162.709000,TV_17ZQURU3_GoBathoryChallenge3,,,,,,,,,,,,,,,
Quest_16028_Task_24,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16028_Task_24_Description,4001.939941 5863.029785 126.053001,TV_17ZQC_Descend2,,,,,,,,,,,,,,,
