TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1416_0201_d_01_Task,TaskGoToPOITag,,1,1,,,,,,true,,ancientcrater16,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1416_0201_d_01_Task,,,,,,,,,,,,,,,,,,,
1416_0201_d_02_Container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1416_0201_d_02a_Task,1416_0201_d_02b_Task,,,
1416_0201_d_02a_Task,TaskKillContribution,,1,15,,,,,,true,,ancientcrater16,,,true,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,@1416_0201_d_02_Task,,,,,,,,,,,,,,,,,,,
1416_0201_d_02b_Task,TaskHaveAndReturnItems,,1,6,1416_0201_ProfaneOre,,,100,,true,,ancientcrater16,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1416_0201_d_03_Task,,,,,,,,,,,,,,,,,,,
1416_0202_d_00_Container_foreman,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416_0202_d_01_Task,1416_0202_d_02_Task,1416_0202_d_03_Task,1416_0202_d_04_Task,
1416_0202_d_01_Task,TaskGoToPOITag,,1,1,,,,,,,,crater_corruptedminewest_50332,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1416_0202_d_01_Task,,,,,,,,,,,,,,,,,,,
1416_0202_d_02_Task,TaskKillContribution,,1,1,,,,,,true,,crater_corruptedminewest_50332,,,true,,,,,,,,,,Damned_Rifleman_Male_Named_01,,,,,,,,,,,,,,,,,,,,@1416_0202_d_03_Task,,11113.878 6760.368 335.357,,,,,,,,,,,,,,,,,
1416_0202_d_03_Task,TaskGoToPOITag,,1,1,,,,,,,,crater_corruptedmineeast_50333,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1416_0202_d_04_Task,,,,,,,,,,,,,,,,,,,
1416_0202_d_04_Task,TaskKillContribution,,1,1,,,,,,true,,crater_corruptedmineeast_50333,,,true,,,,,,,,,,Damned_1H_Swordsman_M_Named_01,,,,,,,,,,,,,,,,,,,,@1416_0202_d_02_Task,,11326.496 6655.472 305.066,,,,,,,,,,,,,,,,,
1416_0301_d_00_Container_northeast,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416_0301_d_01_SliceSwap_EllwoodOriginal,1416_0301_d_03_Task,1416_0301_d_04_Task,,
1416_0301_d_01_SliceSwap_EllwoodOriginal,TaskUnlockAchievement,,1,1,SwapActive_EllwoodOriginal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1416_0301_d_03_Task,TaskGiveAndTakeItem,,1,1,MI_SummonsNote,,,100,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1416_0301_d_01_Task,,,1,,,,,,,,,,,,,,,,
1416_0301_d_04_Task,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1416_0301_d_02_Task,,,1,,,,,,,,,,,,,,,,
1418_0201_d_00_Container_lights,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418_0201_d_01_Task,1418_0201_d_02_Task,,,
1418_0201_d_01_Task,TaskGoToPOITag,,1,,,,,,,true,,crater_ancientwatchtower_50328,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1418_0201_d_01_Task,,,,,,,,,,,,,,,,,,,
1418_0201_d_02_Task,TaskKillContribution,,1,10,,,,,,true,,crater_ancientwatchtower_50328,,,true,,,,,,,,,,Ancient,,,,,,,,,,,,,,,,,,,,@1418_0201_d_02_Task,,,,,,,,,,,,,,,,,,,
1418_0202_d_00_Container_azuretears,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418_0202_d_01_Task,1418_0202_d_02_Task,,,
1418_0202_d_01_Task,TaskGoToPOITag,,1,,,,,,,true,,crater_brutalsummit_50309,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1418_0202_d_01_Task,,,,,,,,,,,,,,,,,,,
1418_0202_d_02_Task,TaskHaveAndReturnItems,,1,12,1418_0202_WyrdwoodTears,AngryEarth,100,,,true,,crater_brutalsummit_50309,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1418_0202_d_02_Task,,,,,,,,,,,,,,,,,,,
1403_0203_d_00_Container_blightpox,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403_0203_d_01_Task,1403_0203_d_02_Container_tasks,,,
1403_0203_d_01_Task,TaskGoToPOITag,,1,1,,,,,,true,,crater_malice_50327,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0203_d_01_Task,,,,,,,,,,,,,,,,,,,
1403_0203_d_02_Container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1403_0203_d_02a_Task,1403_0203_d_02b_Task,,,
1403_0203_d_02a_Task,TaskKillContribution,,1,15,,,,,,true,,crater_malice_50327,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1403_0203_d_02_Task,,,,,,,,,,,,,,,,,,,
1403_0203_d_02b_Task,TaskHaveAndReturnItems,,1,1,1403_0203_BlightVines,Dryad_Soldier_Named_00,100,,,true,,crater_malice_50327,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0203_d_03_Task,,,,,,,,,,,,,,,,,,,
1403_0301_d_00_Container_blightstrength,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403_0301_d_01_Task,1403_0301_d_02_Container_tasks,,,
1403_0301_d_01_Task,TaskGoToPOITag,,1,1,,,,,,true,,crater_feralcolony_50324,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0301_d_01_Task,,,,,,,,,,,,,,,,,,,
1403_0301_d_02_Container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1403_0301_d_02a_Task,1403_0301_d_02b_Task,,,
1403_0301_d_02a_Task,TaskKillContribution,,1,12,,,,,,true,,crater_feralcolony_50324,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1403_0301_d_02_Task,,,,,,,,,,,,,,,,,,,
1403_0301_d_02b_Task,TaskHaveAndReturnItems,,1,1,1403_0301_BlightSample,Blighted,100,,,true,,crater_feralcolony_50324,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0301_d_03_Task,,12141.123 7727.103 270.093,,,,,,,,,,,,,,,,,
1403_0401_d_00_Container_blightmigration,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403_0401_d_01_Task,1403_0401_d_02_Task,1403_0401_d_03_Task,1403_0401_d_04_Task,
1403_0401_d_01_Task,TaskGoToPOITag,,1,1,,,,,,true,,ancientcrater3,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0401_d_01_Task,,,,,,,,,,,,,,,,,,,
1403_0401_d_02_Task,TaskKillContribution,,1,8,,,,,,true,,ancientcrater3,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1403_0401_d_02_Task,,11284.479 8653.703 300.213,,,,,,,,,,,,,,,,,
1403_0401_d_03_Task,TaskGoToPOITag,,1,1,,,,,,true,,dryadgate,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403_0401_d_01_Task,,,,,,,,,,,,,,,,,,,
1403_0401_d_04_Task,TaskKillContribution,,1,8,,,,,,true,,shatteredmountain9,,,true,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1403_0401_d_02_Task,,10789.879 8942.319 548.645,,,,,,,,,,,,,,,,,
1413_0201_d_00_Container_spriggan,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413_0201_d_01_TaskGoToPOITag,1413_0201_d_02_Get_SprigganKey,1413_0201_d_00_Kill_Spriggan,,
1413_0201_d_01_TaskGoToPOITag,TaskGoToPOITag,,1,,,,,,,true,,crater_mysticbridgetower_50368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1413_0201_key_goto,,,,,,,,,,,,,,,,,,,
1413_0201_d_02_Get_SprigganKey,TaskHaveItems,,,1,SprigganKey,Dryad_Shaman_Named_04,100,,true,,,crater_mysticbridgetower_50368,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1413_0201_spriggan_getkey,,11660.453 7867.224 173.130,,,,,,,,,,,,,,,,,
1413_0201_d_00_Kill_Spriggan,TaskKillContribution,,1,1,,,,,,,,,,,,,,,,,,,,,Spriggan_Forest,,,,,,,,,,,,,,,,,,,,@1413_0201_spriggan_killspriggan,,11855.000 7899.000 160.000,,,,,,,,,,,,,,,,,
1414_0101_d_00_Container_ToReekwater,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414_0101_d_01_Task_GiveAndTakeItem,1414_0101_d_02_Task_HaveAndReturnItem,,,
1414_0101_d_01_Task_GiveAndTakeItem,TaskGiveAndTakeItem,,1,1,MI_SummonsNote,,,100,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1414_0101_d_02_Task_HaveAndReturnItem,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1403A_0301_d_00_Container_GKW,ConsecutiveTaskContainer,,,,,,,,,,,dungeon_edengrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403A_0301_d_01_Task,,,,,,,,,,,,,,1403A_0301_d_01_Task,1403A_0301_d_02_Task,,,
1403A_0301_d_01_Task,TaskGameMode,,1,1,,,,,,,,dungeon_edengrove,DungeonEdengrove00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1403A_0301_d_01_Task,,,,,,,,,,,,,,,,,,,
1403A_0301_d_02_Task,TaskKillContribution,,1,1,,,,,,,,,DungeonEdengrove00,,,,,,,,,,,,Naga_AngryEarth,,,,,,,,,,,,,,,,,,,,@1403A_0301_d_02_Task,,,,,,,,,,,,,,,,,,,
1432_0102_04_SliceSwap_WoundedSai_Off_HealthySai_On,TaskUnlockAchievement,,,1,SwapActive_1432_Homesteader_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1432_0102_05_SliceSwap_CampDog_Off,TaskUnlockAchievement,,,1,SwapActive_1433_AEDog_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1420_0501_d_00_Containter_weaponwrapperquest,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_00_Containter_weaponwrapperquest,,,,,,,,,,,,,,,1420_0501_d_01_Containter_weaponwrapperquest_sub_01,1420_0501_d_02_Containter_weaponwrapperquest_sub_02,,,
1420_0501_d_01_Containter_weaponwrapperquest_sub_01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_Containter_weaponwrapperquest_sub_01,,,1,,,,,,,,,,,,1420_0501_d_01_Containter_weaponwrapperquest_questPush_1,1420_0501_d_02_Containter_weaponwrapperquest_questComplete_4,1420_0501_d_02_Containter_weaponwrapperquest_questComplete_3,1420_0501_d_02_Containter_weaponwrapperquest_questComplete_2,
1420_0501_d_02_Containter_weaponwrapperquest_sub_02,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_Containter_weaponwrapperquest_sub_02,,,1,,,,,,,,,,,,1420_0501_d_01_Containter_weaponwrapperquest_questComplete_2,1420_0501_d_02_Containter_weaponwrapperquest_questComplete_1,1420_0501_d_01_Containter_weaponwrapperquest_questComplete_4,1420_0501_d_01_Containter_weaponwrapperquest_questComplete_3,
1420_0501_d_01_Containter_weaponwrapperquest_questPush_1,TaskObjective,,1,,1420_0502_CVOne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_Containter_weaponwrapperquest_questPush_1,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_Containter_weaponwrapperquest_questComplete_2,TaskObjective,,1,,1420_0503_CVTwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_Containter_weaponwrapperquest_questComplete_2,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_Containter_weaponwrapperquest_questComplete_3,TaskObjective,,1,,1420_0504_CVThree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_Containter_weaponwrapperquest_questComplete_3,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_Containter_weaponwrapperquest_questComplete_4,TaskObjective,,1,,1420_0505_CVFour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_Containter_weaponwrapperquest_questComplete_4,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_1,TaskObjective,,1,,1420_0506_CVFive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_1,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_2,TaskObjective,,1,,1420_0507_CVSix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_2,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_3,TaskObjective,,1,,1420_0508_CVSeven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_3,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_Containter_weaponwrapperquest_questComplete_4,TaskObjective,,1,,1420_0509_CVEight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_Containter_weaponwrapperquest_questComplete_4,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_01_weaponwrapperquest_questComplete1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_weaponwrapperquest_questComplete1,,,,,,,,,,,,,,,1420_0501_d_01_01_01_Task_GoTo,1420_0501_d_01_01_02_container_tasks,,,
1420_0501_d_01_01_01_Task_GoTo,TaskGoToPOITag,,1,,,,,,,true,,crater_malice_50327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_01_Task_GoTo,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_01_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_weaponwrapperquest_questComplete1,,,1,,,,,,,,,,,,1420_0501_d_01_01_02a_Task_Kill,1420_0501_d_01_01_02b_Task_KillToken,,,
1420_0501_d_01_01_02a_Task_Kill,TaskKillContribution,,1,15,,,,,,true,,crater_malice_50327,,,,,,,,,,,,,Campanilean,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_01_02b_Task_KillToken,TaskHaveAndReturnItems,,1,1,1420_0101_AzothCore,Campanilean,5,,,true,,crater_malice_50327,,,true,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_03_Task_KillToken,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_02_weaponwrapperquest_questComplete2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_02_weaponwrapperquest_questComplete2,,,,,,,,,,,,,,,1420_0501_d_01_02_01_Task_GoTo,1420_0501_d_01_02_02_container_tasks,,,
1420_0501_d_01_02_01_Task_GoTo,TaskGoToPOITag,,1,,,,,,,true,,haunted_town_50201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_02_01_Task_GoTo,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_02_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_weaponwrapperquest_questComplete1,,,1,,,,,,,,,,,,1420_0501_d_01_02_02a_Task_Kill,1420_0501_d_01_02_02b_Task_KillToken,,,
1420_0501_d_01_02_02a_Task_Kill,TaskKillContribution,,1,20,,,,,,true,,haunted_town_50201,,,,,,,,,,,,,Periville,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_02_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_02_02b_Task_KillToken,TaskHaveAndReturnItems,,1,1,1420_0102_GoldenFlintlock,Periville,5,,,true,,haunted_town_50201,,,true,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_02_03_Task_KillToken,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_03_weaponwrapperquest_questComplete3,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_03_weaponwrapperquest_questComplete3,,,,,,,,,,,,,,,1420_0501_d_01_03_01_Task_GoTo,1420_0501_d_01_03_02_container_tasks,,,
1420_0501_d_01_03_01_Task_GoTo,TaskGoToPOITag,,1,,,,,,,true,,myrkgardwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_03_01_Task_GoTo,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_03_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_weaponwrapperquest_questComplete1,,,1,,,,,,,,,,,,1420_0501_d_01_03_02a_Task_Kill,1420_0501_d_01_03_02b_Task_KillToken,,,
1420_0501_d_01_03_02a_Task_Kill,TaskKillContribution,,1,25,,,,,,true,,myrkgardwest,,,,,,,,,,,,,Myrkgard,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_03_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_03_02b_Task_KillToken,TaskHaveAndReturnItems,,1,1,1420_0103_GlisteningBarrel,Myrkgard,5,,,true,,myrkgardwest,,,true,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_03_03_Task_KillToken,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_04_weaponwrapperquest_questComplete4,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_04_weaponwrapperquest_questComplete4,,,,,,,,,,,,,,,1420_0501_d_01_04_01_Task_GoTo,1420_0501_d_01_04_02_container_tasks,,,
1420_0501_d_01_04_01_Task_GoTo,TaskGoToPOITag,,1,,,,,,,true,,military_camp_40405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_04_01_Task_GoTo,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_04_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_weaponwrapperquest_questComplete1,,,1,,,,,,,,,,,,1420_0501_d_01_04_02a_Task_Kill,1420_0501_d_01_04_02b_Task_KillToken,,,
1420_0501_d_01_04_02a_Task_Kill,TaskKillContribution,,1,25,,,,,,true,,military_camp_40405,,,,,,,,,,,,,Southguard,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_04_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1420_0501_d_01_04_02b_Task_KillToken,TaskHaveAndReturnItems,,1,1,1420_0104_Ramrod,Southguard,5,,,true,,military_camp_40405,,,true,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_04_03_Task_KillToken,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_01_weaponwrapperquest_questComplete1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_01_weaponwrapperquest_questComplete1,,,,,,,,,,,,,,,1420_0501_d_02_01_01_Task_GoTo,1420_0501_d_02_01_02_container_tasks,,,
1420_0501_d_02_01_01_Task_GoTo,TaskGoToPOITag,,1,,,,,,,true,,pirate_fort_30016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_01_01_Task_GoTo,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_01_02_container_tasks,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_01_01_weaponwrapperquest_questComplete1,,,1,,,,,,,,,,,,1420_0501_d_02_01_02a_Task_Kill,1420_0501_d_02_01_02b_Task_KillToken,,,
1420_0501_d_02_01_02a_Task_Kill,TaskKillContribution,,1,30,,,,,,true,,pirate_fort_30016,,,,,,,,,,,,,Grubby_Rebels,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_01_02_Task_Kill,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_01_02b_Task_KillToken,TaskHaveAndReturnItems,,1,1,1420_0105_HairTrigger,Grubby_Rebels,5,,,true,,pirate_fort_30016,,,true,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_01_03_Task_KillToken,,,,,,,,,,,,,,,,,,,
1420_0501_d_02_02_weaponwrapperquest_questComplete2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1420_0501_d_02_02_weaponwrapperquest_questComplete2,,,,,,,,,,,,,,,1420_0501_d_02_02_01_Task_GoTo,1420_0501_d_02_02_02_container_tasks,,,
