TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,CraftingRecipeId,TP_DescriptionTag,TP_TargetTag,OverrideLocation,UIScreenTag,KillEnemyType,InteractTag,ItemDropVC,POITag
Quest_16010_Task_22,,,,,,,,,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_LionBerries,,@Quest_16010_Task_22_Description,,4814.408203 7091.665039 146.358002,,,IO_17_ZQBRU2_LionberryBush,17_ZQBRU2_LionberryBush,
Quest_16010_Task_23,,,,,,,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_VenomGlands,,@Quest_16010_Task_23_Description,,4245.339844 7001.233398 177.706207,,,,Spider_17DW02_20319,
Quest_16010_Task_24,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_24_Description,,4811.362793 6261.709961 106.036003,,17_ZQBRU2_PlaceJuiceJugs_interact,IO_17_ZQBRU2_PlaceJuiceJugs,,
Quest_16010_Task_25,,,,,,,,,,,,,,,,,,TASKGATHERANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_LunaciteKey,,@Quest_16010_Task_25_Description,,4803.341797 6264.116211 105.487999,,17_ZQBRU2_SearchCostasKey_interact,IO_17_ZQBRU2_SearchCostasKey,17_ZQBRU2_SearchCostasKey,
Quest_16010_Task_26,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16010_Task_26_Description,TV_17ZQB_EnterMoonscale,4819.190918 6255.071777 106.024002,,17_ZQBS5_MoonscaleDoorEnterTD_interact,,,
Quest_16010_Task_27,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16050,,@Quest_16010_Task_27_Description,,,NPC_16050_State_1_Topic_0,,,,
Quest_16010_Task_28,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_28_Description,,,,,,,catacomb_10216
Quest_16010_Task_4_0,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16010_Task_4_0_Description,TV_17ZQBRU2_ApproachBituSuflete,2993.720947 5848.120117 122.607002,,,,,
Quest_16010_Task_30,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16090,,@Quest_16010_Task_30_Description,,,NPC_16090_State_1_Topic_0,,,,
Quest_16010_Task_4_0_0,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16010_Task_4_0_0_Description,TV_17ZQBRU2_EnterBituSuflete,2984.135010 5864.900879 114.307999,,,,,
Quest_16010_Task_31,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16009,,@Quest_16010_Task_31_Description,,,NPC_16009_State_1_Topic_0,,,,
Quest_16010_Task_4_0_1,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,,@Quest_16010_Task_4_0_1_Description,TV_17ZQBRU2_SearchBituSuflete,2968.325928 5872.898926 107.325996,,,,,
Quest_16010_Task_32,,,,,,,,,,,,,,,,,,TASKGIVEANDTAKEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_DevilsTongue,,,,,,,,,
Quest_16010_Task_33,,,,,,,,,,,,,,,,,,TASKUSEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,17ZQ_DevilsTongue,,@Quest_16010_Task_33_Description,,,,,,,
Quest_16010_Task_34,,,,,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_34_Description,,2947.264893 5882.597168 96.781998,,Lost,,,
Quest_16010_Task_35,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_06_01,,@Quest_16010_Task_35_Description,,2945.333984 5882.619141 96.482002,,,,,
Quest_16010_Task_36,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16010,,@Quest_16010_Task_36_Description,,,NPC_16010_State_1_Topic_0,,,,
Quest_16010_Task_2,,,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,17_ZQBRU2_ShrineGuarded_hint,,,
Quest_16010_Task_5,Quest_16010_Task_28,Quest_16010_Task_4_0,Quest_16010_Task_30,Quest_16010_Task_4_0_0,Quest_16010_Task_4_0_1,Quest_16010_Task_31,Quest_16010_Task_32,Quest_16010_Task_33,Quest_16010_Task_34,Quest_16010_Task_35,Quest_16010_Task_36,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_5_Description_0,,,,,,,
Quest_16010_Task_13,Quest_16010_Task_14,Quest_16010_Task_11,,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_13_Description,,4805.810059 6276.850098 111.467003,,,,,
Quest_16010_Task_14,Quest_16010_Task_15,Quest_16010_Task_12_0_0,,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,
Quest_16010_Task_15,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_15_Description_0,nevetrue,,,,,,
Quest_16010_Task_16,,,,,,,,,,,,,,,,,,TASKCUTSCENECOMPLETE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17_ZQ_BRU2_PassOut_IGC,,@Quest_16010_Task_16_Description_0,,4811.359863 6261.709961 106.036003,,,,,
Quest_16010_Task_3,,,,,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,1,4.200000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,@Quest_16010_Task_3_Description_0,,,,,,,
