TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
95_s01_01_02_02_02_02_GatherSupplies44,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies4,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
95_s01_01_02_02_03_GatherSupplies54_Partial,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12052.845703 8635.889648 311.109589,1,,,,,,,,,,,,95_s01_01_02_02_03_01_GatherSupplies54,95_s01_01_02_02_03_02_GatherSupplies54,,,
95_s01_01_02_02_03_01_GatherSupplies54,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies5,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
95_s01_01_02_02_03_02_GatherSupplies54,TaskGatherAndReturnItems,,,,2,95_s01_01_CampSuppliesItem,95_s01_01_CorruptedCampSupplies6,100,,,,,,,,1,,,,,,,IO_95_s01_01_CorruptedCampSupplies,,,,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_CollectSupplies,,,1,false,0,,,,,,,,,,,,,,
95_s01_01_03_01_BuildCamp,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_01_CrowsNestCampBuild,,,95_s01_01_CrowsNestCampBuild_interact,,,,,,,,,,,,,,,,,,,,@95_s01_01_CROW_GracelessRequest_BuildCamp,,"7576.337402 6587.295410 285.156464,8336.2891 9457.7715 608.5875,11865.450195 8528.964844 316.105621",0,false,0,,,,,,,,,,,,,,
95_s01_01_03a_UnlockFTPs_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_03a_01_UnlockCamp1,95_s01_01_03a_02_UnlockCamp2,95_s01_01_03a_03_UnlockCamp3,,
95_s01_01_03a_01_UnlockCamp1,TaskUnlockAchievement,,,,1,CrowsNest_50426_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_03a_02_UnlockCamp2,TaskUnlockAchievement,,,,1,CrowsNest_40431_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_03a_03_UnlockCamp3,TaskUnlockAchievement,,,,1,CrowsNest_30334_charted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_CelebrateCamp_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_04_01_SliceSwap_9501_Grace_s01_01_Off,95_s01_01_04_02_SliceSwap_9501_Grace_s01_02_On,95_s01_01_04_03_BuiltCampAchivement_On,95_s01_01_04_04_SE_Fallthrough_container,95_s01_01_04_05_Watched_CampFanFare_SE
95_s01_01_04_01_SliceSwap_9501_Grace_s01_01_Off,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_02_SliceSwap_9501_Grace_s01_02_On,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_03_BuiltCampAchivement_On,TaskUnlockAchievement,,,,1,95_s01_01_BuiltCrowsNest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_04_SE_Fallthrough_container,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_01_04_04_01_SwapTimer,95_s01_01_04_04_02_EscSkipHUDCheck,,,
95_s01_01_04_04_01_SwapTimer,TaskTimer,,,,1,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_04_02_EscSkipHUDCheck,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,,HUD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_01_04_05_Watched_CampFanFare_SE,TaskUnlockAchievement,,,,1,95_s01_01_Watched_BuiltCrowsNest_SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_CROW_BestOfAeternum_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_01_PostFlyers_container,95_s01_03_01a_TalkGrace_BeforeInterviews_container,95_s01_03_02_GoUpstairsTavern_container,95_s01_03_03_Interviews_SE_container,95_s01_03_04_SwapsOn_container
95_s01_03_01_PostFlyers_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_01_01_GoToFlyerPOI,95_s01_03_01_02_SliceSwap_9501_Grace_s01_02_Off,95_s01_03_01_03_GiveFlyers,95_s01_03_01_04_PostFlyers_simpleContainer,
95_s01_03_01_01_GoToFlyerPOI,TaskGoToPOITag,,1,,,,,,,,,,morrowtide2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_GoToPOIFlyers,,13190.950195 6964.514160 149.040298,,,,,,,,,,,,,,,,,
95_s01_03_01_02_SliceSwap_9501_Grace_s01_02_Off,TaskLockAchievement,,,,1,SwapActive_95_Grace_s01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_01_03_GiveFlyers,TaskGiveItem,,,,3,95_s01_03_HeroesPosterItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s01_03_01_04_PostFlyers_simpleContainer,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyers,,,,,,,,,,,,,,,95_s01_03_01_04_PostFlyer1,95_s01_03_01_04_PostFlyer2,95_s01_03_01_04_PostFlyer3,,
95_s01_03_01_04_PostFlyer1,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_03_HeroesPoster1,,,95_s01_03_HeroesPoster1_interact,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyer1,,13210.798828 6946.383301 149.012360,,,,,,,,,,,,,,,,,
95_s01_03_01_04_PostFlyer2,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_03_HeroesPoster2,,,95_s01_03_HeroesPoster2_interact,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyer2,,13207.901367 6980.510742 150.979874,,,,,,,,,,,,,,,,,
95_s01_03_01_04_PostFlyer3,TaskGameEvent,,,,1,,,,,,,,,,,,,,,,,,IO_95_s01_03_HeroesPoster3,,,95_s01_03_HeroesPoster3_interact,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_PostFlyer3,,13144.825195 6990.785156 154.517853,,,,,,,,,,,,,,,,,
95_s01_03_01a_TalkGrace_BeforeInterviews_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_01a_01_SliceSwap_Grace_s01_03a_On,95_s01_03_01a_02_TalkTo_Grace_ReadyInterviews,95_s01_03_01a_03_SliceSwap_9501_Grace_s01_03a_Off,,
95_s01_03_01a_01_SliceSwap_Grace_s01_03a_On,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_03a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_01a_02_TalkTo_Grace_ReadyInterviews,TaskConversationTopic,,,,,9501_Grace_s01_03a,,,,,,,,,,,,,,,,,,Topic_95_s01_03a_TalkTo_Grace_ReadyInterviews,,,,,,,,,,,,,,,,,,,,,,@95_s01_03_CROW_BestOfAeternum_GoTavernInterviews,,13178.172852 6911.150879 149.680222,,,,,,,,,,,,,,,,,
95_s01_03_01a_03_SliceSwap_9501_Grace_s01_03a_Off,TaskLockAchievement,,,,1,SwapActive_95_Grace_s01_03a,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_02_GoUpstairsTavern_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_02_01_Interact_Interviews_TriggerVol_TavernEntry,95_s01_03_02_02_BestOfAeternumStandWait_Unlock,95_s01_03_02_03_Interact_Interviews_TriggerVol_StartScriptedEvent,,
95_s01_03_02_01_Interact_Interviews_TriggerVol_TavernEntry,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_95_s01_03_TavernEntry,@95_s01_03_CROW_BestOfAeternum_GoTavernInterviews,,13178 6909 150,0,,1,,,,,,,,,,,,,,
95_s01_03_02_02_BestOfAeternumStandWait_Unlock,TaskUnlockAchievement,,,,1,95_s01_03_SE_EnterTavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_02_03_Interact_Interviews_TriggerVol_StartScriptedEvent,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_95_s01_03_StartScriptedEvent,@95_s01_03_CROW_BestOfAeternum_GoTavernInterviews,,13170 6919 154,0,,1,,,,,,,,,,,,,,
95_s01_03_03_Interviews_SE_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_03_01_BestOfAeternumGreetSit_Unlock,95_s01_03_03_02_SE_Fallthrough_container,95_s01_03_03_03_BestOfAeternumSEFinished_Unlock,,
95_s01_03_03_01_BestOfAeternumGreetSit_Unlock,TaskUnlockAchievement,,,,1,95_s01_03_SE_ApproachTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_03_02_SE_Fallthrough_container,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_03_02_01_SwapTimer,95_s01_03_03_02_02_EscSkipHUDCheck,,,
95_s01_03_03_02_01_SwapTimer,TaskTimer,,,,1,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_03_02_02_EscSkipHUDCheck,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,,HUD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_03_03_BestOfAeternumSEFinished_Unlock,TaskUnlockAchievement,,,,1,95_s01_03_SE_Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_04_SwapsOn_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_03_04_01_SliceSwap_9501_Grace_s01_04_On,95_s01_03_04_01_SliceSwap_9507_WilliamDaintith_s01_01_On,95_s01_03_04_01_SliceSwap_9508_QuirinusFlaccus_s01_01_On,95_s01_03_04_01_SliceSwap_9509_AdolfodeAcutis_s01_01_On,
95_s01_03_04_01_SliceSwap_9501_Grace_s01_04_On,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_04_01_SliceSwap_9507_WilliamDaintith_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_WilliamDaintith_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_04_01_SliceSwap_9508_QuirinusFlaccus_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_QuirinusFlaccus_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_03_04_01_SliceSwap_9509_AdolfodeAcutis_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_AdolfodeAcutis_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_CROW_ZanderTheRed_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_01_MeetZander_container,95_s01_04_02_MeetEynon_container,95_s01_04_03_CraftRecipe_container,95_s01_04_05_Swaps,
95_s01_04_01_MeetZander_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_01_01_GoToZanderPOI,95_s01_04_01_02_SwapsOff_container,95_s01_04_01_03_SwapsOn_container,95_s01_04_01_04_ZanderSetup_container,95_s01_04_01_05_TalkTo_Zander_FirstMeet
95_s01_04_01_01_GoToZanderPOI,TaskGoToPOITag,,1,,,,,,,,,,ancientcrater9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@95_s01_04_CROW_ZanderTheRed_MeetZander,,10978.090820 7616.087891 155.810257,0,,,,,,,,,,,,,,,,
95_s01_04_01_02_SwapsOff_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_01_02_01_SliceSwap_9501_Grace_s01_04_Off,95_s01_04_01_02_02_SliceSwap_9507_WilliamDaintith_s01_01_Off,95_s01_04_01_02_03_SliceSwap_9508_QuirinusFlaccus_s01_01_Off,95_s01_04_01_02_04_SliceSwap_9509_AdolfodeAcutis_s01_01_Off,
95_s01_04_01_02_01_SliceSwap_9501_Grace_s01_04_Off,TaskLockAchievement,,,,1,SwapActive_95_Grace_s01_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_02_02_SliceSwap_9507_WilliamDaintith_s01_01_Off,TaskLockAchievement,,,,1,SwapActive_95_WilliamDaintith_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_02_03_SliceSwap_9508_QuirinusFlaccus_s01_01_Off,TaskLockAchievement,,,,1,SwapActive_95_QuirinusFlaccus_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_02_04_SliceSwap_9509_AdolfodeAcutis_s01_01_Off,TaskLockAchievement,,,,1,SwapActive_95_AdolfodeAcutis_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_03_SwapsOn_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_01_03_01_SliceSwap_9501_Grace_s01_05_On,95_s01_04_01_03_03_SliceSwap_9510_EnyonVoyle_s01_01_On,,,
95_s01_04_01_03_01_SliceSwap_9501_Grace_s01_05_On,TaskUnlockAchievement,,,,1,SwapActive_95_Grace_s01_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_03_03_SliceSwap_9510_EnyonVoyle_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_Eynon_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_04_ZanderSetup_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_01_04_01_PlayCottageSounds_container,95_s01_04_01_04_03_SliceSwap_9502_Zander_s01_01_On,95_s01_04_01_04_04_SliceSwap_9503_Dog_s01_01_On,,
95_s01_04_01_04_01_PlayCottageSounds_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_01_04_01_01_TriggerVol_OuterAreaCottage,95_s01_04_01_04_01_02_Zander_PlayCottageSounds,95_s01_04_01_04_01_03_Fallthrough_container,95_s01_04_01_04_01_04_Zander_StopSE_Unlock,
95_s01_04_01_04_01_01_TriggerVol_OuterAreaCottage,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_95_s01_04_PlayCottageSounds,@95_s01_04_CROW_ZanderTheRed_MeetZander,,10978.090820 7616.087891 155.810257,0,,,,,,,,,,,,,,,,
95_s01_04_01_04_01_02_Zander_PlayCottageSounds,TaskUnlockAchievement,,,,1,95_s01_04_SE_ZanderCottageAmbient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_04_01_03_Fallthrough_container,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_01_04_01_03_01_SwapTimer,95_s01_04_01_04_01_03_02_TriggerVol_ApproachCottage,,,
95_s01_04_01_04_01_03_01_SwapTimer,TaskTimer,,,,1,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_04_01_03_02_TriggerVol_ApproachCottage,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_95_s01_04_EnterCottage,@95_s01_04_CROW_ZanderTheRed_MeetZander,,10978.090820 7616.087891 155.810257,,,1,,,,,,,,,,,,,,
95_s01_04_01_04_01_04_Zander_StopSE_Unlock,TaskUnlockAchievement,,,,1,95_s01_04_SE_ApproachCottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_04_03_SliceSwap_9502_Zander_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_Zander_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_04_04_SliceSwap_9503_Dog_s01_01_On,TaskUnlockAchievement,,,,1,SwapActive_95_Dog_s01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_01_05_TalkTo_Zander_FirstMeet,TaskConversationTopic,,,,,9502_Zander_s01_01,,,,,,,,,,,,,,,,,,Topic_95_s01_04_TalkTo_Zander_FirstMeet,,,,,,,,,,,,,,,,,,,,,,@95_s01_04_CROW_ZanderTheRed_MeetZander,,10978.090820 7616.087891 155.810257,,,,,,,,,,,,,,,,,
95_s01_04_02_MeetEynon_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_02_02_TalkTo_Eynon_HelpSalve,95_s01_04_02_03_GiveItem_AEToxinSalveRecipe,,,
95_s01_04_02_02_TalkTo_Eynon_HelpSalve,TaskConversationTopic,,,,,9510_EynonVoyle_s01_01,,,,,,,,,,,,,,,,,,Topic_95_s01_04_TalkTo_Eynon_HelpSalve,,,,,,,,,,,,,,,,,,,,,,@95_s01_04_CROW_ZanderTheRed_MeetEynon,,11003.380859 8233.223633 161.345917,,,,,,,,,,,,,,,,,
95_s01_04_02_03_GiveItem_AEToxinSalveRecipe,TaskGiveItem,,,,1,95_s01_04_HealingSalve_WorkOrder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
95_s01_04_03_CraftRecipe_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,95_s01_04_03_01_GatherIngredients_container,95_s01_04_03_02_CraftHealingSalve,,,
