TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
9403_WolfLock3,TaskLockAchievement,,,,9403_Wolf3WalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9405_RescueLion_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9405_LionBridgeContainer1,9405_LionBridgeContainer2,9405_LionContainer,,
9405_LionBridgeContainer1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9405_Goto_Bridge,9405_Goto_Edge,,,
9405_Goto_Bridge,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,9405_GotoBridge_TV,@9405_Goto_Bridge_Desc,,9697.955078 1837.439819 50.516727,,,1,,,,,,,,,,,,,,
9405_Goto_Edge,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,9405_ActivateBridge_TV,@9405_Goto_Edge_Desc,,9807.314453 1748.899658 107.462517,,,1,,,,,,,,,,,,,,
9405_LionBridgeContainer2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9405_GlyphCheck,9405_Activate_Bridge,9405_Cross_Bridge,9405_Bridge_Whisper,
9405_GlyphCheck,TaskAchievement,,,1,Lore_unlock_ElysianWilds_Title_01_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9405_GlyphCheck_Desc,,9767 1731 104,,,1,,,,,,,,,,,,,,
9405_Activate_Bridge,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,9405_ActivateBridge_TV,@9405_Activate_Bridge_Desc,,9807.314453 1748.899658 107.462517,,,1,,,,,,,,,,,,,,
9405_Cross_Bridge,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,9405_CrossBridge_TV,@9405_Cross_Bridge_Desc,,9851.376953 1759.614136 107.968567,,,1,,,,,,,,,,,,,,
9405_Bridge_Whisper,TaskTriggerGameEvent,,,1,,,,,,,,,,,,,,,,,,,,9405_CrossBridge_Whisper,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9405_LionContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9405_LionAchievement,9405_UnlockCage,9405_LionLock,9405_LionReturnContainer,
9405_LionAchievement,TaskUnlockAchievement,,,,9405_LionWalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9405_UnlockCage,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,IO_94_CageLion,,,94_Cage_Interact4,,,,,,,,,,,,,,,,,,,,@9405_ApproachLion,,9926.071289 1761.824951 99.344414,,,,,,,,,,,,,,,,,
9405_LionReturnContainer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9405_LionSwapIn,9405_ReturnLions,9405_LionTalkStep,,
9405_LionSwapIn,TaskUnlockAchievement,,,,9405_SwapReturnLion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9405_ReturnLions,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TV_VectorLion,@9405_ReturnLions_Desc,,9499.1855 1120.5863 54.7791,,,1,,,,,,,,,,,,,,
9405_LionLock,TaskLockAchievement,,,,9405_LionWalkAway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9405_LionTalkStep,TaskConversationTopic,,,1,9405_FirstLion,,,,,,,,,,,,,,,,,9405_LionTalk,,,,,,,,,,,,,,,,,,,,,,@9405_TalkLion,,,,,,,,,,,,,,,,,,,
9401_Races_Quest,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401_Races_Container,,,,
9401_Races_Container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_RaceContainerText,,,,,,,,,,,,,,,EF_Tour_1_questcomplete,EF_Rally_1_questcomplete,EF_Tour_2_questcomplete,EF_Rally_2_questcomplete,EF_Tour_3_questcomplete
EF_Tour_1_questcomplete,TaskAchievement,,1,,EF_Tour_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_Tour_1_Title,,,,true,1,,,,,,,,,,,,,,
EF_Rally_1_questcomplete,TaskAchievement,,1,,EF_Rally_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_Rally_1_Title,,,,true,1,,,,,,,,,,,,,,
EF_Tour_2_questcomplete,TaskAchievement,,1,,EF_Tour_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_Tour_2_Title,,,,true,1,,,,,,,,,,,,,,
EF_Rally_2_questcomplete,TaskAchievement,,1,,EF_Rally_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_Rally_2_Title,,,,true,1,,,,,,,,,,,,,,
EF_Tour_3_questcomplete,TaskAchievement,,1,,EF_Tour_3_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_Tour_3_Title,,,,true,1,,,,,,,,,,,,,,
9402_Races_Quest,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9402_Races_Container1,,,,
9402_Races_Container1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_RaceContainerText,,,,,,,,,,,,,,,WF_Tour_1_questcomplete,WF_Rally_1_questcomplete,WF_Tour_2_questcomplete,WF_Rally_2_questcomplete,WF_Tour_3_questcomplete
WF_Tour_1_questcomplete,TaskAchievement,,1,,WF_Tour_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9402_Tour_1_Title,,,,true,1,,,,,,,,,,,,,,
WF_Rally_1_questcomplete,TaskAchievement,,1,,WF_Rally_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9402_Rally_1_Title,,,,true,1,,,,,,,,,,,,,,
WF_Tour_2_questcomplete,TaskAchievement,,1,,WF_Tour_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9402_Tour_2_Title,,,,true,1,,,,,,,,,,,,,,
WF_Rally_2_questcomplete,TaskAchievement,,1,,WF_Rally_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9402_Rally_2_Title,,,,true,1,,,,,,,,,,,,,,
WF_Tour_3_questcomplete,TaskAchievement,,1,,WF_Tour_3_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9402_Tour_3_Title,,,,true,1,,,,,,,,,,,,,,
9403_Races_Quest,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9403_Races_Container1,,,,
9403_Races_Container1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_RaceContainerText,,,,,,,,,,,,,,,GC_Tour_1_questcomplete,GC_Rally_1_questcomplete,GC_Tour_2_questcomplete,GC_Rally_2_questcomplete,GC_Tour_3_questcomplete
GC_Tour_1_questcomplete,TaskAchievement,,1,,GC_Tour_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9403_Tour_1_Title,,,,true,1,,,,,,,,,,,,,,
GC_Rally_1_questcomplete,TaskAchievement,,1,,GC_Rally_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9403_Rally_1_Title,,,,true,1,,,,,,,,,,,,,,
GC_Tour_2_questcomplete,TaskAchievement,,1,,GC_Tour_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9403_Tour_2_Title,,,,true,1,,,,,,,,,,,,,,
GC_Rally_2_questcomplete,TaskAchievement,,1,,GC_Rally_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9403_Rally_2_Title,,,,true,1,,,,,,,,,,,,,,
GC_Tour_3_questcomplete,TaskAchievement,,1,,GC_Tour_3_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9403_Tour_3_Title,,,,true,1,,,,,,,,,,,,,,
9404_Races_Quest,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9404_Races_Container1,,,,
9404_Races_Container1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_RaceContainerText,,,,,,,,,,,,,,,BS_Tour_1_questcomplete,BS_Rally_1_questcomplete,BS_Tour_2_questcomplete,BS_Rally_2_questcomplete,BS_Tour_3_questcomplete
BS_Tour_1_questcomplete,TaskAchievement,,1,,BS_Tour_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9404_Tour_1_Title,,,,true,1,,,,,,,,,,,,,,
BS_Rally_1_questcomplete,TaskAchievement,,1,,BS_Rally_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9404_Rally_1_Title,,,,true,1,,,,,,,,,,,,,,
BS_Tour_2_questcomplete,TaskAchievement,,1,,BS_Tour_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9404_Tour_2_Title,,,,true,1,,,,,,,,,,,,,,
BS_Rally_2_questcomplete,TaskAchievement,,1,,BS_Rally_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9404_Rally_2_Title,,,,true,1,,,,,,,,,,,,,,
BS_Tour_3_questcomplete,TaskAchievement,,1,,BS_Tour_3_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9404_Tour_3_Title,,,,true,1,,,,,,,,,,,,,,
9405_Races_Quest,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9405_Races_Container1,,,,
9405_Races_Container1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9401_RaceContainerText,,,,,,,,,,,,,,,EW_Tour_1_questcomplete,EW_Rally_1_questcomplete,EW_Tour_2_questcomplete,EW_Rally_2_questcomplete,EW_Tour_3_questcomplete
EW_Tour_1_questcomplete,TaskAchievement,,1,,EW_Tour_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9405_Tour_1_Title,,,,true,1,,,,,,,,,,,,,,
EW_Rally_1_questcomplete,TaskAchievement,,1,,EW_Rally_1_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9405_Rally_1_Title,,,,true,1,,,,,,,,,,,,,,
EW_Tour_2_questcomplete,TaskAchievement,,1,,EW_Tour_2_Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9405_Tour_2_Title,,,,true,1,,,,,,,,,,,,,,
