TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,TP_TargetTag,UIScreenTag,OverrideLocation,KillEnemyType,InteractTag,POITag
Quest_16006_Task_13,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_13_Description,,,0.000000 0.000000 0.000000,17_ZQBS3_GarielTryDoor_interact,IO_17_ZQBS3_GarielTryDoor,
Quest_16006_Task_11_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_Description,TV_17ZQBS3_GarielEnterHouse,,3420.947021 6308.303223 144.177994,,,
Quest_16006_Task_13_0,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_13_0_Description,,,3422.375000 6311.588867 143.662003,17_ZQBS3_GarielSearchDesk_interact,IO_17_ZQBS3_GarielSearchDesk,
Quest_16006_Task_13_0_0,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_13_0_0_Description,,,3415.667969 6307.200195 143.981995,17_ZQBS3_GarielSearchTable_interact,IO_17_ZQBS3_GarielSearchTable,
Quest_16006_Task_14,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_03_01,@Quest_16006_Task_14_Description,,,3415.239990 6307.627930 145.033997,,,
Quest_16006_Task_7,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16044,@Quest_16006_Task_7_Description,,NPC_16044_State_1_Topic_0,,,,
Quest_16006_Task_12,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_12_Description,TV_17ZQBS2_GoBituSuferi,,3582.954102 6473.101074 150.343002,,,catacomb_10308
Quest_16006_Task_11_0_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_0_Description,TV_17ZQBS3_EnterBituSuferi,,3676.618896 6492.345215 157.671997,,,
Quest_16006_Task_15,,,,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_15_Description,,,3672.962891 6496.178223 157.542007,Lost,,
Quest_16006_Task_11_0_0_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_0_0_Description,TV_17ZQBS3_SearchSonia,,3670.895996 6498.029785 158.927002,,,
Quest_16006_Task_14_0,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQB_Title_03_02,@Quest_16006_Task_14_0_Description,,,3674.758057 6494.216797 157.546997,,,
Quest_16006_Task_13_0_0_0,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_13_0_0_0_Description,,,3585.457031 6475.868164 150.130997,17_ZQBS3_KidnapLost_StartFootprints_interact,IO_17_ZQBS3_KidnapLost_StartFootprints,
Quest_16006_Task_13_0_0_0_0,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_13_0_0_0_0_Description,,,3615.167969 6499.210938 159.324005,17_ZQBS3_KidnapLost_Footprints1_interact,IO_17_ZQBS3_KidnapLost_Footprints1,
Quest_16006_Task_13_0_0_0_0_0,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_13_0_0_0_0_0_Description,,,3653.902100 6511.214844 162.705002,17_ZQBS3_KidnapLost_EndFootprints_interact,IO_17_ZQBS3_KidnapLost_EndFootprints,
Quest_16006_Task_12_0,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_12_0_Description,,,3799.684570 5793.512695 176.733398,,,upyr_castle_10221
Quest_16006_Task_11_0_0_0_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_0_0_0_Description,TV_17ZQBS3_EnterKeepUnderstone,,3813.017090 5827.924805 175.520996,,,
Quest_16006_Task_11_0_0_0_0_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_0_0_0_0_Description,TV_17ZQBS3_SearchAnca1,,3822.477051 5867.858887 177.692001,,,
Quest_16006_Task_11_0_0_0_0_0_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_0_0_0_0_0_Description,TV_17ZQBS3_SearchAnca2,,3830.769043 5886.986816 193.750000,,,
Quest_16006_Task_11_0_0_0_0_0_0_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_0_0_0_0_0_0_Description,TV_17ZQBS3_SearchAnca3,,3809.251953 5898.743164 176.050995,,,
Quest_16006_Task_11_0_0_0_0_0_0_0_0_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_0_0_0_0_0_0_0_Description,TV_17ZQBS3_SearchAnca4,,3801.144043 5878.630859 175.748993,,,
Quest_16006_Task_17,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_16074,@Quest_16006_Task_17_Description,,NPC_16074_State_1_Topic_0,,,,
Quest_16006_Task_18,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_18_Description,,,3807.125000 5879.818848 175.639008,17_ZQBS3_ExitForAnca_interact,IO_17_ZQBS3_ExitForAnca,
Quest_16006_Task_18_0,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_18_0_Description,TV_17ZQBS3_SearchAnca3,,3805.564941 5880.669922 176.498001,17_ZQBS3_ExitForAncaTD_interact,IO_17_ZQBS3_ExitForAncaTD,
Quest_16006_Task_16,,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_ZQBS3_GarielFrontOfHouse_hint,,
Quest_16006_Task_19,,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_ZQBS3_SearchAnca2_hint,,
Quest_16006_Task_19_0,,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_19_0_Description,,,,17_ZQBS3_SearchAnca3_hint,,
Quest_16006_Task_20,,,,,,,,,,,,,,,,,TASKQUICKCOURSECHECKPOINT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,9,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,17ZQ_QuickCourse_MarAmar_Werewolf,@Quest_16006_Task_20_Description,,,,,,
Quest_16006_Task_21,Quest_16006_Task_25,Quest_16006_Task_9,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_16006_Task_22,,,,,,,,,,,,,,,,,TASKCONVERSATIONSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_22_Description,,NPC_16005_State_1,,,,
Quest_16006_Task_23,Quest_16006_Task_12,Quest_16006_Task_13_0_0_0,Quest_16006_Task_13_0_0_0_0,Quest_16006_Task_13_0_0_0_0_0,Quest_16006_Task_11_0_0_0,Quest_16006_Task_11_0_0_0_0,Quest_16006_Task_15,Quest_16006_Task_14_0,,,,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_23_Description,,,,,,
Quest_16006_Task_24,Quest_16006_Task_12_0,Quest_16006_Task_11_0_0_0_0_0,Quest_16006_Task_11_0_0_0_0_0_0,Quest_16006_Task_11_0_0_0_0_0_0_0,Quest_16006_Task_19,Quest_16006_Task_11_0_0_0_0_0_0_0_0,Quest_16006_Task_19_0,Quest_16006_Task_11_0_0_0_0_0_0_0_0_0,Quest_16006_Task_17,Quest_16006_Task_18,Quest_16006_Task_18_0,,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_24_Description,,,,,,
Quest_16006_Task_11_0_0_1,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16006_Task_11_0_0_1_Description,TV_17ZQBS3_GarielFrontOfHouse,,3427.966064 6306.916016 143.772995,,,
Quest_16006_Task_25,Quest_16006_Task_26,Quest_16006_Task_22,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_16006_Task_26,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16006_Task_26_Description,nvere true,,,,,
