TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
C10A_M4_Finish,TaskKillContribution,,,1,,,,,,,,RaidCutlassKeys00,,,,,,,,,,,Hercyne_Broodmother,,,,,,,,,,,,,,,,,,,,@objective_complete_the_expedition,,,,,,,,,,,,,,,,,,,
C10A_M5_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,dungeon_barnacles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M5_EnterBnB,C10A_M5_ReadNote3,C10A_M5_KillAdmiral,C10A_M5_ReadNote2,C10A_M5_ReadNote1
C10A_M5_EnterBnB,TaskGameMode,,,1,,,,,,,dungeon_barnacles,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1036_0101_d_01_EnterBnB,,,,,,,,,,,,,,,,,,,
C10A_M5_ReadNote3,TaskAchievement,,,1,Lore_unlock_TalesofExpeditions_Title_07_03,,,,,,,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1036_0101_d_04_ReadNote3,,,,,false,,,,,,,,,,,,,,
C10A_M5_KillAdmiral,TaskKillContribution,,,1,,,,,,,,DungeonCutlassKeys00,,,,,,,,,,,Undead_Admiral_Brute_DG_Cutlass_00,,,,,,,,,,,,,,,,,,,,@1036_0101_d_05_KillAdmiral,,,,,,,,,,,,,,,,,,,
C10A_M5_ReadNote2,TaskAchievement,,,1,Lore_unlock_TalesofExpeditions_Title_07_02,,,,,,,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1036_0101_d_03_ReadNote2,,,,,false,,,,,,,,,,,,,,
C10A_M5_ReadNote1,TaskAchievement,,,1,Lore_unlock_TalesofExpeditions_Title_07_01,,,,,,,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1036_0101_d_02_ReadNote1,,,,,false,,,,,,,,,,,,,,
C10A_M6_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M6_EnterBnB,C10A_M6_KillNereid,,,
C10A_M6_EnterBnB,TaskGameMode,,,1,,,,,,,dungeon_barnacles,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1037_0101_d_01_EnterBnB,,,,,,,,,,,,,,,,,,,
C10A_M6_KillNereid,TaskKillContribution,,1,1,,,,,,,,DungeonCutlassKeys00,,,,,,,,,,,Dryad_Siren,,,,,,,,,,,,,,,,,,,,@1037_0101_d_02_KillNereid,,,,,,,,,,,,,,,,,,,
C10A_M7_Container_Main,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_M7_ChadTrinket,C10A_M7_MarkTrinket,C10A_M7_MikeTrinket,C10A_M7_KillNereid,
C10A_M7_ChadTrinket,TaskHaveAndReturnItems,,,1,1038_0101_ChadsTrinket_v2,Undead_Pistoleer_Named_DG_Cutlass_00,100,,,,,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1038_0101_d_03_ChadTrinket,,589 916,,,,,,,,,,,,,,,,,
C10A_M7_MarkTrinket,TaskHaveAndReturnItems,,,1,1038_0101_MarksTrinket_v2,Undead_Officer_Named_DG_Cutlass_00,100,,,,,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1038_0101_d_02_MarkTrinket,,645 878,,,,,,,,,,,,,,,,,
C10A_M7_MikeTrinket,TaskHaveAndReturnItems,,,1,1038_0101_MikesTrinket_v2,Undead_Berserker_Named_DG_Cutlass_00,100,,,,,DungeonCutlassKeys00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1038_0101_d_04_MikeTrinket,,447 840,,,,,,,,,,,,,,,,,
C10A_M7_KillNereid,TaskKillContribution,,,1,,,,,,,,DungeonCutlassKeys00,,,,,,,,,,,Dryad_Siren,,,,,,,,,,,,,,,,,,,,@objective_complete_the_expedition,,,,,,,,,,,,,,,,,,,
C10A_Q1_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_Q1_Lottery,C10A_Q1_WorkOrders,,,
C10A_Q1_Lottery,TaskTriggerGameEvent,,,1,,,,,,,,,,,,,,,,,,,10A_Q1_Lottery,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_WorkOrders,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_OrderA,C10A_Q1_OrderB,C10A_Q1_OrderC,,
C10A_Q1_OrderA,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_TicketA,C10A_Q1_RemoveTicketA,C10A_Q1_GoToPOIA,C10A_Q1_Container_01,
C10A_Q1_TicketA,TaskHaveAndReturnItems,,,1,C10A_Q1_Ticket_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_RemoveTicketA,TaskRemoveItem,,,1,C10A_Q1_Ticket_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_GoToPOIA,TaskGoToPOITag,,,,,,,,,,fishingvillage_30062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q1_GotoPOI,,,,,,,,,,,,,,,,,,,
C10A_Q1_Container_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_Partial_KillLostA,,,,
C10A_Q1_Partial_KillLostA,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_LostPylonA_WaveEvent,C10A_Q1_Partial_KillLostA_Targets,,,
C10A_Q1_Partial_KillLostA_Targets,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_KillLostA_Berserker,C10A_Q1_KillLostA_Grenadier,C10A_Q1_KillLostA_Pistoleer,,
C10A_Q1_KillLostA_Berserker,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Berserker_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_KillLostA_Grenadier,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Grenadier_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_KillLostA_Pistoleer,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Pistoleer_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_LostPylonA_WaveEvent,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_10A_Q1_PylonA,,,10A_Q1_EncounterCompleteA_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q1_SetPylonA,,7299.760 1624.568 45.705,,,true,,,,,,,,,,,,,,
C10A_Q1_OrderB,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_TicketB,C10A_Q1_RemoveTicketB,C10A_Q1_GoToPOIB,C10A_Q1_Container_02,
C10A_Q1_TicketB,TaskHaveAndReturnItems,,,1,C10A_Q1_Ticket_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_RemoveTicketB,TaskRemoveItem,,,1,C10A_Q1_Ticket_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_GoToPOIB,TaskGoToPOITag,,,,,,,,,,fishingvillage_30063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q1_GotoPOI,,,,,,,,,,,,,,,,,,,
C10A_Q1_Container_02,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_Partial_KillLostB,,,,
C10A_Q1_Partial_KillLostB,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_LostPylonB_WaveEvent,C10A_Q1_Partial_KillLostB_Targets,,,
C10A_Q1_Partial_KillLostB_Targets,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_KillLostB_Berserker,C10A_Q1_KillLostB_Grenadier,C10A_Q1_KillLostB_Pistoleer,,
C10A_Q1_KillLostB_Berserker,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Berserker_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_KillLostB_Grenadier,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Grenadier_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_KillLostB_Pistoleer,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Pistoleer_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_LostPylonB_WaveEvent,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_10A_Q1_PylonB,,,10A_Q1_EncounterCompleteB_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q1_SetPylonB,,7443.688 1789.335 42.475,,,true,,,,,,,,,,,,,,
C10A_Q1_OrderC,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_TicketC,C10A_Q1_RemoveTicketC,C10A_Q1_GoToPOIC,C10A_Q1_Container_03,
C10A_Q1_TicketC,TaskHaveAndReturnItems,,,1,C10A_Q1_Ticket_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_RemoveTicketC,TaskRemoveItem,,,1,C10A_Q1_Ticket_C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_GoToPOIC,TaskGoToPOITag,,,,,,,,,,fishingvillage_30049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q1_GotoPOI,,,,,,,,,,,,,,,,,,,
C10A_Q1_Container_03,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_Partial_KillLostC,,,,
C10A_Q1_Partial_KillLostC,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_LostPylonC_WaveEvent,C10A_Q1_Partial_KillLostC_Targets,,,
C10A_Q1_Partial_KillLostC_Targets,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q1_KillLostC_Berserker,C10A_Q1_KillLostC_Grenadier,C10A_Q1_KillLostC_Pistoleer,,
C10A_Q1_KillLostC_Berserker,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Berserker_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_KillLostC_Grenadier,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Grenadier_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_KillLostC_Pistoleer,TaskKillContribution,,,50,,,,,,,,,,,,,,,,,,,CK_Undead_Pistoleer_Q1_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q1_LostPylonC_WaveEvent,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_10A_Q1_PylonC,,,10A_Q1_EncounterCompleteC_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q1_SetPylonC,,7028.068 1736.054 41.209,,,true,,,,,,,,,,,,,,
C10A_Q2_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_Q2_GoToPOI,C10A_Q2_Container_01,C10A_Q2_Container_02,,
C10A_Q2_GoToPOI,TaskGoToPOITag,,,,,,,,true,,piratespass_30070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q2_GoToPOI,,,,,,,,,,,,,,,,,,,
C10A_Q2_Container_01,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q2_Key,C10A_Q2_AncientCage,,,
C10A_Q2_Key,TaskHaveAndReturnItems,,,1,C10A_Q2_PrisonKey,,,50,true,,piratespass_30070,,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q2_Key,,,,,,,,,,,,,,,,,,,
C10A_Q2_AncientCage,TaskGameEvent,,,3,10A_Q2_AncientCage,,,,true,,piratespass_30070,,,,,,,,,IO_10A_Q2_AncientCage,,,10A_Q2_AncientCage_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q2_AncientCage,,,,,true,,,,,,,,,,,,,,
C10A_Q2_Container_02,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q2_Container_02,,,,,,,,,,,,,,,C10A_Q2_PrisonCellC,C10A_Q2_PrisonCellB,C10A_Q2_PrisonCellA,,
C10A_Q2_PrisonCellA,TaskGameEvent,,,1,10A_Q2_PrisonCellA,,,,,,,,,,,,,,,IO_10A_Q2_PrisonCellA,,,10A_Q2_PrisonCellA_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q2_PrisonCellA,,8129.1133 1176.0438 170.0524,,,true,,,,,,,,,,,,,,
C10A_Q2_PrisonCellB,TaskGameEvent,,,1,10A_Q2_PrisonCellB,,,,,,,,,,,,,,,IO_10A_Q2_PrisonCellB,,,10A_Q2_PrisonCellB_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q2_PrisonCellB,,8096.9224 1243.1481 169.0829,,,true,,,,,,,,,,,,,,
C10A_Q2_PrisonCellC,TaskGameEvent,,,1,10A_Q2_PrisonCellC,,,,,,,,,,,,,,,IO_10A_Q2_PrisonCellC,,,10A_Q2_PrisonCellC_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q2_PrisonCellC,,8012.4805 1274.0183 166.125,,,true,,,,,,,,,,,,,,
C10A_Q3_Container_Main,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10A_Q3_Container01,C10A_Q3_SkullOff,C10A_Q3_Container03,,
C10A_Q3_Container01,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q3_Container01,,,,,,,,,,,,,,,C10A_Q3_SkullOffSafety,C10A_Q3_GoToSpectralForest,C10A_Q3_SpectralPylons,C10A_Q3_SkullOn,C10A_Q3_SpectralWaveEventPartialContainer
C10A_Q3_SkullOffSafety,TaskLockAchievement,,,,SwapHidden_C10A_Q3_Skull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q3_GoToSpectralForest,TaskGoToPOITag,,,,,,,,true,,ghost_forest_30055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q3_GoToSpectralForest,,,,,,,,,,,,,,,,,,,
C10A_Q3_SpectralPylons,TaskGameEvent,,,3,,,,,true,,ghost_forest_30055,,,,,,,,,IO_10A_Q3_SpectralPylon,,,10A_Q3_SpectralPylon_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q3_SpectralPylons,,,,,,1.75,,,,,,,,,,,,,
C10A_Q3_SkullOn,TaskUnlockAchievement,,,,SwapHidden_C10A_Q3_Skull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q3_SpectralWaveEventPartialContainer,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,C10A_Q3_Container02,C10A_Q3_SpectralWaveEventComplete,C10A_Q3_KillTyrant,,
C10A_Q3_SpectralEventStart,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_10A_Q3_SpectralLure,,,10A_Q3_SpectralLure_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q3_SpectralEventStart,,7032.2798 1062.205 75.329,,,true,,,,,,,,,,,,,,
C10A_Q3_KillTyrant,TaskKillContribution,,,1,,,,,true,,ghost_forest_30055,,,,,,,,,,,,CK_Spectral_Lost_Fire_Q3_WaveEvent,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,
C10A_Q3_Container02,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q3_CompleteSpectralEvent,,7032.2798 1062.205 75.329,,,,,,,,,,,,,C10A_Q3_SpectralEventStart,C10A_Q3_SpectralWaveEventComplete,,,
C10A_Q3_SkullOff,TaskLockAchievement,,,,SwapHidden_C10A_Q3_Skull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q3_SpectralWaveEventComplete,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_10A_Q3_SpectralLure,,,10A_Q3_WaveEventComplete_Interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q3_Container03,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@C10A_Q3_Container03,,,,,,,,,,,,,,,C10A_Q3_GetItem,C10A_Q3_GoToCave,C10A_Q3_ClearCave,C10A_Q3_Telescope,
C10A_Q3_GetItem,TaskGiveAndTakeItem,,,1,C10A_Q3_SpectralEssence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
C10A_Q3_GoToCave,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_10A_Q3_Cave,@C10A_Q3_GoToFortBarnacles,,7226.4131 1098.3047 72.5394,,,true,,,,,,,,,,,,,,
C10A_Q3_ClearCave,TaskKillContribution,,,1,,,,,true,,corrupted_fort_30033,,,,,,,,,,,,CK_Undead_Pirate_Brute_Named_10WS06b,,,,,,,,,,,,,,,,,,,,@C10A_Q3_ClearCave,,,,,true,,,,,,,,,,,,,,
C10A_Q3_Telescope,TaskGameEvent,,,1,,,,,,,,,,,,,,,,IO_10A_Q3_Telescope,,,10A_Q3_Telescope_Interact,,,,,,,,,,,,,,,,,,,,@C10A_Q3_FortEventStart,,7209.624 1083.8438 72.0897,,,true,,,,,,,,,,,,,,
