TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,DiegeticPinZOverride,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0718_0101_d_03_01_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0718_0101_d_03_02_SwapHerath02_Off,0718_0101_d_03_03_SwapHerath03_On,,,
0718_0101_d_03_02_SwapHerath02_Off,TaskLockAchievement,,,1,SwapActive_0718_GirishHerath_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0718_0101_d_03_03_SwapHerath03_On,TaskUnlockAchievement,,,1,SwapActive_0718_GirishHerath_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0718_0101_d_04_TaskHaveAndReturnItems_1_FaysBriars,TaskHaveAndReturnItems,,1,1,0718_0101_FayBriars,Dryad_Prowler_Named_07SM09,100,,,,dryadlookout_50418,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0718_0101_guardian_defeat_target_for_item_at_POI,,10893.76 9179.36 514.662,,,,,,,,,,,,,,,,,
0718_0101_d_01_TaskGoToPOITag_blightcave_50412,TaskGoToPOITag,,1,,,,,,,,blightcave_50412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0718_0101_guardian_goto_POI_a,,,,,,,,,,,,,,,,,,,
0718_0101_d_02_TaskHaveAndReturnItems_1_MoBlightSample,TaskHaveAndReturnItems,,1,1,0718_0101_MoBlightSample,Blight_Fiend_07SM09b,65,,true,,blightcave_50412,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0718_0101_guardian_defeat_target_for_item_global,,,,,,,,,,,,,,,,,,,
0718_0102_d_00_container_humble,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0718_0102_d_03_TaskGoToPOITag_blightedwilds,0718_0102_d_04_container_humble_poitrack,0718_0102_d_03_01_swap_container,0718_0102_d_05_TaskGatherAndReturnItems_1_CystBlightSample,
0718_0102_d_03_TaskGoToPOITag_blightedwilds,TaskGoToPOITag,,,,,,,,,shatteredmountain9,shatteredmountain9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0718_0102_humble_goto_POI_b,,,,,,,,,,,,,,,,,,,
0718_0102_d_04_container_humble_poitrack,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0718_0102_humble_choose_POI,,,,,,,,,,,,,,,0718_0102_d_04_01_TaskGoToPOITag_blightcave_50413,0718_0102_d_04_02_TaskGoToPOITag_blightcave_50415,0718_0102_d_04_03_TaskGoToPOITag_blightgrove_50416,,
0718_0102_d_04_01_TaskGoToPOITag_blightcave_50413,TaskGoToPOITag,,,,,,,,,,blightcave_50413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0718_0102_d_04_02_TaskGoToPOITag_blightcave_50415,TaskGoToPOITag,,,,,,,,,,blightcave_50415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0718_0102_d_04_03_TaskGoToPOITag_blightgrove_50416,TaskGoToPOITag,,,,,,,,,,blightgrove_50416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0718_0102_d_03_01_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0718_0102_d_03_02_SwapHerath01_Off,0718_0102_d_03_03_SwapHerath02_On,,,
0718_0102_d_03_02_SwapHerath01_Off,TaskUnlockAchievement,,,1,SwapActive_0718_GirishHerath_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0718_0102_d_03_03_SwapHerath02_On,TaskUnlockAchievement,,,1,SwapActive_0718_GirishHerath_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0718_0102_d_05_TaskGatherAndReturnItems_1_CystBlightSample,TaskGatherAndReturnItems,,,1,0718_0102_CystBlightSample,0702_BlightNodule,100,,true,,,,,true,,,,,,,IO_0702_BlightNodule,,,,,,,,,,,,,,,,,,,,,,,@0718_0102_humble_interact_gather_item,,,,,,,,,,,,,,,,,,,
0719_0101_d_00_container_reflectionsmountainheart,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0719_0101_d_03_container_reflectionsmountainheart_seq3,0719_0101_d_02_container_reflectionsmountainheart_seq2,0719_0101_d_01_container_reflectionsmountainheart_seq1,0719_0101_d_03_00_Madaki_SwapIn_Failsafe,
0719_0101_d_03_00_Madaki_SwapIn_Failsafe,TaskUnlockAchievement,,,1,SwapActive_0719_EintouMadaki_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
0719_0101_d_03_container_reflectionsmountainheart_seq3,ConsecutiveTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0719_0101_d_03_01_TaskGoToPOITag_corrupted_fort_tannery_01_40402,0719_0101_d_03_02_container_reflectionsmountainheart_subtask_5,0719_0101_d_02_03_TaskGoToPOITag_corrupted_fort_alchemy_01_40403,0719_0101_d_02_04_container_reflectionsmountainheart_subtask_4,
0719_0101_d_03_01_TaskGoToPOITag_corrupted_fort_tannery_01_40402,TaskGoToPOITag,,1,,,,,,,,corrupted_fort_tannery_01_40402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_goto_POI_b,,,,,,,,,,,,,,,,,,,
0719_0101_d_03_02_container_reflectionsmountainheart_subtask_5,SimpleTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_odium,,,,,,,,,,,,,,,0719_0101_d_03_02_01_container_reflectionsmountainheart_subtask_5_1,0719_0101_d_03_02_02_TaskAchievement_GetQuestLorePage_Odium,,,
0719_0101_d_03_02_01_container_reflectionsmountainheart_subtask_5_1,ConsecutiveTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0719_0101_d_03_02_01_01_kill_1_Corrupted_corrupted_fort_tannery_01_40402,0719_0101_d_03_02_01_02_TaskHaveAndReturnItems_5_OdiumHeartgem,,,
0719_0101_d_03_02_01_01_kill_1_Corrupted_corrupted_fort_tannery_01_40402,TaskKillContribution,,1,1,,,,,,,corrupted_fort_tannery_01_40402,,,,,,,,,,,,,Bitterblade,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_kill_determine,,,,,,,,,,,,,,,,,,,
0719_0101_d_03_02_01_02_TaskHaveAndReturnItems_5_OdiumHeartgem,TaskHaveAndReturnItems,,1,5,0719_0101_OdiumHeartgem,Bitterblade,100,,,,corrupted_fort_tannery_01_40402,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_recover_item_from_target_in_POI,,,,,,,,,,,,,,,,,,,
0719_0101_d_03_02_02_TaskAchievement_GetQuestLorePage_Odium,TaskAchievement,,1,,Lore_unlock_07_ShatteredMountain_Title_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_odiumjournal_brokenbranches,,9084.794 9418.490 558.070,,,false,,,,,,,,,,,,,,
0719_0101_d_02_03_TaskGoToPOITag_corrupted_fort_alchemy_01_40403,TaskGoToPOITag,,1,,,,,,,,corrupted_fort_alchemy_01_40403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_goto_POI_b,,,,,,,,,,,,,,,,,,,
0719_0101_d_02_04_container_reflectionsmountainheart_subtask_4,SimpleTaskContainer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_subtask_vehemence,,,,,,,,,,,,,,,0719_0101_d_02_04_01_kill_5_Corrupted_corrupted_fort_alchemy_01_40403,0719_0101_d_02_04_02_TaskAchievement_GetQuestLorePage_Vehemence,,,
0719_0101_d_02_04_01_kill_5_Corrupted_corrupted_fort_alchemy_01_40403,TaskKillContribution,,1,5,,,,,,,corrupted_fort_alchemy_01_40403,,,,,,,,,,,,,Infernal,,,,,,,,,,,,,,,,,,,,@0719_0101_reflectionsmountainheart_kill_determine,,,,,,,,,,,,,,,,,,,
