TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,KillEnemyType,InteractTag,OverrideLocation,TP_TargetTag,ItemName
Quest_28008_Task_11,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_11_Description,,17_SQ_28008_OldMagicRemnants,IO_17_SQ_28008_OldMagicRemnants,3672.558105 7324.009277 124.437302,,
Quest_28008_Task_3,,,,,,,,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_3_Description_0,,Beast,,,,
Quest_28008_Task_12,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_12_Description,,,,,,
Quest_28008_Task_13,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_13_Description,,,,,,
Quest_28008_Task_14,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_14_Description,,,,,,
Quest_28008_Task_15,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_15_Description,,,,,,
Quest_28008_Task_16,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_28008_Task_16_Description,,,,3683.276611 7332.995117 127.095802,TV_17_SQ_28008_DollPath01,
Quest_28008_Task_17,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_17_Description,,,,,,
Quest_28008_Task_18,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_18_Description,,,,,,
Quest_28008_Task_19,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_19_Description,,,,,,
Quest_28008_Task_20,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_20_Description,,,,,,
Quest_28008_Task_22,Quest_28008_Task_25,Quest_28008_Task_26,Quest_28008_Task_27,Quest_28008_Task_28,Quest_28008_Task_29,Quest_28008_Task_30,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_28008_Task_23,Quest_28008_Task_31,Quest_28008_Task_32,Quest_28008_Task_33,Quest_28008_Task_34,Quest_28008_Task_35,Quest_28008_Task_36,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_28008_Task_24,Quest_28008_Task_37,Quest_28008_Task_38,Quest_28008_Task_39,Quest_28008_Task_40,Quest_28008_Task_41,Quest_28008_Task_42,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_28008_Task_25,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_25_Description,,,,,,
Quest_28008_Task_26,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_26_Description,,,,,,
Quest_28008_Task_27,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_27_Description,,,,,,
Quest_28008_Task_28,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_28_Description,,,,,,
Quest_28008_Task_29,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_29_Description,,,,,,
Quest_28008_Task_30,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_30_Description,,,,,,
Quest_28008_Task_31,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_31_Description,,,,,,
Quest_28008_Task_32,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_32_Description,,,,,,
Quest_28008_Task_33,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_33_Description,,,,,,
Quest_28008_Task_34,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_34_Description,,,,,,
Quest_28008_Task_35,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_35_Description,,,,,,
Quest_28008_Task_36,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,1.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_36_Description,,,,,,
Quest_28008_Task_37,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_37_Description,,,,,,
Quest_28008_Task_38,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_38_Description,,,,,,
Quest_28008_Task_39,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_39_Description,,,,,,
Quest_28008_Task_40,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_40_Description,,,,,,
Quest_28008_Task_41,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_41_Description,,,,,,
Quest_28008_Task_42,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,3.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_42_Description,,,,,,
Quest_28008_Task_43,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,5.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28008_Task_43_Description,,,,,,
Quest_28008_Task_21,,,,,,,,,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,17_SQ_28008_StrangeObject
