TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,UseGlobalStorage,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
1427_0102_03_Container_KillDryadsAnointSeed,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0102_03a_KillDryads,1427_0102_03b_AnointSeed,,,
1427_0102_03a_KillDryads,TaskKillContribution,,,7,,,,,,true,,crater_brutalthicket_50310,,,,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1427_0102_03a_KillDryads,,,,,,,,,,,,,,,,,,,
1427_0102_03b_AnointSeed,TaskGatherItems,,,3,1427_0101_AnointedSeed,1427_0101_AnointingSpot,100,,,,,,,,true,,,,,,,IO_1427_0101_AnointingSpot,,,1427_0101_AnointingSpot_Interact,,,,,,,,,,,,,,,,,,,,@1427_0102_03b_AnointSeed,,10625.253906 7767.159668 321.614868,,,,,,,,,,,,,,,,,
1427_0102_03c_SliceSwap_Daughter_Field_On,TaskUnlockAchievement,,,1,SwapActive_1428_CultDaughter_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0103_Pilgrimmage02_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0103_02_Container_KillDryadsPlantSeeds,1427_0103_03_Sliceswaps_Daughter,,,
1427_0103_02_Container_KillDryadsPlantSeeds,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0103_02a_KillDryads,1427_0103_02b_01_PlantSeeds_01,,,
1427_0103_02a_KillDryads,TaskKillContribution,,,10,,,,,,,,,,,,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1427_0103_02a_KillDryads,,,,,,,,,,,,,,,,,,,
1427_0103_02b_01_PlantSeeds_01,TaskGameEvent,,,3,,1427_0103_PlantingSpot,,,,true,,ancientcrater10,,,true,,,,,,,IO_1427_0103_PlantingSpot,,,1427_0103_PlantingSpot_interact,,,,,,,,,,,,,,,,,,,,@1427_0103_02b_01_PlantSeeds_01,,11715.167969 7867.178223 156.675156,,,,,,,,,,,,,,,,,
1427_0103_03_Sliceswaps_Daughter,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0103_03a_SliceSwap_Daughter_Field_Off,1427_0103_03a_SliceSwap_Daughter_HQ_On,,,
1427_0103_03a_SliceSwap_Daughter_Field_Off,TaskLockAchievement,,,1,SwapActive_1428_CultDaughter_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0103_03a_SliceSwap_Daughter_HQ_On,TaskUnlockAchievement,,,1,SwapActive_1428_CultDaughter_01_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0104_Oath_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0104_01_TalkTo_HanFang,1427_0104_01_TriggerVol_CultLeader,1427_0104_02_TakeOath,,
1427_0104_01_TalkTo_HanFang,TaskConversationTopic,,,,1427_CultMother,,,,,,,,,,,,,,,,,,1427_0104_TalkTo_CultMother,,,,,,,,,,,,,,,,,,,,,,@1427_0104_01_TalkTo_HanFang,,11149.576172 7296.336426 168.542480,,,,,,,,,,,,,,,,,
1427_0104_01_TriggerVol_CultLeader,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_1427_CultHQ_Oath,@1427_0104_01_TriggerVol_CultLeader,,11087.6338 7319.5576 167.8283,,,,,,,,,,,,,,,,,
1427_0104_02_TakeOath,TaskConversationTopic,,,,1439_Oath_Object,,,,,,,,,,,,,,,,,,1427_0102_TalkTo_Oath,,,,,,,,,,,,,,,,,,,,,,@1427_0104_02_TakeOath,,11087.6338 7319.5576 167.8283,,,,,,,,,,,,,,,,,
1427_0106_UmbrageTrial_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0106_01_TalkTo_Daughter,1427_0106_02_GoToPOI,1427_0106_03_Container_KillDryadsReachTop,1427_0106_03_Sliceswaps_FieldHQ,1427_0106_03_Sliceswaps_Sacrifices
1427_0106_01_TalkTo_Daughter,TaskConversationTopic,,,,1428_CultDaughter_01,,,,,,,,,,,,,,,,,,1427_0102_TalkTo_Daughter_Umbrage,,,,,,,,,,,,,,,,,,,,,,@1427_0106_01_TalkTo_Daughter,,11084.069336 7319.005371 167.956757,,,,,,,,,,,,,,,,,
1427_0106_02_GoToPOI,TaskGoToPOITag,,,1,,,,,,true,,crater_spite_50326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1427_0106_02_GoToPOI,,,,,,,,,,,,,,,,,,,
1427_0106_03_Container_KillDryadsReachTop,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0106_03a_KillDryads,1427_0106_03b_ReachTop,,,
1427_0106_03a_KillDryads,TaskKillContribution,,,7,,,,,,true,,crater_spite_50326,,,,,,,,,,,,,Belfrian,,,,,,,,,,,,,,,,,,,,@1427_0106_03a_KillDryads,,,,,,,,,,,,,,,,,,,
1427_0106_03b_ReachTop,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1427_0106_HighFlower,,,1427_0106_HighFlower_Interact,,,,,,,,,,,,,,,,,,,,@1427_0106_03b_ReachTop,,11074.457 7739.574 254.191,,,,,,,,,,,,,,,,,
1427_0106_03_Sliceswaps_FieldHQ,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,IO_1427_0103_PlantingSpot,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0106_03a_SliceSwap_Daughter_HQ_Off,1427_0106_03a_SliceSwap_Daughter_FieldHQ_On,1427_0106_03b_SliceSwap_Cultists_HQ_Off_Field_On,1427_0106_03b_SliceSwap_Cultists_01_HQ_Off_Field_On,
1427_0106_03a_SliceSwap_Daughter_HQ_Off,TaskLockAchievement,,,1,SwapActive_1428_CultDaughter_01_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0106_03a_SliceSwap_Daughter_FieldHQ_On,TaskUnlockAchievement,,,1,SwapActive_1428_CultDaughter_02_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0106_03b_SliceSwap_Cultists_HQ_Off_Field_On,TaskUnlockAchievement,,,1,SwapActive_1429_Cultists_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0106_03b_SliceSwap_Cultists_01_HQ_Off_Field_On,TaskUnlockAchievement,,,1,SwapActive_1429_Cultists_01_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0106_03_Sliceswaps_Sacrifices,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0106_03c_SliceSwap_Sacrifices_HQ_Off,1427_0106_03c_SliceSwap_Sacrifices_Field_On,,,
1427_0106_03c_SliceSwap_Sacrifices_HQ_Off,TaskUnlockAchievement,,,1,SwapActive_1429_Sacrifices_HQ_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0106_03c_SliceSwap_Sacrifices_Field_On,TaskUnlockAchievement,,,1,SwapActive_1429_Sacrifices_Field_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0107_HerbalTea_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0107_01_GoToPOI,1427_0107_02_KillCollect_Herbs,,,
1427_0107_01_GoToPOI,TaskGoToPOITag,,,1,,,,,,true,,crater_blightedvillage_50358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1427_0107_01_GoToPOI,,,,,,,,,,,,,,,,,,,
1427_0107_02_KillCollect_Herbs,TaskHaveAndReturnItems,,,5,1427_0107_Herbs,AngryEarth,80,,,true,,crater_blightedvillage_50358,,,true,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,@1427_0107_02_KillCollect_Herbs,,,,,,,,,,,,,,,,,,,
1427_0108_Wreathes_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0108_02_CollectFlowers,1427_0108_03_SliceSwap_Sacrifices_Field_Off,1427_0108_03_SliceSwap_Survivor_On,,
1427_0108_02_CollectFlowers,TaskGatherItems,,,6,1427_0108_Flowers,1427_0108_Flower,100,,,,,,,,true,,,,,,,IO_1427_0108_Flower,,,,,,,,,,,,,,,,,,,,,,,@1427_0108_02_CollectFlowers,,11252.800781 6976.076172 321.388641,,,,,,,,,,,,,,,,,
1427_0108_03_SliceSwap_Sacrifices_Field_Off,TaskLockAchievement,,,1,SwapActive_1429_Sacrifices_Field_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0108_03_SliceSwap_Survivor_On,TaskUnlockAchievement,,,1,SwapActive_1429_Sacrifice_Survivor_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0109_WasteNot_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0109_01_GoToPOI,1427_0109_02_Container_GetBelongingsAndCoin,1427_0109_02c_SliceSwap_Mother_HQ_Off_Field_On,1427_0109_03_TalkTo_CultOfficer,
1427_0109_01_GoToPOI,TaskGoToPOITag,,,1,,,,,,true,,ancientcrater14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1427_0109_01_GoToPOI,,,,,,,,,,,,,,,,,,,
1427_0109_02_Container_GetBelongingsAndCoin,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1427_0109_02a_CollectBelongings,1427_0109_02b_KillCollect_Coin,,,
1427_0109_02a_CollectBelongings,TaskGatherItems,,,5,1427_0109_Belongings,1427_0109_Belongings,100,,,,,,,,true,,,,,,,IO_1427_0109_Belongings,,,,,,,,,,,,,,,,,,,,,,,@1427_0109_02a_CollectBelongings,,11402.533203 7009.608887 316.816040,,,,,,,,,,,,,,,,,
1427_0109_02b_KillCollect_Coin,TaskHaveAndReturnItems,,,5,1427_0109_Coins,Ghost_Plagued_MSQ22,100,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1427_0109_02b_KillCollect_Coin,,11671 7111 326,,,,,,,,,,,,,,,,,
1427_0109_02c_SliceSwap_Mother_HQ_Off_Field_On,TaskUnlockAchievement,,,1,SwapActive_1427_CultMother_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0109_03_TalkTo_CultOfficer,TaskConversationTopic,,,,1429_CultOfficer_01,,,,,,,,,,,,,,,,,,1427_0109_TalkTo_CultOfficer_Gold,,,,,,,,,,,,,,,,,,,,,,@1427_0109_03_TalkTo_CultOfficer,,11493.526367 7149.052246 274.107361,,,,,,,,,,,,,,,,,
1427_0109_DaughtersChoice_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427_0109_01a_GiveAndTakeItem,1427_0109_01b_HaveAndReturnItem,,,
1427_0109_01a_GiveAndTakeItem,TaskGiveAndTakeItem,,,1,1427_0109_Charm,,,100,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1427_0109_01b_HaveAndReturnItem,TaskHaveAndReturnItems,,,1,1427_0109_Charm,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1432_0101_Medicine_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432_0101_01_GoToPOI,1432_0101_02_GatherHerbs,,,
1432_0101_01_GoToPOI,TaskGoToPOITag,,,1,,,,,,true,,crater_mysticfen_50317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1432_0101_01_GoToPOI,,,,,,,,,,,,,,,,,,,
1432_0101_02_GatherHerbs,TaskGatherItems,,,7,1432_0101_MedicinalHerbs,1432_0101_MedicinalHerbs,100,,,,,,,,true,,,,,,,IO_1432_0101_MedicinalHerbs,,,,,,,,,,,,,,,,,,,,,,,@1432_0101_02_GatherHerbs,,11009.113 8142.820 155.845,,,,,,,,,,,,,,,,,
1432_0102_DryadThieves_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432_0102_01_FollowItemTrail,1432_0102_02_GoToPOI,1432_0102_03b_KillCollect_Belongings,1432_0102_04_SliceSwap_WoundedSai_Off_HealthySai_On,1432_0102_05_SliceSwap_CampDog_Off
1432_0102_01_FollowItemTrail,TaskGatherItems,,,4,1432_0102_BelongingsTrail,1432_0102_BelongingsTrail,100,,,,,,,,true,,,,,,,IO_1432_0102_BelongingsTrail,,,,,,,,,,,,,,,,,,,,,,,@1432_0102_01_FollowItemTrail,,10801.905 7972.955 211.655,,,,,,,,,,,,,,,,,
1432_0102_02_GoToPOI,TaskGoToPOITag,,,1,,,,,,true,,crater_brutalthicket_50310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1432_0102_02_GoToPOI,,,,,,,,,,,,,,,,,,,
1432_0102_03b_KillCollect_Belongings,TaskHaveAndReturnItems,,,6,1432_0102_BelongingsScattered,AngryEarth,60,,,true,,crater_brutalthicket_50310,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1432_0102_03b_KillCollect_Belongings,,,,,,,,,,,,,,,,,,,
1432_0102_04_SliceSwap_WoundedSai_Off_HealthySai_On,TaskUnlockAchievement,,,1,SwapActive_1432_Homesteader_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1432_0102_05_SliceSwap_CampDog_Off,TaskUnlockAchievement,,,1,SwapActive_1433_AEDog_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1432_0103_LostDog_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432_0103_00_SliceSwap_TempleDog_On,1432_0103_01_FollowTrail_Container,1432_0103_02_GoToPOI,1432_0103_03_Container_KillDryadsFindDog,
1432_0103_00_SliceSwap_TempleDog_On,TaskUnlockAchievement,,,1,SwapActive_1433_AEDog_01_OnOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1432_0103_01_FollowTrail_Container1,1432_0103_01_FollowTrail_Container2,,,
1432_0103_01_FollowTrail_Container1,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1432_0103_01_FollowTrail_Proximity1,1432_0103_01_FollowTrail_Proximity2,1432_0103_01_FollowTrail_Proximity3,1432_0103_01_FollowTrail_Proximity4,
1432_0103_01_FollowTrail_Proximity1,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail,,,1432_0103_DogPrintTrail_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10866.88 7968.68 172.77,,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Proximity2,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail2,,,1432_0103_DogPrintTrail2_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10905.29 7932.80 167.46,,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Proximity3,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail3,,,1432_0103_DogPrintTrail3_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10928.64 7901.17 165.28,,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Proximity4,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail4,,,1432_0103_DogPrintTrail4_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10942.05 7840.71 155.92,,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Container2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1432_0103_01_FollowTrail_Proximity5,1432_0103_01_FollowTrail_Proximity6,1432_0103_01_FollowTrail_Proximity7,1432_0103_01_FollowTrail_Proximity8,
1432_0103_01_FollowTrail_Proximity5,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail,,,1432_0103_DogPrintTrail_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10932.72 7805.55 155.68,,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Proximity6,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail2,,,1432_0103_DogPrintTrail2_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10907.79 7765.67 155.08,,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Proximity7,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail3,,,1432_0103_DogPrintTrail3_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10897.92 7734.10 155.37,,,,,,,,,,,,,,,,,
1432_0103_01_FollowTrail_Proximity8,TaskGameEvent,,,1,,,,,,,,,,,,,,,,,,IO_1432_0103_DogPrintTrail4,,,1432_0103_DogPrintTrail4_Interact,,,,,,,,,,,,,,,,,,,,@1432_0103_01_FollowTrail_Proximity,,10856.07 7689.00 157.96,,,,,,,,,,,,,,,,,
1432_0103_02_GoToPOI,TaskGoToPOITag,,,1,,,,,,true,,crater_feralruins_50375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@1432_0103_02_GoToPOI,,,,,,,,,,,,,,,,,,,
1432_0103_03_Container_KillDryadsFindDog,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1432_0103_03a_KillDryads,1432_0103_03b_TriggerVol_FindDog,,,
1432_0103_03a_KillDryads,TaskKillContribution,,,4,,,,,,true,,crater_feralruins_50375,,,,,,,,,,,,,AngryEarth,,,,,,,,,,,,,,,,,,,,@1432_0103_03a_KillDryads,,,,,,,,,,,,,,,,,,,
1432_0103_03b_TriggerVol_FindDog,TaskTriggerArea,,,1,,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_1432_FindDog,@1432_0103_03b_TriggerVol_FindDog,,10796.664 7704.53 162.28,,,,,,,,,,,,,,,,,
1432_0104_FoundDog_Container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432_0104_00_SliceSwap_CampScount_On,1432_0104_01a_GiveAndTakeItem,1432_0104_01b_HaveAndReturnItem,1432_0104_01c_task_leave_poi,1432_0104_02_Sliceswaps
