TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,KillEnemyType,TP_DescriptionTag,POITag,UIScreenTag,GameModeID,OverrideLocation,ItemDropVC
Quest_03194_Task_6_0_0,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,PurpleGuffinT3_S8,,@Quest_03194_Task_6_0_0_Description,,,,,
Quest_03194_Task_7,Quest_03194_Task_10,Quest_03194_Task_8,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03194_Task_8,Quest_03194_Task_9,Quest_03194_Task_9_0,Quest_03194_Task_16,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03194_Task_8_Description_0,,,,,
Quest_03194_Task_9,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,Ghost_Shackled_Named_05,@Quest_03194_Task_9_Description,,,DungeonAmrine,855.166016 795.117981 143.518997,
Quest_03194_Task_9_0,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,Withered_Brute_Named_08,@Quest_03194_Task_9_0_Description,,,DungeonAmrine,887.609009 902.950012 141.182007,
Quest_03194_Task_10,Quest_03194_Task_15,Quest_03194_Task_14,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03194_Task_14,,,,,,TASKHAVELEVEL,Enter,EarnSpendGoldInSingleTransaction,25,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03194_Task_14_Description,,,,,
Quest_03194_Task_9_1,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,Ghost_Shackled_Named_05,@Quest_03194_Task_9_1_Description,,,DungeonAmrine,,
Quest_03194_Task_9_0_0,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,Withered_Brute_Named_08,@Quest_03194_Task_9_0_0_Description,,,DungeonAmrine,,
Quest_03194_Task_15,Quest_03194_Task_9_1,Quest_03194_Task_9_0_0,Quest_03194_Task_16_0,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,
Quest_03194_Task_16,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,GreenGuffinT3_S8,,@Quest_03194_Task_16_Description,,,,,
Quest_03194_Task_16_0,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,GreenGuffinT3_S8,,@Quest_03194_Task_16_0_Description,,,,,
Quest_03194_Task_6_0_0_0,,,,,,TASKHAVEITEMS,Enter,EarnSpendGoldInSingleTransaction,8,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,YellowGuffinT3_S8,,@Quest_03194_Task_6_0_0_0_Description,,,,,
Quest_03194_Task_18,,,,,,TASKCRAFTMULTIPLERECIPES,Enter,EarnSpendGoldInSingleTransaction,5,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_03194_Task_18_Description,,,,,"WeaponsBoxT3,ArmorBoxT3,JewelryBoxT3,CombatConsumablesBoxT3,ToolsBoxT3,CutGemsBoxT3"
