TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,POITag,KillEnemyType,InteractTag,OverrideLocation,SubTask6,SubTask7,SubTask8,SubTask9,ItemName,ItemDropVC,GameModeID
Quest_28003_Task_12,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_12_Description,,Lost,,,,,,,,,
Quest_28003_Task_13,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_13_Description,,,,,,,,,17_IQ_03_FetidBlood,Lost,
Quest_28003_Task_15,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_15_Description,,17_IQ_03_BurnTent01,IO_17_IQ_03_BurnTent01,4971.574707 7057.009766 200.488693,,,,,,,
Quest_28003_Task_17,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_17_Description,,17_IQ_03_LockedCage,IO_17_IQ_03_LockedCage,5007.069824 7113.790039 235.619995,,,,,,,
Quest_28003_Task_18,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_18_Description,,17_IQ_03_SecondSeraphBrazier,IO_17_IQ_03_SecondSeraphBrazier,4877.906738 5238.707520 93.508904,,,,,,,
Quest_28003_Task_19,,,,,,TASKGAMEMODE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_19_Description,inquisition_hq_20219,,,4870.759766 5220.580078 93.798798,,,,,,,QuestSeraphim
Quest_28003_Task_20,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_20_Description,,Trial_Quest_Seraphim_Boss,,4895.379883 5167.720215 94.910004,,,,,,,
Quest_28003_Task_14,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_14_Description_0,,17_IQ_Corruption_Whisper_03,,,,,,,,,
Quest_28003_Task_21,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,0,10.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_21_Description,,,,,,,,,,,
Quest_28003_Task_6,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_28003_Task_6_Description_0,,17_IQ_03_CageKey,IO_17_IQ_03_CageKey,,,,,,,,
Quest_28003_Task_10,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28003_Task_10_Description_0,,,,,,,,,17_IQ_03_CageKey,,
Quest_28003_Task_16,,,,,,TASKGIVEITEM,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_28003_Task_16_Description_0,,,,,,,,,17_IQ_03_SeraphicTongue,,
Quest_28003_Task_22,Quest_28003_Task_20,Quest_28003_Task_23,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,,,,
Quest_28003_Task_23,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,Inquisitor_Warden_17DW01_20219,,,,,,,,,
