TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0625_0101_d_02_01_GatherAndReturn_5_DeliciousTruffles,TaskGatherAndReturnItems,,1,5,0625_0101_Truffle,0625_Truffle,100,,,,,,,true,,,,,,,IO_0625_Truffle,,,,,,,,,,,,,,,,,,,,,,,@0425_0101_truffles_gather_truffle,,9610.925 2567.040 78.743,,,,,,,,,,,
0625_0101_d_02_02_container_truffles_tasks,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0625_0101_d_02_02_01_Have_5_DeliciousTruffles,0625_0101_d_02_02_02_container_truffles_gather,,,
0625_0101_d_02_02_01_Have_5_DeliciousTruffles,TaskHaveItems,,,5,0625_0101_Truffle,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0625_0101_d_02_02_02_container_truffles_gather,PartialTaskContainer,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0425_0101_truffles_optional_gather_hyssop,,,,,,,,,0625_0101_d_02_02_02_01_GatherAndReturn_Herbs,0625_0101_d_02_02_02_02_GatherAndReturn_Berries,,,
0625_0101_d_02_02_02_01_GatherAndReturn_Herbs,TaskRequireGatherItems,,1,1,HerbT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0625_0101_d_02_02_02_02_GatherAndReturn_Berries,TaskRequireGatherItems,,1,1,BerryT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0625_0101_d_03_SliceSwap_0425_HerbalistPath_Off,TaskUnlockAchievement,,1,1,SwapActive_0425_HerbalistPath_Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0625_0101_d_04_SliceSwap_0425_HerbalistWWTown_On,TaskUnlockAchievement,,1,1,SwapActive_0425_HerbalistWWTown_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0604_0101_d_00_container_warnthemagistrate,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604_0101_d_01_transport_npc_note,0604_0101_d_02_have_npc_note,,,
0604_0101_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06_task_transport_generic,,,1,,,,,,,,,,
0604_0101_d_02_have_npc_note,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@06_task_transport_generic,,,1,,,,,,,,,,
0606_0102_d_00_container_hearthandhome,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0606_0102_d_01_interact_inn,,,,
0606_0102_d_01_interact_inn,TaskOpenUiScreen,,,1,,,,,,,,,,,,,,,,,,InnInteractMenu,,,,,,,,,,,,,,,,,,,,,,@0606_0102_hearthandhome_interact_inn,,,,,,,,,,,,,
0602_0102_d_00_container_intrototrader,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0606_0101_d_01_open_tradingpost,0606_0102_d_02_openUI_global_storage,,,
0606_0101_d_01_open_tradingpost,TaskOpenUiScreen,,,1,,,,,,,,,,,,,,,,,,Contracts,,,,,,,,,,,,,,,,,,,,,,@0606_0101_tradingpost_open_tradingpost,,,,,,,,,,,,,
0606_0102_d_02_openUI_global_storage,TaskInteract,,,1,,,,,,,,,,,,,,,,,SettlementStorage,,,,,,,,,,,,,,,,,,,,,,,@0606_0102_hearthandhome_openUI_global_storage,,,,,,,,,,,,,
0606_0101_d_00_container_tradingpost,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0603_0102_d_00_container_introtooverseer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603_0102_d_01_transport_npc_note,0603_0102_d_02_have_npc_note,,,
0603_0102_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06_task_transport_generic,,,1,,,,,,,,,,
0603_0102_d_02_have_npc_note,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@06_task_transport_generic,,,1,,,,,,,,,,
0604_0104_d_00_container_overseersettlement,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604_0104_d_01_container_overseersettlement_gather,0604_0104_d_02_container_overseersettlement_refine,,,
0604_0104_d_01_container_overseersettlement_gather,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0604_0104_d_01_01_TaskHaveItems_200_StoneT1,0604_0104_d_01_02_TaskHaveItems_40_RawhideT1,0604_0104_d_01_03_TaskHaveItems_200_WoodT1,,
0604_0104_d_01_01_TaskHaveItems_200_StoneT1,TaskHaveItems,,,40,StoneT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0604_0104_overseersettlement_gather_stone,,,,,,,,,,,,,
0604_0104_d_01_02_TaskHaveItems_40_RawhideT1,TaskHaveItems,,,16,RawhideT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0604_0104_overseersettlement_gather_rawhide,,,,,,,,,,,,,
0604_0104_d_01_03_TaskHaveItems_200_WoodT1,TaskHaveItems,,,40,WoodT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0604_0104_overseersettlement_gather_wood,,,,,,,,,,,,,
0604_0104_d_02_container_overseersettlement_refine,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0604_0104_d_02_01_TaskHaveAndReturnItems_20_TimberT2,0604_0104_d_02_02_TaskHaveAndReturnItems_20_BlockT2,0604_0104_d_02_03_TaskHaveAndReturnItems_4_LeatherT2,,
0604_0104_d_02_01_TaskHaveAndReturnItems_20_TimberT2,TaskHaveItems,,,10,TimberT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0604_0104_overseersettlement_craft_timber,,9339 2703 3.17,,,,,,,,,,,
0604_0104_d_02_02_TaskHaveAndReturnItems_20_BlockT2,TaskHaveItems,,,10,BlockT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0604_0104_overseersettlement_craft_block,,9348 2713 3.12,,,,,,,,,,,
0604_0104_d_02_03_TaskHaveAndReturnItems_4_LeatherT2,TaskHaveItems,,,4,LeatherT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0604_0104_overseersettlement_craft_leather,,9362 2658 3.02,,,,,,,,,,,
0604_0103_d_00_container_introtoartificer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0604_0103_d_01_transport_npc_note,0604_0103_d_02_have_npc_note,,,
0604_0103_d_01_transport_npc_note,TaskGiveAndTakeItem,,,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06_task_transport_generic,,,1,,,,,,,,,,
0604_0103_d_02_have_npc_note,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@06_task_transport_generic,,,1,,,,,,,,,,
0605_0101_d_00_container_craftforartificer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0605_0101_d_01_GiveItem_ArtificerResourceContainer1,0605_0101_d_02_container_craftforartificer_tasks,0605_0101_d_03_HaveItems_9_IngotT2,0605_0101_d_04_CraftRecipe,0605_0101_d_05_TaskHaveItems_1_1hSwordT2
0605_0101_d_01_GiveItem_ArtificerResourceContainer1,TaskGiveItem,,1,1,ArtificerResourceContainer1,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0605_0101_d_02_container_craftforartificer_tasks,PartialTaskContainer,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0605_0101_d_02_01_container_craftforartificer_tasks_ore,0605_0101_d_02_02_TaskHaveItems_1_IngotT2,,,
0605_0101_d_02_01_container_craftforartificer_tasks_ore,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@objective_gatherironore,,,,,,,,,0605_0101_d_02_01_01_HaveItems_90_Ore,,,,
0605_0101_d_02_01_01_HaveItems_90_Ore,TaskHaveItems,,,90,OreT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0605_0101_d_01_task,,,,,,,,,,,,,
0605_0101_d_02_02_TaskHaveItems_1_IngotT2,TaskHaveItems,,,1,IngotT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0605_0101_d_03_HaveItems_9_IngotT2,TaskHaveItems,,,9,IngotT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0605_0101_d_02_task,,9327 2693 3.05,,,,,,,,,,,
0605_0101_d_04_CraftRecipe,TaskCraftWeaponFamily,,1,1,1hSwordT2,,,,,,,,,,,,,,SwordAbilityTable,,,,,,,,,,,,,,,,,,,,,,,,,@0605_0101_d_03_task,,9337 2720 3.03,,,,,,,,,,,
0605_0101_d_05_TaskHaveItems_1_1hSwordT2,TaskHaveItems,,,1,1hSwordT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9337 2720 3.03,1,,,,,,,,,,
0605_0102_d_00_container_campingunlock,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0605_0102_d_01_transport_npc_note,0605_0102_d_02_have_npc_note,,,
0605_0102_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06_task_transport_generic,,,1,,,,,,,,,,
0605_0102_d_02_have_npc_note,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@06_task_transport_generic,,,1,,,,,,,,,,
0603_0201_d_00_container_survivalistquest,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0603_0201_d_01_survivalistquest_makeCamp,0603_0201_d_02_container_survivalistquest_wolfDens,,,
0603_0201_d_01_survivalistquest_makeCamp,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,,,,MakeCamp,,,,,,,,,,,,,,,,,,,,@0603_0201_survivalistquest_makecamp,,,,,,,,,,,,,
0603_0201_d_02_container_survivalistquest_wolfDens,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0603_0201_d_02_01_TaskGoToPOITag_alphawolf_den_40118,0603_0201_d_02_02_survivalistquest_kill_5_Wolf_alphawolf_den_40118,0603_0201_d_02_03_TaskGoToPOITag_alphawolf_den_40119,0603_0201_d_02_04_TaskHaveAndReturnItems_4_MI_CoarseWolfHairs_Wolf,
0603_0201_d_02_01_TaskGoToPOITag_alphawolf_den_40118,TaskGoToPOITag,,1,,,,,,,,alphawolf_den_40118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06_task_travelto_POITag_generic,,,,,,,,,,,,,
0603_0201_d_02_02_survivalistquest_kill_5_Wolf_alphawolf_den_40118,TaskKillContribution,,1,5,,,,,,,alphawolf_den_40118,,,,,,,,,,,,,Wolf_Grey_06SW05,,,,,,,,,,,,,,,,,,,,@06_task_cull_enemies_generic,,,,,,,,,,,,,
0603_0201_d_02_03_TaskGoToPOITag_alphawolf_den_40119,TaskGoToPOITag,,1,,,,,,,,alphawolf_den_40119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@06_task_travelto_POITag_generic,,,,,,,,,,,,,
0603_0201_d_02_04_TaskHaveAndReturnItems_4_MI_CoarseWolfHairs_Wolf,TaskHaveAndReturnItems,,1,5,0603_0201_CoarseWolfHairs,Wolf_Timber_06SW05,100,,true,,alphawolf_den_40119,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0603_0201_survivalistquest_skin_target,,,,,,,,,,,,,
