TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
06A_MSQ_03_VisitMarket_triggerForWhispers,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Leave,,,,,,,,,,,,,,,,,,,,06A_MSQ_03_Whisper_Trigger,@0612_MSQ_03_VaultTutorial_TavernEnter_Desc,,9297.941406 2661.504883 83.302666,,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_whispers,TaskTriggerGameEvent,,,,1,,,,,,,,,,,,,,,,,,,,06A_WW_whisper_01_interact,,,,,,,,,,,,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_swapSaatvik01Off,06A_MSQ_03_VisitMarket_swapSaatvik02On,06A_MSQ_10_TalkToSpeaker_swapGrace01Off,06A_MSQ_10_TalkToSpeaker_swapGrace05On,
06A_MSQ_03_VisitMarket_swapSaatvik01Off,TaskLockAchievement,,,,1,SwapActive_06_SaatvikAgrawal_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_swapSaatvik02On,TaskUnlockAchievement,,,,1,SwapActive_06_SaatvikAgrawal_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_10_TalkToSpeaker_swapGrace01Off,TaskUnlockAchievement,,,,1,SwapActive_06_GraceWW_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_10_TalkToSpeaker_swapGrace05On,TaskUnlockAchievement,,,,1,SwapActive_06_GraceWW_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_bard_IGC_setup_container,06A_MSQ_03_VisitMarket_bard_IGC_CinematicTimer,06A_MSQ_03_VisitMarket_bard_IGC_Watched,06A_MSQ_03_VisitMarket_bard_swapIn,
06A_MSQ_03_VisitMarket_bard_IGC_setup_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_bard_IGC_TriggerPreLoop,06A_MSQ_03_VisitMarket_bard_IGC_StartPreloop,06A_MSQ_03_VisitMarket_bard_IGC_TriggerSing,06A_MSQ_03_VisitMarket_bard_IGC_StartSing,
06A_MSQ_03_VisitMarket_bard_IGC_TriggerPreLoop,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQIGC_BardSinging_Preloop,@0612_MSQ_03_VaultTutorial_TavernEnter_Desc,,9297.941406 2661.504883 83.302666,,,true,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_IGC_StartPreloop,TaskUnlockAchievement,,,,1,Preloop_IGC_BardSingingWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_IGC_TriggerSing,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQIGC_BardSinging_Main,@0612_MSQ_03_VaultTutorial_WatchShow_Desc,,9292.865234 2668.829102 83.308655,,,true,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_IGC_StartSing,TaskUnlockAchievement,,,,1,Start_IGC_BardSingingWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_IGC_CinematicTimer,TaskCutsceneComplete,,,,1,06A_MSQ_03_BardSinging_WW_IGC,,,,,,,,,,,,,,,,,,Leave,,,,,,,,,,,,,,,,,,,,SeeSpeaker_IGC_Trigger,@06A_MSQ_01_TalkToSpeaker_talk_Francis,,9377.0 2772.0 89.0,,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_IGC_PlayContainer,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_03_VisitMarket_bard_IGC_SwapTimer,06A_MSQ_03_VisitMarket_bard_IGC_EscSkipHUDCheck,,,
06A_MSQ_03_VisitMarket_bard_IGC_SwapTimer,TaskTimer,,,,1,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_IGC_EscSkipHUDCheck,TaskOpenUiScreen,,,,1,,,,,,,,,,,,,,,,,,HUD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_IGC_Watched,TaskUnlockAchievement,,,,1,Watched_IGC_BardSingingWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_bard_swapIn,TaskUnlockAchievement,,,,1,SwapActive_0612_StillwaterRoseWW_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_03_VisitMarket_talkBard,TaskConversationTopic,,,,,0612_StillwaterRose_p01,,,,,,,,,,,,,,,,,0612_TalkBard,,,,,,,,,,,,,,,,,,,,,,@0612_MSQ_03_VaultTutorial_TalkBard_Desc,,,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_05_FixWindmills_reset_container,06A_MSQ_05_FixWindmills_swap_container,06A_MSQ_05_FixWindmills_interact_container,06A_MSQ_05_FixWindmills_CartTrigger,06A_MSQ_05_FixWindmills_interact_cart
06A_MSQ_05_FixWindmills_reset_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_swapSaatvik02On_reset,06A_MSQ_05_FixWindmills_talk_Saatvik,,,
06A_MSQ_05_FixWindmills_swapSaatvik02On_reset,TaskUnlockAchievement,,,,1,SwapActive_06_SaatvikAgrawal_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_talk_Saatvik,TaskConversationTopic,,,,,06_SaatvikAgrawal02,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_SaatvikAgrawal_Windmills,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_talk_Saatvik,,,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_swap_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_swapMarcel01Off,06A_MSQ_05_FixWindmills_swapMarcel02On,,,
06A_MSQ_05_FixWindmills_swapMarcel01Off,TaskUnlockAchievement,,,,1,SwapActive_06_MarcelDupont_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_swapMarcel02On,TaskUnlockAchievement,,,,1,SwapActive_06_MarcelDupont_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_interact_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_firstWindmill_container,06A_MSQ_05_FixWindmills_secondWindmill_container,06A_MSQ_05_FixWindmills_haveItem_grainsack,06A_MSQ_05_FixWindmills_haveItem_veggiecrate,
06A_MSQ_05_FixWindmills_firstWindmill_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_interact_windmillA,06A_MSQ_05_FixWindmills_unlock_animationA,,,
06A_MSQ_05_FixWindmills_interact_windmillA,TaskGameEvent,,,,1,06A_MSQ_05_windmillTurnA,,,,,,withered_farm_1_40102,,,,,,,,,,IO_06A_MSQ_05_windmillA,,,IO_06A_MSQ_05_windmillA_interact,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_interact_windmillA,,9016.48 2858.87 59.87,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_unlock_animationA,TaskUnlockAchievement,,,,1,Unlock_Animation_WindmillA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_secondWindmill_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_05_FixWindmills_interact_windmillB,06A_MSQ_05_FixWindmills_unlock_animationB,,,
06A_MSQ_05_FixWindmills_interact_windmillB,TaskGameEvent,,,,1,06A_MSQ_05_windmillTurnB,,,,,,withered_farm_1_40102,,,,,,,,,,IO_06A_MSQ_05_windmillB,,,IO_06A_MSQ_05_windmillB_interact,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_interact_windmillB,,9029.29 2970.59 60.21,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_unlock_animationB,TaskUnlockAchievement,,,,1,Unlock_Animation_WindmillB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_haveItem_grainsack,TaskHaveAndReturnItems,,,,3,06A_MSQ_05_grainSacks,06A_MSQ_05_grainSack,100,,,,withered_farm_1_40102,,,true,,,,,,,IO_06A_MSQ_05_grain,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_haveItem_grainsack,,,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_haveItem_veggiecrate,TaskHaveAndReturnItems,,,,5,06A_MSQ_05_veggieCrate,06A_MSQ_05_FoodCrate,100,,,,withered_farm_1_40102,,,true,,,,,,,IO_06A_MSQ_05_FoodCrate,,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_haveItem_veggiecrate,,,,,,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_CartTrigger,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,Saatvik_FarmCart_Trigger,@06A_MSQ_05_FixWindmills_goto_cart,,9080.46 2850.19 56.76,,,true,,,,,,,,,,,,,,
06A_MSQ_05_FixWindmills_interact_cart,TaskGameEvent,,,,1,06A_MSQ_05_foodCart,,,,,,withered_farm_1_40102,,,,,,,,,,IO_06A_MSQ_05_cart,,,IO_06A_MSQ_05_cart_interact,,,,,,,,,,,,,,,,,,,,@06A_MSQ_05_FixWindmills_interact_cart,,9080.64 2845.81 56.34,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_RESET1_container,06A_MSQ_06_RescueFarmers_RESET2_container,06A_MSQ_06_RescueFarmers_tasks_container,06A_MSQ_06_RescueFarmers_CartTrigger,06A_MSQ_06_RescueFarmers_talk_container
06A_MSQ_06_RescueFarmers_RESET1_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_reset_swapLijsbet01On,06A_MSQ_06_RescueFarmers_reset_swapLijsbet02Off,06A_MSQ_06_RescueFarmers_reset_swapMichael01On,06A_MSQ_06_RescueFarmers_reset_swapMichael02Off,
06A_MSQ_06_RescueFarmers_reset_swapLijsbet01On,TaskLockAchievement,,,,,SwapActive_06_LijsbetDeVries_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_reset_swapLijsbet02Off,TaskLockAchievement,,,,,SwapActive_06_LijsbetDeVries_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_reset_swapMichael01On,TaskLockAchievement,,,,,SwapActive_06_MichaelLewis_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_reset_swapMichael02Off,TaskLockAchievement,,,,,SwapActive_06_MichaelLewis_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_RESET2_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_reset_swapNessa01On,06A_MSQ_06_RescueFarmers_reset_swapNessa02Off,06A_MSQ_06_RescueFarmers_reset_unlock_cinematic,06A_MSQ_06_RescueFarmers_reset_watched_cinematic,
06A_MSQ_06_RescueFarmers_reset_swapNessa01On,TaskLockAchievement,,,,,SwapActive_06_Nessa_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_reset_swapNessa02Off,TaskLockAchievement,,,,,SwapActive_06_Nessa_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_reset_unlock_cinematic,TaskLockAchievement,,,,,06_MedeasTributeCinematic_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_reset_watched_cinematic,TaskLockAchievement,,,,,Cinematic_MedeasTribute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_tasks_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_rescue_container,06A_MSQ_06_RescueFarmers_gather_veggies,,,
06A_MSQ_06_RescueFarmers_rescue_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_Lijsbet_container,06A_MSQ_06_RescueFarmers_Michael_container,06A_MSQ_06_RescueFarmers_Nessa_container,,
06A_MSQ_06_RescueFarmers_Lijsbet_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_rescue_Lijsbet,06A_MSQ_06_RescueFarmers_swapLijsbet01Off,06A_MSQ_06_RescueFarmers_swapLijsbet02On,,
06A_MSQ_06_RescueFarmers_rescue_Lijsbet,TaskConversationTopic,,,,1,06_LijsbetDeVries01,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_LijsbetDeVries_Trapped,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_rescue_Lijsbet,,,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapLijsbet01Off,TaskUnlockAchievement,,,,1,SwapActive_06_LijsbetDeVries_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapLijsbet02On,TaskUnlockAchievement,,,,1,SwapActive_06_LijsbetDeVries_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_Michael_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,06A_MSQ_06_RescueFarmers_rescue_Michael,06A_MSQ_06_RescueFarmers_swapMichael01Off,06A_MSQ_06_RescueFarmers_swapMichael02On,,
06A_MSQ_06_RescueFarmers_rescue_Michael,TaskConversationTopic,,,,1,06_MichaelLewis01,,,,true,,withered_farm_1_40102,,,,,,,,,,,06_MichaelLewis_Trapped,,,,,,,,,,,,,,,,,,,,,,@06A_MSQ_06_RescueFarmers_rescue_Michael,,,,,,,,,,,,,,,,,,,
06A_MSQ_06_RescueFarmers_swapMichael01Off,TaskUnlockAchievement,,,,1,SwapActive_06_MichaelLewis_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
