TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
0202_0101_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0101_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0202_0101_d_02_Container_BlindingLight,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0202_0101_d_02_01_Task_Kill,0202_0101_d_02_02_Task_Fetch,,,
0202_0101_d_02_01_Task_Kill,TaskKillContribution,,1,1,,,,,true,,abandoned_village_40328,,,,,,,,,,,,,Undead_Hunter_Named_00,,,,,,,,,,,,,,,,,,,,@0202_0101_d_03_Task_Kill,,,,,,,,,,,,,,,,,,,
0202_0101_d_02_02_Task_Fetch,TaskGatherAndReturnItems,,1,1,0202_0101_InquisitorsTools,0202_0101_Inquisitor,100,,true,,abandoned_village_40328,,,true,,,,,,,IO_0202_0101_Inquisitor,,,,,,,,,,,,,,,,,,,,,,,@0202_0101_d_02_Task_Fetch,,10005.94 6530.87 266.60,,,,,,,,,,,,,,,,,
0202_0102_d_00_Container_PreacherJohannes,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0202_0102_d_01_Container_PreacherJohannes,0202_0102_d_02_Container_PreacherJohannes,,,
0202_0102_d_01_Container_PreacherJohannes,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0202_0102_d_01_01_Task_Goto,0202_0102_d_01_02_Task_Fetch,,,
0202_0102_d_01_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0102_d_03_Task_Goto,,,,,,,,,,,,,,,,,,,
0202_0102_d_01_02_Task_Fetch,TaskHaveAndReturnItems,,1,3,0202_0102_BrackwaterRitebook,,,100,true,,abandoned_village_40260,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0102_d_04_Task_Fetch,,,,,,,,,,,,,,,,,,,
0202_0102_d_02_Container_PreacherJohannes,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0202_0102_d_02_01_Task_Goto,0202_0102_d_02_02_Task_KillToken,,,
0202_0102_d_02_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0102_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0202_0102_d_02_02_Task_KillToken,TaskHaveAndReturnItems,,1,5,0202_0102_AzothStainedAmulet,Anointed,85,,false,,abandoned_village_40261,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0102_d_02_Task_KillToken,,,,,,,,,,,,,,,,,,,
0210_0101_d_00_Container_UnholyGreenThumb,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0210_0101_d_01_Container_UnholyGreenThumb,0210_0101_d_02_Container_UnholyGreenThumb,0210_0101_d_03_Container_UnholyGreenThumb,0210_0101_d_04_Container_UnholyGreenThumb,
0210_0101_d_01_Container_UnholyGreenThumb,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0210_0101_d_01_01_Task_Goto,0210_0101_d_01_02_Task_KillToken,,,
0210_0101_d_01_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_Task_Goto,,,,,,,,,,,,,,,,,,,
0210_0101_d_01_02_Task_KillToken,TaskHaveAndReturnItems,,1,2,0210_0101_BrackwaterSoil,Undead,85,,true,,abandoned_village_40260,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_0101_d_02_Task_KillToken,,,,,,,,,,,,,,,,,,,
0210_0101_d_02_Container_UnholyGreenThumb,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0210_0101_d_02_01_Task_Goto,0210_0101_d_02_02_Task_KillToken,,,
0210_0101_d_02_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_Task_Goto,,,,,,,,,,,,,,,,,,,
0210_0101_d_02_02_Task_KillToken,TaskHaveAndReturnItems,,1,2,0210_0101_PiousSoil,Anguished,85,,true,,abandoned_village_40256,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_0101_d_01_Task_KillToken,,,,,,,,,,,,,,,,,,,
0210_0101_d_03_Container_UnholyGreenThumb,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0210_0101_d_03_01_Task_Goto,0210_0101_d_03_02_Task_KillToken,,,
0210_0101_d_03_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_Task_Goto,,,,,,,,,,,,,,,,,,,
0210_0101_d_03_02_Task_KillToken,TaskHaveAndReturnItems,,1,2,0210_0101_TerminusSoil,Ebonsoul,85,,true,,abandoned_village_40254,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_0101_d_03_Task_KillToken,,,,,,,,,,,,,,,,,,,
0210_0101_d_04_Container_UnholyGreenThumb,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0210_0101_d_04_01_Task_Goto,0210_0101_d_04_02_Task_KillToken,,,
0210_0101_d_04_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_Task_Goto,,,,,,,,,,,,,,,,,,,
0210_0101_d_04_02_Task_KillToken,TaskHaveAndReturnItems,,1,1,0210_0101_RootedSoil,Undead_Javelineer_Named_02,100,,true,,abandoned_village_40253,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_0101_d_04_Task_KillToken,,9730. 5782.922 205.639,,,,,,,,,,,,,,,,,
0202_0103_d_00_Container_HeldBelowtheSurface,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0202_0103_d_01_Container_HeldBelowtheSurface,0202_0103_d_02_Container_HeldBelowtheSurface,,,
0202_0103_d_01_Container_HeldBelowtheSurface,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0202_0103_d_01_01_Task_Goto,0202_0103_d_01_01_Task_KillToken,,,
0202_0103_d_01_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_village_40263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0103_d_03_Task_Goto,,,,,,,,,,,,,,,,,,,
0202_0103_d_01_01_Task_KillToken,TaskHaveAndReturnItems,,1,4,0202_0103_SoulCandle,Anointed,100,,,,abandoned_village_40263,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0103_d_04_Task_KillToken,,,,,,,,,,,,,,,,,,,
0202_0103_d_02_Container_HeldBelowtheSurface,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0202_0103_d_02_01_Task_Goto,0202_0103_d_02_02_Task_KillToken,,,
0202_0103_d_02_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,graveyard_40327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0103_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0202_0103_d_02_02_Task_KillToken,TaskHaveAndReturnItems,,1,1,0202_0104_MatthiassMedallion,Undead_GraveDigger_Named_02,100,,true,,graveyard_40327,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0202_0103_d_02_Task_KillToken,,,,,,,,,,,,,,,,,,,
0203_0101_d_00_Container_PocketfulofMemories,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0203_0101_d_01_Task_Goto,0203_0101_d_01a_Container_PocketfulofMemories,,,
0203_0101_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,ancient_ruins_40214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0203_0101_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0203_0101_d_01a_Container_PocketfulofMemories,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0203_0101_d_02_Task_KillToken,0203_0101_d_03_Task_Fetch,,,
0203_0101_d_02_Task_KillToken,TaskHaveAndReturnItems,,1,3,0203_0101_FragrantSatchels,Bronzeroot,100,,true,,ancient_ruins_40214,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0203_0101_d_02_Task_KillToken,,,,,,,,,,,,,,,,,,,
0203_0101_d_03_Task_Fetch,TaskHaveAndReturnItems,,1,3,MI_Alkahest,,,100,true,,ancient_ruins_40214,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0203_0101_d_03_Task_Fetch,,,,,,,,,,,,,,,,,,,
0203_0102_d_00_Container_AncientProblemsAncientSolutions,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0203_0102_d_01_Task_Goto,0203_0102_d_02_Container_AncientProblemsAncientSolutions,,,
0203_0102_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,cave_40248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0203_0102_d_02_Task_Goto,,,,,,,,,,,,,,,,,,,
0203_0102_d_02_Container_AncientProblemsAncientSolutions,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0203_0102_d_02_01_Task_KillToken,0203_0102_d_02_02_Task_Gather,0203_0102_d_02_03_Task_KillToken,,
0203_0102_d_02_01_Task_KillToken,TaskHaveAndReturnItems,,1,2,0203_0103_VerdantAncientPeatMoss,,,100,true,,cave_40248,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0203_0102_d_01_Task_KillToken,,,,,,,,,,,,,,,,,,,
0203_0102_d_02_02_Task_Gather,TaskGatherAndReturnItems,,1,4,0203_0103_LushAncientPeatMoss,0203_MossPuffball,100,,true,,cave_40248,,,true,,,,,,,IO_0203_MossPuffball,,,,,,,,,,,,,,,,,,,,,,,@0203_0102_d_02_Task_Gather,,,,,,,,,,,,,,,,,,,
0203_0102_d_02_03_Task_KillToken,TaskHaveAndReturnItems,,1,1,MI_BrightwoodEitr,Dryad_Shaman_Named_00,100,,true,,cave_40248,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0203_0102_d_03_Task_KillToken,,,,,,,,,,,,,,,,,,,
0205_0101_d_00_Container_RuinousLabor,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0205_0101_d_01_Task_Goto,0205_0101_d_02_Container_RuinousLabor,0205_0101_d_03_Task_Goto,0205_0101_d_04_Task_KillToken,
0205_0101_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,lumbermill_40202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0101_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0205_0101_d_02_Container_RuinousLabor,SimpleTaskContainer,,,,,,,,,,lumbermill_40202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0101_d_02_Container_RuinousLabor,,,1,,,,,,,,,,,,0205_0101_d_02_01_Task_KillToken,0205_0101_d_02_02_Task_KillToken,,,
0205_0101_d_02_01_Task_KillToken,TaskHaveAndReturnItems,,1,10,0205_0101_CorruptedTools,Ripsaw,100,,true,,lumbermill_40202,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0101_d_02_01_Task_KillToken,,,,,,,,,,,,,,,,,,,
0205_0101_d_02_02_Task_KillToken,TaskHaveAndReturnItems,,1,1,0205_0101_InhumaneWorkOrder,Damned_1H_Swordsman_M_Named_02,100,,true,,lumbermill_40202,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0101_d_02_02_Task_KillToken,,9277.0 5805.0 188.0,,,,,,,,,,,,,,,,,
0205_0101_d_03_Task_Goto,TaskGoToPOITag,,1,,,,,,,,corrupted_camp_40335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0205_0101_d_03_Task_Goto,,,,,,,,,,,,,,,,,,,
0205_0101_d_04_Task_KillToken,TaskKillContribution,,1,6,,,,,true,,corrupted_camp_40335,,,true,,,,,,,,,,Damned_Villager_Pickaxe_02BW05,,,,,,,,,,,,,,,,,,,,@0205_0101_d_04_Task_Kill,,,,,,,,,,,,,,,,,,,
0204_0102_d_00_Container_OfOurOwnFleshandBlood,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0204_0102_d_01_Task_Goto,0204_0102_d_02_Task_Gather,,,
0204_0102_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,abandoned_farm_village_40251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0102_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0204_0102_d_02_Task_Gather,TaskGatherAndReturnItems,,1,6,0204_0102_SinanovicSoil,0202_BoneDirtPile,100,,true,,abandoned_farm_village_40251,,,true,,,,,,,IO_0202_BoneDirtPile,,,,,,,,,,,,,,,,,,,,,,,@0204_0102_d_02_Task_Gather,,,,,,,,,,,,,,,,,,,
0204_0103_d_00_Container_IsleofMadness,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0204_0103_d_01_Task_Goto,0204_0103_d_01a_Container_IsleofMadness,,,
0204_0103_d_01_Task_Goto,TaskGoToPOITag,,1,,,,,,,,brightwoodsisle_40221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0103_d_01_Task_Goto,,,,,,,,,,,,,,,,,,,
0204_0103_d_01a_Container_IsleofMadness,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0204_0103_d_02_Task_Fetch,0204_0103_d_03_Task_Kill,0204_0103_d_04_Task_KillToken,,
0204_0103_d_02_Task_Fetch,TaskHaveAndReturnItems,,1,8,0204_0104_MadAlchemistScribbles,,,100,true,,brightwoodsisle_40221,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0103_d_02_Task_Fetch,,,,,,,,,,,,,,,,,,,
0204_0103_d_03_Task_Kill,TaskKillContribution,,1,1,,,,,true,,brightwoodsisle_40221,,,,,,,,,,,,,Ghost_Shackled_Named_00,,,,,,,,,,,,,,,,,,,,@0204_0103_d_03_Task_Kill,,,,,,,,,,,,,,,,,,,
0204_0103_d_04_Task_KillToken,TaskHaveAndReturnItems,,1,8,MI_AlchemistKit,Alchemical,85,,true,,brightwoodsisle_40221,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0204_0103_d_04_Task_KillToken,,,,,,,,,,,,,,,,,,,
0210_0102_d_00_Container_ReapersLocus,SimpleTaskContainer,,,,,,,,,,shattered_obelisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0210_0102_d_01_TaskGoto,0210_0102_d_02_TaskLocus,,,
0210_0102_d_01_TaskGoto,TaskGameMode,,1,,,,,,true,,,DungeonShatteredObelisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_0102_d_01_TaskGoto,,,,,,,,,,,,,,,,,,,
0210_0102_d_02_TaskLocus,TaskHaveAndReturnItems,,1,1,0210_0102_ReapersLocus,AncientGuardian_Mage_Named_DG_Everfall_00,100,,,,,DungeonShatteredObelisk,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0210_0102_d_02_TaskLocus,,,,,,,,,,,,,,,,,,,
0202_0104_d_00_Container_Weavers_Vector,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0202_0104_d_01_transport_npc_note,0202_0104_d_02_have_npc_note,,,
0202_0104_d_01_transport_npc_note,TaskGiveAndTakeItem,,1,1,MI_SummonsNote,,,100,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@09_task_transport_generic,,,1,,,,,,,,,,,,,,,,
0202_0104_d_02_have_npc_note,TaskHaveAndReturnItems,,1,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,@09_task_transport_generic,,,1,,,,,,,,,,,,,,,,
0230_0201_d_00_Container_bellyofcorrupted,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0230_0201_d_01_GoToPOI,0230_0201_d_01a_Container_bellyofcorrupted,,,
0230_0201_d_01_GoToPOI,TaskGoToPOITag,,1,,,,,,,,corrupted_camp_40335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0230_0201_goto,,,,,,,,,,,,,,,,,,,
0230_0201_d_01a_Container_bellyofcorrupted,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0230_0201_d_02_Kill_Hunters,0230_0201_d_03_Loot_Butchers,,,
0230_0201_d_02_Kill_Hunters,TaskKillContribution,,1,3,,,,,true,,corrupted_camp_40335,,,,,,,,,,,,,Damned_Villager_AxeThrower_02BW05,,,,,,,,,,,,,,,,,,,,@0230_0201_kill_hunters,,,,,,,,,,,,,,,,,,,
0230_0201_d_03_Loot_Butchers,TaskHaveAndReturnItems,,1,2,0230_0201_RustheartRation,Damned_Villager_Cleaver_02BW05,100,,true,,corrupted_camp_40335,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0230_0201_loot_butcher,,,,,,,,,,,,,,,,,,,
0230_0202_d_00_Container_infernalarmaments,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0230_0202_d_01_GoToPOI,0230_0202_d_01a_Container_infernal,,,
0230_0202_d_01_GoToPOI,TaskGoToPOITag,,1,,,,,,,,corrupted_camp_40336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0230_0202_goto,,,,,,,,,,,,,,,,,,,
0230_0202_d_01a_Container_infernal,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0230_0202_d_02_kill_mercs,0230_0202_d_03_kill_miners,0230_0202_d_04_loot_armaments,,
0230_0202_d_02_kill_mercs,TaskKillContribution,,1,2,,,,,true,,corrupted_camp_40336,,,,,,,,,,,,,Damned_1H_Swordsman_M-F_02BW05,,,,,,,,,,,,,,,,,,,,@0230_0202_kill_mercs,,,,,,,,,,,,,,,,,,,
0230_0202_d_03_kill_miners,TaskKillContribution,,1,8,,,,,true,,corrupted_camp_40336,,,,,,,,,,,,,Damned_Villager_Pickaxe_02BW05,,,,,,,,,,,,,,,,,,,,@0230_0202_kill_miners,,,,,,,,,,,,,,,,,,,
0230_0202_d_04_loot_armaments,TaskHaveAndReturnItems,,1,4,0230_0202_RustheartArmaments,,,100,true,,corrupted_camp_40336,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0230_0202_loot_chests,,,,,,,,,,,,,,,,,,,
0230_0203_d_00_Container_blacksmithbetrayer,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0230_0203_d_01_GoToPOI,0230_0203_d_01a_Container_blacksmith,,,
0230_0203_d_01_GoToPOI,TaskGoToPOITag,,1,,,,,,,,mine_40306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0230_0203_goto,,,,,,,,,,,,,,,,,,,
0230_0203_d_01a_Container_blacksmith,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0230_0203_d_02_loot_weapon_designs,0230_0203_d_03_kill_mccoy,,,
0230_0203_d_02_loot_weapon_designs,TaskHaveAndReturnItems,,1,7,0230_0203_MccoysWeaponDesigns,,,100,true,,mine_40306,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@0230_0203_loot_chests,,,,,,,,,,,,,,,,,,,
0230_0203_d_03_kill_mccoy,TaskKillContribution,,1,1,,,,,true,,mine_40306,,,,,,,,,,,,,Damned_GreatHammer_Named_01,,,,,,,,,,,,,,,,,,,,@0230_0203_kill_mccoy,,,,,,,,,,,,,,,,,,,
0231_0201_d_00_Container_locationscout,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0231_0201_d_01_place_easel,0231_0201_d_02_place_easel,0231_0201_d_03_place_easel,,
0231_0201_d_01_place_easel,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,IO_0231_WolcottsEaselA,,,0231_WolcottsEaselA_interact,,,,,,,,,,,,,,,,,,,,@0231_0201_placeEasel1,,9982.0 6344.0 231.03,,,,,,,,,,,,,,,,,
0231_0201_d_02_place_easel,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,IO_0231_WolcottsEaselB,,,0231_WolcottsEaselB_interact,,,,,,,,,,,,,,,,,,,,@0231_0201_placeEasel2,,10243.14 5640.72 172.98,,,,,,,,,,,,,,,,,
