TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,TP_DescriptionTag,POITag,TP_TargetTag,OverrideLocation,KillEnemyType,InteractTag
Quest_16026_Task_11,Quest_16026_Task_12,Quest_16026_Task_12_0,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16026_Task_11_Description,,,,,
Quest_16026_Task_11_0,Quest_16026_Task_12_1,Quest_16026_Task_12_0_0,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16026_Task_11_0_Description,,,,,
Quest_16026_Task_12,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,2,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16026_Task_12_Description,,,,17_ZQURU2_SearchTentMap_interact,IO_17_ZQURU2_SearchTentMap
Quest_16026_Task_12_0,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,3,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,@Quest_16026_Task_12_0_Description,,,,17_ZQURU2_SearchTentPapers_interact,IO_17_ZQURU2_SearchTentPapers
Quest_16026_Task_12_1,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,0.000000,0,,@Quest_16026_Task_12_1_Description,,,,17_ZQURU2_SearchTentMap_interact,IO_17_ZQURU2_SearchTentMap
Quest_16026_Task_12_0_0,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,false,0.000000,0,,@Quest_16026_Task_12_0_0_Description,,,,17_ZQURU2_SearchTentPapers_interact,IO_17_ZQURU2_SearchTentPapers
Quest_16026_Task_13,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_ZQURU2_JudgementOutwatchUp_hint,
Quest_16026_Task_14,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16026_Task_14_Description,,TV_17ZQURU2_SearchTower1,4459.175781 7073.409180 170.332993,,
Quest_16026_Task_14_0,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16026_Task_14_0_Description,,TV_17ZQURU2_SearchTower2,4448.604004 7080.587891 189.143997,,
Quest_16026_Task_14_0_0,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16026_Task_14_0_0_Description,,TV_17ZQURU2_EscapeCave,4465.350098 7079.919922 188.518997,,IO_17_ZQURU2_PortkeyLettersTD
Quest_16026_Task_15,,,,,,,,,,,,,,,,TASKTIMER,Enter,EarnSpendGoldInSingleTransaction,1,2.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,
Quest_16026_Task_16,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,17_ZQURU2_WasTrap_hint,
Quest_16026_Task_4_0,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,,@Quest_16026_Task_4_0_Description,,TV_17ZQURU2_SearchJudgement,4486.595215 7080.279785 157.000000,,
Quest_16026_Task_13_0,,,,,,,,,,,,,,,,TASKTRIGGERGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,@Quest_16026_Task_13_0_Description,,,,17_ZQURU2_JudgementNotWorking_hint,
Quest_16026_Task_5,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_08_02,@Quest_16026_Task_5_Description_0,,,4477.000000 7066.000000 157.315002,,
Quest_16026_Task_17,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,Lore_unlock_17_ZQU_Title_08_01,@Quest_16026_Task_17_Description,,,4231.519043 7013.034180 184.968994,,
