TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,ItemName,UIScreenTag,TP_DescriptionTag,POITag,ItemDropVC,KillEnemyType,TP_TargetTag,OverrideLocation,InteractTag
Quest_18010_Task_9,Quest_18010_Task_24,Quest_18010_Task_16,,,,,CONSECUTIVETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18010_Task_10,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_10_Description,,,17_MSQ_BoardWindowA_Interact,,2668.083008 4475.125977 55.623001,IO_17_MSQ_BoardWindowA
Quest_18010_Task_11,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_11_Description_0,,,17_MSQ_BoardWindowB_Interact,,2668.009033 4475.086914 56.324001,IO_17_MSQ_BoardWindowB
Quest_18010_Task_12,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_12_Description,,,17_MSQ_BoardWindowC_Interact,,2669.363037 4474.532227 56.039001,IO_17_MSQ_BoardWindowC
Quest_18010_Task_13,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_13_Description,,,17_MSQ_BoardWindowD_Interact,,2709.989990 4550.080078 53.480999,IO_17_MSQ_BoardWindowD
Quest_18010_Task_14,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_14_Description,,,17_MSQ_BoardWindowE_Interact,,2709.925049 4550.056152 54.291000,IO_17_MSQ_BoardWindowE
Quest_18010_Task_15,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_15_Description,,,17_MSQ_BoardWindowF_Interact,,2711.028076 4549.467773 53.571999,IO_17_MSQ_BoardWindowF
Quest_18010_Task_16,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_16_Description_0,,,17_MSQ_StackCrates_Interact,,2625.879883 4511.757812 56.314999,IO_17_MSQ_StackCrates
Quest_18010_Task_17,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,NPC_18059,NPC_18059_State_1_Topic_0,@Quest_18010_Task_17_Description_0,,,,,,
Quest_18010_Task_18,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,,,@Quest_18010_Task_18_Description,,,17_MSQ_GrivarosBerlaur_GlobalSuccess,,2583.030029 4456.279785 60.244999,
Quest_18010_Task_19,Quest_18010_Task_18,Quest_18010_Task_20,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,0,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_18010_Task_20,,,,,,,TASKKILLCONTRIBUTION,Enter,EarnSpendGoldInSingleTransaction,4,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,Werewolf,,,
