TaskID,Type,FailOnCondition,StayActive,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
9901_0008_d_02_01a_vines_Interact,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,IO_MSQ_0008_ClearingVines_C,,,MSQ_0008_ClearingVines_C_interact,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_clearvines_02,,8253.34 3837.33 145.77,,,,,,,,,,,,,,,,,
9901_0008_d_02_01b_vines_Hidden_Optional_Interact,TaskGameEvent,,,5,,,,,,,,,,,,,,,,,IO_MSQ_0008_ClearingVines_D,,,MSQ_0008_ClearingVines_D_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0008_d_02_02_SliceSwap_Plaque_02,TaskUnlockAchievement,,1,1,SwapActive_MSQ_0008_Plaque_02_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0008_d_02_03_Investigate_2,TaskAchievement,,1,1,Lore_unlock_99_MSQ_Aeternum_Title_2_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_plaque_02,,8257.91 3814.69 143.56,,,false,,,,,,,,,,,,,,
9901_0008_d_03_container_plaque_03,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0008_d_03_00_GoToRuins,9901_0008_d_03_01_container_plaque_03_optional,9901_0008_d_03_02_SliceSwap_Plaque_03,9901_0008_d_03_03_Investigate_3,
9901_0008_d_03_00_GoToRuins,TaskGoToPOITag,,1,1,,,,,1,,ancient_ruins_40154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_GoTo_03,,8375.299 3653.712 169.289,,,,,,,,,,,,,,,,,
9901_0008_d_03_01_container_plaque_03_optional,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0008_d_03_01a_vines_Interact,9901_0008_d_03_01b_vines_Hidden_Optional_Interact,,,
9901_0008_d_03_01a_vines_Interact,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,IO_MSQ_0008_ClearingVines_E,,,MSQ_0008_ClearingVines_E_interact,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_clearvines_03,,8375.299 3653.712 169.289,,,,,,,,,,,,,,,,,
9901_0008_d_03_01b_vines_Hidden_Optional_Interact,TaskGameEvent,,,15,,,,,,,,,,,,,,,,,IO_MSQ_0008_ClearingVines_F,,,MSQ_0008_ClearingVines_F_interact,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0008_d_03_02_SliceSwap_Plaque_03,TaskUnlockAchievement,,1,1,SwapActive_MSQ_0008_Plaque_03_On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0008_d_03_03_Investigate_3,TaskAchievement,,1,1,Lore_unlock_99_MSQ_Aeternum_Title_2_03,,,,,,ancient_ruins_40154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0008_oldstoneremembers_v2_plaque_03,,8384.92 3660.47 169.27,,,false,,,,,,,,,,,,,,
9901_0009_d_00_container_thetower,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0009_d_01_traveltoArcturis,9901_0009_d_03_01_InvestigateHermitage,9901_0009_d_03_01_InvestigateHermitage1,9901_0009_d_03_container_thetower_investigate,
9901_0009_d_01_traveltoArcturis,TaskGoToPOITag,,1,1,,,,,,,ancient_ruins_40223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0009_thetower_travelto,,,,,,,,,,,,,,,,,,,
9901_0009_d_03_01_InvestigateHermitage,TaskAchievement,,1,1,Lore_unlock_99_MSQ_Title_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0009_thetower_InteractWithNote1,,9546.237 4525.673 108.880,,,false,,,,,,,,,,,,,,
9901_0009_d_03_01_InvestigateHermitage1,TaskTriggerArea,,1,1,,,,,,,,,,,,,,,,,IO_MSQ_0009_ArcturusAzothBarrier,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQ_TheTower,@9901_0009_SoulwardenSeal,,9523.302 4538.167 151.432,,,,,,,,,,,,,,,,,
9901_0009_d_03_container_thetower_investigate,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,IO_MSQ_0009_ArcturusAzothBarrier,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0009_d_03_01_KillGhost,9901_0009_d_03_02_InvestigateHermitage2,,,
9901_0009_d_03_01_KillGhost,TaskKillContribution,,1,1,,,,,1,,ancient_ruins_40223,,,,,,,,,,,,,Ghost_Starved_Named_07_04NW07,,,,,,,,,,,,,,,,,,,,@9900_KillQuest_Generic,,,,,,,,,,,,,,,,,,,
9901_0009_d_03_02_InvestigateHermitage2,TaskAchievement,,1,1,Lore_unlock_99_MSQ_Title_01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0009_thetower_InteractWithHermitage,,9546.504 4532.904 152.323,,,false,,,,,,,,,,,,,,
9901_0010_d_00_container_inthequiet,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0010_d_01_gotoPOI_Adamant,9901_0010_d_01_gotoPOI_Adamant2,9901_0010_d_02_InvestigateAdamant,,
9901_0010_d_01_gotoPOI_Adamant,TaskGoToPOITag,,1,,,,,,,,bear_den_30108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_0010_inthequiet_travelto,,,,,,,,,,,,,,,,,,,
9901_0010_d_01_gotoPOI_Adamant2,TaskTriggerArea,,1,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQ_AdamantTomb,@9900_0010_inthequiet_InvestigateAdamant2,,7827.6797 3575.365 190.6761 ,,,,,,,,,,,,,,,,,
9901_0010_d_02_InvestigateAdamant,TaskAchievement,,1,1,Lore_unlock_99_MSQ_Aeternum_Title_3_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_0010_inthequiet_InvestigateAdamant,,7827.6797 3575.365 190.6761 ,,,false,,,,,,,,,,,,,,
9901_0011_d_00_container_afreshsoul_V2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0011_V2_d_01_gotoPOI_Saircor,9901_0011_V2_d_00_container_afreshsoul2,,,
9901_0011_V2_d_01_gotoPOI_Saircor,TaskGoToPOITag,,1,,,,,,1,,ancient_ruins_40020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0011_afreshsoul_V2_travelto,,,,,,,,,,,,,,,,,,,
9901_0011_V2_d_00_container_afreshsoul2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,IO_MSQ_0011_DefenseInteract,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0011_V2_d_00_container_afreshsoul_optional,9901_0011_V2_d_03_Event_Completion,,,
9901_0011_V2_d_00_container_afreshsoul_optional,PartialTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0011_V2_d_02a_Optional_Interact,9901_0011_V2_d_02a_Optional_Interact_Hidden,,,
9901_0011_V2_d_02a_Optional_Interact,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,IO_MSQ_0011_DefenseInteract,,,IO_MSQ_0011_DefenseInteract_interact,,,,,,,,,,,,,,,,,,,,@9901_0011_afreshsoul_V2_optional_interact,,9651.934 896.879 87.108,,,,,,,,,,,,,,,,,
9901_0011_V2_d_02a_Optional_Interact_Hidden,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,,,,MSQ_0011_DefendObject_EventSuccess,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0011_V2_d_03_Event_Completion,TaskGameEvent,,1,1,,,,,,,,,,,,,,,,,,,,MSQ_0011_DefendObject_EventSuccess,,,,,,,,,,,,,,,,,,,,@9901_0011_afreshsoul_V2_event_completion,,9651.934 896.879 87.108,,,,,,,,,,,,,,,,,
9901_0012_d_00_container_overseaunderstone,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0012_gotoPOI_Traitors,9901_0012_d_01_GatherAzothHaft,,,
9901_0012_gotoPOI_Traitors,TaskGoToPOITag,,1,,,,,,1,,Undead_Bastion_30203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0012_overseaunderstone_travelto,,,,,,,,,,,,,,,,,,,
9901_0012_d_01_GatherAzothHaft,TaskGatherItems,,1,1,Azoth_Staff_Haft,MSQ_0012_OverSeaUnderStone_Interact,100,,1,,Undead_Bastion_30203,,,,TRUE,,,,,,IO_MSQ_0012_OverSeaUnderStone_Interact,,,,,,,,,,,,,,,,,,,,,,,@9901_0012_overseaunderstone_gethaft,,7790.41 4235.18 113.18,,,,,,,,,,,,,,,,,
9901_0014_d_00_container_oldfoesoldfavors,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0014_d_01_GoToPOI_Adiana,9901_0014_d_02_GoToPOI_Adiana,,,
9901_0014_d_01_GoToPOI_Adiana,TaskGoToPOITag,,1,1,,,,,,,"spiritshrine_02_40282,abandoned_village_40204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0014_oldfoesoldfavors_option,,,,,,,,,,,,,,,,,,,
9901_0014_d_02_GoToPOI_Adiana,TaskGoToPOITag,,1,1,,,,,,,abandoned_village_40204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0014_oldfoesoldfavors_travelto,,,,,,,,,,,,,,,,,,,
9902_0015_d_00_container_itmustflow,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0015_d_01_GoToPOI_CanaryMine,9901_0015_d_02_Kill_MustFlow,9901_0015_d_03_Kill_Clots,9901_0015_d_04_SliceSwap_DaughterwellFountain,
9901_0015_d_01_GoToPOI_CanaryMine,TaskGoToPOITag,,1,,,,,,1,,mine_40203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0015_itmustflow_travelto,,8718.542 5138.404 162.168,,,,,,,,,,,,,,,,,
9901_0015_d_02_Kill_MustFlow,TaskKillContribution,,1,3,,,,,,,,,,,,,,,,,,,,Tendril_Corruption_15,,,,,,,,,,,,,,,,,,,,@9901_0015_itmustflow_destroytendrils,,8718.542 5138.404 162.168,,,,,,,,,,,,,,,,,
9901_0015_d_03_Kill_Clots,TaskKillContribution,,1,2,,,,,1,,mine_40203,,,,,,,,,,,,,Darkness_Monolith_Shell_04NW06_20,,,,,,,,,,,,,,,,,,,,@9901_0015_itmustflow_destroyclots,,,,,,,,,,,,,,,,,,,
9901_0015_d_04_SliceSwap_DaughterwellFountain,TaskUnlockAchievement,,1,1,SwapActive_DaughterwellFountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9902_0016_d_00_container_corruptiontincture,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9902_0016_d_00_container_corruptiontincture1,9902_0016_d_00_container_corruptiontincture2,,,
9902_0016_d_00_container_corruptiontincture1,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0016_d_01_GatherOrHaveIngredients,9901_0016_d_02_GatherOrHaveIngredients,9901_0016_d_03_GatherOrHaveIngredients,,
9901_0016_d_01_GatherOrHaveIngredients,TaskHaveItems,,,3,WaterT1,,100,,,,,,,true,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_gather_generic,,,,,,,,,,,,,,,,,,,
9901_0016_d_02_GatherOrHaveIngredients,TaskHaveItems,,,3,PetalcapT1,,100,,,,,,,true,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_gather_generic,,,,,,,,,,,,,,,,,,,
9901_0016_d_03_GatherOrHaveIngredients,TaskHaveItems,,,3,RivercressT1,,100,,,,,,,true,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_gather_generic,,,,,,,,,,,,,,,,,,,
9902_0016_d_00_container_corruptiontincture2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0016_d_03_CraftCorruptionTincture,,,,
9901_0016_d_03_CraftCorruptionTincture,TaskHaveItems,,,3,TinctureCorruptionT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_task_craft_yourcamp_generic,,,,,,,,,,,,,,,,,,,
9902_0017_d_00_container_landcriesout,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0017_d_01_GoToPOI_Ebonrock,9902_0017_d_00_container_landcriesout2,,,
9901_0017_d_01_GoToPOI_Ebonrock,TaskGoToPOITag,,1,,,,,,1,,cave_40224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0017_landcriesout_travelto,,,,,,,,,,,,,,,,,,,
9902_0017_d_00_container_landcriesout2,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0017_d_02_Kill_LandCriesOut,9902_0017_d_03_container_landcriesout_clues,,,
9901_0017_d_02_Kill_LandCriesOut,TaskKillContribution,,1,5,,,,,1,,cave_40224,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,@9901_0017_landcriesout_destroycorrupted,,,,,,,,,,,,,,,,,,,
9902_0017_d_03_container_landcriesout_clues,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0017_landcriesout_findclues,,,,,,,,,,,,,,,9902_0017_d_03a_GameEvent_StockpiledWeapons,9902_0017_d_03b_GameEvent_CorruptionEvidence,9901_0017_d_03c_ReadLoreNote_Plans,,
9902_0017_d_03a_GameEvent_StockpiledWeapons,TaskGameEvent,,,1,,,,,1,,cave_40224,,,,,,,,,,IO_MSQ_0017_Weapons,,,MSQ_0017_Weapons_interact,,,,,,,,,,,,,,,,,,,,@9901_0017_landcriesout_findweapons,,8737.20 5366.13 190.74,,,,,,,,,,,,,,,,,
9902_0017_d_03b_GameEvent_CorruptionEvidence,TaskGameEvent,,,1,,,,,1,,cave_40224,,,,,,,,,,IO_MSQ_0017_Corruption,,,MSQ_0017_Corruption_interact,,,,,,,,,,,,,,,,,,,,@9901_0017_landcriesout_findcorruption,,8707.85 5310.79 190.43,,,,,,,,,,,,,,,,,
9901_0017_d_03c_ReadLoreNote_Plans,TaskAchievement,,1,1,Lore_unlock_00_Aeternum_Title_20_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0017_landcriesout_findplans,,8623.97 5314.72 192.56,,,false,,,,,,,,,,,,,,
9902_0018_d_00_container_returntoyonas,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0018_d_01_GoToPOI_Fishermans,,,,
9901_0018_d_01_AttainLevel20,TaskHaveLevel,,1,20,,,,,,,msq_hub_hermit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_attainlevel20,,,,,,,,,,,,,,,,,,,
9901_0018_d_01_GoToPOI_Fishermans,TaskGoToPOITag,,1,1,,,,,1,,msq_hub_hermit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_TravelToPOI_generic,,,,,,,,,,,,,,,,,,,
9901_0013_d_00_container_argentandaether,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0013_d_01_GatherSilver,9901_0013_d_02_container_miradorforge,9901_0013_d_03_container_anvil,,
9901_0013_d_01_GatherSilver,TaskHaveItems,,,5,IngotPreciousT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0013_argentandaether_acquiresilver,,,,,,,,,,,,,,,,,,,
9901_0013_d_02_container_miradorforge,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0013_d_02a_GoToPOI,9901_0013_d_02b_ClimbTower_EnterVol,9901_0013_d_02c_DestroyForgeBoss,,
9901_0013_d_02a_GoToPOI,TaskGoToPOITag,,,,,,,,,,ancient_ruins_40153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0013_argentandaether_travelto,,,,,,,,,,,,,,,,,,,
9901_0013_d_02b_ClimbTower_EnterVol,TaskTriggerArea,,1,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_MSQ_MiradorForge,@9901_0013_argentandaether_climbtower,,8550.054 2208.749 131.011,,,,,,,,,,,,,,,,,
9901_0013_d_02c_DestroyForgeBoss,TaskKillContribution,,1,1,,,,,,,ancient_ruins_40153,,,,,,,,,,,,,AncientGuardian_Heavy_Named_00,,,,,,,,,,,,,,,,,,,,@9900_KillQuest_Generic,,8557.244 2198.550 131.011,,,,,,,,,,,,,,,,,
9901_0013_d_03_container_anvil,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8557.583 2191.324 131.011,1,,,,,,,,,,,,9901_0013_d_03a_GameEvent_AmrineAnvil,9901_0013_d_03b_GiveItem_AzothStaffCrook,,,
9901_0013_d_03a_GameEvent_AmrineAnvil,TaskGameEvent,,,1,,,,,,,ancient_ruins_40153,,,,,,,,,,IO_MSQ_0013_AmrineAnvil,,,MSQ_0013_AmrineAnvil_interact,,,,,,,,,,,,,,,,,,,,@9901_0013_argentandaether_interact_with_IO,,8557.583 2191.324 131.011,,,,,,,,,,,,,,,,,
9901_0013_d_03b_GiveItem_AzothStaffCrook,TaskGiveItem,,,1,Azoth_Staff_Crook,,100,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0019_d_00_container_forgethestaff,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0019_d_01_GoToPOI_ShatteredObeliskAltar,9901_0019_d_02_01_HaveAndReturn_AzothCrosspiece,9901_0019_d_02_02_HaveAndReturn_AzothHaft,9901_0019_d_02_03_HaveAndReturn_AESeed,9901_0019_d_03_CraftTheStaff
9901_0019_d_01_GoToPOI_ShatteredObeliskAltar,TaskGoToPOITag,,1,1,,,,,,,shattered_obelisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9901_0019_forgethestaff_travelto,,,,,,,,,,,,,,,,,,,
9901_0019_d_02_container_forgethestaff_haveitems,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9901_0019_d_02_01_HaveAndReturn_AzothCrosspiece,9901_0019_d_02_02_HaveAndReturn_AzothHaft,9901_0019_d_02_03_HaveAndReturn_AESeed,,
9901_0019_d_02_01_HaveAndReturn_AzothCrosspiece,TaskRemoveItem,,1,1,Azoth_Staff_Crook,,,,,,,,Azoth_Staff_Crook,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0019_d_02_02_HaveAndReturn_AzothHaft,TaskRemoveItem,,1,1,Azoth_Staff_Haft,,,,,,,,Azoth_Staff_Haft,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0019_d_02_03_HaveAndReturn_AESeed,TaskRemoveItem,,1,1,Azoth_Vessel,,,,,,,,Azoth_Vessel,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
9901_0019_d_03_CraftTheStaff,TaskGameEvent,,,1,MSQ_0021_ForgeStaffAnimTest,,,,,,,,,,,,,,,,IO_MSQ_0021_ForgeStaffAnimTest,,,MSQ_0021_ForgeStaffAnimTest_interact,,,,,,,,,,,,,,,,,,,,@9900_ForgeTheStaff,,9267.9199 3925.2671 105.3541,,,,,,,,,,,,,,,,,
9901_0019_d_00_container_forgethestaffreturn,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0019_d_01_GoToPOI_Fishermans,,,,
9901_0019_d_01_GoToPOI_Fishermans,TaskGoToPOITag,,1,1,,,,,1,,msq_hub_hermit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@9900_TravelToPOI_generic,,,,,,,,,,,,,,,,,,,
9901_0020_d_00_container_healtherift,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9901_0020_d_01_GoToPOI_Harpless,9901_0020_d_02_DestroyCorruptedOrbs,9901_0020_d_03_CompleteDarknessEvents,,
