TaskID,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5,SubTask6,SubTask7,SubTask8,SubTask9,SubTask10,SubTask11,SubTask12,SubTask13,SubTask14,SubTask15,SubTask16,SubTask17,SubTask18,SubTask19,Type,TriggerAreaType,TaskBuySellType,TargetQty,Duration,ItemDropProbability,ChestDropProbability,MinGearScore,GuranteedDropAttempts,TargetThreshold,IsPurchaseOrEarn,IsExactMatch,AwardOnlyOnce,GridLayout,HideChildren,OnInteractStart,FailOnCondition,ResetOnCondition,ShouldCheckPoints,UseGlobalStorage,CraftAnyRecipe,PauseAndClearLootOnTaskComplete,TP_HideOnCompassOnEnterPOI,GameModeMustBeMutated,StayActive,IsHidden,TriggerAnalyticsEvent,HideProgress,EnforceLocationRequirement,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticPinZOverride,TerritoryID,TP_DescriptionTag,TP_TargetTag,OverrideLocation,ItemName,POITag,KillEnemyType,InteractTag,ItemDropVC,UIScreenTag
Quest_16008_Task_12,,,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_12_Description,,3977.072021 5807.452148 123.015999,,,17_ZQBS5_ExamineDoorWards_interact,IO_17_ZQBS5_ExamineDoorWards,,
Quest_16008_Task_13,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_13_Description,TV_17ZQBS5_AnastasiaChambers,3975.943115 5802.372070 124.767998,,,17_ZQBS5_AnastasiaEnterDoorTD_interact,IO_17_ZQBS5_AnastasiaEnterDoorTD,,
Quest_16008_Task_14,,,,,,,,,,,,,,,,,,,,TASKHAVEANDRETURNITEMS,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,100,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_14_Description,,3957.773926 5797.993164 124.307999,17ZQ_LunaciteKey,,Lost,,Lost,
Quest_16008_Task_15,,,,,,,,,,,,,,,,,,,,TASKACHIEVEMENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_15_Description,,3959.334961 5798.478027 123.015999,Lore_unlock_17_ZQB_Title_04_01,,,,,
Quest_16008_Task_16,,,,,,,,,,,,,,,,,,,,TASKGOTOPOITAG,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_16_Description,,,,werebeast_den_20329,,,,
Quest_16008_Task_17,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_17_Description,TV_17ZQB_EnterMoonscale,4820.236816 6254.148926 106.036003,,,17_ZQBS5_MoonscaleDoorEnterTD_interact,IO_17_ZQBS5_MoonscaleDoorEnterTD,,
Quest_16008_Task_18,,,,,,,,,,,,,,,,,,,,TASKGAMEEVENT,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_18_Description,,4845.990234 6231.360840 104.251999,,,17_ZQBS5_PurifyMoonscale_interact,IO_17_ZQBS5_PurifyMoonscale,,
Quest_16008_Task_9,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_9_Description,TV_17ZQ_EnterHouseBathory,3998.530029 5909.729980 160.699005,,,,,,
Quest_16008_Task_11,Quest_16008_Task_23,Quest_16008_Task_20,,,,,,,,,,,,,,,,,,PARTIALTASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_11_Description,,,,,,,,
Quest_16008_Task_20,Quest_16008_Task_22,Quest_16008_Task_21,Quest_16008_Task_22_0,,,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16008_Task_21,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_21_Description,nevertrue,,,,,,,
Quest_16008_Task_22,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_22_Description,,,NPC_16186,,,,,NPC_16186_State_0
Quest_16008_Task_23,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_23_Description,,,NPC_16187,,,,,NPC_16187_State_1_Topic_0
Quest_16008_Task_22_0,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_22_0_Description,,,NPC_16188,,,,,NPC_16188_State_0
Quest_16008_Task_1_0_0_3,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_1_0_0_3_Description,TV_17ZQURU3_GoBathoryChallenge1a,3988.278076 5817.095215 153.949005,,,,,,
Quest_16008_Task_1_0_0_3_0_0,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_1_0_0_3_0_0_Description,TV_17ZQC_Descend2,4001.941895 5863.033203 126.053001,,,,,,
Quest_16008_Task_1_0_0_3_0_1,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_1_0_0_3_0_1_Description,TV_17ZQC_Descend1,3987.072998 5865.069824 146.682999,,,,,,
Quest_16008_Task_1_0_0_3_0_2,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,0.000000,0,@Quest_16008_Task_1_0_0_3_0_2_Description,TV_17ZQC_ContinueBathoryUndercroft,3977.772949 5845.349121 123.002998,,,,,,
Quest_16008_Task_10,Quest_16008_Task_24,Quest_16008_Task_25,,,,,,,,,,,,,,,,,,SIMPLETASKCONTAINER,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,,,,,,,,,
Quest_16008_Task_24,,,,,,,,,,,,,,,,,,,,TASKTRIGGERAREA,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_24_Description,nevetrue,,,,,,,
Quest_16008_Task_25,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONSTATE,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,0.000000,0,@Quest_16008_Task_25_Description,,,,,,,,NPC_16003_State_3
Quest_16008_Task_26,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_26_Description,,,NPC_16003,,,,,NPC_16003_State_3_Topic_0
Quest_16008_Task_28,,,,,,,,,,,,,,,,,,,,TASKCONVERSATIONTOPIC,Enter,EarnSpendGoldInSingleTransaction,1,0.000000,0,0,0,0,0.000000,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0.000000,0,@Quest_16008_Task_28_Description,,,NPC_16008,,,,,NPC_16008_State_1_Topic_0
