TaskID,Type,FailOnCondition,StayActive,RequiredLevel,TargetQty,ItemName,ItemDropVC,ItemDropProbability,ChestDropProbability,EnforceLocationRequirement,TerritoryID,POITag,GameModeID,LootTag,PauseAndClearLootOnTaskComplete,AwardOnlyOnce,ShouldCheckPoints,GuranteedDropAttempts,TargetThreshold,CraftingRecipeId,CraftAnyRecipe,InteractTag,UIScreenTag,TriggerAreaType,KillEnemyType,KillEnemyWeaponID,Duration,TaskBuySellType,IsPurchaseOrEarn,IsExactMatch,UseTypeAffix,TypeAffix,UseMatAffix,MatAffix,UseMagicAffix,MagicAffix,MapMarkerMapIcon,MapMarkerTitleLocTag,MapMarkerDescriptionLocTag,MapMarkerWorldPositionX,MapMarkerWorldPositionY,MapMarkerWorldDistanceThreshold,UseLargeItemDisplay,TP_TargetTag,TP_DescriptionTag,TargetDescriptionTaskId,OverrideLocation,IsHidden,HideDiegeticGatherablePins,ShowDiegeticTaskPin,DiegeticTaskPinZPosOverride,SS_VariantName,SS_StatePreset,CompletedNotificationId,GridLayout,CommunityGoalTag,HideChildren,TriggerAnalyticsEvent,OnInteractStart,SubTask1,SubTask2,SubTask3,SubTask4,SubTask5
04A_Side01_02_02_Task_KillWolves,TaskHaveAndReturnItems,,,,3,04aSide01_02_FineFur,Wolf,55,,true,,wolf_den_40226,,,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side01_02_02_Task_KillWolves,,,,,,,,,,,,,,,,,,,
04A_Side02_01_ObeliskNotes_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side02_01_01_Task_GetDevice_Orion,04A_Side02_01_02_Task_GotoDraco,04A_Side02_01_03_Task_GetDevice_Draco,,
04A_Side02_01_01_Task_GetDevice_Orion,TaskGatherAndReturnItems,,1,,1,04aSide02_01_OrionDevice,04A_Side02_01_AncientDevice,100,,true,,ancient_lookout_40110,,,1,,,,,,,IO_04A_Side02_01_AncientDevice,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_01_Task_GetDevice_Orion,,8632.535156 4048.919434 136.401733,,,,,,,,,,,,,,,,,
04A_Side02_01_02_Task_GotoDraco,TaskGoToPOITag,,,,1,,,,,true,,ancient_lookout_40109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_02_Task_GotoDraco,,,,,,,,,,,,,,,,,,,
04A_Side02_01_03_Task_GetDevice_Draco,TaskGatherAndReturnItems,,1,,1,04aSide02_01_DracoDevice,04A_Side02_01_AncientDevice_02,100,,true,,ancient_lookout_40109,,,1,,,,,,,IO_04A_Side02_01_AncientDevice_02,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_01_03_Task_GetDevice_Draco,,8636.845703 3787.804443 103.340210,,,,,,,,,,,,,,,,,
04A_Side02_02_ObeliskDefenders_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side02_02_01a_container_perseus,04A_Side02_02_01b_container_lupus,,,
04A_Side02_02_01a_container_perseus,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_02_01a_Task_GotoPerseus,04A_Side02_02_01a_Task_Encounter_01,,,
04A_Side02_02_01a_Task_GotoPerseus,TaskGoToPOITag,,,,1,,,,,true,,ancient_tower_40220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_02_01a_Task_GotoPerseus,,,,,,,,,,,,,,,,,,,
04A_Side02_02_01a_Task_Encounter_01,TaskGameEvent,,,,1,,,,,true,,ancient_tower_40220,,,,,,,,,,IO_04A_Side02_02_EncounterStart_01,,,04A_Side02_02_Encounter_01_Success,,,,,,,,,,,,,,,,,,,,@04A_Side02_02_01a_Task_Encounter_01,,8733.269531 4251.368652 181.171158,,,,,,,,,,,,,,,,,
04A_Side02_02_01b_container_lupus,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_02_01b_Task_GotoLupus,04A_Side02_02_01b_Task_Encounter_02,,,
04A_Side02_02_01b_Task_GotoLupus,TaskGoToPOITag,,,,1,,,,,true,,ancient_tower_40219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_02_01b_Task_GotoLupus,,,,,,,,,,,,,,,,,,,
04A_Side02_02_01b_Task_Encounter_02,TaskGameEvent,,,,1,,,,,true,,ancient_tower_40219,,,,,,,,,,IO_04A_Side02_02_EncounterStart_02,,,04A_Side02_02_Encounter_02_Success,,,,,,,,,,,,,,,,,,,,@04A_Side02_02_01b_Task_Encounter_02,,8923.024414 4427.614746 155.554642,,,,,,,,,,,,,,,,,
04A_Side02_03_LightBeacons_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side02_03_01_Container_Norma,04A_Side02_03_02_Container_Leo,04A_Side02_03_03_Container_Hercules,04A_Side02_03_04_Container_SliceSwaps_FindHeron,
04A_Side02_03_01_Container_Norma,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_03_01a_Task_GotoNorma,04A_Side02_03_01b_Task_Investigate_01,04A_Side02_03_01c_Task_Investigate_02,04A_Side02_03_01d_Task_Investigate_03,04A_Side02_03_01e_Task_Activate_Tower
04A_Side02_03_01a_Task_GotoNorma,TaskGoToPOITag,,,,1,,,,,true,,ancient_tower_40218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_01a_Task_GotoNorma,,,,,,,,,,,,,,,,,,,
04A_Side02_03_01b_Task_Investigate_01,TaskGameEvent,,,,1,,,,,true,,ancient_tower_40218,,,,,,,,,,IO_04A_Side02_03_Proximity_Investigate_01,,,04A_Side02_03_Proximity_Investigate_01_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_01b_Task_Investigate_01,,9095.804688 4496.944824 140.896378,,,,,,,,,,,,,,,,,
04A_Side02_03_01c_Task_Investigate_02,TaskGameEvent,,,,1,,,,,true,,ancient_tower_40218,,,,,,,,,,IO_04A_Side02_03_Proximity_Investigate_02,,,04A_Side02_03_Proximity_Investigate_02_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_01c_Task_Investigate_02,,9112.204102 4511.722168 154.806778,,,,,,,,,,,,,,,,,
04A_Side02_03_01d_Task_Investigate_03,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_Side02_Norma,@04A_Side02_03_01d_Task_Investigate_03,,9116.162109 4489.185059 154.776230,,,,,,,,,,,,,,,,,
04A_Side02_03_01e_Task_Activate_Tower,TaskGameEvent,,,,1,,,,,true,,ancient_tower_40218,,,,,,,,,,IO_04A_Side02_03_Proximity_Investigate_03,,,04A_Side02_03_Proximity_Investigate_03_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_01e_Task_Activate_Tower,,9116.162109 4489.185059 154.776230,,,,,,,,,,,,,,,,,
04A_Side02_03_02_Container_Leo,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_03_02a_Task_GotoLeo,04A_Side02_03_02e_Task_Activate_Tower,,,
04A_Side02_03_02a_Task_GotoLeo,TaskGoToPOITag,,,,1,,,,,true,,ancient_tower_40217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_02a_Task_GotoLeo,,,,,,,,,,,,,,,,,,,
04A_Side02_03_02e_Task_Activate_Tower,TaskGameEvent,,,,1,,,,,true,,ancient_tower_40217,,,,,,,,,,IO_04A_Side02_03_Proximity_Investigate_04,,,04A_Side02_03_Proximity_Investigate_04_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_02e_Task_Activate_Tower,,9398.061523 4502.430664 135.168747,,,,,,,,,,,,,,,,,
04A_Side02_03_03_Container_Hercules,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_03_03a_Task_GotoHercules,04A_Side02_03_03e_Task_Activate_Tower,,,
04A_Side02_03_03a_Task_GotoHercules,TaskGoToPOITag,,,,1,,,,,true,,ancient_tower_40216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_03a_Task_GotoHercules,,,,,,,,,,,,,,,,,,,
04A_Side02_03_03e_Task_Activate_Tower,TaskGameEvent,,,,1,,,,,true,,ancient_tower_40216,,,,,,,,,,IO_04A_Side02_03_Proximity_Investigate_05,,,04A_Side02_03_Proximity_Investigate_05_Interact,,,,,,,,,,,,,,,,,,,,@04A_Side02_03_03e_Task_Activate_Tower,,9612.101562 4409.779297 119.560150,,,,,,,,,,,,,,,,,
04A_Side02_03_04_Container_SliceSwaps_FindHeron,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_03_04a_Swap_WilliamHeron_00_Off,04A_Side02_03_04b_Swap_WilliamHeron_01_On,04A_Side02_03_04c_Task_FindHeron,,
04A_Side02_03_04a_Swap_WilliamHeron_00_Off,TaskUnlockAchievement,,,,1,SwapActive_99A_WilliamHeron_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
04A_Side02_03_04b_Swap_WilliamHeron_01_On,TaskUnlockAchievement,,,,1,SwapActive_99A_WilliamHeron_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
04A_Side02_03_04c_Task_FindHeron,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_Side02_WilliamHeron_01,@04A_Side02_03_04c_Task_FindHeron,,9503.833984 4179.799316 107.353111,,,,,,,,,,,,,,,,,
04A_Side02_04_CollectAzoth_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side02_04_01_Container_Canis,04A_Side02_04_02_Container_Ursa,04A_Side02_04_03_Container_Leo,,
04A_Side02_04_01_Container_Canis,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_04_01a_Task_GotoCanus,04A_Side02_04_01b_Task_GetGuardianAzoth,,,
04A_Side02_04_01a_Task_GotoCanus,TaskGoToPOITag,,,,1,,,,,true,,ancient_tower_40215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_04_01a_Task_GotoCanus,,,,,,,,,,,,,,,,,,,
04A_Side02_04_01b_Task_GetGuardianAzoth,TaskHaveAndReturnItems,,,,3,04aSide02_04_GuardianAzoth,Ancient,100,,true,,ancient_tower_40215,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_04_01b_Task_GetGuardianAzoth,,,,,,,,,,,,,,,,,,,
04A_Side02_04_02_Container_Ursa,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_04_02a_Task_GotoUrsa,04A_Side02_04_02b_Task_GetGuardianAzoth,,,
04A_Side02_04_02a_Task_GotoUrsa,TaskGoToPOITag,,,,1,,,,,true,,ancient_lookout_40114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_04_02a_Task_GotoUrsa,,,,,,,,,,,,,,,,,,,
04A_Side02_04_02b_Task_GetGuardianAzoth,TaskHaveAndReturnItems,,,,6,04aSide02_04_GuardianAzoth,Ancient,100,,true,,ancient_lookout_40114,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_04_02b_Task_GetGuardianAzoth,,,,,,,,,,,,,,,,,,,
04A_Side02_04_03_Container_Leo,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side02_04_03a_Task_GotoMonoceros,04A_Side02_04_03b_Task_GetGuardianAzoth,,,
04A_Side02_04_03a_Task_GotoMonoceros,TaskGoToPOITag,,,,1,,,,,true,,ancient_lookout_40113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_04_03a_Task_GotoMonoceros,,,,,,,,,,,,,,,,,,,
04A_Side02_04_03b_Task_GetGuardianAzoth,TaskHaveAndReturnItems,,,,9,04aSide02_04_GuardianAzoth,Ancient,100,,true,,ancient_lookout_40113,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_04_03b_Task_GetGuardianAzoth,,,,,,,,,,,,,,,,,,,
04A_Side02_05_PlaceSphere_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side02_05_01_Task_GotoShattered,04A_Side02_05_02_Task_GetGuardianKeys,04A_Side02_05_03_Task_GetArmillarySphere,,
04A_Side02_05_01_Task_GotoShattered,TaskGoToPOITag,,,,1,,,,,true,,shattered_obelisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_05_01_Task_GotoShattered,,,,,,,,,,,,,,,,,,,
04A_Side02_05_02_Task_GetGuardianKeys,TaskHaveAndReturnItems,,,,6,04aSide02_05_ArmillaryKey,Ancient,50,,true,,shattered_obelisk,,,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_05_02_Task_GetGuardianKeys,,9312.029297 3923.078369 121.702774,,,,,,,,,,,,,,,,,
04A_Side02_05_03_Task_GetArmillarySphere,TaskGatherAndReturnItems,,1,,1,04aSide02_05_ArmillarySphere,04A_Side02_05_ArmillarySphere,100,,true,,shattered_obelisk,,,1,,,,,,,IO_04A_Side02_05_ArmillarySphere,,,,,,,,,,,,,,,,,,,,,,,@04A_Side02_05_03_Task_GetArmillarySphere,,9281.308594 3888.938721 126.467979,,,,,,,,,,,,,,,,,
04A_Side03_01_RecoverVase_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side03_01_01_Task_GotoArcturus,04A_Side03_01_02_Task_KillAncientsForVase,,,
04A_Side03_01_01_Task_GotoArcturus,TaskGoToPOITag,,,,1,,,,,true,,ancient_ruins_40223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side03_01_01_Task_GotoArcturus,,,,,,,,,,,,,,,,,,,
04A_Side03_01_02_Task_KillAncientsForVase,TaskHaveAndReturnItems,,,,1,04aSide03_0101_AncientVase,Ancient,20,,true,,ancient_ruins_40223,,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side03_01_02_Task_KillAncientsForVase,,,,,,,,,,,,,,,,,,,
04A_Side03_02_AncientScrolls_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side03_02_04a_Swap_Tamra_00_Off,04A_Side03_02_04b_Swap_Tamra_01_On,04A_Side03_02_02_Task_HaveScroll,,
04A_Side03_02_04a_Swap_Tamra_00_Off,TaskUnlockAchievement,,,,1,SwapActive_99A_TamraAyad_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
04A_Side03_02_04b_Swap_Tamra_01_On,TaskUnlockAchievement,,,,1,SwapActive_99A_TamraAyad_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
04A_Side03_02_02_Task_HaveScroll,TaskGatherAndReturnItems,,1,,12,04aSide03_0201_AncientScroll,04A_Side03_02_0101_AncientScroll,100,,true,,shattered_obelisk,,,1,,,,,,,IO_04A_Side03_02_0101_AncientScroll,,,04A_Side03_02_0101_AncientScroll_interact,,,,,,,,,,,,,,,,,,,,@04A_Side03_02_03_Task_HaveScroll,,,,,,,,,,,,,,,,,,,
04A_Side03_03_AncientTalismans_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side03_03_01_Task_GotoShattered,04A_Side03_03_02_Task_KillCollectTalismans,,,
04A_Side03_03_01_Task_GotoShattered,TaskGoToPOITag,,,,1,,,,,true,,camp_40174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side03_03_01_Task_GotoShattered,,,,,,,,,,,,,,,,,,,
04A_Side03_03_02_Task_KillCollectTalismans,TaskHaveAndReturnItems,,,,5,04aSide03_0301_AncientTalisman,Varangian,50,,true,,camp_40174,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side03_03_02_Task_KillCollectTalismans,,,,,,,,,,,,,,,,,,,
04A_Side04_01_ScoutCorrupted_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side04_01_01_Task_GotoCanary,04A_Side04_01_02_container,,,
04A_Side04_01_01_Task_GotoCanary,TaskGoToPOITag,,,,1,,,,,true,,mine_40203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side04_01_01_Task_GotoCanary,,,,,,,,,,,,,,,,,,,
04A_Side04_01_02_container,SimpleTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side04_01_03_ScoutLocations_01,04A_Side04_01_03a_ScoutLocations_02,04A_Side04_01_03b_ScoutLocations_03,04a_Side04_01_04_KillCorrupted,
04A_Side04_01_03_ScoutLocations_01,TaskGameEvent,,,,1,,,,,true,,mine_40203,,,,,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_01,,,04A_Side04_02_Proximity_InvestigationSpot_01_interact,,,,,,,,,,,,,,,,,,,,@04A_Side04_01_03_ScoutLocations_01,,8700.6 5065.5 162,,,,,,,,,,,,,,,,,
04A_Side04_01_03a_ScoutLocations_02,TaskGameEvent,,,,1,,,,,true,,mine_40203,,,,,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_02,,,04A_Side04_02_Proximity_InvestigationSpot_02_interact,,,,,,,,,,,,,,,,,,,,@04A_Side04_01_03a_ScoutLocations_02,,8719.7 5140.3 163,,,,,,,,,,,,,,,,,
04A_Side04_01_03b_ScoutLocations_03,TaskGameEvent,,,,1,,,,,true,,mine_40203,,,,,,,,,,IO_04A_Side04_02_Proximity_InvestigationSpot_03,,,04A_Side04_02_Proximity_InvestigationSpot_03_interact,,,,,,,,,,,,,,,,,,,,@04A_Side04_01_03b_ScoutLocations_03,,8681.3 5172.9 159,,,,,,,,,,,,,,,,,
04a_Side04_01_04_KillCorrupted,TaskKillContribution,,,,10,,,,,true,,mine_40203,,,,,,,,,,,,,Corrupted,,,,,,,,,,,,,,,,,,,,@04a_Side04_01_04_KillCorrupted,,,,,,,,,,,,,,,,,,,
04A_Side04_02_PoisonCorrupted_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side04_02_01a_GivePoison,04A_Side04_02_PoisonCorrupted_container2,,,
04A_Side04_02_01a_GivePoison,TaskGiveAndTakeItem,,,,2,04aSide04_02_TeklasPoison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04A_Side04_02_PoisonCorrupted_container2,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side04_02_01_Task_GotoCavern,04A_Side04_02_01b_Task_PoisonLandCavern,04A_Side04_02_PoisonCorrupted_container3,,
04A_Side04_02_01_Task_GotoCavern,TaskGoToPOITag,,,,1,,,,,true,,armory_40290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side04_02_01_Task_GotoCavern,,,,,,,,,,,,,,,,,,,
04A_Side04_02_01b_Task_PoisonLandCavern,TaskGameEvent,,,,1,,,,,true,,armory_40290,,,,,,,,,,IO_04A_Side04_03_EarthPatch,,,04A_Side04_03_EarthPatch_interact,,,,,,,,,,,,,,,,,,,,@04A_Side04_02_01b_Task_PoisonLandCavern,,8635.70 5320.50 188.76,,,,,,,,,,,,,,,,,
04A_Side04_02_PoisonCorrupted_container3,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,04A_Side04_02_02_Task_GotoQuarry,04A_Side04_02_02b_Task_PoisonLandQuarry,,,
04A_Side04_02_02_Task_GotoQuarry,TaskGoToPOITag,,,,1,,,,,true,,cave_40247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@04A_Side04_02_02_Task_GotoQuarry,,,,,,,,,,,,,,,,,,,
04A_Side04_02_02b_Task_PoisonLandQuarry,TaskGameEvent,,,,1,,,,,true,,cave_40247,,,,,,,,,,IO_04A_Side04_03_EarthPatch01,,,04A_Side04_03_EarthPatch01_interact,,,,,,,,,,,,,,,,,,,,@04A_Side04_02_02b_Task_PoisonLandQuarry,,8520.8 5375.8 195,,,,,,,,,,,,,,,,,
04A_Side04_03_ToHuntsman_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side04_03_01_transport_npc_note,04A_Side04_03_02_have_npc_note,04A_Side02_03_03_Task_ReturnToLee,04A_Side04_03_04b_Swap_Tekla_02_On,
04A_Side04_03_01_transport_npc_note,TaskGiveAndTakeItem,,,,1,MI_SummonsNote,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
04A_Side04_03_02_have_npc_note,TaskHaveAndReturnItems,,,,1,MI_SummonsNote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
04A_Side02_03_03_Task_ReturnToLee,TaskTriggerArea,,,,1,,,,,,,,,,,,,,,,,,,Enter,,,,,,,,,,,,,,,,,,,,TriggerVol_Side04_ApproachHuntsman,@04A_Side02_03_03_Task_ReturnToLee,,8887.085938 4202.656250 138.256012,,,,,,,,,,,,,,,,,
04A_Side04_03_04b_Swap_Tekla_02_On,TaskUnlockAchievement,,,,1,SwapActive_99A_Tekla_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
04A_Side04_04_KillNamed_container,ConsecutiveTaskContainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A_Side04_04_01_Task_GotoKelleher,04A_Side04_03_04a_Swap_Tekla_01_Off,04A_Side04_04_KillNamed_container2,,
