LoreID,Type,Title,Subtitle,Body,AchievementId,ParentID,Order,ImagePath,LocationName,LocationXY,AssociatedQuest,Writer,LocNotes,RecordingStatus,LoreNotesLocation
Crafting_Stations,Default,@Lore_Title_Crafting_Stations,@Lore_Subtitle_Crafting_Stations,@Lore_Body_Crafting_Stations,,ChapterCrafting,5,lyshineui/images/loreimages/crafting_stations.png,,,,,,,
Crafting_Recipes,Default,@Lore_Title_Crafting_Recipes,@Lore_Subtitle_Crafting_Recipes,@Lore_Body_Crafting_Recipes,,ChapterCrafting,6,,,,,,,,
Crafting_Rarity,Default,@Lore_Title_Crafting_Rarity,@Lore_Subtitle_Crafting_Rarity,@Lore_Body_Crafting_Rarity,,ChapterCrafting,7,,,,,,,,
ChapterTradingPost,Chapter,@Lore_Chapter_TradingPost,,,,TopicSurvivalGuide,4,lyshineui/images/loreimages/chaptertradingpost.png,,,,,,,
TradingPost_Overview,Default,@Lore_Title_TradingPost_Overview,@Lore_Subtitle_TradingPost_Overview,@Lore_Body_TradingPost_Overview,,ChapterTradingPost,1,lyshineui/images/loreimages/gettingstarted_coin.png,,,,,,,
TradingPost_BuyTab,Default,@Lore_Title_TradingPost_BuyTab,@Lore_Subtitle_TradingPost_BuyTab,@Lore_Body_TradingPost_BuyTab,,ChapterTradingPost,2,,,,,,,,
TradingPost_SellTab,Default,@Lore_Title_TradingPost_SellTab,@Lore_Subtitle_TradingPost_SellTab,@Lore_Body_TradingPost_SellTab,,ChapterTradingPost,3,,,,,,,,
TradingPost_MyOrders,Default,@Lore_Title_TradingPost_MyOrders,@Lore_Subtitle_TradingPost_MyOrders,@Lore_Body_TradingPost_MyOrders,,ChapterTradingPost,4,,,,,,,,
ChapterProgression,Chapter,@Lore_Chapter_Progression,,,,TopicSurvivalGuide,5,lyshineui/images/loreimages/chapterProgression.png,,,,,,,
Progression_XP,Default,@Lore_Title_Progression_XP,@Lore_Subtitle_Progression_XP,@Lore_Body_Progression_XP,,ChapterProgression,1,,,,,,,,
Progression_Attributes,Default,@Lore_Title_Progression_Attributes,@Lore_Subtitle_Progression_Attributes,@Lore_Body_Progression_Attributes,,ChapterProgression,2,,,,,,,,
Progression_TradeSkills,Default,@Lore_Title_Progression_TradeSkills,@Lore_Subtitle_Progression_TradeSkills,@Lore_Body_Progression_TradeSkills,,ChapterProgression,3,,,,,,,,
Progression_Respec,Default,@Lore_Title_Progression_Respec,@Lore_Subtitle_Progression_Respec,@Lore_Body_Progression_Respec,,ChapterProgression,4,,,,,,,,
ChapterCompanies,Chapter,@Lore_Chapter_Companies,,,,TopicSurvivalGuide,6,lyshineui/images/loreimages/chapterCompanies.png,,,,,,,
Companies_Overview,Default,@Lore_Title_Companies_Overview,@Lore_Subtitle_Companies_Overview,@Lore_Body_Companies_Overview,,ChapterCompanies,1,,,,,,,,
Companies_Ranks,Default,@Lore_Title_Companies_Ranks,@Lore_Subtitle_Companies_Ranks,@Lore_Body_Companies_Ranks,,ChapterCompanies,2,,,,,,,,
Companies_Treasury,Default,@Lore_Title_Companies_Treasury,@Lore_Subtitle_Companies_Treasury,@Lore_Body_Companies_Treasury,,ChapterCompanies,3,,,,,,,,
Companies_Territories,Default,@Lore_Title_Companies_Territories,@Lore_Subtitle_Companies_Territories,@Lore_Body_Companies_Territories,,ChapterCompanies,4,,,,,,,,
Companies_Building,Default,@Lore_Title_Companies_Building,@Lore_Subtitle_Companies_Building,@Lore_Body_Companies_Building,,ChapterCompanies,5,,,,,,,,
Companies_War,Default,@Lore_Title_Companies_War,@Lore_Subtitle_Companies_War,@Lore_Body_Companies_War,,ChapterCompanies,6,,,,,,,,
Companies_Siege,Default,@Lore_Title_Companies_Siege,@Lore_Subtitle_Companies_Siege,@Lore_Body_Companies_Siege,,ChapterCompanies,7,,,,,,,,
ChapterCombat,Chapter,@Lore_Chapter_Combat,,,,TopicSurvivalGuide,7,lyshineui/images/loreimages/chapterCombat.png,,,,,,,
Combat_Overview,Default,@Lore_Title_Combat_Overview,@Lore_Subtitle_Combat_Overview,@Lore_Body_Combat_Overview,,ChapterCombat,1,,,,,,,,
Combat_Attacking,Default,@Lore_Title_Combat_Attacking,@Lore_Subtitle_Combat_Attacking,@Lore_Body_Combat_Attacking,,ChapterCombat,2,lyshineui/images/loreimages/combat_attacking.png,,,,,,,
Combat_Defending,Default,@Lore_Title_Combat_Defending,@Lore_Subtitle_Combat_Defending,@Lore_Body_Combat_Defending,,ChapterCombat,3,lyshineui/images/loreimages/combat_defending.png,,,,,,,
Combat_Healing,Default,@Lore_Title_Combat_Healing,@Lore_Subtitle_Combat_Healing,@Lore_Body_Combat_Healing,,ChapterCombat,4,lyshineui/images/loreimages/combat_healing.png,,,,,,,
Combat_DefenseAbsorption,Default,@Lore_Title_Combat_DefenseAbsorption,@Lore_Subtitle_Combat_DefenseAbsorption,@Lore_Body_Combat_DefenseAbsorption,,ChapterCombat,5,,,,,,,,
Combat_Afflictions,Default,@Lore_Title_Combat_Afflictions,@Lore_Subtitle_Combat_Afflictions,@Lore_Body_Combat_Afflictions,,ChapterCombat,6,lyshineui/images/loreimages/combat_afflictions.png,,,,,,,
Combat_Grit,Default,@Lore_Title_Combat_Grit,@Lore_Subtitle_Combat_Grit,@Lore_Body_Combat_Grit,,ChapterCombat,7,lyshineui/images/loreimages/combat_grit.png,,,,,,,
Combat_AttackTypes,Default,@Lore_Title_Combat_AttackTypes,@Lore_Subtitle_Combat_AttackTypes,@Lore_Body_Combat_AttackTypes,,ChapterCombat,8,,,,,,,,
Combat_EquipLoad,Default,@Lore_Title_Combat_EquipLoad,@Lore_Subtitle_Combat_EquipLoad,@Lore_Body_Combat_EquipLoad,,ChapterCombat,9,,,,,,,,
Combat_StatusEffects,Default,@Lore_Title_Combat_StatusEffects,@Lore_Subtitle_Combat_StatusEffects,@Lore_Body_Combat_StatusEffects,,ChapterCombat,10,,,,,,,,
Topic_Grenville,Topic,@Topic_Grenville,,@Topic_Description_Grenville,,,6,,,,,,,,
Grenville_Chapter_02,Chapter,@Grenville_Chapter_02,,,,Topic_06_Windsward,2,,,,,,,,
Grenville_Title_02_01,Default,@Grenville_Title_02_01,@Grenville_Subtitle_02_01,@Grenville_Body_02_01,Lore_Unlock_Grenville_Title_02_01,Grenville_Chapter_02,1,,,,,,,,
Grenville_Title_02_02,Default,@Grenville_Title_02_02,@Grenville_Subtitle_02_02,@Grenville_Body_02_02,Lore_Unlock_Grenville_Title_02_02,Grenville_Chapter_02,2,,,,,,,,
Grenville_Title_02_03,Default,@Grenville_Title_02_03,@Grenville_Subtitle_02_03,@Grenville_Body_02_03,Lore_Unlock_Grenville_Title_02_03,Grenville_Chapter_02,3,,,,,,,,
Grenville_Title_02_04,Default,@Grenville_Title_02_04,@Grenville_Subtitle_02_04,@Grenville_Body_02_04,Lore_Unlock_Grenville_Title_02_04,Grenville_Chapter_02,4,,,,,,,,
Topic_FiveFarms,Topic,@Topic_FiveFarms,,@Topic_Description_FiveFarms,,,7,,,,,,,,
FiveFarms_Chapter_01,Chapter,@FiveFarms_Chapter_01,,,,Topic_14_Edengrove,2,,,,,,,,
FiveFarms_Title_01_01,Default,@FiveFarms_Title_01_01,,@FiveFarms_Body_01_01,Lore_Unlock_FiveFarms_Title_01_01,FiveFarms_Chapter_01,1,,,,,,,,
FiveFarms_Title_01_02,Default,@FiveFarms_Title_01_02,,@FiveFarms_Body_01_02,Lore_Unlock_FiveFarms_Title_01_02,FiveFarms_Chapter_01,2,,,,,,,,
FiveFarms_Title_01_03,Default,@FiveFarms_Title_01_03,,@FiveFarms_Body_01_03,Lore_Unlock_FiveFarms_Title_01_03,FiveFarms_Chapter_01,3,,,,,,,,
FiveFarms_Title_01_04,Default,@FiveFarms_Title_01_04,,@FiveFarms_Body_01_04,Lore_Unlock_FiveFarms_Title_01_04,FiveFarms_Chapter_01,4,,,,,,,,
FiveFarms_Title_01_05,Default,@FiveFarms_Title_01_05,,@FiveFarms_Body_01_05,Lore_Unlock_FiveFarms_Title_01_05,FiveFarms_Chapter_01,5,,,,,,,,
FiveFarms_Title_01_06,Default,@FiveFarms_Title_01_06,,@FiveFarms_Body_01_06,Lore_Unlock_FiveFarms_Title_01_06,FiveFarms_Chapter_01,6,,,,,,,,
FiveFarms_Title_01_07,Default,@FiveFarms_Title_01_07,,@FiveFarms_Body_01_07,Lore_Unlock_FiveFarms_Title_01_07,FiveFarms_Chapter_01,7,,,,,,,,
FiveFarms_Title_01_08,Default,@FiveFarms_Title_01_08,,@FiveFarms_Body_01_08,Lore_Unlock_FiveFarms_Title_01_08,FiveFarms_Chapter_01,8,,,,,,,,
FiveFarms_Title_01_09,Default,@FiveFarms_Title_01_09,,@FiveFarms_Body_01_09,Lore_Unlock_FiveFarms_Title_01_09,FiveFarms_Chapter_01,9,,,,,,,,
FiveFarms_Title_01_10,Default,@FiveFarms_Title_01_10,,@FiveFarms_Body_01_10,Lore_Unlock_FiveFarms_Title_01_10,FiveFarms_Chapter_01,10,,,,,,,,
FiveFarms_Title_01_11,Default,@FiveFarms_Title_01_11,,@FiveFarms_Body_01_11,Lore_Unlock_FiveFarms_Title_01_11,FiveFarms_Chapter_01,11,,,,,,,,
FiveFarms_Title_01_12,Default,@FiveFarms_Title_01_12,,@FiveFarms_Body_01_12,Lore_Unlock_FiveFarms_Title_01_12,FiveFarms_Chapter_01,12,,,,,,,,
FiveFarms_Title_01_13,Default,@FiveFarms_Title_01_13,,@FiveFarms_Body_01_13,Lore_Unlock_FiveFarms_Title_01_13,FiveFarms_Chapter_01,13,,,,,,,,
FiveFarms_Title_01_14,Default,@FiveFarms_Title_01_14,,@FiveFarms_Body_01_14,Lore_Unlock_FiveFarms_Title_01_14,FiveFarms_Chapter_01,14,,,,,,,,
Topic_AzothTree,Topic,@Topic_AzothTree,,@Topic_Description_AzothTree,,,8,,,,,,,,
AzothTree_Chapter_01,Chapter,@AzothTree_Chapter_01,,,,Topic_02_Brightwood,2,,,,,,,,
AzothTree_Title_01_01,Default,@AzothTree_Title_01_01,@AzothTree_Subtitle_01_01,@AzothTree_Body_01_01,Lore_Unlock_AzothTree_Title_01_01,AzothTree_Chapter_01,1,,,,,,,,
AzothTree_Title_01_02,Default,@AzothTree_Title_01_02,@AzothTree_Subtitle_01_02,@AzothTree_Body_01_02,Lore_Unlock_AzothTree_Title_01_02,AzothTree_Chapter_01,2,,,,,,,,
AzothTree_Title_01_03,Default,@AzothTree_Title_01_03,@AzothTree_Subtitle_01_03,@AzothTree_Body_01_03,Lore_Unlock_AzothTree_Title_01_03,AzothTree_Chapter_01,3,,,,,,,,
AzothTree_Title_01_04,Default,@AzothTree_Title_01_04,@AzothTree_Subtitle_01_04,@AzothTree_Body_01_04,Lore_Unlock_AzothTree_Title_01_04,AzothTree_Chapter_01,4,,,,,,,,
AzothTree_Title_01_05,Default,@AzothTree_Title_01_05,@AzothTree_Subtitle_01_05,@AzothTree_Body_01_05,Lore_Unlock_AzothTree_Title_01_05,AzothTree_Chapter_01,5,,,,,,,,
Topic_HuntersCabin,Topic,@Topic_HuntersCabin,,@Topic_Description_HuntersCabin,,,9,,,,,,,,
HuntersCabin_Chapter_01,Chapter,@HuntersCabin_Chapter_01,,,,Topic_06_Windsward,9,,,,,,,,
HuntersCabin_Title_01_01,Default,@HuntersCabin_Title_01_01,@HuntersCabin_Subtitle_01_01,@HuntersCabin_Body_01_01,Lore_Unlock_HuntersCabin_Title_01_01,HuntersCabin_Chapter_01,1,,,,,,,,
HuntersCabin_Title_01_02,Default,@HuntersCabin_Title_01_02,@HuntersCabin_Subtitle_01_02,@HuntersCabin_Body_01_02,Lore_Unlock_HuntersCabin_Title_01_02,HuntersCabin_Chapter_01,2,,,,,,,,
HuntersCabin_Title_01_03,Default,@HuntersCabin_Title_01_03,@HuntersCabin_Subtitle_01_03,@HuntersCabin_Body_01_03,Lore_Unlock_HuntersCabin_Title_01_03,HuntersCabin_Chapter_01,3,,,,,,,,
HuntersCabin_Title_01_04,Default,@HuntersCabin_Title_01_04,@HuntersCabin_Subtitle_01_04,@HuntersCabin_Body_01_04,Lore_Unlock_HuntersCabin_Title_01_04,HuntersCabin_Chapter_01,4,,,,,,,,
HuntersCabin_Title_01_05,Default,@HuntersCabin_Title_01_05,@HuntersCabin_Subtitle_01_05,@HuntersCabin_Body_01_05,Lore_Unlock_HuntersCabin_Title_01_05,HuntersCabin_Chapter_01,5,,,,,,,,
HuntersCabin_Title_01_06,Default,@HuntersCabin_Title_01_06,@HuntersCabin_Subtitle_01_06,@HuntersCabin_Body_01_06,Lore_Unlock_HuntersCabin_Title_01_06,HuntersCabin_Chapter_01,6,,,,,,,,
HuntersCabin_Title_01_07,Default,@HuntersCabin_Title_01_07,@HuntersCabin_Subtitle_01_07,@HuntersCabin_Body_01_07,Lore_Unlock_HuntersCabin_Title_01_07,HuntersCabin_Chapter_01,7,,,,,,,,
HuntersCabin_Title_01_08,Default,@HuntersCabin_Title_01_08,@HuntersCabin_Subtitle_01_08,@HuntersCabin_Body_01_08,Lore_Unlock_HuntersCabin_Title_01_08,HuntersCabin_Chapter_01,8,,,,,,,,
HuntersCabin_Title_01_09,Default,@HuntersCabin_Title_01_09,@HuntersCabin_Subtitle_01_09,@HuntersCabin_Body_01_09,Lore_Unlock_HuntersCabin_Title_01_09,HuntersCabin_Chapter_01,9,,,,,,,,
Topic_Alchemist,Topic,@Topic_Alchemist,,@Topic_Description_Alchemist,,,10,,,,,,,,
Alchemist_Chapter_01,Chapter,@Alchemist_Chapter_01,,,,Topic_02_Brightwood,1,,,,,,,,
Alchemist_Title_01_01,Default,@Alchemist_Title_01_01,,@Alchemist_Body_01_01,Lore_Unlock_Alchemist_Title_01_01,Alchemist_Chapter_01,1,,,,,,,,
Alchemist_Title_01_02,Default,@Alchemist_Title_01_02,,@Alchemist_Body_01_02,Lore_Unlock_Alchemist_Title_01_02,Alchemist_Chapter_01,2,,,,,,,,
Alchemist_Title_01_03,Default,@Alchemist_Title_01_03,,@Alchemist_Body_01_03,Lore_Unlock_Alchemist_Title_01_03,Alchemist_Chapter_01,3,,,,,,,,
Alchemist_Title_01_04,Default,@Alchemist_Title_01_04,,@Alchemist_Body_01_04,Lore_Unlock_Alchemist_Title_01_04,Alchemist_Chapter_01,4,,,,,,,,
Alchemist_Title_01_05,Default,@Alchemist_Title_01_05,,@Alchemist_Body_01_05,Lore_Unlock_Alchemist_Title_01_05,Alchemist_Chapter_01,5,,,,,,,,
Alchemist_Title_01_06,Default,@Alchemist_Title_01_06,,@Alchemist_Body_01_06,Lore_Unlock_Alchemist_Title_01_06,Alchemist_Chapter_01,6,,,,,,,,
Alchemist_Title_01_07,Default,@Alchemist_Title_01_07,,@Alchemist_Body_01_07,Lore_Unlock_Alchemist_Title_01_07,Alchemist_Chapter_01,7,,,,,,,,
Alchemist_Title_01_08,Default,@Alchemist_Title_01_08,,@Alchemist_Body_01_08,Lore_Unlock_Alchemist_Title_01_08,Alchemist_Chapter_01,8,,,,,,,,
Alchemist_Title_01_09,Default,@Alchemist_Title_01_09,,@Alchemist_Body_01_09,Lore_Unlock_Alchemist_Title_01_09,Alchemist_Chapter_01,9,,,,,,,,
Alchemist_Title_01_10,Default,@Alchemist_Title_01_10,,@Alchemist_Body_01_10,Lore_Unlock_Alchemist_Title_01_10,Alchemist_Chapter_01,10,,,,,,,,
Alchemist_Title_01_11,Default,@Alchemist_Title_01_11,,@Alchemist_Body_01_11,Lore_Unlock_Alchemist_Title_01_11,Alchemist_Chapter_01,11,,,,,,,,
Alchemist_Title_01_12,Default,@Alchemist_Title_01_12,,@Alchemist_Body_01_12,Lore_Unlock_Alchemist_Title_01_12,Alchemist_Chapter_01,12,,,,,,,,
Alchemist_Title_01_13,Default,@Alchemist_Title_01_13,,@Alchemist_Body_01_13,Lore_Unlock_Alchemist_Title_01_13,Alchemist_Chapter_01,13,,,,,,,,
Topic_TwinFalls,Topic,@Topic_TwinFalls,,@Topic_Description_TwinFalls,,,11,,,,,,,,
TwinFalls_Chapter_01,Chapter,@TwinFalls_Chapter_01,,,,Topic_14_Edengrove,1,,,,,,,,
TwinFalls_Title_01_01,Default,@TwinFalls_Title_01_01,,@TwinFalls_Body_01_01,Lore_Unlock_TwinFalls_Title_01_01,TwinFalls_Chapter_01,4,,,,,,,,
TwinFalls_Title_01_02,Default,@TwinFalls_Title_01_02,,@TwinFalls_Body_01_02,Lore_Unlock_TwinFalls_Title_01_02,TwinFalls_Chapter_01,5,,,,,,,,
TwinFalls_Title_01_03,Default,@TwinFalls_Title_01_03,,@TwinFalls_Body_01_03,Lore_Unlock_TwinFalls_Title_01_03,TwinFalls_Chapter_01,6,,,,,,,,
TwinFalls_Title_01_04,Default,@TwinFalls_Title_01_04,,@TwinFalls_Body_01_04,Lore_Unlock_TwinFalls_Title_01_04,TwinFalls_Chapter_01,7,,,,,,,,
TwinFalls_Title_01_05,Default,@TwinFalls_Title_01_05,,@TwinFalls_Body_01_05,Lore_Unlock_TwinFalls_Title_01_05,TwinFalls_Chapter_01,8,,,,,,,,
TwinFalls_Title_01_06,Default,@TwinFalls_Title_01_06,,@TwinFalls_Body_01_06,Lore_Unlock_TwinFalls_Title_01_06,TwinFalls_Chapter_01,9,,,,,,,,
