TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,RecommendedLevel,UnchartedIcon,EventId
30322,@ui_poi_spiritshrine_30322,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30322_charted,"spiritshrine_30322,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30323,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_30323_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,,
30324,@ui_poi_lighthouse_30324,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_watchtower.png,,1500,true,true,,,,,lighthouse_30324_discovered,lighthouse_30324_charted,lighthouse_30324,POI_State,ancient_tower,,false,Lamp of Osiris,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_lighthouse.png,,,,,,
30325,@ui_poi_phantomtree_30325,,,,true,LyShineUI/Images/Map/Icon/POIs/azure_tree.png,,1500,false,true,1,,,,,phantomtree_30325_charted,phantomtree_30325,POI_State,azure_tree,,false,Diana's Nemorensis,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_phantomtree.png,,,,,LyShineUI/Images/Map/Icon/POIs/azure_tree.png,
30326,@ui_poi_outpost_33_1_30326,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost.png,,500,true,true,2,4590ff67-957f-3867-1a63-263479ef870b,,,,,outpost_33_1_30326,POI_State,outpost,,false,Wikala al-Waha,,,0,,,,true,,,
30327,@ui_poi_romanruins_lg_30327,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,,romanruins_lg_30327_discovered,romanruins_lg_30327_charted,romanruins_lg_30327,POI_State,ancient_tower,,false,LG Roman Ruins,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,,
30328,@ui_poi_factionarea_30328,,,,true,,,60,false,true,,,,,,factionarea_30328_charted,factionarea_30328,POI_State,factionarea,,true,Faction Area,,,,,,,,,,
30329,@ui_poi_factionarea_30329,,,,true,,,60,false,true,,,,,,factionarea_30329_charted,factionarea_30329,POI_State,factionarea,,true,Faction Area,,,,,,,,,,
30330,@ui_poi_factionarea_30330,,,,true,,,60,false,true,,,,,,factionarea_30330_charted,factionarea_30330,POI_State,factionarea,,true,Faction Area,,,,,,,,,,
30331,@ui_poi_spiritshrine_30331,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30331_charted,"spiritshrine_30331,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30332,@ui_poi_spiritshrine_30332,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30332_charted,"spiritshrine_30332,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30333,@ui_legion_outpost_attack,,,,true,LyShineUI/Images/Map/Icon/POIs/campsite.png,,100,true,true,,,,,legionattack_30333_discovered,legionattack_30333_charted,legionattack_30333,POI_State,camp,,false,Brimstone Under Siege,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic.png,,,,,,
30334,@ui_poi_CrowsNest_30334,,,,true,LyShineUI/Images/Map/Icon/POIs/HiRes/Silver_Crows.png,,100,true,true,1,,,,,CrowsNest_30334_charted,CrowsNest_30334,POI_State,Crows_Nest,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_silvercrows.png,,,,0,,CrowsNest
30335,@ui_poi_varangian_elite_30335,,,,true,LyShineUI/Images/Map/Icon/POIs/military_camp_elite.png,,125,true,true,,,,"Attalus,VarangianPOI",30335_discovered,30335_charted,"varangian_elite_30335,elite",POI_State,abandoned_village,,false,Attalus' Landing,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_elite_attaluslanding.png,,,,,,
30336,@ui_poi_hatchery_solo_trial_30336,,,,true,LyShineUI\Images\Map\Icon\POIs\cave_elite.png,,60,true,true,,,,,hatchery_solo_trial_30336_discovered,hatchery_solo_trial_30336_charted,hatchery_solo_trial_30336,POI_State,outpost,,false,Hatchery,,,,LyShineUI\Images\Map\tooltipImages\SoloTrial\mapTooltip_TrialSeason02Q12.dds,,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30337,@ui_poi_malekscamp_30337,,,,true,LyShineUI\Images\Map\Icon\POIs\Malek_Camp.png,,150,true,true,,,,,malekscamp_30337_discovered,malekscamp_30337_charted,malekscamp_30337,POI_State,camp,,false,Malek's Camp,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_ruins.png,,,,,,
30338,@ui_poi_spiritshrine_30338,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30338_charted,"spiritshrine_30338,fasttravel",POI_State,spiritshrine_30338,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30339,@ui_poi_Hatchery_Trial_30339,,,,true,LyShineUI\Images\Map\Icon\POIs\arena_flamekeeper.png,,60,true,true,,,,,Hatchery_Trial_30339_discovered,Hatchery_Trial_30339_charted,Hatchery_Trial_30339,POI_State,camp,,false,The Hatchery,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_ruins.png,TrialSeason01,,,,,
30340,@ui_poi_spiritshrine_30340,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30340_charted,"spiritshrine_30340,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30341,@Brimstone_Sands_Tower_01,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Brimstone_Sands_Tower_01_30341_charted,Brimstone_Sands_Tower_01,POI_State,factionarea,,false,Brimstone_Sands_Tower_01,,,,,,,,,,
30342,@Brimstone_Sands_Tower_02,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Brimstone_Sands_Tower_02_30342_charted,Brimstone_Sands_Tower_02,POI_State,factionarea,,false,Brimstone_Sands_Tower_02,,,,,,,,,,
30343,@Brimstone_Sands_Tower_03,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Brimstone_Sands_Tower_03_30343_charted,Brimstone_Sands_Tower_03,POI_State,factionarea,,false,Brimstone_Sands_Tower_03,,,,,,,,,,
