TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,RecommendedLevel,UnchartedIcon,EventId
20417,@ui_poi_ancient_walls_20417,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,275,true,true,,,,Diospolis,ancient_walls_20417_discovered,ancient_walls_20417_charted,ancient_walls_20417,Music_POI,ancient_ruins,false,Walls of Nebet-Het,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
20418,@ui_poi_beast_den_20418,,,,true,LyShineUI\Images\Map\Icon\POIs\angryearth_cave.png,,275,true,true,,,,,beast_den_20418_discovered,beast_den_20418_charted,beast_den_20418,Music_POI,wolf_den,false,Cat Den,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_cat_den.png,,,,,
20420,@ui_poi_spiritshrine_20420,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_20420_charted,spiritshrine_20420,Music_POI,watchtower,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20421,@ui_poi_ancientpyramid_20421,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_pyramid.png,,2000,false,true,1,,,,,ancientpyramid_20421_charted,ancientpyramid_20421,Music_POI,ancient_ruins,false,Great Pyramid of Akhet,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_pyramid.png,,,,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_pyramid.png,
20422,@ui_poi_spiritshrine_20422,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_20422_charted,spiritshrine_20422,Music_POI,watchtower,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20423,@ui_poi_ancient_observatory_20423,,,,true,LyShineUI/Images/Map/Icon/POIs/scarab_elite.png,,275,true,true,,,,"PyramidObservatory,Ancient",ancient_observatory_20423_discovered,ancient_observatory_20423_charted,"ancient_observatory_20423,elite",Music_POI,ancient_ruins,false,Solarium Khepri,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_Elite_SolariumKhepri.png,,3,66,,
20424,@ui_poi_sulfurpool_20424,,,,true,LyShineUI\Images\Map\Icon\POIs\sulfer_pools.png,,275,true,true,,,,,sulfurpool_20424_discovered,sulfurpool_20424_charted,sulfurpool_20424,Music_POI,camp,false,Sulfur Pools,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_sulfurpools.png,,,,,
20425,@ui_poi_necropolis_20425,,,,true,LyShineUI\Images\Map\Icon\POIs\arena_generic.png,,60,true,true,,,,,necropolis_20425_discovered,necropolis_20425_charted,necropolis_20425,Music_POI,ancient_ruins,false,Necropolis of Sutekh,,,,LyShineUI\Images\Map\tooltipImages\SoloTrial\mapTooltip_QuestApophis.dds,,,,,
20426,@ui_poi_outpost_24_1_20426,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost.png,,500,true,true,2,03a97448-39a7-df53-2488-18224cf3d3c8,,,,,outpost_24_1_20426,Music_POI,outpost,false,Taberna Mercatus,,,0,,,,,,
20427,@ui_poi_spiritshrine_20427,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_20427_charted,spiritshrine_20427,Music_POI,watchtower,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20428,@ui_poi_spiritshrine_20428,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_20428_charted,spiritshrine_20428,Music_POI,watchtower,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20429,@ui_poi_spiritshrine_20429,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_20429_charted,spiritshrine_20429,Music_POI,watchtower,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
