TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,IsCollapsible,UnchartedIcon,EventId
30211,@ui_poi_azure_fissure,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_30211_discovered,azure_fissure_30211_charted,azure_fissure,POI_State,azure_fissure,,false,,,,,,,,,
30212,@ui_poi_azure_fissure,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_30212_discovered,azure_fissure_30212_charted,azure_fissure,POI_State,azure_fissure,,false,,,,,,,,,
30213,@ui_poi_azure_fissure_30213,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_30213_discovered,azure_fissure_30213_charted,azure_fissure,POI_State,azure_fissure,,false,@ui_poi_azure_fissure_30213,,,,,,,,
30215,@ui_poi_drownedshipwreck_ef_1_30215,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,200,true,true,,,,,drowned_shipwreck_1_30215_discovered,drowned_shipwreck_1_30215_charted,drowned_shipwreck_1_30215,POI_State,shipwreck,Shipwreck,false,Harpy of Henninger,"Lost,Drowned",3-5,3,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30216,@ui_poi_drownedshipwreck_ef_2_30216,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,200,true,true,,,,,drowned_shipwreck_2_30216_discovered,drowned_shipwreck_2_30216_charted,drowned_shipwreck_2_30216,POI_State,shipwreck,Shipwreck,false,Beringer's Boon,"Lost,Drowned",3-5,4,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30217,@ui_poi_drownedshipwreck_ef_3_30217,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,200,true,true,,,,,drowned_shipwreck_3_30217_discovered,drowned_shipwreck_3_30217_charted,drowned_shipwreck_3_30217,POI_State,shipwreck,Shipwreck,false,@ui_poi_drownedshipwreck_ef_3_30217,"Lost,Drowned",3-5,4,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30218,@ui_poi_drownedshipwreck_ef_4_30218,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,200,true,true,,,,,drowned_shipwreck_4_30218_discovered,drowned_shipwreck_4_30218_charted,drowned_shipwreck_4_30218,POI_State,shipwreck,Shipwreck,false,Huang's Hammer,"Lost,Drowned",3-5,3,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30219,@ui_poi_drownedcavern_30219,,,,true,LyShineUI/Images/Map/Icon/POIs/cave.png,,150,true,true,,,,,drowned_cavern_30219_discovered,drowned_cavern_30219_charted,drowned_cavern_30219,POI_State,cave,TropicalCave,false,Drowned Cavern,"Lost,Drowned",3-7,5,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_darkness_minor_hive.png,,,,
30220,@ui_poi_watchtower_32_30220,,,,true,LyShineUI/Images/Map/Icon/POIs/watchtower.png,,100,true,true,2,,,,,,watchtower,POI_State,outpost,,false,Everfall Watchtower,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpost_default.png,,,,
30221,@ui_poi_boar_infest_01_30221,,,,true,LyShineUI/Images/Map/Icon/NPCs/Boar_Compass.png,,100,true,true,,,,,boar_infestation_1_30221_discovered,boar_infestation_1_30221_charted,boar_infestation_1,POI_State,infestation,,false,Boar Infestation,Boar,3,0,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_boar_island.png,,,,
30222,@ui_poi_shipwreck_30222,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,100,true,true,,,,,shipwreck_30222_discovered,shipwreck_30222_charted,shipwreck_30222,POI_State,shipwreck,Shipwreck,false,Carronade Pier,Lost,11,6,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30223,@ui_poi_shipwreck_30223,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,100,true,true,,,,,shipwreck_30223_discovered,shipwreck_30223_charted,shipwreck_30223,POI_State,shipwreck,Shipwreck,false,The Dagger,Lost,10,2,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30224,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_30224_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,
30246,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_30246_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,
30226,@ui_poi_pirate_shipwreck_30226,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,300,true,true,,,,,Pirate_Shipwreck_30226_discovered,Pirate_Shipwreck_30226_charted,Pirate_Shipwreck_30226,POI_State,shipwreck,Shipwreck,false,,"Drowned,Undead",57-60,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30227,@ui_poi_dynasty_shipwreck_30227,,,,true,LyShineUI/Images/Map/Icon/POIs/hero_shipwreck.png,,150,true,true,,,,,Dynasty_Shipwreck_30227_discovered,Dynasty_Shipwreck_30227_charted,Dynasty_Shipwreck_30227,POI_State,shipwreck,Shipwreck,false,,Dynasty,54-56,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,
30228,@ui_poi_dynasty_fireshrine_30228,,,,true,LyShineUI\Images\Map\Icon\POIs\Shrine_Fire.png,,150,true,true,,,,,Dynasty_FireShrine_30228_discovered,Dynasty_FireShrine_30228_charted,Dynasty_FireShrine_30228,POI_State,abandoned_village,AbandonedMine,false,,Dynasty,54-56,5,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_blacksmith.png,,,,
30229,@ui_poi_dryad_ruins_30229,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_ruins.png,,150,true,true,,,,,Dryad_Ruins_30229_discovered,Dryad_Ruins_30229_charted,Dryad_Ruins_30229,POI_State,abandoned_village,AbandonedMine,false,,Dryad,54-56,8,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
30230,@ui_poi_dynasty_checkpoint_30230,,,,true,LyShineUI/Images/Map/Icon/POIs/fort.png,,150,true,true,,,,,Dynasty_Checkpoint_30230_discovered,Dynasty_Checkpoint_30230_charted,Dynasty_Checkpoint_30230,POI_State,abandoned_village,AbandonedMine,false,,Dynasty,54-56,8,LyShineUI\Images\Map\tooltipImages\mapTooltip_township8.png,,,,
30231,@ui_poi_dynasty_earthshrine_30231,,,,true,LyShineUI\Images\Map\Icon\POIs\Shrine_Earth.png,,150,true,true,,,,,Dynasty_EarthShrine_30231_discovered,Dynasty_EarthShrine_30231_charted,Dynasty_EarthShrine_30231,POI_State,abandoned_village,AbandonedMine,false,,Dynasty,51-52,5,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory5.png,,,,
30233,@ui_poi_dryad_ruins_30233,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_ruins.png,,150,true,true,,,,,Dryad_Ruins_30233_discovered,Dryad_Ruins_30233_charted,Dryad_Ruins_30233,POI_State,abandoned_village,AbandonedMine,false,,Dryad,51-52,8,LyShineUI\Images\Map\tooltipImages\mapTooltip_territory14.png,,,,
30234,@ui_poi_dynasty_watershrine_30234,,,,true,LyShineUI\Images\Map\Icon\POIs\Shrine_Water.png,,150,true,true,,,,,Dynasty_WaterShrine_30234_discovered,Dynasty_WaterShrine_30234_charted,Dynasty_WaterShrine_30234,POI_State,abandoned_village,AbandonedMine,false,,Dynasty,52-54,8,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_fish_3.png,,,,
30235,@ui_poi_dynasty_mountaintemple_30235,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_lg.png,,300,true,true,,,,,Dynasty_MountainTemple_30235_discovered,Dynasty_MountainTemple_30235_charted,Dynasty_MountainTemple_30235,POI_State,abandoned_village,AbandonedMine,false,,Dynasty,52-54,8,LyShineUI\Images\Map\tooltipImages\mapTooltip_fortress13.png,,,,
30236,@ui_poi_tiger_cave_30236,,,,true,LyShineUI/Images/Map/Icon/POIs/cat_den.png,,150,true,true,,,,,Tiger_Cave_30236_discovered,Tiger_Cave_30236_charted,Tiger_Cave_30236,POI_State,cave,TropicalCave,false,,Tiger,52-54,3,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_catden.png,,,,
30237,@ui_poi_dynasty_camp_30237,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,100,true,true,,,,,Dynasty_Camp_30237_discovered,Dynasty_Camp_30237_charted,Dynasty_Camp_30237,POI_State,camp,,false,,Dynasty,52-54,5,LyShineUI/Images/Map/tooltipImages/mapTooltip_station_cooking.png,,,,
30238,@ui_poi_pirate_stronghold_30238,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,200,true,true,,,,,Pirate_Stronghold_30238_discovered,Pirate_Stronghold_30238_charted,Pirate_Stronghold_30238,POI_State,abandoned_village,AbandonedMine,false,,"Drowned,Undead",57-60,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,
30239,@ui_poi_pirate_harbor_30239,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,200,true,true,,,,,Pirate_Harbor_30239_discovered,Pirate_Harbor_30239_charted,Pirate_Harbor_30239,POI_State,abandoned_village,AbandonedMine,false,,"Drowned,Undead",52-54,8,,,,,
30240,@ui_poi_dynasty_monastery_30240,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_lg.png,,300,true,true,,,,,Dynasty_Monastery_30240_discovered,Dynasty_Monastery_30240_charted,Dynasty_Monastery_30240,POI_State,camp,,false,,Dynasty,60-62,12,LyShineUI\Images\Map\tooltipImages\mapTooltip_fortress13.png,,,,
30241,@ui_poi_dynasty_cavern_30241,,,,true,LyShineUI/Images/Map/Icon/POIs/fort.png,,150,true,true,,,,,Dynasty_Cavern_30241_discovered,Dynasty_Cavern_30241_charted,Dynasty_Cavern_30241,POI_State,cave,TropicalCave,false,,,60-62,5,,,,,
30242,@ui_poi_dynasty_wall_30242,,,,true,LyShineUI/Images/Map/Icon/POIs/DamnedCapitalCity.png,,150,true,true,,,,,Dynasty_Wall_30242_discovered,Dynasty_Wall_30242_charted,Dynasty_Wall_30242,POI_State,abandoned_village,AbandonedMine,false,,Dynasty,52-54,3,LyShineUI\Images\Map\tooltipImages\mapTooltip_township8.png,,,,
30243,@ui_poi_dynasty_wall_30243,,,,true,LyShineUI/Images/Map/Icon/POIs/DamnedCapitalCity.png,,150,true,true,,,,,Dynasty_Wall_30243_discovered,Dynasty_Wall_30243_charted,Dynasty_Wall_30243,POI_State,abandoned_village,AbandonedMine,false,,Dynasty,52-54,3,LyShineUI\Images\Map\tooltipImages\mapTooltip_township8.png,,,,
30244,@ui_poi_factionarea_30244,,,,true,,,60,false,true,,,,,,factionarea_30244_charted,poi_30244_factionarea,POI_State,factionarea,,true,Faction Area,,,,,,,,
30225,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_30225_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,
30247,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_30247_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,
30248,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_30248_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,
30249,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_30249_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,
30250,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_30250_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,
30251,@ui_poi_spiritshrine_01_30251,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,true,true,1,,,,,spiritshrine_01_30251_charted,"spiritshrine_01_30251,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30252,@ui_poi_yeti_30252,,,,true,LyShineUI/Images/Map/Icon/POIs/event_cave.png,,150,true,true,,,,,yeti_30252_discovered,yeti_30252_charted,yeti_30252,POI_State,cave_ice,,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_icecave.png,,,,
30253,@EbonscaleReach_Settlement_01,,,,true,,,100,false,false,2,,,,,,EbonscaleReach_Settlement_01,,,,false,,,,,,,true,,
30254,@Ebonscale_Reach_Tower_01,,,,true,,,60,false,true,1,,,,,Ebonscale_Reach_Tower_01_30254_charted,Ebonscale_Reach_Influence_Tower_01,POI_State,factionarea,,false,Ebonscale_Reach_Influence_Tower_01,,,,,,,,
30255,@Ebonscale_Reach_Tower_02,,,,true,,,60,false,true,1,,,,,Ebonscale_Reach_Tower_02_30255_charted,Ebonscale_Reach_Influence_Tower_02,POI_State,factionarea,,false,Ebonscale_Reach_Influence_Tower_02,,,,,,,,
30256,@Ebonscale_Reach_Tower_03,,,,true,,,60,false,true,1,,,,,Ebonscale_Reach_Tower_03_30256_charted,Ebonscale_Reach_Influence_Tower_03,POI_State,factionarea,,false,Ebonscale_Reach_Influence_Tower_03,,,,,,,,
30257,@ui_poi_factionarea_30257,,,,true,,,60,false,true,,,,,,factionarea_30257_charted,poi_30257_factionarea,POI_State,factionarea,,true,Faction Area,,,,,,,,
