TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,IsCollapsible,GroupSize,UnchartedIcon,EventId,PhasingMode,PhasingAreaBoundsScale,PhasingBoundsMargin,PhasingEnterMargin,PhasingExitMargin,PhasingPopulationTarget,PhasingPopulationMax,PhasingSortPriority,PhasingAILeashOverride,PhasingProjectedACU,PhasingProjectedMemoryMb
10311,@ui_poi_ancient_hall_10311,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_shrine.png,,300,true,true,,,,,ancient_hall_10311_discovered,ancient_hall_10311_charted,ancient_hall_10311,POI_State,wolf_den,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpostRush_grove.png,,,,,,,,,,,,,,,,
10312,@ui_poi_ancient_hall_10312,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_lg.png,,300,true,true,,,,,ancient_hall_10312_discovered,ancient_hall_10312_charted,ancient_hall_10312,POI_State,wolf_den,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpostRush_grove.png,,,,,,,,,,,,,,,,
10313,@ui_poi_graveyard_10313,,,,true,LyShineUI\Images\Map\Icon\POIs\Graveyard.png,,300,true,true,,,,,graveyard_10313_discovered,graveyard_10313_charted,graveyard_10313,POI_State,Graveyard,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Graveyard.png,,,,,,,,,,,,,,,,
10314,@ui_poi_graveyard_10314,,,,true,LyShineUI\Images\Map\Icon\POIs\Graveyard_elite.png,,300,true,true,,,,,graveyard_10314_discovered,graveyard_10314_charted,graveyard_10314,POI_State,Graveyard,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Graveyard.png,,,,,,,,,,,,,,,,
10315,@ui_poi_spider_cave_10315,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_SpiderNest.png,,300,true,true,,,,,spider_cave_10315_discovered,spider_cave_10315_charted,spider_cave_10315,POI_State,Cave,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_SpiderCave.png,,,,,,,,,,,,,,,,
10316,@ui_poi_elite_castle_10316,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_DraculaCastle_Elite.png,,300,true,true,,,,,elite_castle_10316_discovered,elite_castle_10316_charted,elite_castle_10316,POI_State,wolf_den,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,,,,,,,,,,,,,,,
10317,@ui_poi_bloodmoon_village_10317,,,,true,LyShineUI\Images\Map\Icon\POIs\Lumbermill.png,,300,true,true,,,,,bloodmoon_village_10317_discovered,bloodmoon_village_10317_charted,bloodmoon_village_10317,POI_State,wolf_den,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_township10.png,,,,,,,,,,,,,,,,
10318,@ui_poi_bloodmoon_village_10318,,,,true,LyShineUI\Images\Map\Icon\POIs\abandoned_village.png,,300,true,true,,,,,bloodmoon_village_10318_discovered,bloodmoon_village_10318_charted,bloodmoon_village_10318,POI_State,wolf_den,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_township10.png,,,,,,,,,,,,,,,,
10319,@ui_poi_bloodmoon_village_10319,,,,true,LyShineUI\Images\Map\Icon\POIs\abandoned_farm_mill.png,,300,true,true,,,,,bloodmoon_village_10319_discovered,bloodmoon_village_10319_charted,bloodmoon_village_10319,POI_State,wolf_den,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_township10.png,,,,,,,,,,,,,,,,
10320,@ui_poi_bloodmoon_village_10320,,,,true,LyShineUI\Images\Map\Icon\POIs\azure_tree.png,,300,true,true,,,,,bloodmoon_village_10320_discovered,bloodmoon_village_10320_charted,bloodmoon_village_10320,POI_State,wolf_den,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_township10.png,,,,,,,,,,,,,,,,
10321,@ui_poi_spiritshrine_10321,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10321_charted,"spiritshrine_10321,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10322,@ui_poi_spiritshrine_10322,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10322_charted,"spiritshrine_10322,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10323,@ui_poi_spiritshrine_10323,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10323_charted,"spiritshrine_10323,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10324,@ui_poi_spiritshrine_10324,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10324_charted,"spiritshrine_10324,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10325,@ui_poi_spiritshrine_10325,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10325_charted,"spiritshrine_10325,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10326,@ui_poi_spiritshrine_10326,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10326_charted,"spiritshrine_10326,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10327,@ui_poi_spiritshrine_10327,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10327_charted,"spiritshrine_10327,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10328,@ui_poi_spiritshrine_10328,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10328_charted,"spiritshrine_10328,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10329,@ui_poi_spiritshrine_10329,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10329_charted,"spiritshrine_10329,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
10330,@ui_poi_outpost_10330,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost.png,,500,true,true,2,836e138f-e8b6-b17c-dc56-b0ae938beb58,,,,,outpost_10330,POI_State,Carnival,,false,false,Grand Carnival Outpost,,,0,,,true,,,,ENABLED,,0 0 0 0,,,300,500,60,25,0.25,8192
10331,@ui_poi_boss_tower_10331,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower_Elite.png,,300,true,true,,,,,boss_tower_10331_discovered,boss_tower_10331_charted,boss_tower_10331,POI_State,wolf_den,,false,false,Tower of the Emperor,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,,,,,,,,,,,,,
