TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,UnchartedIcon,EventId
20211,@ui_poi_werebeast_warren_20211,,,,true,LyShineUI\Images\Map\Icon\POIs\castle.png,,300,true,true,,,,,werebeast_warren_20211_discovered,werebeast_warren_20211_charted,werebeast_warren_20211,POI_State,BerlaurDen,,false,false,Sorrowthorn Warren,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_CursedWoods.png,,,,
20212,@ui_poi_graveyard_20212,,,,true,LyShineUI\Images\Map\Icon\POIs\graveyard.png,,300,true,true,,,,,graveyard_20212_discovered,graveyard_20212_charted,graveyard_20212,POI_State,Graveyard,,false,false,Graveyard,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Graveyard.png,,,,
20213,@ui_poi_spider_cave_20213,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_SpiderNest.png,,1000,true,true,,,,,spider_cave_20213_discovered,spider_cave_20213_charted,spider_cave_20213,POI_State,Cave,,false,false,Spider Cave,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_SpiderCave.png,,,,
20214,@ui_poi_boss_tower_20214,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_20214_discovered,boss_tower_20214_charted,boss_tower_20214,POI_State,abandoned_village,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,
20215,@ui_poi_elite_spider_20215,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_SpiderNest_Elite.png,,300,true,true,,,,,elite_spider_20215_discovered,elite_spider_20215_charted,"elite_spider_20215,elite",POI_State,camp,,false,false,Ordeal of the Spider,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_SpiderCave.png,,,,
20216,@ui_poi_ruined_castle_20216,,,,true,LyShineUI\Images\Map\Icon\POIs\castle.png,,300,true,true,,,,,ruined_castle_20216_discovered,ruined_castle_20216_charted,ruined_castle_20216,POI_State,wolf_den,,false,false,Borderland Nook,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_CursedWoods.png,,,,
20217,@ui_poi_spider_cave_20217,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_SpiderNest.png,,300,true,true,,,,,spider_cave_20217_discovered,spider_cave_20217_charted,spider_cave_20217,POI_State,Cave,,false,false,Broodmother Lair,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_SpiderCave.png,,,,
20218,@ui_poi_catacomb_20218,,,,true,LyShineUI\Images\Map\Icon\POIs\catacombs_generic.png,,300,true,true,,,,,catacomb_20218_discovered,catacomb_20218_charted,catacomb_20218,POI_State,abandoned_village,,false,false,Avanpost,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Underworld.png,,,,
20219,@ui_poi_inquisition_hq_20219,,,,true,LyShineUI\Images\Map\Icon\POIs\cathedral.png,,1000,true,true,,,,,inquisition_hq_20219_discovered,inquisition_hq_20219_charted,"inquisition_hq_20219,elite",POI_State,abandoned_village,,false,false,Monastery Isle,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Inquisition2.png,,,,
20220,@ui_poi_boss_tower_20220,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_20220_discovered,boss_tower_20220_charted,boss_tower_20220,POI_State,abandoned_village,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,
20221,@ui_poi_factionarea_20221,,,,true,,,60,false,true,,,,,,factionarea_20221_charted,poi_20221_factionarea,POI_State,factionarea,,false,false,Faction Area,,,,,,,,
20222,@ui_poi_causeways_20222,,,,true,LyShineUI\Images\Map\Icon\POIs\imperial_palace_causeways.png,,200,true,true,,,,,causeways_20222_discovered,causeways_20222_charted,causeways_20222,POI_State,abandoned_village,AbandonedMine,false,false,Imperial Palace Causeways,,,,LyShineui/images/map/tooltipimages/mapTooltip_DungeonEbonscale00.png,,,,
20223,@ui_poi_empresstrial_20223,,,,true,LyShineUI\Images\Map\Icon\POIs\trial_soul.png,,200,true,true,,,,,empresstrial_20223_discovered,empresstrial_20223_charted,empresstrial_20223,POI_State,abandoned_village,AbandonedMine,false,false,Sailing for the Stormwall,,,,LyShineUI\Images\Map\tooltipImages\SoloTrial\mapTooltip_QuestEmpressZhou.png,QuestEmpressZhou,,,
20224,@ui_poi_boss_tower_20224,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_20224_discovered,boss_tower_20224_charted,boss_tower_20224,POI_State,abandoned_village,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,
20225,@ui_poi_bridge_20225,,,,true,,,300,true,true,,,,,bridge_20225_discovered,bridge_20225_charted,bridge_20225,POI_State,abandoned_village,,false,false,,,,,,,,,
20226,@ui_poi_spiritshrine_20226,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_20226_charted,"spiritshrine_20226,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20227,@ui_poi_spiritshrine_20227,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_20227_charted,"spiritshrine_20227,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20228,@ui_poi_spiritshrine_20228,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_20228_charted,"spiritshrine_20228,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20229,@ui_poi_spiritshrine_20229,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_20229_charted,"spiritshrine_20229,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
20230,@ui_poi_factionarea_20230,,,,true,,,60,false,true,,,,,,factionarea_20230_charted,poi_20230_factionarea,POI_State,factionarea,,false,false,Faction Area,,,,,,,,
20231,@ui_poi_factionarea_20231,,,,true,,,60,false,true,,,,,,factionarea_20231_charted,poi_20231_factionarea,POI_State,factionarea,,false,false,Faction Area,,,,,,,,
