TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,UnchartedIcon,IsCollapsible,EventId
50211,@ui_poi_ancient_ruins_50211,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,250,true,true,,,,,ancient_ruins_50211_discovered,ancient_ruins_50211_charted,ancient_ruins_50211,Music_POI,ancient_ruins,false,Canopus,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
50212,@ui_poi_ancient_bridge_50212,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,300,true,true,,,,,ancient_bridge_50212_discovered,ancient_bridge_50212_charted,ancient_bridge_50212,Music_POI,ancient_ruins,false,Vega Bridge South,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
50213,@ui_poi_cave_50213,,,,true,LyShineUI/Images/Map/Icon/POIs/den_bear_elemental.png,,100,true,true,,,,,cave_50213_discovered,cave_50213_charted,cave_50213,Music_POI,cave,false,The Congregation,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
50214,@ui_poi_cave_50214,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,cave_50214_discovered,cave_50214_charted,cave_50214,Music_POI,cave,false,Stoneparish ,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
50215,@ui_poi_ancient_bridge_50215,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,300,true,true,,,,,ancient_bridge_50215_discovered,ancient_bridge_50215_charted,ancient_bridge_50215,Music_POI,ancient_ruins,false,Vega Bridge North,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
50216,@ui_poi_haunted_town_50216,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,500,true,true,,,,,haunted_town_50216_discovered,haunted_town_50216_charted,haunted_town_50216,Music_POI,haunted_village,false,Fenton Hamlet,,,,,,,,,
50223,@ui_poi_abandoned_farm_village_50223,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_farm_village.png,,150,true,true,,,,,abandoned_farm_village_50223_discovered,abandoned_farm_village_50223_charted,abandoned_farm_village_50223,Music_POI,abnd_village,false,Taryville,,,,,,,,,
50232,@ui_poi_undeadbastion_50232,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,100,true,true,,,,,undead_bastion_50232_discovered,undead_bastion_50232_charted,undead_bastion_50232,Music_POI,bastion,false,Undead Terrace,"Undead,Lost",21-24,5,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
50233,@ui_poi_gracewatercave_50233,,,,true,LyShineUI/Images/Map/Icon/POIs/cave.png,,150,true,true,,,,,gracewatercave_50233_discovered,gracewatercave_50233_charted,gracewatercave_50233,Music_POI,cave,false,Hazel's Cave,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_graveyard.png,,,,,
50234,@ui_poi_clawpointruins_50234,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,200,true,true,,,,,clawpointruins_50234_discovered,clawpointruins_50234_charted,clawpointruins_50234,Music_POI,ancient_ruins,false,Clawpoint Ruins,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
50235,@ui_poi_ancient_ruins_50235,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_shrine.png,,250,true,true,,,,,ancient_ruins_50235_discovered,ancient_ruins_50235_charted,ancient_ruins_50235,Music_POI,ancient_ruins,false,Andrometus,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_andrometus.png,,,,,
50236,@ui_poi_ancient_ruins_50236,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_lg.png,,250,true,true,,,,,ancient_ruins_50236_discovered,ancient_ruins_50236_charted,ancient_ruins_50236,Music_POI,ancient_ruins,false,Lepus,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_lepus.png,,,,,
50237,@ui_poi_abandoned_fishing_village_50237,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,150,true,true,,,,,abandoned_fishing_village_50237_discovered,abandoned_fishing_village_50237_charted,abandoned_fishing_village_50237,Music_POI,abandoned_village,false,Wretched Shallows,,,,,,,,,
50238,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_50238_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
50239,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_50239_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
50244,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_50244_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
50245,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_50245_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
50240,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_50240_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,
50241,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_50241_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,
50242,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_50242_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
50243,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_50243_charted,FishingHotspot,Music_POI,camp,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
50246,@ui_poi_bear_patch_50246,,,,true,LyShineUI/Images/Map/Icon/POIs/den_bear_elemental.png,,100,true,true,,,,,bear_patch_50246_discovered,bear_patch_50246_charted,bear_patch,Music_POI,cave,false,Bear Patch,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
50247,@ui_poi_factionarea_50247,,,,true,,,60,false,true,,,,,,factionarea_50247_charted,factionarea_50247,Music_POI,factionarea,true,Faction Area,,,,,,,,,
50248,@ui_poi_factionarea_50248,,,,true,,,60,false,true,,,,,,factionarea_50248_charted,factionarea_50248,Music_POI,factionarea,true,Faction Area,,,,,,,,,
50249,@ui_poi_factionarea_50249,,,,true,,,60,false,true,,,,,,factionarea_50249_charted,factionarea_50249,Music_POI,factionarea,true,Faction Area,,,,,,,,,
50250,@ui_poi_spiritshrine_01_50250,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,150,false,true,1,,,,,spiritshrine_01_50250_charted,spiritshrine_01_50250,Music_POI,watchtower,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
50251,@ui_poi_stinky_50251,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,70,true,true,,,,,stinky_50251_discovered,stinky_50251_charted,stinky_50251,Music_POI,abandoned_village,false,Stinky's Shack,,,,,,,,,
50252,@ui_poi_summervillage_50252,,,,true,LyShineUI/Images/Map/Icon/POIs/event_summervillage.png,,150,true,true,2,,,,,,summervillage_50252,,,false,Summer Village,,,,LyShineUI/Images/map/tooltipimages/mapTooltip_Summer_npc.png,,,,true,SummerMedley
