TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,RecommendedLevel,UnchartedIcon,GroupSize,EventId
30422,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_30422_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,
30423,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_30423_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
30424,@ui_poi_sulfurpool_30424,,,,true,LyShineUI\Images\Map\Icon\POIs\sulfer_pools.png,,100,true,true,,,,,sulfurpool_30424_discovered,sulfurpool_30424_charted,sulfurpool_30424,POI_State,camp,,false,Sulfur Pools,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_sulfurpools.png,,,,,
30425,@ui_poi_sulfurpool_30425,,,,true,LyShineUI\Images\Map\Icon\POIs\sulfer_pools.png,,275,true,true,,,,,sulfurpool_30425_discovered,sulfurpool_30425_charted,sulfurpool_30425,POI_State,camp,,false,Sulfur Pools,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_sulfurpools.png,,,,,
30426,@ui_poi_ancientwall_30426,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_shrine.png,,600,false,true,1,,,,,ancientwall_30426_charted,ancientwall_30426,POI_State,ancient_tower,,false,Great Wall of Nebet-Het,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_greatwall_monument.png,,0,LyShineUI\Images\Map\Icon\POIs\ancient_shrine.png,,
30427,@ui_poi_aqueduct_30427,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_lg.png,,150,true,true,,,,,aqueduct_30427_discovered,aqueduct_30427_charted,aqueduct_30427,POI_State,ancient_tower,,false,Aqua Anuket,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_anubianancient.png,,,,,
30428,@ui_poi_romanruins_sm_30428,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,,romanruins_sm_30428_discovered,romanruins_sm_30428_charted,romanruins_sm_30428,POI_State,ancient_tower,,false,SM Roman Ruins,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,
30429,@ui_poi_romanruins_med_30429,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,,romanruins_med_30429_discovered,romanruins_med_30429_charted,romanruins_med_30429,POI_State,ancient_tower,,false,MED Roman Ruins,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,
30430,@ui_poi_ancientwall_elite_30430,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_lg_elite.png,,600,true,true,,,,"Westwall,Ancient",ancientwall_elite_30430_discovered,ancientwall_elite_30430_charted,"ancientwall_elite_30430,elite",POI_State,ancient_tower,,false,Westwall Nebet-Het,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_WestwallNebetHet.png,,66,,3,
30431,@ui_poi_ancientwall_solo_30431,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_lg.png,,600,true,true,,,,,ancientwall_solo_30431_discovered,ancientwall_solo_30431_charted,ancientwall_solo_30431,POI_State,ancient_tower,,false,Eastwall Nebet-Het,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_greatwall.png,,,,,
30434,@BrimstoneSands_Settlement_01,,,,true,,,600,false,false,2,,,,,,BrimstoneSands_Settlement_01,,,,false,,,,,,,,,,
30435,@ui_poi_malek_solo_trial_30435,,,,true,LyShineUI\Images\Map\Icon\POIs\cave.png,,600,true,true,,,,,malek_solo_trial_30435_discovered,malek_solo_trial_30435_charted,malek_solo_trial_30435,POI_State,ancient_tower,,false,Satet,,,,LyShineUI/Images/Map/tooltipImages/SoloTrial/mapTooltip_TrialSeason02Q13.png,,,,,
30436,@ui_poi_spiritshrine_30436,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30436_charted,"spiritshrine_30436,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
