TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,RecommendedLevel,UnchartedIcon,EventId
40413,@ui_poi_rifteast_40413,,,,true,LyShineUI\Images\Map\Icon\POIs\Ore.png,,1000,true,true,,,,,rifteast_40413_discovered,rifteast_40413_charted,rifteast,POI_State,rifteast,,false,East Illurmin,,,,,,,,,
40414,@ui_poi_riftwest_40414,,,,true,LyShineUI\Images\Map\Icon\POIs\Ore.png,,1000,true,true,,,,,riftwest_40414_discovered,riftwest_40414_charted,riftwest,POI_State,riftwest,,false,West Illurmin,,,,,,,,,
40415,@ui_poi_ancientcave_40415,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,200,true,true,,,,,ancientcave_40415_discovered,ancientcave_40415_charted,ancientcave,POI_State,ancientcave,,false,Spilaio Cavern,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
40416,@ui_poi_bearden_40416,,,,true,LyShineUI/Images/Map/Icon/POIs/den_bear_elemental.png,,200,true,true,,,,,bearden_40416_discovered,bearden_40416_charted,bearden,POI_State,bearden,,false,Ursus Cave,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
40417,@ui_poi_corruptedfort_40417,,,,true,LyShineUI/Images/Map/Icon/POIs/Fort.png,,200,true,true,,,,,corruptedfort_40417_discovered,corruptedfort_40417_charted,corruptedfort,POI_State,corruptedfort,,false,Pullus,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_fortress9.png,,,,,
40418,@ui_poi_village_40418,,,,true,LyShineUI/Images/Map/Icon/POIs/FarmingVillage.png,,200,true,true,,,,,village_40418_discovered,village_40418_charted,village,POI_State,village,,false,Desolate Cliffs,,,,,,,,,
40419,@ui_poi_lowermine_40419,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine_elite.png,,375,true,true,,,,"ScorchMines,Corrupted",lowermine_40419_discovered,lowermine_40419_charted,"lowermine,elite",POI_State,damned,Damned,false,Ambusti Inferior,Corrupted,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_AmbustiInferior.png,,3,,,
40420,@ui_poi_uppermine_40420,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine_elite.png,,600,true,true,,,,"ScorchMinesUpper,Corrupted",uppermine_40420_discovered,uppermine_40420_charted,"uppermine,elite",POI_State,damned,Damned,false,Ambusti Superior,Corrupted,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_AmbustiSuperior.png,,3,,,
40421,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_40421_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
40422,@ui_poi_bearden_40422,,,,true,LyShineUI/Images/Map/Icon/POIs/den_bear_elemental.png,,200,true,true,,,,,bearden_40422_discovered,bearden_40422_charted,bearden_40422,POI_State,bearden_40422,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
40423,@ui_poi_factionarea_40423,,,,true,,,60,false,true,,,,,,factionarea_40423_charted,factionarea_40423,POI_State,factionarea,,true,Faction Area,,,,,,,,,
40424,@ui_poi_factionarea_40424,,,,true,,,60,false,true,,,,,,factionarea_40424_charted,factionarea_40424,POI_State,factionarea,,true,Faction Area,,,,,,,,,
40425,@ui_poi_spiritshrine_01_40425,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_01_40425_charted,"spiritshrine_01_40425,fasttravel",POI_State,spiritshrine_01_40425,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
40426,@ui_poi_yeti_40426,,,,true,LyShineUI/Images/Map/Icon/POIs/cave.png,,150,true,true,,,,,yeti_40426_discovered,yeti_40426_charted,yeti_40426,POI_State,cave_ice,,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_icecave.png,,,,,
40427,@ui_poi_yeti_40427,,,,true,LyShineUI/Images/Map/Icon/POIs/event_cave.png,,150,true,true,,,,AngryEarth,yeti_40427_discovered,yeti_40427_charted,yeti_40427,POI_State,cave_ice,,false,,,31-65,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_icecave.png,,,,,
40428,@ui_poi_dungeon_shattermtn_40428,,,,true,LyShineUI/Images/Map/Icon/POIs/expedition_isabella.png,,150,true,true,,,,,dungeon_shattermtn_40428_discovered,dungeon_shattermtn_40428_charted,isabella_dungeon,POI_State,dungeon_shattermtn,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_DungeonIsabella.png,DungeonShatterMtn00,,,,
40429,@ui_poi_spiritshrine_02_40429,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_02_40429_charted,"spiritshrine_02_40429,fasttravel",POI_State,spiritshrine_02_40429,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
40430,@ui_poi_spiritshrine_40430,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_40430_charted,"spiritshrine_40430,fasttravel",POI_State,spiritshrine_40430,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
40431,@ui_poi_CrowsNest_40431,,,,true,LyShineUI/Images/Map/Icon/POIs/HiRes/Silver_Crows.png,,150,false,true,1,,,,,CrowsNest_40431_charted,CrowsNest_40431,POI_State,Crows_Nest,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_silvercrows.png,,,0,,CrowsNest
40432,@ui_poi_wolf_cave_40432,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,cave_40432_discovered,cave_40432_charted,cave_40432,POI_State,wolf_den,,false,Wolf Cave ,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
40433,@ui_poi_wolf_cave_40433,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,cave_40433_discovered,cave_40433_charted,cave_40433,POI_State,wolf_den,,false,Wolf Cave ,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
