TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,UnchartedIcon,EventId,RecommendedLevel
10221,@ui_poi_upyr_castle_10221,,,,true,LyShineUI\Images\Map\Icon\POIs\castle.png,,300,true,true,,,,,upyr_castle_10221_discovered,upyr_castle_10221_charted,upyr_castle_10221,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,,,,
10222,@ui_poi_upyr_castle_10222,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_GothicCastle.png,,300,true,true,,,,,upyr_castle_10222_discovered,upyr_castle_10222_charted,upyr_castle_10222,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,,,,
10223,@ui_poi_boss_tower_10223,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_10223_discovered,boss_tower_10223_charted,boss_tower_10223,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,,
10224,@ui_poi_spiritshrine_10224,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10224_charted,"spiritshrine_10224,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
10225,@ui_poi_spiritshrine_10225,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10225_charted,"spiritshrine_10225,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
10226,@ui_poi_spiritshrine_10226,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10226_charted,"spiritshrine_10226,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
10228,@ui_poi_spiritshrine_10228,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10228_charted,"spiritshrine_10228,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
10229,@ui_poi_spiritshrine_10229,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_10229_charted,"spiritshrine_10229,fasttravel",POI_State,watchtower,,false,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_spiritshrine_dunwood.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
10230,@ui_poi_boss_tower_10230,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_TarotTower.png,,300,true,true,,,,,boss_tower_10230_discovered,boss_tower_10230_charted,boss_tower_10230,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_TarotTower.png,,,,,
10231,@ui_poi_carnivalcamp_10231,,,,true,LyShineUI\Images\Map\Icon\POIs\Silver_Crows.png,,150,true,true,,,,,carnivalcamp_10231_discovered,carnivalcamp_10231_charted,carnivalcamp_10231,POI_State,ancient_ruins,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_station_cooking.png,,,,,
10232,@ui_poi_fishingcamp_10232,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,fishingcamp_10232_discovered,fishingcamp_10232_charted,fishingcamp_10232,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
10233,@ui_poi_raid_IoN_10233,,,,true,LyShineUI/Images/Map/Icon/POIs/raid.png,,150,false,true,2,,,,,,raid_IsleOfNight,POI_State,raid_IsleOfNight,,false,false,Isle of Night,,,,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_IsleofNight.png,RaidMonarchsBluffs00,70,,,
10234,@ui_poi_mode_catacombs_10234,,,,true,LyShineUI\Images\Map\Icon\POIs\catacombs.png,,150,false,true,2,,,,,,mode_Catacombs,POI_State,mode_Catacombs,,false,false,Catacombs,,,,LyShineUI/Images/Dungeons/dungeonImages/dungeonImages_Catacombs.png,Catacombs,70,,,
