TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,Grade,LootTags,DiscoveredAchievement,ChartedAchievement,AudioGroup,AudioState,AudioBank,RecommendedLevel,MaximumLevel,MinCompanyDefenders,MinCompanyAttackers,CanPlaceCamp,ObjectiveID,IsTerritory,FactionControlBuff,FactionControlTerritoryBuffs,PermanentOwnershipAchievementId,UpkeepModifier,TerritoryStandingXpModifier,PoiDiscoveryXpModifier,EntryAchievementId,EntryStatusEffectId
12,@MonarchsBluffs,300,500,,,,,,,,,,Monarchs,,,MX_Territory,Monarchs_Bluffs,,1,17,40,25,true,12_getoffbeach,true,Progression_Global_Modifier,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner12,0.2,1.25,75,,
13,@WeaversFen,300,500,,,,,,,,,,Weavers,,,MX_Territory,Weavers_Fen,,30,40,40,25,true,,true,Crafting_Refining_Yield_Modifier,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner13,0.1,1.25,150,,
14,@Edengrove,300,500,,,,,,,,,,Edengrove,,,MX_Territory,Edengrove,,51,60,40,25,true,,true,None,None,,,1.25,400,,
15,@RestlessShore,300,500,,,,,,,,,,Restless,,,MX_Territory,Restless_Shore,,41,46,40,25,true,,true,Azoth_FastTravel_GeneralCost_Reduction,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner15,0.1,1.25,200,,
16,@BrimstoneSands,300,500,,,,,,,,,,Brimstone,,,MX_Territory,Brimstone_Sands,,60,70,40,25,true,,true,Gathering_Volume_Modifier,"InfluencePoints_Modifier,ExperiencePoints_Modifier",TerritoryPermanentOwner16,0.25,1.25,400,,
18,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,@DevWorld_Red,300,500,1,,,,,,,,,DevWorld_Red,,,Music_Territory,Brightwoods,Brightwoods,,,,,true,,true,,,,,,,,
75,@DevWorld_Blue,300,500,1,,,,,,,,,DevWorld_Blue,,,Music_Territory,Brightwoods,Brightwoods,,,,,true,,true,,,,,,,,
76,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,@Campground,300,500,,true,,,,,,,,,,,Music_POI,Campground,Campground,,,,,true,,,,,,,,,,
101,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
