TerritoryID,NameLocalizationKey,IsPOI,MapIcon,CompassIcon,TooltipBackground,GroupSize,POITag,RequiredItemId,RecommendedLevel,PulseColor,AudioGroup,AudioState,AudioBank
8011,@ui_preddieu_farm_attack,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,DefendObject,,15,1 0 0,POI_State,,
8012,@ui_boatencounter_scallywag,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,DefendObject,,17,1 0 0,POI_State,,
8013,@ui_boatencounter_brysedd,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,DefendObject,,10,1 0 0,POI_State,,
8014,@ui_holdout_chamber,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,DefendObject,,15,1 0 0,POI_State,,
8015,@ui_nightveil_worldboss_baalphazu,true,LyShineUI/Images/Map/Icon/POIs/Baalphazu.png,LyShineUI/Images/Map/Icon/POIs/Baalphazu.png,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_nightveil_baalphazu.png,0,EventEncounter,,65,110 116 240,POI_State,worldboss,
8016,@objective_msq_beach_chaplain,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,0,ChaplainEncounter,,5,,POI_State,,
8017,@objective_msq_heartforge_guardian,true,,,,0,HeartforgeEncounter,,,,POI_State,,
8018,@12A_Encounter_Captain_Boss_Obj_Enc_Title,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,,DefendObject,,15,1 0 0,POI_State,,
8019,@12A_Encounter_Helvan_Boss_Obj_Enc_Title,false,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,,DefendObject,,10,1 0 0,POI_State,pyramid,
8020,@12A_Encounter_SirGawain_Boss_Obj_Enc_Title,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,,DefendObject,,17,1 0 0,POI_State,,
8021,@06A_Encounter_Medea_Boss_Obj_Enc_Title,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,,,,,,POI_State,,
8022,@ui_solariumkhepri_attack,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,3,EliteOverlord,,66,255 0 0,POI_State,,
8023,@ui_ordealscorpio_attack,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,3,EliteOverlord,,66,255 0 0,POI_State,,
8024,@ui_legion_outpost_attack,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,0,BrimstoneSiegeEncounter,,60,1 0 0,POI_State,,
8025,@ui_sulfurpool_attack,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,0,BrimstoneSulfurEncounter,,60,1 0 0,POI_State,,
8026,@04A_Encounter_Remnant_Boss_Obj_Enc_Title,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,,RemnantEncounter,,17,1 0 0,POI_State,,
8027,@04A_Encounter_Zane_Boss_Obj_Enc_Title,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,,,ZaneEncounter,,21,1 0 0,POI_State,,
8028,@ui_winterconv_worldboss_winterwarrior,true,LyShineUI/Images/Map/Icon/POIs/winter_warrior.png,LyShineUI/Images/Map/Icon/POIs/winter_warrior.png,LyShineUI/Images/Map/tooltipImages/mapTooltip_convergence_yeti.png,0,EventEncounter,,65,195 219 255,POI_State,worldboss,
8029,@ui_turkeyterror_worldboss_Turkulon,true,LyShineUI/Images/Map/Icon/POIs/Turkey.png,LyShineUI/Images/Map/Icon/POIs/Turkey.png,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_Event_Turkulon.png,0,EventEncounter,,65,110 116 240,POI_State,worldboss,
8030,@ui_lostattack_swampwaterfishery,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,EventEncounter,,40,1 0 0,POI_State,,
8031,@ui_lostattack_piscarianfishery,true,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/Icon/POIs/damned_compass_danger.png,LyShineUI/Images/map/tooltipImages/POI/mapTooltip_darkness_minor_monolith.png,0,EventEncounter,,40,1 0 0,POI_State,,
8032,@ui_worldboss_legacyofcrassus,true,LyShineUI/Images/Map/Icon/POIs/cyclops.png,LyShineUI/Images/Map/Icon/POIs/cyclops.png,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_event_legacyofcrassus.png,4,EventEncounter,,65,110 116 240,POI_State,worldboss,
8033,@ui_worldboss_season_01_event,true,LyShineUI/Images/Map/Icon/POIs/furySpriggan.png,LyShineUI/Images/Map/Icon/POIs/furySpriggan.png,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_furyspriggan.png,0,SeasonEncounter,,65,235 52 52,POI_State,worldboss,
8034,@objective_S01_Aidyn,true,,,,0,AidynEncounter,,,,POI_State,,
8035,@objective_S01_Faceless,true,,,,0,FacelessEncounter,,,,POI_State,,
8036,@ui_worldboss_season_02_event,true,LyShineUI/Images/Map/Icon/POIs/furySpriggan.png,LyShineUI/Images/Map/Icon/POIs/furySpriggan.png,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_furyspriggan.png,0,SeasonEncounter,,65,235 52 52,POI_State,worldboss,
