TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId,PhasingMode,PhasingAreaBoundsScale,PhasingBoundsMargin,PhasingEnterMargin,PhasingExitMargin,PhasingPopulationTarget,PhasingPopulationMax,PhasingSortPriority,PhasingAILeashOverride,PhasingProjectedACU,PhasingProjectedMemoryMb
30111,@ui_poi_grey_wolf_den_30111,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,greywolf_den_30111_discovered,greywolf_den_30111_charted,greywolf_den_30111,POI_State,wolf_den,,false,Grey Wolf Den,AlphaWolf,10,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,,,,,,,,,,,,
30112,@ui_poi_witherd_mines_30112,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,200,true,true,,,,,withered_mines_30112_discovered,withered_mines_30112_charted,withered_mines_30112,POI_State,mine,,false,Mines de Miclot,Withered,7,15,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,,,ENABLED,0,70 570 390 265,,,150,300,70,25,0.1,4096
30113,@ui_poi_witheredfarm_3_30113,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,175,true,true,,,,,withered_farm_30113_discovered,withered_farm_30113_charted,withered_farm_30113,POI_State,farm,Farm,false,Lakeside Farm,Withered,14,6,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,,,,,,,,,,,,,
30114,@ui_poi_witheredfarm_2_30114,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,100,true,true,,,,,withered_farm_3_30114_discovered,withered_farm_3_30114_charted,withered_farm_3_30114,POI_State,farm,Farm,false,Fong Family Orchard,Withered,14,5,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,,,,,,,,,,,,,
30115,@ui_poi_witheredfarm_2_30115,,,,true,LyShineUI/Images/Map/Icon/POIs/castle.png,,100,true,true,,,,,withered_farm_3_30115_discovered,withered_farm_3_30115_charted,withered_farm_3_30115,POI_State,farm,Farm,false,Teyrnon Keep,Withered,15,9,LyShineUI/Images/Map/tooltipImages/POI/msq2/mapTooltip_msq2_POI_TeyrnonKeep.png,,,,,,,,,,,,,,,,
30116,@ui_poi_witheredfarm_30116,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,100,true,true,,,,,withered_farm_30116_discovered,withered_farm_30116_charted,withered_farm_30116,POI_State,farm,Farm,false,Arruda Ranch,Withered,15,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_farm.png,,,,,,,,,,,,,,,,
30117,@ui_poi_watchtower_mb_01_30117,,,,true,LyShineUI/Images/Map/Icon/POIs/watchtower.png,,100,true,true,2,,,,,,watchtower,POI_State,watchtower,,false,Monarchs Bluffs Watchtower,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpost_default.png,,,,,,,,,,,,,,,,
30118,@ui_poi_witheredfarm_30118,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,500,true,true,,,,,withered_farm_1_30118_discovered,withered_farm_1_30118_charted,withered_farm_1_30118,POI_State,fishing_village,,false,Reedwater Fishery,Withered,8,8,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,,,,,,,,,,,,
30119,@ui_poi_ancient_ruins_30119,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,350,true,true,,,,,ancient_ruins_30119_discovered,ancient_ruins_30119_charted,ancient_ruins_30119,POI_State,ancient_ruins,,false,Ancient Ruins Achernar,Ancients,12,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,,,,,,,,,,,,
30120,@ui_poi_ancient_ruins_30120,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,350,true,true,,,,,ancient_ruins_30120_discovered,ancient_ruins_30120_charted,ancient_ruins_30120,POI_State,ancient_ruins,,false,Pollus,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,,,,,,,,,,,,
30121,@ui_poi_ancient_ruins_30121,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,200,true,true,,,,,ancient_ruins_30121_discovered,ancient_ruins_30121_charted,ancient_ruins_30121,POI_State,ancient_ruins,,false,Ancient Ruins Antares,Ancients,13,2,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,,,,,,,,,,,,
30122,@ui_poi_cavern_mb_01_30122,,,,true,LyShineUI/Images/Map/Icon/POIs/cave.png,,100,true,true,,,,Corrupted,drowned_cavern_30122_discovered,drowned_cavern_30122_charted,drowned_cavern_30122,POI_State,cave,,false,Drowned Cavern,Drowned,3-7,5,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_darkness_minor_hive.png,,,,,,,,,,,,,,,,
30123,@ui_poi_shipwreck_mb_01_30123_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/shipwreck_tendrils.png,,100,true,true,,,,"Corrupted,Drowned",drowned_shipwreck_1_30123_discovered,drowned_shipwreck_1_30123_charted,drowned_shipwreck_1_30123,POI_State,shipwreck,Shipwreck,false,Favor of the Isles,Corrupted,3-5,3,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_shipwreck.png,,,,,,,,,,,,,,,,
30124,@ui_poi_cave_30124,,,,true,LyShineUI/Images/Map/Icon/POIs/Fort.png,,375,true,true,,,,"DeadmansCove,Lost",undead_cavern_30124_discovered,undead_cavern_30124_charted,undead_cavern_30124,POI_State,cave,TropicalCave,false,Deadfool Cove,Pirates,17,8,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_graveyard.png,,,,,,,,,,,,,,,,
30125,@ui_poi_shipwreck_mb_02_30125_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/shipwreck_tendrils.png,,100,true,true,,,,"Corrupted,Drowned",drowned_shipwreck_2_30125_discovered,drowned_shipwreck_2_30125_charted,drowned_shipwreck_2_30125,POI_State,shipwreck,Shipwreck,false,Ocean's Glory,Corrupted,3-5,3,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_shipwreck.png,,,,,,,,,,,,,,,,
30126,@ui_poi_undeadbastion_30126,,,,true,LyShineUI/Images/Map/Icon/POIs/hero_shipwreck.png,,250,true,true,,,,,undead_bastion_30126_discovered,undead_bastion_30126_charted,undead_bastion_30126,POI_State,bastion,,false,Nautilus of Nunez,Pirates,17,15,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,,,,,,,,,,,,
30127,@ui_poi_undeadbastion_30127,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,250,true,true,,,,,undead_bastion_30127_discovered,undead_bastion_30127_charted,undead_bastion_30127,POI_State,bastion,,false,Brigand Bastion,Pirates,15,5,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,,,,,,,,,,,,
30128,@ui_poi_boar_infest_01_30128,,,,true,LyShineUI/Images/Map/Icon/NPCs/Boar_Compass.png,,100,true,true,,,,,boar_infestation_1_30128_discovered,boar_infestation_1_30128_charted,boar_infestation_1,POI_State,infestation,,false,Boar Infestation,Boars,3,0,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_boar_island.png,,,,,,,,,,,,,,,,
30129,@ui_poi_shipwreck_mb_03_30129_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/hero_shipwreck_roussette.png,,100,true,true,,,,Drowned,drowned_shipwreck_3_30129_discovered,drowned_shipwreck_3_30129_charted,drowned_shipwreck_3_30129,POI_State,shipwreck,Shipwreck,false,La Roussette,,3-7,3,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_shipwreck.png,,,,,,,,,,,,,,,,
30130,@ui_poi_shipwreck_mb_04_30130_MSQ2,,,,true,LyShineUI/Images/Map/Icon/POIs/shipwreck_tendrils.png,,100,true,true,,,,"Corrupted,Drowned",drowned_shipwreck_4_30130_discovered,drowned_shipwreck_4_30130_charted,drowned_shipwreck_4_30130,POI_State,shipwreck,Shipwreck,false,The Satisfaction,Corrupted,3-7,3,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_shipwreck.png,,,,,,,,,,,,,,,,
30131,@ui_poi_greywolf_den_30131,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,greywolf_den_30131_discovered,greywolf_den_30131_charted,greywolf_den_30131,POI_State,wolf_den,,false,Bayhowl Burrow,AlphaWolf,6,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,,,,,,,,,,,,
30132,@ui_poi_greywolf_den_30132,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,125,true,true,,,,,greywolf_den_30132_discovered,greywolf_den_30132_charted,greywolf_den_30132,POI_State,wolf_den,,false,Hurtfang Hole,AlphaWolf,6,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,,,,,,,,,,,,
30133,@ui_poi_boar_infest_01_30133,,,,true,LyShineUI/Images/Map/Icon/NPCs/Boar_Compass.png,,100,true,true,,,,,boar_infestation_1_30133_discovered,boar_infestation_1_30133_charted,boar_infestation_1,POI_State,infestation,,false,Boar Infestation,Boars,3,0,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_boar_island.png,,,,,,,,,,,,,,,,
30134,@ui_poi_devilspit_30134,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,35,true,true,,,,,devilspit_30134_discovered,devilspit_30134_charted,devilspit_30134,POI_State,devilspit,,false,Devil's Pit,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_storage.png,,,,,,,,,,,,,,,,
30135,@ui_poi_alpha_wolf_den_30135,,,,true,LyShineUI/Images/Map/Icon/POIs/cat_den.png,,100,true,true,,,,,alphawolf_den_30135_discovered,alphawolf_den_30135_charted,alphawolf_den_30135,POI_State,wolf_den,,false,Offal Grotto,Lynx,12,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_catden.png,,,,,,,,,,,,,,,,
30136,@ui_poi_infested_monolith_30136,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_tower.png,,100,true,true,,,,,Infested_Monolith_30136_discovered,Infested_Monolith_30136_charted,Infested_Monolith_30136,POI_State,Infested_Monolith,,false,Infested Monolith,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_darkness_major_monolith.png,,,,,,,,,,,,,,,,
30137,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_30137_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,,,,,,,,,,,,
30138,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_30138_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,,,,,,,,,,,,
30139,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_30139_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,,,,,,,,,,,,
30140,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_30140_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,,,,,,,,,,,,
30141,@ui_poi_factionarea_30141,,,,true,,,60,false,true,,,,,,factionarea_30141_charted,poi_30141_factionarea,POI_State,factionarea,,true,Faction Area,,,,,,,,,,,,,,,,,,,,
30142,@ui_poi_spiritshrine_01_30142,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_01_30142_charted,"spiritshrine_01_30142,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
30143,@ui_poi_camp_30143,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,150,true,true,,,,,camp_30143_discovered,camp_30143_charted,camp_30143,POI_State,camp,,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_varangian.png,,,,,,,,,,,,,,,,
30144,@ui_poi_yeti_30144,,,,true,LyShineUI/Images/Map/Icon/POIs/event_cave.png,,150,true,true,,,,,yeti_30144_discovered,yeti_30144_charted,yeti_30144,POI_State,wolf_den,,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_icecave.png,,,,,,,,,,,,,,,,
30145,@ui_poi_wintervillage_30145,,,,true,LyShineUI/Images/Map/Icon/POIs/event_village.png,,150,true,true,2,,,,,,wintervillage_30145,POI_State,village_winter,,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_poi_wintervillage.png,,,true,,WinterConvergence,,,,,,,,,,,
30146,@ui_poi_factionarea_30146,,,,true,,,60,false,true,,,,,,factionarea_30146_charted,poi_30146_factionarea,POI_State,factionarea,,true,Faction Area,,,,,,,,,,,,,,,,,,,,
30147,@ui_poi_factionarea_30147,,,,true,,,60,false,true,,,,,,factionarea_30147_charted,poi_30147_factionarea,POI_State,factionarea,,true,Faction Area,,,,,,,,,,,,,,,,,,,,
30148,@ui_poi_factionarea_30148,,,,true,,,60,false,true,,,,,,factionarea_30148_charted,poi_30148_factionarea,POI_State,factionarea,,true,Faction Area,,,,,,,,,,,,,,,,,,,,
30149,@ui_poi_summervillage_30149,,,,true,LyShineUI/Images/Map/Icon/POIs/event_summervillage.png,,150,true,true,2,,,,,,summervillage_30149,POI_State,village_summer,,false,,,,,LyShineUI/Images/map/tooltipimages/mapTooltip_Summer_npc.png,,,true,,SummerMedley,,,,,,,,,,,
30150,@ui_poi_lost_ruins_30150,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,175,true,true,,,,,lost_ruins_30150_discovered,lost_ruins_30150_charted,lost_ruins_30150,POI_State,infestation,,false,High King Landing,Boars,6,,LyShineUI/Images/Map/tooltipImages/mapTooltip_territory10.png,,,,,,,,,,,,,,,,
30151,@ui_poi_spiritshrine_02_30151,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_02_30151_charted,"spiritshrine_02_30151,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
30152,@ui_poi_ancient_ruins_30152,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_shrine.png,,150,true,true,,,,,ancient_ruins_30152_discovered,ancient_ruins_30152_charted,ancient_ruins_30152,POI_State,ancient_ruins,,false,Ancient Ruins Fatentur,Ancient,5,0,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,,,,,,,,,,,,
30153,@ui_poi_spiritshrine_02_30153,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_02_30153_charted,"spiritshrine_02_30153,fasttravel",POI_State,watchtower,,false,Preddieu Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
30154,@ui_poi_spiritshrine_02_30154,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_02_30154_charted,"spiritshrine_02_30154,fasttravel",POI_State,watchtower,,false,Werna Isle Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
30155,@MonarchsBluffs_Settlement_01,,,,true,,,100,false,false,2,,,,,,Windsward_Settlement_01,POI_State,settlement,,false,,,,,,,,true,,,ENABLED,,150 250 240 250,,,300,500,60,25,0.2,8192
30157,@Monarchs_Bluff_Tower_01,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Monarchs_Bluff_Tower_01_30157_charted,Monarchs_Bluff_Influence_Tower_01,POI_State,factionarea,,false,Monarchs_Bluff_Influence_Tower_01,,,,,,,,,,,,,,,,,,,,
30158,@Monarchs_Bluff_Tower_02,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Monarchs_Bluff_Tower_02_30158_charted,Monarchs_Bluff_Influence_Tower_02,POI_State,factionarea,,false,Monarchs_Bluff_Influence_Tower_02,,,,,,,,,,,,,,,,,,,,
30159,@Monarchs_Bluff_Tower_03,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Monarchs_Bluff_Tower_03_30159_charted,Monarchs_Bluff_Influence_Tower_03,POI_State,factionarea,,false,Monarchs_Bluff_Influence_Tower_03,,,,,,,,,,,,,,,,,,,,
30160,@ui_poi_spiritshrine_02_30160,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_02_30160_charted,"spiritshrine_02_30160,fasttravel",POI_State,watchtower,,false,Werna Isle Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
30161,@ui_poi_spiritshrine_02_30151,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_02_30151_charted,"spiritshrine_02_30151,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
30162,@ui_poi_trialgawain_30162,,,,true,LyShineUI/Images/Map/Icon/POIs/trial_soul.png,,150,false,true,,,,,,trialgawain_30162_charted,poi_trialgawain_30162,POI_State,abandoned_village,AbandonedMine,false,Gawain Solo Trial,,,,LyShineUI\Images\Map\tooltipImages\SoloTrial\mapTooltip_QuestGawain.png,QuestGawain,,,,,,,,,,,,,,,
30163,@ui_poi_spiritshrine_30163,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30163_charted,"spiritshrine_30163,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
30164,@ui_poi_spiritshrine_30164,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30164_charted,"spiritshrine_30164,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,,,,,,,,,,,
